a6: {a6, 46e78457b3d05d63e352e5a28923c48a}
X6: {X6, d1e2cf62c6f8f8b75437f6f1ba998d13}
L1: {L1, 85c99ccfaa5aa383026c9fd6341fb7cf}
G6: {G6, c829458cb4110ae5f42990635b40f355}
f2: {f2, fa271b9fea29bb35105255538ebde3d0}
g8: {g8, fca2ed8c8bc99a3e36ae99f5ae657b75}
U0: {U0, 5c23f03850635026ac4c9fcae5fe9959}
I1: {I1, c08b4d4d03e452b38cec9e274f95a4db}
V6: {V6, bff925dc9ff96efce96141218331a4c6}
w5: {w5, 75f024c7f7c6239358d2ec7f656a107b}
T6: {T6, c60f176bec9e313a96f6a0b3a1393314}
z4: {z4, acf7ef943fdeb3cbfed8dd0d8f584731}
G1: {G1, bad64da5a303b6acfbec24a593a24df7}
C0: {C0, 61b52f457f9a861029c361533e503254}
p5: {p5, 6b669b962da8876511fc59931c05c359}
d3: {d3, 8556092eeabf10eeb4616299cb25e4af}
k2: {k2, ffdb9545e97e4be228471d2b45e1d5ea}
m: {m, 19f2e9af1e994651bbe3861cb310549e}
com/kylecorry/andromeda: {[com/kylecorry/trail_sense, com/kylecorry/andromeda, com/kylecorry/sol, ], eb9e1ba772ae896d388c13d7bb9c5ff9}
e3: {e3, 2543aca3eb917bef09dfa2ff4dc8914f}
Z4: {Z4, ae244601769be9d9f4cc83afa0a7f8e3}
y4: {y4, acf7ef943fdeb3cbfed8dd0d8f584731}
D3: {D3, 0d36d87d5b344197110378a8492d3da7}
m1: {m1, 9f13ff9ec692b4f37edf430d37b2985b}
M: {M, 35ffd62ad37b3f33a6e0f0b2e609c0ac}
x2: {x2, 47de05c45243e6766f0d6e56b42a3e77}
E3: {E3, 4e7cc37fd9396d2854553a07f28fd4c7}
a2: {a2, a4787af5d33572af8f560a44c4f4de67}
n0: {n0, 52da4b79fa9359c9a2ce1882d275cc0a}
k5: {k5, e3c0a425ec2c47b67599a8ff5554c565}
B3: {B3, 9788c0afffc6693b0cfe3ca3d951a98f}
E4: {E4, e3c0a425ec2c47b67599a8ff5554c565}
O4: {O4, c5547c35b48c23193d40053bf1ea7979}
com/google/zxing: {com/google/zxing, eea77f6bd97d6dcd3db80dc8e8ed22b9}
j1: {j1, 71ce3f42f152c61c26fd1c1dffe812ba}
T: {T, 2e43018cec5ea47036dd46f657890b40}
N0: {N0, 2f2b5960ad52945bad93e0e0ff81beef}
F: {F, 3c97ac6a375227d1de3c703a281680f7}
Q6: {Q6, 0641a744007ecd281fdec8c9af2f16f0}
i7: {i7, cf71d4fb1540401af4206ed38b4fc14d}
g5: {g5, 05879b8f759f743dfd12a0881cce8295}
u7: {u7, 9b7cadd0e51e89bbc616356843d225a9}
v7: {v7, 4beafccccc762499a1990f2f4fe57c73}
l5: {l5, dc139f41cb46d87b2bc00ced688896bd}
i0: {i0, 785d0cc71ad0f7378d46c15dc393492b}
s0: {s0, 101ae1e591b466594bb79072af46ae2d}
t7: {t7, acd7903098c624cedd7d43c107e4cb66}
b7: {b7, af9ccae7609591f207f08c618b5cfae5}
L5: {L5, 6af5fa6c4b206c1d8b281c9418bbd8fc}
c7: {c7, 547b699aa1372fdaed648ac207bf4757}
p: {p, 82a9a59467b7ec16b123d6a16ee399d1}
J4: {J4, 8ffc2d87f578db17b80d4767066a6e23}
W1: {W1, ee6607d1b3f973b8db90e3c32874e8f5}
S0: {S0, c8a9dd2539754fc5a838f879dc248cc8}
kotlin: {kotlin, eb84470ebe9f46bee81bfadbf7c2a650}
K6: {K6, 698bacaa49166514618fc370ac6303c4}
e8: {e8, 4ece139415f9545d2bf9bed8fc68a97c}
kotlin/coroutines: {kotlin/coroutines, 698dcbfc4c47af7776a8c30a5bf44732}
Y4: {Y4, d0dc34a524e0854a5e38e3bd26137b86}
W6: {W6, 68a041516b4b8aa30365c0ad5d8ad1fb}
o7: {o7, af0133c75a68cd11acf26b8048081314}
t0: {t0, 4bffa5b5b840228c7da1876a38e54594}
P0: {P0, 7129a86a535e587e02e3b473b0e4a9ae}
M1: {M1, 3c6ee30bb39891e898273a9aab0330a5}
r3: {r3, 64a96c599438cc521f6b0c95e7b36673}
X2: {X2, 52cea1a26f76a3cb39cf1ea47cb51f0b}
A2: {A2, 5d6934f4886138a079be1f614f3c04af}
V2: {V2, 6aa10a99dfb4137de041d0c7618d8415}
i: {i, 13d0f43769f04e435d8053ad1b54d7c7}
p1: {p1, fc78429bf95f8ac5b42d3dc556e9d80c}
d7: {d7, 865cacda441229ae60265dc9f49b18c9}
R3: {R3, 2b1a98987cacacc957c98fc9678e3be2}
U4: {U4, 59610df2c3a82cc80779a693e50e194a}
androidx/window/core: {androidx/window/core, 0d7560059914056fe6b83f2e712f293c}
android/location: {android/location, e079f4fb8febf5b63effbb6583d13a90}
q5: {q5, 429fb5e0c1337964705328241cae760e}
e7: {e7, 0438a00de13b291fb4ee47201bb98bc8}
f7: {f7, f8845e678fd39dbbab9ebe4059103e6c}
androidx/camera/core: {androidx/camera/core, 7c2c3c1af4fd571e79a6c7dd48f75891}
G5: {G5, 50630dcdfd2e62fdd7a28ae661a6d335}
T3: {T3, b3159fda542cce6764dc867b57e6cf77}
android/view: {android/view, e079f4fb8febf5b63effbb6583d13a90}
H2: {H2, b0a74309ee391d554cae699bd2538bf5}
U3: {U3, d25c037f973a5ffa9a3f6c4479e71c34}
E7: {E7, d9b60710f50923ddd27ba7b908341f42}
F7: {F7, d9b60710f50923ddd27ba7b908341f42}
y0: {y0, 411ce97a7e295942c6a4d6e4616e878f}
com/google/android: {com/google/android, a6a6e704d5833c7661c77d5162efdef6}
B7: {B7, d3fc2cecfd254d1610525b0f21493a5b}
z1: {z1, e73b5e07b6f030ef11c7a3164756f838}
w0: {w0, e9da36c3053acb60bf2bd7a4c568c354}
I4: {I4, 285f7b4507b55682f06fcabd13b2ebe8}
j5: {j5, 8969b0aae7a14d9864f7a7f15faa8e52}
android/window: {android/window, e079f4fb8febf5b63effbb6583d13a90}
d0: {d0, 9264b3990a20b5e12d6e550741a11d25}
b: {b, 7c9cc6b0f250f1e6aa323f2dd08b95a7}
k1: {k1, acf7ef943fdeb3cbfed8dd0d8f584731}
x7: {x7, ac29f3dba5937138015a68fc7a1a9f2e}
a5: {a5, 458fdeaf32b18063cbd0da78fc92e50c}
Z1: {Z1, c3f78b245374ace05070f3e777f54a62}
y7: {y7, 992ce0acee23a4124d4d6c48ccf1a386}
l2: {l2, f391c73d06d711d4f56f77c969eaba7e}
i3: {i3, a1693134deba51acdd678411f872a33f}
D0: {D0, 39237faa43c30456e9e44758f0b1ec46}
B: {B, a54c88473efe5019d46673b0091d77bf}
m5: {m5, 0e01ed537f38fb86ce59f5dfa61f666c}
j2: {j2, 91efad09a3fc5b0b90bffbad47572713}
v3: {v3, 4ad18c9e43a36da95c9eb3353eefaabc}
n5: {n5, fbf2db3d1a0a266dcf92a726e54f4378}
I: {I, f3559053222b5b92966c5ff3c640ac1c}
D7: {D7, 30a059febd79ab1e270d8f5540972365}
androidx/appcompat/view: {androidx/appcompat/view, ee91a6d34b61beb114d00ea1b7315dfc}
androidx/appcompat/widget: {androidx/appcompat/widget, b73626d94c345ea75e322550bc65cf3c}
O3: {O3, bcfb18c244de9a32019d57c76b164687}
g0: {g0, 6d724be0b93b556cbfc53440477b5611}
M5: {M5, 1d94fd7599c95d733959ec38b4bb8956}
N5: {N5, 08db718a92bd04e5fde8e3bb150f5147}
o2: {o2, f65916bb3f10025ebc15c55c4f988032}
androidx/lifecycle: {androidx/lifecycle, 04ef0aafe1e27fed427d8f19424d708f}
K2: {K2, e9b9863a6217d81e8672860c8fd66b89}
h4: {h4, 5fa1555b850fbe2798f09b3e1c0bfbc3}
t4: {t4, 5436e26b46a77d6151cf8d2e21cdb88d}
u2: {u2, 77ed047afa2200bb4f605ff99c70bd87}
com/kylecorry/luna: {com/kylecorry/luna, a3727e28f192b01862808e782e2444c8}
c8: {c8, 088bdb48826f6cd11f799c2cca689f16}
h3: {h3, 1f47db7da1ddfce5968b0e469914c06e}
r7: {r7, dbf3adb9d3124fa9e209efbd03489c08}
s7: {s7, 9ee42708d529d38252567db1c97c67bd}
Y0: {Y0, dcbf91d254309dc72ce18cd6cefba2f1}
q1: {q1, 983d5e48e9c06c90ea09658c3a103160}
K5: {K5, deba9fd3b5a55a9dbf7d18957b283c13}
androidx/media: {androidx/media, 0091dfecadba6e798005d7b419d9d871}
b0: {b0, 8ed071f152336d311f520113e19f0792}
R7: {R7, b10f089d9d41ff8e3bbb8011c3501b41}
c: {c, 9acae77957ffabe5031f1d4f2658ba49}
J1: {J1, 6124573b28960db8c02765a3581161b6}
u: {u, dd816dad2a80407a86f94386dc2746c9}
androidx/customview/view: {androidx/customview/view, 94cdfec255d1ef9a1ed9e37d051f8feb}
X7: {X7, ccda653d987dadc5ebd532751946f34f}
A5: {A5, f837fa3233c005e796dd16639d1bb785}
Y7: {Y7, ba7d0e5874f9203cb56e3effd82063ea}
W5: {W5, 06f6af860c1429107a91dd84b1649949}
f3: {f3, 96063a24e06788b259d31bfd4918bfd2}
kotlin/jvm: {kotlin/jvm, 57352834ee557ef7f0fe559fe18c357a}
kotlin/io: {kotlin/io, 237b8d7bd945721e9495578a326d5982}
U7: {U7, 4eddccf51419ac00af29cec61ef1c1c9}
V7: {V7, aca0d9830419f94292bf869d4ff2b2f3}
w4: {w4, 5246b1d4fd071311c4cd9a44ddc759cb}
I0: {I0, c5b584f438f8c23fce1017ca59ce8c10}
z2: {z2, 191528d015a951f9bb15255a8f6a6b0f}
F3: {F3, b65089789593e896b5d43573d67a1d01}
T7: {T7, 5c3ad70c9b61b0a07b78bca6ade3c3c0}
G0: {G0, 903c8d261624b128e81081591c266fb0}
z5: {z5, 4e9f370a010a868eb270dc7dcbe7b00c}
n: {n, 65ff66a7fd187e1a2e1bbceb06209640}
p6: {p6, 6189925089d00523a0fbd79e23176b38}
d4: {d4, 2873274e3e27c547eca38347af4031bb}
e2: {e2, fe354f42dfbd86cd29bbe0ec00847dc5}
C3: {C3, 1c8129b031da998d0e20599dc7c699cd}
Z5: {Z5, 86ae14b262c5ae3658b0e2c9d100d768}
y3: {y3, 03efaa0a5592bf74afc1f416907ddaf5}
O7: {O7, 6117abdf427f1874e23b4c3b7f5d9e24}
T0: {T0, 723ad353d62f135bcbe66db51355e228}
a1: {a1, d84cd123781dfed92c263edf59594cff}
N: {N, 724ec4dc6e911be6c863b4e1a8da705b}
n6: {n6, 840cf73a7d2b3a9704b63691b9d5fdc5}
D4: {D4, acf7ef943fdeb3cbfed8dd0d8f584731}
E2: {E2, eda8a3b1dd54abae4559e93c68377e63}
x3: {x3, 72db3d7b8c404c59a513790cbb87684e}
k4: {k4, 6b96c5ea4827c217fc2613b5377462eb}
g: {g, cf957ba6ace796d51f7a3e905e8b3373}
n1: {n1, 8b611a7a7119c231bb9eeeb542d361e3}
B0: {B0, d7824cfada86e0db7c2a0837f8dabfa9}
H7: {H7, 9864b61806550eee89a62cbc2797fb8a}
i8: {i8, c4242e3e5bcb5b8e8b49856bc35be186}
I7: {I7, 99bc1326bc2722e74f394811d7d87c3e}
j6: {j6, 0a6d5f2d843f2492d44813a14e4f9ed6}
G: {G, ed55a893c1454456f3af5e74aafae226}
N1: {N1, f805748d3e20f3f8677f99db70a98ef6}
s3: {s3, 15938162e53bff102c54ee369ed6e546}
x4: {x4, acf7ef943fdeb3cbfed8dd0d8f584731}
a8: {a8, bf062d5519ea562199bb72cf641629e3}
Q5: {Q5, 87d96e7e827048723ee32b56023c35f7}
h0: {h0, 2a269950ccb9266f881863a249f69aaa}
i6: {i6, 31f59276ade19fe25abbacf6befd8c33}
g4: {g4, a1506e46b1c7758ae6709ece84c20218}
l6: {l6, d706a003cb21b165c5bc49212e32a86f}
u6: {u6, 17bb45c25beb083160ff046858c399be}
m0: {m0, 4e325f872ae309def6aae7b59d904d4f}
v4: {v4, 17c2f26610845febfbd1f2cf90deb4e5}
Z2: {Z2, 5e98263904df03924257062ad6a83a23}
L6: {L6, 6e6513871c321a7bf2b86254b3e2a8db}
c6: {c6, 41b1ffc7287d0c19acbb09eb4923bb0a}
M0: {M0, fe3528d9c74fc7f2c077248f371bf476}
W0: {W0, 557aa2f9d61ceb7a61c3ef2ae6c59576}
q: {q, a8e3150075ea15079d7572022dabe319}
J5: {J5, bce9f2196b9471746c299a316d4d3223}
b4: {b4, 69afb37c71ef5478e418d747bf5b904f}
o1: {o1, 954372297cff7c9af4fac3323f8094c0}
K1: {K1, 76c44ca008cbda093afcc9a84f74203e}
Y3: {Y3, f1a655745a3a95382d42c707c5d52cc5}
t1: {t1, f9f4fd7829cb0b20aad40c9038b48eef}
P1: {P1, e2fac448d99112d02e7445a6d8e84639}
o6: {o6, 190e581f51ba0983e85618cdd8de7ff9}
androidx/camera/camera2: {androidx/camera/camera2, ec9a2dbe30f20eb34a121ec545186278}
A1: {A1, 0790a63d651311b12b9efd9bd12b5640}
N6: {N6, d88763f36c5a01f3d4987d9c4e196078}
x: {x, 7a5d06bf62226641a7d915e1fac69086}
r0: {r0, 58d35fe6f094a0a1ee677539c2929f55}
X3: {X3, 7f719ab9fa6e9bd3d64ac6e0ab5bd98b}
p2: {p2, 5b49d1c472fd141cae0291ec06e7077e}
d8: {d8, 46957da507c8fc91d02a2c95db4a0896}
V3: {V3, 315b8423810a9da0ca953cfbd3916d4a}
j: {j, 6f5282a8987e74e804df9ae389b6b437}
q4: {q4, dea2974fc2c6cfe0db24f016b79e0213}
X: {X, 622a3bf59b82d0c8bd76ba1212cf3e22}
R0: {R0, c2c0df516ceb9e29c585d8dfdd799264}
S3: {S3, 69b7b1f997f5ae75d169a3ea85efc667}
X4: {X4, c5f3424066de515f1ab0c3d3a2581097}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 42a8f4370a6c8ec829b6de19f7f657d1}
android/service/quicksettings: {android/service/quicksettings, c4e9eeb25e17c46354752ac4239a9772}
e6: {e6, d3c94dab5fb2d048437e23f6ab217605}
G4: {G4, 581930b7f639e3c6d232f90ba5734dc5}
f4: {f4, 2bc8d4a96ceae790849c8bf91bb883b9}
androidx/activity: {androidx/activity, 57f9b5e9bbebde8fdd7ee63b7d1c6cb5}
T4: {T4, 1ea8265c4d597f31bc192d16a9a4247b}
U2: {U2, 0b64d622551175e67147e396e1c2860c}
H3: {H3, eb42106f547e1c23c57383d68f26fe7f}
E6: {E6, 42e9b5226cca62806f03770cb9500923}
F4: {F4, fa0fca41865efa21d45bf2e521ae5ff0}
C6: {C6, 29efac4898efe23623073f6209748fd6}
z6: {z6, 8dda5ec55f97b22f20e5a6d1e021f5aa}
androidx/startup: {androidx/startup, 08c5775df7901f348750f14f4def3be5}
Q: {Q, bf9b3ed098ca6636de5d96afd3ba9bf2}
w3: {w3, da82d614541a79b429df3db0a8379312}
I3: {I3, 7dd71efe31ee05406eaf9917e866095b}
d1: {d1, 7ca3b91ccbf1962780b9bd4fff373204}
B4: {B4, a9293a3b64267de4c6525647275b2dae}
k0: {k0, f96c0aa595f50b570e2757ddcc758ada}
x0: {x0, d85914069086d4788b43ca9a27ae2028}
y6: {y6, 2e4bb66d6169ec7436a83dbccbb1608b}
m3: {m3, 5668455ed3936b68bc2e084f2ff2e806}
i2: {i2, 5408e036f1e4c62c45f010ded4fb0559}
D1: {D1, 35b3dacc14c07700d1548e64042cc8eb}
C: {C, 47effa07313c1c700473963e586072bd}
a4: {a4, f5a81add53b353430dcae386e08bc532}
com/github/doyaaaaaken: {com/github/doyaaaaaken, 6b69a2927671fd4292460c88c3ea5df3}
j3: {j3, cc834cf21376ef960edc745802d1b69e}
J: {J, 8bb3a5361116b8e3abded001cd92ac50}
d: {d, 444a9400c5a5c88a05b5132ab231a7d7}
n2: {n2, af51c505c5d9ff3c181de60f1eaa7c86}
O2: {O2, 4bac4c5f98dc68093f45462616bbbcdd}
S: {S, 187473c35f4917b63a244b7aee4d91d9}
v0: {v0, 71d8305a8a960d7094eb6b4b774fa75e}
H4: {H4, 345301fddf6b52cc55f4a8e54ea043f9}
androidx/concurrent/futures: {androidx/concurrent/futures, bf4df07c39b238cbfc0b70f46c068018}
M4: {M4, af4cf31f82906390acd6a0a536d6aded}
r4: {r4, ca8465db7b9407981c555c81352f2899}
D: {D, ef80b384550704ec35472a07d3496f02}
N2: {N2, 66091824977456624f225e9d52396ebe}
P6: {P6, 35e31c12a8a56cf460869ca18e15a52e}
o5: {o5, 8a71f45828d6e4e174c17b6a8e8df763}
h5: {h5, d89fe65000102a5dbc57c4a9c696e55a}
c2: {c2, 18e42a50822c9325c874f9f91192c9ca}
Q1: {Q1, 3501b391b5e095bc4b922a49cf3afd2a}
t5: {t5, f78f759dc08dfc2eba8204f2ec34ace8}
l3: {l3, 68fce5c543b472a73e409c1e92861bfe}
u1: {u1, bc601f3277bfd2e9eebd3e197dcae997}
s6: {s6, 2870152c4a8457baed0df0b8edb1c4b2}
U: {U, 2a02dd0c369c1bf88d25c65a90265d8a}
b8: {b8, 0bc2bd0df5afd3e83d100cecd34b7536}
K4: {K4, e16855888aa676b59188778455000d66}
b1: {b1, 3500037da00207b8371f33eca05b4cab}
q0: {q0, e5c6017d4425a32104ea95857067ec7f}
f0: {f0, 08743c6bb67ef754f00b919a941d6d4c}
L3: {L3, f7652c260d83da4a26cdf02c4f6cba69}
c5: {c5, 74899c22e9caf3153e0830e83764ebf4}
androidx/profileinstaller: {androidx/profileinstaller, 445328c297563168918e10b6d53eff08}
S6: {S6, 2efc87fd9294c86d429661a13f460472}
v: {v, 5f6f23860f37403bd9a51c64b6a4f177}
J6: {J6, c4d172b4835931934bdee21e8b96804b}
X0: {X0, 8d9736fb47278249ff776e51ae5eb6b6}
Y6: {Y6, aa542d7039184c2fdf0ff0d11085a80f}
W4: {W4, f3a40c37116a315aca1dedb7e38b8a56}
androidx/appcompat/app: {androidx/appcompat/app, b76474c932f35016d53cd1f25dd01724}
A4: {A4, 8e779699f9450dcaa1da0154f5d3713b}
w7: {w7, 29a5e56bd0ab547140db543c35d2515b}
U6: {U6, 9c97e4e677cd25cb6eb880db7d9decef}
androidx/core/app: {androidx/core/app, ce84b6a9787c9e0e8c1c6ba8fe27bc1c}
p7: {p7, 9ead6a12f8f848f5c26f96183c29987d}
V4: {V4, 04702feccbd38b980eae50bb7a1d6efa}
z3: {z3, 5b204f788541443b2e517d24b3edc666}
s5: {s5, 4e375cab0e942c31a84fa92a24596ee1}
G3: {G3, 1af827fa5df58c40344e06db7c0f4152}
R4: {R4, 672688e1eaa58738c9d1a82f419bb6c6}
q7: {q7, 8aa1f0079843fa951d3bc5986239eafb}
d5: {d5, a88653a5e739801ba69de99244a621fe}
e1: {e1, 46d0be06680936d761777c657e062f0f}
kotlin/collections: {kotlin/collections, 5a53206b5fda82c947c6f9f0bcdcf8e4}
y2: {y2, 4a595ab1b998ef25bf2291b905949d3c}
T1: {T1, 3b6351342451d18494c922a31f043c6d}
com/davemorrissey/labs: {com/davemorrissey/labs, d6cb1f848522a351efec90954d6934fe}
O6: {O6, a0ba7208d261d6d70faf7e46577526ef}
n7: {n7, 4d573b215fa9eca9dc634de533a236b2}
D5: {D5, 7cce64fe74d3419563f9069cea8aaf82}
a0: {a0, 4797114acb7a6a5d0b9dca31dcd97dd2}
E1: {E1, b99217032bdc8ca4f57b3819e0a3df5c}
B1: {B1, da8f5fc4489375c913981d8d9c614407}
k7: {k7, 92403db3c88d2638fb1ea5ca038a1d17}
F0: {F0, f9213b09a77fcef90a2c84abf7dc2e8b}
C5: {C5, 868ef66c02abba2f253399f874b0cc77}
H0: {H0, 37687ba42ceb2b8003cd5276359fcd9c}
I6: {I6, c4d172b4835931934bdee21e8b96804b}
V: {V, 85152c5fc01e95f88ba618dc0e9d031b}
j7: {j7, 067b52d97a93c5809432372bdb28797d}
a7: {a7, 6fc0f16819833a6ab3cb7a8fb772df69}
androidx/window/layout: {androidx/window/layout, 5e8a50c12138ef51d28fa6da8e5e16e8}
x5: {x5, 6d48a5c4b9a908a3c4e5e66331f073db}
s2: {s2, 951cd137409bdf1a2a330145521895e8}
androidx/work: {androidx/work, de1619ba511de28f93508f356c1b0c03}
g7: {g7, 35664f284402ad32ff4fb0e994a96890}
l0: {l0, d0f52d8627422ea01f371fa142b20748}
h1: {h1, 1403d5c464ef3a5d4f262d02a4e25799}
androidx/emoji2/text: {androidx/emoji2/text, fd4508da40183b9ed844b95604045b06}
i5: {i5, 50a4e9cf635f251891f3af83a7db3ff9}
v5: {v5, ba66b91e793ae7896474eacf6d6978d3}
l7: {l7, aa8a6d44049df143e1f711a623a661d5}
O: {O, 1f1977e1b62e745995a14e12ad12113f}
m7: {m7, 17e868939b2b425023aa5071e72b3daa}
Z3: {Z3, fbe297823d9698012f54ca327ccb0572}
androidx/recyclerview/widget: {androidx/recyclerview/widget, 48970bde28da59c5768a690362c857ca}
u5: {u5, dbd8d9e1a10f24ae1095b60a6c19b5db}
O1: {O1, 0c56635c8c9f2aa579a6afedd48a0c12}
h8: {h8, af9ccae7609591f207f08c618b5cfae5}
androidx/camera/view: {androidx/camera/view, 451d7f6d9cc0a79ea375511457437f77}
androidx/core/widget: {androidx/core/widget, 32e3167d7e3c34ba9bf7fdc331e84441}
L7: {L7, 3256dffb519b6dd4913f4ef3efcce4b3}
c1: {c1, 003f856dd741c477e7957e8b92c785e4}
M7: {M7, 9c795e50e291a6b9eacf96b4662d3a50}
androidx/preference: {androidx/preference, 3cf5323051483ac2b45dc19211052b47}
W3: {W3, 55af64421c1dac3722f35c64b104eef0}
o0: {o0, 56adc8708861026964f11abd891b9c14}
K0: {K0, 5ecd05c851231d6c149245d383f9310e}
b5: {b5, 4f693ed3493552d5afd88c765ec0258c}
P2: {P2, ed2f4e1ef72a3daf288bdbb8b7e16e03}
Y2: {Y2, 4f0ee23563918dfad1ee7ff81aac42fd}
Q4: {Q4, 04bb46392e0c7fa95d46836a3fa4e5f8}
t2: {t2, ea6b51e9c21b0d603d57b1184684e751}
N7: {N7, df1d20d8818ba3182ef4dd6d8d556008}
r1: {r1, 41c8068ba46c6a46f99c87e4f0a57eb1}
kotlin/random: {kotlin/random, bde86094d35977f1a2e0d602e7570f3c}
A0: {A0, 0b4d765a26bcbe996140e3a1278e6dfa}
y: {y, 745e008d590322d42a8f9a590a887b65}
J3: {J3, b5debdcf04b56bee3324f743a99ce58b}
k: {k, 20b411c3ecd5be686150c6ef7add6d91}
androidx/core/os: {androidx/core/os, c28cd6a4267dc7dffa4d7bcac4d90a16}
p3: {p3, d80529a7d5958bb75de93a3e646f0ad7}
android/telephony: {android/telephony, c4e9eeb25e17c46354752ac4239a9772}
e5: {e5, 47dfacff4f95eb8844699f96a8f3c4f6}
b2: {b2, b15e767b50319b4759b9862f4aab64cb}
q3: {q3, 9fe54653e6df454a9fd0f16b76aa02a2}
R1: {R1, 26736371fe8a8c4ff0e709e96a4100ef}
V0: {V0, 02aa100ae36b72da11755181e685523d}
S5: {S5, 6e6513871c321a7bf2b86254b3e2a8db}
androidx/viewpager2/widget: {androidx/viewpager2/widget, d4ae2129a3823c457fcef731c022dc82}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 58a15ae5f7cd75249796984931899674}
X5: {X5, 06257938998236ccb83cd7a6e174e818}
kotlinx/coroutines: {kotlinx/coroutines, 3d021156e562ed3c56def02bdef2d47c}
r: {r, 6d24a253cd3086cd2cdda71fb68c603a}
G7: {G7, 0a12deffc43e69f917a16f4aefd17bf7}
f5: {f5, acf7ef943fdeb3cbfed8dd0d8f584731}
io/noties/markwon: {io/noties/markwon, aa46c2c7dbacc6a2e3e95e0652ac24a0}
T5: {T5, c43f521449a7ca8c9b12718b2539d964}
androidx/room: {androidx/room, 9ca2779ecdcf39e70d281e2044a8dbbc}
w2: {w2, eac29cf591394113edd6dbbbcea2da87}
U1: {U1, 5d836e1f254f2969c53a18548c7ad249}
R: {R, 52e1df3a14bf8f51a36515e37375010c}
org/commonmark/internal: {org/commonmark/internal, e54a63628c8d0ad4120ce905b1472904}
F5: {F5, 2fde31817f466f63531d9b89ea9a9841}
S2: {S2, db23a3fb99d026db8e47a13cefa3e8a0}
kotlin/enums: {kotlin/enums, 46f88218a61d1dca04aca99c5a87efa8}
kotlin/text: {kotlin/text, 895a088757e62c4b906c8137498eb0dd}
C1: {C1, 157f4bf7a0282a8ecde55bd8618621a0}
z7: {z7, 0114f805817c9c1d7577c1d823434dda}
k3: {k3, b6e5e5b04bf58c98a3e86949dcf38f9c}
p4: {p4, bc8b07bf1133d7cc2f8df15a2f2b9479}
I2: {I2, 1c5d7ccec93a6e5c1a6cd59328a935a8}
d2: {d2, 8a4e2760da97ed0bcb669bdd04f03a16}
