androidx/appcompat: {androidx/appcompat, 982e6ad6b1e9edf14ee3343d330dc923}
androidx/emoji2/text: {androidx/emoji2/text, ba1c81ee7ee2d44579a522eaaab84722}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, ce8ff7bd0d3e1c648c881d13a52a5c68}
androidx/viewpager2: {androidx/viewpager2, f9587d70e7654be73e51a0888e3698c3}
androidx/exifinterface/media: {androidx/exifinterface/media, 9338b284da131a45b92b6aec982dbc53}
androidx/savedstate: {androidx/savedstate, 1214ee9ac53de1df79c5cf7adb47a533}
okhttp3/internal: {okhttp3/internal, a02f3e93101903d81b23d7b94d50903c}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 60c0dd31a24230a267e15c68d9e3810e}
kotlin/ranges: {kotlin/ranges, e4ec6fc348f88b094073341e07145151}
androidx/tracing: {androidx/tracing, 374de4f681a359c89397f5040835f60a}
okio/internal: {okio/internal, 39187870979590e621e943f650d4d54c}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 224952fe0de9e00943794577339e6ae2}
fi/iki/elonen: {fi/iki/elonen, 2dda6badd49be1c20855b2865321a031}
okhttp3/internal/http1: {[okhttp3/internal/http, okhttp3/internal/connection, okhttp3/internal/concurrent, okhttp3/internal/http1, ], 84571df14dd773d0927bb1b5483e1429}
androidx/concurrent/futures: {androidx/concurrent/futures, ea991f34f0bb7235a2e316d47feb9b41}
okio: {okio, 06c6fdadb3a9d30bc5b7ed2b9082e2cf}
com/squareup/picasso: {com/squareup/picasso, 406f334bf0b5f907d7abd4f7f152ecee}
androidx/recyclerview: {androidx/recyclerview, cc86937a3bda2ca33c9fa09dce8ee9f3}
kotlin/comparisons: {kotlin/comparisons, ebdcc9c5ab3ebc6375c2308ad1f533d5}
kotlin/jvm: {kotlin/jvm, 6dae3b18a9e0c25b6069923e3feb5c4a}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, c9adac8e05894bbb7933a98cb5a2659d}
