androidx/appcompat: {androidx/appcompat, f08e0d4f0fd6b87f57938b0147b5fe21}
h/a: {h/a, a381ab92efeb46e91af65b6ae50b822f}
androidx/coordinatorlayout: {androidx/coordinatorlayout, e4c3c2970989bdf7694952d51cf0100a}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 8939768bc38ae2932146a3b53e22ecef}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 788c6ca97bf0d624498a667847dc7a37}
androidx/drawerlayout: {androidx/drawerlayout, fed154f2405d762b3efe90533bd937ff}
androidx/legacy/coreui: {androidx/legacy/coreui, f0c5048fd0b984eac72e3c164228be82}
androidx/viewpager: {androidx/viewpager, 5ef7bfe32a7240789122b0c12e8c007e}
d/a/a: {d/a/a, 24d3d1b01d271c5c31e905dc63b6b54a}
i/x: {i/x, 776d3181fa91b4815a136bddc4bea068}
androidx/webkit: {androidx/webkit, 389742c2c17917ba6cbe5c160f68ef04}
i/o: {i/o, 8af3e18a9d492fe552fc6e4b059ac0dd}
i/p: {i/p, 8fd2cd8aecbfe26d61f60fe1fccb98f4}
androidx/legacy/content: {androidx/legacy/content, 63006038118614eb3131bc2f972f4b35}
i/w: {i/w, 30fca3c14c02be01bee2c6c9c0108bda}
l/h0: {l/h0, 282cd704e2da89f45d34b941c12580da}
com/cookiegames/smartcookie: {com/cookiegames/smartcookie, 9943c041d1b5886fb3d920555acab1a7}
c/d/b: {c/d/b, b2df2d591c986fdb8be13e706fac45b0}
okhttp3/internal/publicsuffix: {okhttp3/internal/publicsuffix, 664b444a09ed8ad95ef07e4bef821f55}
i/y: {i/y, 273e50c03353938cc561d15a461dfb91}
butterknife: {butterknife, d9ff5d1692dde44103082f829ac1010f}
i/u: {i/u, 2f98f4fd60829d2567feda6a980af495}
i/q: {i/q, ea5a4bb6063c0490b8ef743982b399d4}
androidx/fragment: {androidx/fragment, 4cc5079d61d3afe81dfd9981a16a552e}
c/f/a: {c/f/a, 4243a4e08e7144b988fa3574abdaa7e8}
d/b/a: {d/b/a, 72841e99c49ae1a508fb907a73a837d0}
c/d/a: {c/d/a, deb0d200585be37a536507ed3b0e996b}
k/g1/f: {[k/g1/f, k/g1/k, ], 0828a1bffe19bc98baf493e52f9b6d74}
androidx/legacy/coreutils: {androidx/legacy/coreutils, c675d54c5e9aa81075651fbe39cb0d83}
c/e/a: {c/e/a, 047be19068c4fc92adca13caf9e4bf40}
i: {i, 5a331a8e311b7e49500dc1de5b7abd67}
c/c: {c/c, 82cda7f606e9c1e5b2d9a904ea379e34}
i/r: {i/r, 6692c951c1530a04c31e8415db542bd5}
androidx/emoji2/text: {androidx/emoji2/text, c9b54fd96b3fa86599a20c7eb4bdc6d7}
org/jsoup: {org/jsoup, 7f13f8f9ad805197a39c06e1e45a3952}
androidx/legacy/v4: {androidx/legacy/v4, f0c5048fd0b984eac72e3c164228be82}
androidx/customview: {androidx/customview, 99c567cd77e71b44ffcd6d4efb12b3cb}
