androidx/appcompat: {androidx/appcompat, 34f9fc632ca4efcd167b0d691eb57a2a}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, 8789de3e42ea397f7a2e853446f71ca0}
androidx/legacy/v4: {androidx/legacy/v4, e0f7a4ed6dfc7d0e3cfaf295ba204dfb}
fr/castorflex/android: {fr/castorflex/android, 15e6b1a1d21ff3e9cbd0e886d70cc354}
androidx/tracing: {androidx/tracing, 80ef3b346da668b7ca471f9b4571713e}
com/tokenautocomplete: {com/tokenautocomplete, 317c07b774c854bb1e84e95b1c1f6806}
androidx/startup: {androidx/startup, 86fcc9acd3be58c7de92432067895bf4}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, e0942df141e5bf9d1064732b009b82e0}
androidx/recyclerview: {androidx/recyclerview, 9701a11571596242dea4df38f8ace0c2}
androidx/gridlayout: {androidx/gridlayout, d784bb65f52e7ca03ba0ff264dd2211c}
androidx/annotation: {androidx/annotation, c7d60566bcf76344db4d1f1ace15aed8}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/dynamicanimation: {androidx/dynamicanimation, c088dee57aaa297b903272698d7ed6ca}
com/robobunny/preferences: {com/robobunny/preferences, 2ad5443c8cafc7a638ce22bd55cddc4c}
