androidx/appcompat: {androidx/appcompat, cbd7d1450f7d68cab9b9057d272ab876}
z1: {z1, 4f35ace88b0296ec91b87fc37020b3bf}
t2: {t2, ad9990d516c31a2186998c36d9d53949}
P: {P, 86d95928880f890e640dac00f1e3453b}
com/afollestad/materialdialogs: {com/afollestad/materialdialogs, 85b395d840f379142a1b2280748da9e8}
r1: {r1, 635a5960ab533af45a9f19e0a239a46b}
androidx/transition: {androidx/transition, 47bb4f8ea9bed05af7c5aca51e769941}
Z0: {Z0, b4b21ba3545ee8196db1aaeaf657807d}
A0: {A0, 3793b7184f2bcc51e9238395b6a671b1}
android/window: {android/window, e079f4fb8febf5b63effbb6583d13a90}
O0: {O0, 12b6988e1f8802c115091a57ce73527a}
I2: {I2, fe1686c3f358fe6dbb62b38c4961fb40}
com/bumptech/glide: {com/bumptech/glide, 82523dd1b55bf996076af2a16d04e6c7}
d0: {d0, 5d9611583cd2b5e61635310c243c4d75}
f4: {f4, 46c5ba8100afa6b4aaddba2bf41651a7}
b: {b, 3b9f1b6dd568b6e2cb93188feab07910}
k1: {k1, 408cd43ea0ce5be35714183499df4b13}
J3: {J3, 297a00cc1225001e90981b36278c6ee8}
k: {k, f170e4962480bc379035c14834021688}
g1: {g1, a68351fcaf5ba3c9ce796b78185a90b9}
c0: {c0, be5c8e5912065708f3cb28a4f7882f75}
p3: {p3, bfa14ff545ef25f3cbe1cf123701ddce}
U2: {U2, 1a59a22e34a3f654d33154b0c30bcd3e}
N3: {N3, f4346c2431ba936576f35e2597ceec0c}
Z1: {Z1, 311f5329ef08d189a2098c0a46c617df}
b2: {b2, cde1f4419706a6b2ab82a773253dfdfb}
androidx/fragment: {androidx/fragment, 21de5cd5e1f2aef365e82dd81f415fc0}
H3: {H3, 88bedd987893e4bbe59ab4b4f7a8d036}
q3: {q3, 0d012fdaeeeea058d959352b64adcec3}
K3: {K3, 097f0ebeee91fab3d5ef6a5e2fe69ec7}
R1: {R1, 38b3c92bdcf3c07ea0aa19fc7e5ebcf9}
com/efs/sdk: {com/efs/sdk, 1da94210760f996d711ddd95fd8b0824}
androidx/browser/browseractions: {androidx/browser/browseractions, 3a683c9ce8ce141ff2dc7a90ad57e143}
i3: {i3, d86968f0eef2379aaa36af4969d3151b}
V0: {V0, 7d28a35c5d7aac87dbc18c48dced68b3}
D0: {D0, 2dce03dd3547e1c4f8e62136fb0ea3bf}
o3: {o3, 8b93ddcfe6675186bc7d917dd01ef6ac}
B: {B, 68c1433ada96032e3b70b9bac5e764cf}
com/github/luben: {com/github/luben, 1ad5678b6364f5545edc67ed3c49fa99}
androidx/compose/foundation: {androidx/compose/foundation, c38b9367976e20e042b0557db9db5bba}
t3: {t3, d1c372c9a32740345d463371ea257beb}
j2: {j2, b09718528f175ae47222d732de334efc}
v3: {v3, 63bb07d1255e78e9961d8b393966a0d5}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, a6360d245f9f9c919142607025a596bb}
P3: {P3, 6f9b899a83ea5b774ba5e68123ca2a82}
h2: {h2, 7dab65341093c338fec36c32cc87f920}
u3: {u3, 793278dbf375ed25f92ecee2092b5706}
S2: {S2, eb406ba0e0519c9839a5912a1cd80b76}
Q3: {Q3, 267373bc6a3e8132cceb30c0bc3e1957}
androidx/startup: {androidx/startup, dfc77c869f6cbafe0176e365c6f2949b}
Q: {Q, df54acb30560710bfbfc044f0f36a9d5}
w3: {w3, c2a16fe910221d46695085ad654f1f84}
z: {z, 80f01640acdf9ca32d631e244ae42ef7}
I3: {I3, d2eb51cfd755a547f99919989b755f32}
d1: {d1, bf05885e40c6e48d29a1b0f8fbeef809}
B4: {B4, 11e84548427dd35e76c570612409249f}
k0: {k0, ba3cd56224a5adfc2feee4ca8bab988e}
O3: {O3, 6ab228d0ecc3d0aab73f2b1efeaf1ed4}
g0: {g0, 5ac9730fbc8f66cf70323f048cf5883a}
I: {I, 7024323ea392616fa0e3564bc93dfbe4}
J0: {J0, d91b65cbe07554e6bac2371189114f87}
x0: {x0, 47b0978621ec0007a3520f4af81be313}
b3: {b3, 2a96e237c88a2f7ec3b0db3f7776a4d3}
androidx/room: {androidx/room, bd647c4c622021f136a871bd12663239}
w2: {w2, 4017ce354292bbadca60b32d9b2e653c}
q2: {q2, 6cbb0ccabfd46ee44b7c307cf7c12145}
U1: {U1, cc69c47cb30ef5bfda420ce7eaa2ab36}
R: {R, 4043b3a94e74eca5b189b2a5f196c00b}
X: {X, 8564a992e8b7da3344f350da91ebf03a}
o2: {o2, f6f13a51aec2ba7f114faca281d55f1e}
m3: {m3, de25bc945e4b34f33eef63a2de0ce487}
i2: {i2, dbffe27ebc3c078ab04d9d3b36650dd4}
r: {r, 55fdd05290270978b4d79af0efeea45d}
K2: {K2, 3c14de95bf75af21dcdb91ac6c7ba9c1}
D1: {D1, 234cc87787bd71bc97db8e3b2a181a16}
C: {C, bf96c28acc6b7004dd1506ac2651b59a}
a4: {a4, f4fa1378e7a6aa587e31d518f4bbdf5a}
h4: {h4, 302f6b74e912d913ca5f6b2a12c04299}
t: {t, 9b8ba84a94979caf045dc6ed62da84ca}
g2: {g2, d8caf876f4e9a86295f9a2f026fd2f05}
V1: {V1, 85cc73d1098918847248039a1d23a332}
j3: {j3, 6818248b59a529ef380a014bbe2c3728}
androidx/loader: {androidx/loader, 410e84f1eceef67434a13f613164f50d}
androidx/exifinterface/media: {androidx/exifinterface/media, 5878c75fc8aa5c8004ff193b7890d3e2}
J: {J, 586555db22f778643a8838f0e9a6bda0}
C1: {C1, 0514b7933e8c7231c2a59a8b5bed49ba}
u2: {u2, a2693711db6f75db6814460178f1f09f}
s: {s, aacb08ad971171825ab50dd0332ba212}
W2: {W2, db2a6cbb6bde91036ba1b7f6eefef2aa}
Q2: {Q2, 1d19aacc756575be3d5ffb860ef371c5}
androidx/core: {androidx/core, ba6bdc943bf338450970f31fcb2483ba}
h3: {h3, 8b48f587847398b7632eb84ee5987915}
n2: {n2, 03b16b4dc264a712dee5631485f8bc97}
L1: {L1, c5f4b4050441c9eb0903ca43b5467a95}
k3: {k3, 142f63bcc78ccf52e3705e51918add81}
O2: {O2, 71a8c252d8fa4920a43e701db025c7b7}
L0: {L0, c39e781ccb1a567d8963efd254e1a63e}
l: {l, ac9060d5fe4f163cd4c266efd3dbf69a}
androidx/compose/animation: {androidx/compose/animation, b46a7c1487f7645292a71d721a98de48}
androidx/compose/material3: {androidx/compose/material3, c27879931a6b53734a201c44acfe2640}
f2: {f2, 3a91b39d8fc163cacb410a9f8adb8753}
v0: {v0, c335533f44d70f220cdfec7a55209b74}
d2: {d2, 9783349e43ab072bc042c678bcde3efa}
Y0: {Y0, a87313f7034e8dcd8e5673676562fe28}
q1: {q1, 97436b4a16e2b1a0a7894504b006d70a}
U0: {U0, 9453a9643f9ceca0db5a47b6763822e8}
F3: {F3, d5a95e61fd41a42ec563d6c8aac77c33}
x1: {x1, 45e25da826221764007a2d7122cf9d0c}
g3: {g3, 61cfcf92a8cb4c1c8358d0bb31e4fb89}
androidx/browser/customtabs: {androidx/browser/customtabs, 5a51df1c3fb8c24e152d33c1ae649044}
n0: {n0, 0612e3cab67cb15c16537af89d1fe2d5}
S: {S, 61ea31a8bdf60f2efb33fb83c2876481}
anet/channel: {anet/channel, 0f0afaf22a22dd41adbba9efd335a013}
D: {D, c2bebd4ad125ee3c9e3f98ebdcf5ac76}
b0: {b0, 502047b67f4baf293e814b22299c7172}
N2: {N2, b7cb1f6d58abc312f56f5c123a02b48a}
m2: {m2, 52f58ca435cc70fb46c2f983d644b2f5}
s4: {s4, 9c6c0b66d6c47154da14ad4cd741c190}
b4: {b4, cd7eab192d21a27d604bf1a09ecf9d3b}
L: {L, 6299cd8df9bca9308c7d8ebeaad2269b}
android/app: {android/app, e079f4fb8febf5b63effbb6583d13a90}
F2: {F2, ad7614c1e9a321a959eacc24ba33098f}
androidx/emoji2/text: {androidx/emoji2/text, 31e22b477497d53816c3af1946a14d5f}
androidx/dynamicanimation: {androidx/dynamicanimation, f375e34e522885c7bd7f5539403a98f3}
K: {K, ee4964517967ca07a0ebbfff3bc575f5}
androidx/window: {androidx/window, 02a176cde991d9e6714d017f1424e8e5}
D2: {D2, 735b6146e5c88d8d38603745257a8efa}
c2: {c2, fab984ba1b3c729313f70cded0dfe587}
a3: {a3, f70a236b942cdc1c8618d6a1aa0e8e2f}
Q1: {Q1, 3765e34598e1558e444ba4bfcce3a0f5}
G1: {G1, bf0aa6b16d43ee6e357ce554498121b8}
C0: {C0, 4d51b6570d180a25a42fa2611f24502b}
j0: {j0, ef8d7352377c84dae555b223f6b37cda}
me/wizos/loread: {me/wizos/loread, 32481c8be1f9db0279cfbc4c47c54a14}
l3: {l3, 78883bbccc1cd65d19a9593e4337f0b3}
B2: {B2, d9403be3980785d87630fa979b0008bb}
n3: {n3, 72e04e43cddcedc9d8a1fa1d19caf8ea}
com/github/monkeywie: {com/github/monkeywie, b70ec7f52772bc29f6c861a29827f564}
e: {e, 09f12252eb6606f7ef50639e7b402c0f}
d3: {d3, 0c0ee56c0389f33b3ccceae487d2f559}
l0: {l0, 3313f8a8aac8e2b9b10893349e70fcbb}
f3: {f3, e02437457fa8ce571522f4a13b6fcf2e}
L2: {L2, 41a8f313788a1847b335048723946841}
k2: {k2, f1a71fc83477b5e93a997bd0b8088bce}
m: {m, 3023503e7037fc2c88b956dee7350a9f}
A3: {A3, 59911efd2d17283dd1da45e520d4452f}
v1: {v1, f894d3673e7055436e3d0b4f3e9c0104}
y4: {y4, 46c719f1605d71509609be73cb325b38}
q0: {q0, d25fe3c7336364e6f0a78f947c14fac5}
f0: {f0, bb74d51315d22784c1305d14475c57e2}
L3: {L3, c1b88c60bdbe03cdb9b922779f0220cd}
w4: {w4, 20f4f0592c671c9b453ef46aaccb18fb}
androidx/profileinstaller: {androidx/profileinstaller, 1711cee7eedc9f958badd151b191b2a4}
I0: {I0, 49202085d465c7888e2e20e6604d1b59}
E: {E, ad38ebc68afd931ca431e7894de1940e}
D3: {D3, c8bc94786abfef6db293a65798b40077}
z2: {z2, f056d33d30beadf61513cdc15c23da07}
o4: {o4, d55814b0820f03386904f040f259240d}
m1: {m1, 05384c07daa6286981fcba9f834d4949}
M: {M, 30ad1098969129a2e75e9c6a7b7cf8ca}
x2: {x2, fbfda2c0d0440c2bc9acb3c7810f3a77}
v: {v, 2a6e954fb2498f63ec510d4be2f19708}
E3: {E3, 1e8847a47f48be5a7cbdd1c3d2f71a6c}
a2: {a2, 53f32d33132060e8bf69a1e42ec0f16e}
android/view: {android/view, de1c2b92945417ecd988923d07abfa41}
G: {G, 1e1f07f2dbb34578bc83857749c2071d}
G0: {G0, 04551ad6b3805be90ab3e601843be1b7}
w0: {w0, 08d45ba5d909ce4dd57f1faec87f1bb4}
u0: {u0, 9b769935db3f774052dc0b042a86cae9}
cc/shinichi/library: {cc/shinichi/library, 4473d52c150e2df16dc35cbb95afe982}
Q0: {Q0, bfad7891c58487a213e40c09c5fef829}
X0: {X0, b812270c9e2ec3eab2c59aa9bf2b53fd}
B3: {B3, e4d60e35e2d0023f993b36dcf36ac653}
i1: {i1, 9d5bab66e026e415fc74329958a3fea6}
f: {f, 99484fae98658dee9fbdd9dd3658f99f}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 02772dd176f6b8cb0ca59c0f01e7313a}
l4: {l4, 7e2c9192a143639c09bc24f2218cae5c}
com/drake/channel: {com/drake/channel, 4b0d0ae181f7a32568151077078fef80}
T1: {T1, e4bf9b9f270e6e9da8bc1d21a97f6076}
n: {n, 62cd5f93f2922b100387a8b8413aac77}
M3: {M3, b54d3a7b6f715e8e8a86d8b96ee59cdb}
androidx/viewpager2: {androidx/viewpager2, a31e984fb45614e33266ec18efde0aec}
d4: {d4, 9d6295c5461950f1c8fdb91d877dd410}
e2: {e2, 53892106bb6a109822cd838586195a5b}
C3: {C3, 5ed9f27ea180b97a4afa328b35e5b6f6}
A4: {A4, 89d428cc8ee10280289beaa2b4a5de91}
u: {u, a0598ab08cf3711de11465110ba726bb}
T: {T, 0f0a284f2759bd151b91746650ab7409}
N0: {N0, 0155e676b1334ea5d2356a9674be4ccd}
androidx/viewpager: {androidx/viewpager, 4a81664360b329cdcdf9dbf3284a1446}
y3: {y3, efb8ca58dfd05d5312123f9d8cd17a1f}
c4: {c4, 02011efeda87b36e180f43c2c4072c35}
F: {F, ee49661f77d6db8a9d583fdcf284cccb}
T0: {T0, 5e12f94cc3a30e5c4a4938344799a09f}
o: {o, fcde8361db7a09b9647b7df2df343287}
f1: {f1, 4d2a524b25946e508d60a3ff251b4754}
androidx/recyclerview: {androidx/recyclerview, 7fef0660c603550d643a2e7c3c6889ff}
z3: {z3, 386827d109b58130736ca5793f0e6f9a}
a1: {a1, bb8c0e9a7a9d594ea2930f8b3e9932f2}
N: {N, 75b7b59c3cb79460a0ca8b535fa474b8}
d: {d, 69ff9b4f42ce36eb3000acfa19b6e10b}
e4: {e4, 14d50bb99f3e2352e138fb989f27c0f8}
S1: {S1, a2af9cd64fcb80bac00637806b771483}
E2: {E2, 265a0d0293be5ca4851d5b201a53b7e1}
G2: {G2, 12f5b9259af3b15845fabd206349ceb1}
j1: {j1, cfba47b897602703cb4394c0f10d6f1e}
x3: {x3, d3c202a48d34ab5f5eca6d0a6ad549d0}
k4: {k4, 6369e2e484f0d9babc362602855d5281}
y: {y, 3ee546653b34cdcb5bdef677bd6876fd}
X1: {X1, 5e8b560a7c55ecd89aba315a975c642e}
G3: {G3, 5a26d5e400043b2c2552ca4daf826e41}
n1: {n1, 99035e25663329f1a59a7aff3e27d5a7}
coil/compose: {coil/compose, 15f948158122d415a63ccf3ef2000f5c}
androidx/navigation: {androidx/navigation, b0817d0cd49a02414a35ec3fb69dc3a0}
B0: {B0, 5700f5d811f2231c07447d9d89141f60}
i0: {i0, 88781d36e9dd9c6d0f294697bca399fd}
androidx/cardview: {androidx/cardview, 0f8f7c7a078d759b24b09d6263e42100}
M2: {M2, bfd3268163c634ad3f19ac482efd2619}
s1: {s1, 7df1f4067e45aabddd8206d667bd68ff}
s0: {s0, 0860149a92b76ca95279cd57f8b2989d}
u4: {u4, fbdf2e3072ee81a8b416d5700f75c5d3}
androidx/concurrent/futures: {androidx/concurrent/futures, ddcb433d6949bfb55e253addf68369a8}
Y1: {Y1, f83efbdd29b9bf9dc7d6e461d5f024ca}
r2: {r2, 694f3b401c83f44bd13a28dfe8de0e58}
e1: {e1, fe25e0d20c50e7f1bc7359fe5e56b3e1}
C2: {C2, cd2b27883fc1640fa85e465e1c022533}
U: {U, a2c0ff652201fe62a7ab15a15bccf181}
y2: {y2, bff94aeb056194004849cc98517652b7}
Z: {Z, fab5fa039534396fe6073276db5f91b4}
N1: {N1, 5f8d276f3749e52f4b6f214b278631b3}
androidx/drawerlayout: {androidx/drawerlayout, f376a323b1b26ac691ff86a020e78f81}
h: {h, e5123d98411133e785e325ee17f5ff79}
s3: {s3, eff7ed2116023803f667adc545894d5f}
x4: {x4, 71df390385791542b3e21ef850840808}
androidx/vectordrawable: {androidx/vectordrawable, e0f131a098e0ae1d6822bf38f2b29231}
p0: {p0, 7e29230c13a46d8aae48b4cc28817c18}
p: {p, 9d7e9df535ced13d54ab4da38babd315}
W1: {W1, ec10b3a4cb2a243a19ae9b0256e0a4fa}
S0: {S0, 906c3d9108aa7e2a29c1f1d2619b642c}
z0: {z0, 326b717aed00810d103a61f8f90688c1}
a0: {a0, 881b7664ee187929f525bb7775088ffb}
h0: {h0, 52dbc8b204088c7e54333b3c10481947}
R2: {R2, 6b13bcd7c841d15870b26b4c2da642a1}
g4: {g4, 56f86bff988029f1051067d8a104aa80}
E1: {E1, 0186639f0c682f0922fc9b728ddc7856}
androidx/activity: {androidx/activity, 60c2260cab52f0d481a21b05c7fc8c86}
B1: {B1, a35e709c279b07d4542cd794468f6d5a}
com/alibaba/sdk: {com/alibaba/sdk, 828c663c41d048e06a55963e5016b0c7}
androidx/autofill: {androidx/autofill, f375e34e522885c7bd7f5539403a98f3}
androidx/camera/view: {androidx/camera/view, 9fc77507cb8935b56c8b0316b9aada29}
A1: {A1, 286bebd50d1cb14d45c8b080effbcd62}
F0: {F0, cb25099b8b65c6c0cee4f2a78cc87665}
m0: {m0, 20d5060314c817c7c4192f26d7c25928}
t0: {t0, 0ad0665665439c1432722b6868331a6d}
v4: {v4, 4e4f7942f4f6464df96d9eb9c868dcca}
P0: {P0, 5d02a5f9dba14220aa339b485779310a}
e0: {e0, 67ebebcd2819294d0cf5e075335e6c0c}
Z2: {Z2, a5c82d3bf9db979000351080d8e167c0}
M1: {M1, fb6fcf82de1722e5de9facd5794c3a04}
H0: {H0, b04f4796d6e733880c4f53b3cd1b4cf7}
r3: {r3, acddb716d949415f911edb6b76ceb720}
X2: {X2, 1b31aafcce8e1d83ecea4826c4a43d88}
V: {V, d3f83e8f0add6e12f4486b5d39ce33f6}
A2: {A2, 438b0ef00fe06f9c5d194fa8059576a1}
androidx/compose/material: {androidx/compose/material, c27879931a6b53734a201c44acfe2640}
W: {W, 4abd744b0cdd96c24ff711d3b2caf4ef}
androidx/legacy/coreutils: {androidx/legacy/coreutils, f375e34e522885c7bd7f5539403a98f3}
V2: {V2, 5dd589ab99888b0e68d4dc511e2707d0}
M0: {M0, 71988cf2c1e8121814fc61f7ca13a96e}
i: {i, b6e7c788483765b56520fb45e97ecd5c}
p1: {p1, 7faace43390652e4515adc7fc49a1d4b}
T2: {T2, 09a67ec4b8377e8758b8bb63aee9e88c}
s2: {s2, 2fd7b521309f91f54998dd5425802b6f}
androidx/work: {androidx/work, f0dde561dc1838756f81a1aeb4732f7a}
W0: {W0, 7c2cb039e5308ddface8d69c165a10ab}
E0: {E0, 94c6f295b513a2e377f1328bea340e1d}
q: {q, 172bc226043f1dcf20a84349230539a9}
h1: {h1, 3d757de2afa5905ac1f133747af57dba}
n4: {n4, 5c24ccd143337d5eff2f0c0dde43144c}
c: {c, e54ae36b36e784d48139b9cc477a9d47}
R3: {R3, 952e0fef537ed31b5ba30f709b76ea7d}
y1: {y1, 63e9a24203adbac33c125da7a7dd6ea8}
org/bouncycastle/cert: {[org/bouncycastle/asn1, org/bouncycastle/cert, org/bouncycastle/operator, ], ac9c542684f271e7215c00369bbb793e}
o1: {o1, 9781134b4107da297d5d915a04918500}
K1: {K1, 1116cc6a88b8477e644e5986a3388333}
U3: {U3, 542dd9699021b2a489ba6c7d8f6e4a23}
com/forjrking/lubankt: {com/forjrking/lubankt, 4b0d0ae181f7a32568151077078fef80}
a: {a, 77d8e007d9676df431afbf975cd215f0}
m4: {m4, a1860505ced39427db76574d09d8dcac}
Y3: {Y3, 38edb9e8191e59daf5e5c6b15b76a057}
t1: {t1, 64bb76b8d7e6fa4b4aeb925db503caa0}
t4: {t4, 11e5ad65ae9e6ce6a609c722befc7699}
O: {O, 317eb26baa67f9f79cd6a9d233f20421}
F1: {F1, 5d1206a1125d14fa3474a5fe242863c0}
androidx/camera/camera2: {androidx/camera/camera2, bdac9b4f677c08acdea822064f2d0ab7}
Z3: {Z3, bd4012859278b35ac9f25a887e406429}
j4: {j4, 1ee5a077779356dd86e75f155df39b59}
w1: {w1, e21a681983057a85698d77f04fbd239f}
H1: {H1, 5f4209a8749f1966d3716c4eab5cbe8e}
C4: {C4, e4b98c248fb44f32680d9b71270edcff}
androidx/customview: {androidx/customview, f375e34e522885c7bd7f5539403a98f3}
e3: {e3, 44a3909f18ef967fcbc491b4cab1ac5c}
x: {x, d70f252485d4e191f7c16cf6e283e140}
r4: {r4, e620f1906d6148344ef885ff517c8c09}
O1: {O1, 4e8eb764f218693313f275395576b301}
androidx/camera/core: {androidx/camera/core, fe550549a8b6555a1d662575ba84b5f7}
r0: {r0, f838a25eb6cb70b4e1c935355fe089e3}
X3: {X3, 542dd9699021b2a489ba6c7d8f6e4a23}
w: {w, 1847e640e1300e2ca5d7cff2a7d9c3da}
