p2: {p2, 454f3c7a00343232e19ad59dc9450e50}
m1: {m1, 7807c7a732da7b1f99c9e8d1d0222187}
b4: {b4, eb363ac44f3dfc7970591ddd4b0f00d2}
x2: {x2, 80d53fbc94ce7f884f3f2810d1b7d5e4}
v: {v, f960293cd370804d1beb13ad041e0a71}
a2: {a2, f5d09c9a90a7bb9a6054c42eb8bf8687}
n0: {n0, 4650bcd9d535886d6cc27f6f5ab560fe}
u0: {u0, 953279b62bcb5479d4143084bae823ed}
i1: {i1, eb35fbef38318de5d7eba1f53c753881}
f: {f, 8bccb1076fa572cd70980e38b2ff8d5a}
l4: {l4, b3241445bc32ab18e185964e397aaa81}
n: {n, fd1deb68e8db1653e47a0f1d79ff721e}
com/google/j2objc: {com/google/j2objc, 1056eacb39a6319d47771042586b392f}
org/ocpsoft/prettytime: {org/ocpsoft/prettytime, 9b64ead6092ea01134094da1cf7f362c}
d4: {d4, 0cc18a376ba5393b51f3fce4fb8f7a66}
e2: {e2, b57d0a3e4e60bb066b4552c32a0cdbf8}
j1: {j1, 15956facd6c418a33f13d72aa71d32a3}
u: {u, aeb8d060b735e4e696a207196cd378dc}
y3: {y3, 76d15e807480cefc2940289aab9c5ae1}
c4: {c4, b9e7b78109e9a2e1f3bf8821d748b5c1}
s1: {s1, a772aed8a3a8cfdfd200d25d0655708a}
o: {o, 783e8fa6f2d37de4c20a593ba961ba18}
f1: {f1, 9a9c89249d5fcbc938b39d6c85488344}
z3: {z3, 01887959a6a05fc568d67ec08ca7d516}
a1: {a1, 0f8f7c7a078d759b24b09d6263e42100}
w: {w, 339baea1a7a7b2fafca4a367e4263792}
x3: {x3, 7516597e3daa2de5fdbf8bf0f230585f}
k4: {k4, ac25ec06a6488c3554dda1746716049e}
y: {y, 590d652e1af693ceafa1e1044fc333c1}
g: {g, 3d0adcd795f30e8dd7c4b04a5cde5e51}
n1: {n1, b72d921cff2b3a6dceb96d82f4aca9d8}
androidx/appcompat/widget: {androidx/appcompat/widget, 9c8294e5c8891c01e64fa86bfc38ecc3}
i0: {i0, 0b4d2aa2ef20cf3f05c0b8a7e2874f3a}
s0: {s0, e5cd227f325985edcf1fe373dece7303}
u4: {u4, e006a1e7e8bbc714b517c84aa417b533}
com/google/common: {com/google/common, 6a72631ca57912e630ebc0a21c3e1331}
r2: {r2, 2fa5d336c36b65bf13af73e7cc233c81}
e1: {e1, 0d436ce2ed0a65b15d81f15da4ef2c1f}
androidx/appcompat/app: {androidx/appcompat/app, 9166eab6ad37b1bf1e5f8739292e9dc8}
y2: {y2, 5b19622b3f3b7677b344d92b45bdf74a}
androidx/customview/view: {androidx/customview/view, 8fa4062437069a9c4f01fd9c914dd239}
h: {h, 07709f00a92260881c6307e5caad6dc6}
s3: {s3, 98f210ed19f3113035e30ec79291341e}
p0: {p0, 162f1234732027526375cb26c67ba228}
p: {p, b6878dfb1a72cc70bbe8981d924926d4}
z0: {z0, f53f1c35b9ac2b65595c91e4f4055294}
a0: {a0, dbd771c92ae79ff62a1f57ff4027b6dd}
h0: {h0, f9884d1861cfdced250e0cdacafdb13b}
g4: {g4, 0a2c9b0ac7c4d021978e91f41aa3a9b4}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, ff0ec8c3ff7608290507777c051cc3ef}
m0: {m0, 6b645bbaf48f21631a6270b5864d707f}
t0: {t0, ccac2f19b7fbe8dd98e677bc5c424b74}
e0: {e0, 33f3bcf4f2e169802f5560d0564b92f3}
r3: {r3, c89f7a2656ee1d0170f3951df5b1f454}
androidx/viewpager2/widget: {androidx/viewpager2/widget, 3d5d78b6295692c294c5e928dea42386}
androidx/core/content: {androidx/core/content, 80488068118293e3727795b9474ad114}
com/github/paolorotolo: {com/github/paolorotolo, 1e7439f7beeb388b5c17b6125478e357}
i: {i, eda057cae970b7b2d61f2b8bb72e5862}
p1: {p1, b3f5a5d228f9a77c83076267d61ed1af}
s2: {s2, 75e62711137080c731fe278573a9d848}
androidx/work: {androidx/work, 23a8dd59395bce046a5f1481bdc09cb2}
q: {q, c8c5fe83f40a5bb83a6de026d80acddc}
h1: {h1, b6cbf2fc47e412183abf95af301dda88}
n4: {n4, a719dc3e58c01315f5ef8d2adb1aa3e6}
y1: {y1, 4fc7356e3744755ab923614c5c4f5eb2}
o1: {o1, 9af0bf61434d5eb9cab5bef08c620dae}
a: {a, d1215cce3795d573c02f183b9b500457}
t1: {t1, 96d3dad1205faac8875b473727ec69c9}
androidx/versionedparcelable: {androidx/versionedparcelable, 532f854255d4fd660f60d13fa46d5df5}
j4: {j4, e3d126111c2fbe543472c963362d42fb}
w1: {w1, 5349e0f05954acd02c9d830a5f71cd94}
androidx/recyclerview/widget: {androidx/recyclerview/widget, 516f50c1d23b0db6f75ad29dfc45bf08}
x: {x, ac8f251b3dc36665ff0be56b053ed1da}
r0: {r0, 3f62d982eddab986d55a401919c3caa7}
androidx/drawerlayout/widget: {androidx/drawerlayout/widget, 95a8d91b653446144862fd60e63289c1}
