androidx/appcompat: {androidx/appcompat, deeaeadaa087785fd848a72a7b17d30b}
androidx/media: {androidx/media, 3bd539811c31aec46ba5d7c9b23fde14}
butterknife/internal: {butterknife/internal, b7d14ee7adb48e74f59e03f9c9b9fa01}
com/google/android: {com/google/android, eeb035ac2f427e409565c9436f86e7e3}
kotlin/jdk7: {kotlin/jdk7, b6d7522126e7bebe2607a343d967bb6c}
androidx/viewpager2: {androidx/viewpager2, df57d617c13fc20141608bf6e4528434}
androidx/documentfile: {androidx/documentfile, 40d9ee9b6be100fdd435620e6bd88193}
org/apache/commons: {org/apache/commons, 52ff7f3efbfa8e032e6776b18e31f070}
com/squareup/leakcanary: {com/squareup/leakcanary, cd64fa61669ad29fc6f8f81fb9e83123}
androidx/recyclerview: {androidx/recyclerview, c98d48ef80855f4d8e408f357f136b9b}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, be7b95b5e936d11ecd049cd3794356cb}
com/squareup/picasso: {com/squareup/picasso, d8a736c025faa0e552c7ba997d30a19c}
kotlin/jvm: {kotlin/jvm, 50c0d507af7df7ec7b0f2d822ce68966}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], 738c057570257a3c0b8a35ab4b8e1407}
kotlin/io: {kotlin/io, fedce3bdccf08f2850854e1efa2da40d}
androidx/loader: {androidx/loader, 9ce49e3c5325632dbc214354996d4145}
com/renard/ocr: {com/renard/ocr, cebc5dbfabdf2ca7d98723b48ca04316}
androidx/interpolator: {androidx/interpolator, 9520954530ce7215903ebf692e2215c5}
androidx/coordinatorlayout: {androidx/coordinatorlayout, aaa0a4967523d38072a3e647b19d424f}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 551ca1f042e7539449a9840c2184f4e5}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 8528ad3d434333164336d3f6f45bd5ec}
androidx/drawerlayout: {androidx/drawerlayout, 95657cc3208db16287281d89b7394dfe}
androidx/legacy/coreui: {androidx/legacy/coreui, f5649c67bb0f45aebcffe7a7a3f8e869}
androidx/viewpager: {androidx/viewpager, 5c6a428df6532f6761d17e9f5809e324}
uk/co/senab: {uk/co/senab, fd0e6c06d18457c068bfb02a194749ec}
androidx/exifinterface: {androidx/exifinterface, 407941a2e99ef8db1090ed27b950dbd5}
kotlinx/android/extensions: {kotlinx/android/extensions, e0c4bccf62cdda34295f188dd6e4e4cb}
androidx/arch/core: {androidx/arch/core, 4aedd1b836e501b0e82521ff6824fb7f}
kotlin/properties: {kotlin/properties, 6cf0597105a3243296f2642d40748732}
kotlin/system: {kotlin/system, df2009cf378fcc5b9c10e4c3622086b6}
androidx/legacy/content: {androidx/legacy/content, 6f17542208ee49d01c4f55a89a691e19}
com/googlecode/tesseract: {[com/googlecode/tesseract, com/googlecode/leptonica, ], a1b1e65b4db63108d57485e898cd5c98}
kotlin/collections: {kotlin/collections, 44d0c22a472e8aaffe80b7ada9acbead}
androidx/fragment: {androidx/fragment, 45a2c4ecee2fc93739df62e5ce45a5da}
kotlin/contracts: {kotlin/contracts, 9fd3b4e8fa5f4d904edc67b3ae889ff5}
butterknife: {butterknife, 37b30d4f56153374b5c4c2a38cad9043}
kotlin: {kotlin, f2247c8833a9a6115d378c8d99ff7376}
com/viewpagerindicator: {com/viewpagerindicator, d9ed8e0c18a4731912b6dec44d4682e4}
kotlin/coroutines: {kotlin/coroutines, 00444529d73d0ef30e236e0a0291c754}
kotlin/concurrent: {kotlin/concurrent, 42be1e0006526faee615dbc4e5d8f5ba}
com/shockwave/pdfium: {com/shockwave/pdfium, d8997fbe37b4a8b02ffcf011b3623d9d}
kotlin/comparisons: {kotlin/comparisons, 8948db891972d3c404a8c8d9b528ef21}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
okio: {okio, f4b8934e12fa4e160f64c8ebebbd630e}
kotlin/text: {kotlin/text, cee6d605a67c0f9dc75761ae691bbf60}
kotlin/time: {kotlin/time, 7442903bc8e598d232a26197a4bb0555}
androidx/print: {androidx/print, 60bf5c11bd96ef5e4ddd65374fd1cb0c}
com/bumptech/glide: {com/bumptech/glide, 2fb385a2a061dda9045238f41bb45515}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, 6d3cc3a04a20e35bf5094910537cfce2}
androidx/legacy/v4: {androidx/legacy/v4, f5649c67bb0f45aebcffe7a7a3f8e869}
kotlin/ranges: {kotlin/ranges, 88b29bea8ccab2d9668de736e9f5288b}
kotlinx/android/parcel: {kotlinx/android/parcel, 8dd422c7dd8b046709138bebf7749d79}
androidx/customview: {androidx/customview, 7d9913df13294a4bba97af3f27ef9dd3}
org/intellij/lang: {org/intellij/lang, 2dec1adfa53189f66a49f5ff580f2804}
