androidx/appcompat: {androidx/appcompat, 69b47a19ff51294d1be0fcebd3fb9661}
cyanogenmod/util: {cyanogenmod/util, bddb1b7e9d34d8e2bf1e420a7a176f3b}
androidx/loader: {androidx/loader, 9fb7affcdaa76b82a3f3a649b23d0c70}
c/a/a: {c/a/a, 431a8916c1c14c84c41b82858a23e935}
cyanogenmod/media: {cyanogenmod/media, a22bed6f5e073d23c03afac473510171}
c/b/a: {c/b/a, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 86614c670c27deb5b39a41180d0219c6}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, c4514a5acfef04a1272d808c465571b6}
b/f/a: {b/f/a, 4e2f8fdaa8dc2c56837403429e0cded4}
g/u: {g/u, a8a33973ce8725de2124e584473f45db}
androidx/drawerlayout: {androidx/drawerlayout, 273b398d93dfcc403040c724a1ddab6b}
androidx/viewpager: {androidx/viewpager, f99b74328fc7475762d28069b673963d}
e/a/a: {e/a/a, c6a776091c662ef5c178161a650ee05d}
com/bumptech/glide: {com/bumptech/glide, e4e74a0617bbe12bae4fc9b941e5cd5e}
com/gordonwong/materialsheetfab: {com/gordonwong/materialsheetfab, 967afc230df893022e2b77f3fbac6fa5}
b/c/a: {b/c/a, 67a5b5a52c1870cbba3e6de67f0206ab}
g: {g, d6a48866340455658cf9923a2dbe9d8a}
g/r: {g/r, 38f51cc419f278022f1cec5ec8c55061}
android/didikee/donate: {android/didikee/donate, 0d3390856001591b4c6fa8000f045f84}
g/z: {g/z, e26c7ae3c24e4be63c32935ed189bbd2}
com/jaredrummler/android: {com/jaredrummler/android, 844b4d2b0b8685b93a030e1d058ca204}
retrofit2: {retrofit2, ed0bb8db0966b3e9ced02ba0e1315d2e}
com/xw/repo: {com/xw/repo, 83038d88bbefdd5f60621d93ca22d9ad}
androidx/fragment: {androidx/fragment, b729fe0757b5a06e966b2506e2cbe63b}
g/s: {g/s, ba15916bc40f509a1e30bd5cabe4d5b4}
h/c: {h/c, 91daa637f784aaada912c081afa0e36e}
cyanogenmod/weather: {cyanogenmod/weather, ed108a65bca9ccf517fef6e29909de87}
com/github/rahatarmanahmed: {com/github/rahatarmanahmed, b298132a2f48155551314a60eeba583c}
c/d/a: {c/d/a, c4ccc5434b10f8b85a94ec1c713555b3}
androidx/legacy/coreutils: {androidx/legacy/coreutils, c675d54c5e9aa81075651fbe39cb0d83}
c/c/a: {[c/c/a, c/c/b, ], 83922b4be76c3259a02968cea721af9c}
okio: {okio, 55d033e1bba8f312e65d27ab5c7aeb67}
cyanogenmod/app: {cyanogenmod/app, 77d460b6fb03d4563f4c004fc889a22c}
androidx/work: {androidx/work, c361477aa8de3e229bfaa11e8aa906fa}
b/b: {b/b, 488e217885bc56b500bc461c5f7aa710}
io/codetail/animation: {io/codetail/animation, 3685ea83832ed582adab4ff32540b4fc}
retrofit2/converter/gson: {retrofit2/converter/gson, 28c4b6cc08a03802d23f564c7f4c6fdb}
c/b/b: {c/b/b, ed84b2f410b55e9d2167e226e1bed2b5}
cyanogenmod/weatherservice: {cyanogenmod/weatherservice, ed09f2fb6392dbbe1d9a73ec42177d1c}
androidx/hilt: {androidx/hilt, 3de8a166cfb9db693ca348252e8a38dc}
cyanogenmod/hardware: {cyanogenmod/hardware, 1673375344d44764ec1719ebae7763b9}
com/google/gson: {com/google/gson, 10e5b5fc4b64a71a598ce35584c6dec2}
g/x: {g/x, c0616bf0d47373da3afd2bd70a7db504}
androidx/customview: {androidx/customview, cabdb5619162fb1b215c7fad1aba77a8}
okhttp3/logging: {okhttp3/logging, d74807c19d6b9cc685aa4ade1c7680d8}
