androidx/appcompat: {androidx/appcompat, 3af891c714b1658c134b6694f946594f}
androidx/versionedparcelable: {androidx/versionedparcelable, 8833f412ea7b87f7d5e4bc823ca105a8}
okhttp3: {okhttp3, 4b88dbc4e86795b7751428191c94e7c8}
androidx/core: {androidx/core, 8c025fa20988b3f148c4ad5955309fee}
androidx/collection: {androidx/collection, b836eb21e622b91a0d6fbb1b9f285145}
androidx/transition: {androidx/transition, f4485da4d414ef624af617c577a0782a}
coil/request: {coil/request, 033124821b127f56eda1e9f2639e0629}
androidx/multidex: {androidx/multidex, 5081b314a91c7bf1b0a626ab0670eb54}
coil/bitmap: {coil/bitmap, 839f7b5bbfc85522716a944d2e9024b1}
androidx/browser/customtabs: {androidx/browser/customtabs, 4870401a31b8a2e36196c8a02b8bb445}
com/google/android: {com/google/android, 4c8c746fb75bdb6779f60e7944f1281e}
android/system: {android/system, c4e9eeb25e17c46354752ac4239a9772}
kotlin/jdk7: {kotlin/jdk7, bf78859827d5a086e77cdc38f114fafe}
android/app: {android/app, e079f4fb8febf5b63effbb6583d13a90}
coil/target: {coil/target, adede38f712846190da737f1fee7b14b}
androidx/viewpager2: {androidx/viewpager2, d72910991d3341cdba1b0735053630b1}
kotlinx/coroutines: {kotlinx/coroutines, 8fc87dad6ff6d2d489fd5f4011016188}
coil/network: {coil/network, a1133a037d41aea18f13a96bf8b0c645}
androidx/recyclerview: {androidx/recyclerview, d860ff5d2e35e8b1fbbb91b15089e1f8}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 326355f19faaf6d2bd701854f9e582ea}
kotlin/jvm: {kotlin/jvm, f9556b545f151c8312f5b8eb02a6e285}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], 423773f11f92be75f724da31dc7919ec}
coil/size: {coil/size, a0fa565f406ad636dc56b0babeb3a965}
kotlin/io: {kotlin/io, 65519a7e975b9f2a84767bf1710273b2}
androidx/profileinstaller: {androidx/profileinstaller, e3eba5c457c06d48f2c81f62495bda08}
androidx/coordinatorlayout: {androidx/coordinatorlayout, f2e0f424ee5d1d6ea8723b37852e5fee}
androidx/sqlite/util: {androidx/sqlite/util, 3d28342940cce4d8f48a3d5c90deded9}
coil/memory: {coil/memory, 8d916d3eacd270b3cbca951f4065b9df}
androidx/drawerlayout: {androidx/drawerlayout, 69ee94aba967e31de007deea1924bac6}
androidx/customview/view: {androidx/customview/view, c3b3beb9393315adfa34bad026d4a89d}
coil/decode: {coil/decode, 17263b8ccb529aa291ca15ae768dac83}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, c9adac8e05894bbb7933a98cb5a2659d}
androidx/arch/core: {androidx/arch/core, 88bce624f7d68c581dc6810c5d449a09}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 615f791be0ad17d6c7018d8e511c48f8}
com/joaomgcd/taskerpluginlibrary: {com/joaomgcd/taskerpluginlibrary, 65b351a9247f4d8fc4decf6cc3f642b0}
net/nurik/roman: {net/nurik/roman, 512105cbb0f07337363cf5d020a6363e}
okio/internal: {okio/internal, ad6ce7ce0fbb69e7d3f48559d7549d73}
androidx/concurrent/futures: {androidx/concurrent/futures, b4271001bffe4a22e8d2e5b6f0164541}
kotlin/collections: {kotlin/collections, 02997179d42c1c178fba555ce13926dd}
androidx/fragment: {androidx/fragment, 5b23ff0ba1612b1eddebb941a20a067c}
androidx/customview/widget: {androidx/customview/widget, 5535baa0579887cc61b44da39458086f}
kotlin: {kotlin, 843f566ef5d87daaf9325625d49da80d}
com/davemorrissey/labs: {com/davemorrissey/labs, 1083c2f835173d507d9881ced3342d76}
kotlin/coroutines: {kotlin/coroutines, 8477730acd74ebd73288f6feae7a7afe}
coil/transform: {coil/transform, e3c0a425ec2c47b67599a8ff5554c565}
androidx/interpolator/view: {androidx/interpolator/view, 561c23e33a4b5f7c33faf68878d12ac4}
okio: {okio, 190249871478f7446e432e3920baeddc}
androidx/paging: {androidx/paging, acecf6134163fcbfba70bfd0b4bdca10}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, 98e5cb2511438c6abffdd11e2008b141}
androidx/work: {androidx/work, add2dd3409af8292e94bdbb13bbc0106}
androidx/emoji2/text: {androidx/emoji2/text, 56c8a255947cb6351e9195a19fc97e26}
_COROUTINE: {_COROUTINE, 15f74a532dd698f4205bbc712e428a0e}
androidx/exifinterface/media: {androidx/exifinterface/media, 066efbd28cefbb953ee671261b978c6a}
kotlin/ranges: {kotlin/ranges, 263dc63b14bc14e2ffde17f73152a91d}
androidx/tracing: {androidx/tracing, 374de4f681a359c89397f5040835f60a}
coil/util: {coil/util, 990b0689e7ac01df4fc7e59f033f1ee9}
coil/transition: {coil/transition, e0c561cfbf8d12efda6cda5cd909cb4a}
