androidx/appcompat: {androidx/appcompat, 4af97eff358fa8858cf903e4bc68c692}
com/instacart/library: {com/instacart/library, 461a44eb97020f6a9554200d4a05b2dd}
com/car2go/maps: {com/car2go/maps, aa48e878b165c36ff604bdf41f586748}
com/github/clans: {com/github/clans, 192666b6926a6de360f515623dfc6f56}
org/osmdroid/views: {[org/osmdroid/api, org/osmdroid/tileprovider, org/osmdroid/views, ], ac9c542684f271e7215c00369bbb793e}
androidx/interpolator/view: {androidx/interpolator/view, 4e2f8fdaa8dc2c56837403429e0cded4}
okhttp3/internal/http2: {[okhttp3/internal/concurrent, okhttp3/internal/http2, ], 354b63b499ff3a4a2660605b44d27192}
com/amulyakhare/textdrawable: {com/amulyakhare/textdrawable, 9bb802a827796f8713642076886f6ed0}
com/crashlytics/android: {com/crashlytics/android, 7a382be090029f0317999fe9ff6ee72e}
org/bouncycastle/gpg: {[org/bouncycastle/gpg, org/bouncycastle/openpgp, org/bouncycastle/util, org/bouncycastle/bcpg, org/bouncycastle/jcajce, org/bouncycastle/i18n, org/bouncycastle/jce, org/bouncycastle/math, org/bouncycastle/crypto, org/bouncycastle/asn1, org/bouncycastle/x509, ], 02d195e19f979089e6b3ea8e61d30231}
androidx/arch/core: {androidx/arch/core, d5dc171f95146a475993a984077a7252}
androidx/paging: {androidx/paging, b9d4988eacd4a7a8efd15596e8684fe6}
org/kontalk: {org/kontalk, 8b7a81d1ceba12175c390bb8f3c5b8aa}
com/google/firebase: {[com/google/firebase, com/google/android, ], c394d30e18dcdadb0918a1ad6148b93b}
org/bouncycastle/cert: {[org/bouncycastle/util, org/bouncycastle/operator, org/bouncycastle/math, org/bouncycastle/crypto, org/bouncycastle/asn1, org/bouncycastle/cert, ], 03fdf037286499537befbe2b293f4464}
io/codetail/animation: {io/codetail/animation, bc27028137ef5036c4e49f40d08476f2}
javax/inject: {javax/inject, acf7ef943fdeb3cbfed8dd0d8f584731}
com/bumptech/glide: {com/bumptech/glide, fe02ed9800725c8c74db10fe9566fa1f}
kotlin/ranges: {kotlin/ranges, ba8041e07d892020c86c0422d8a17d05}
androidx/swiperefreshlayout/widget: {androidx/swiperefreshlayout/widget, b9d3fe6e7030450528db0aa52efe7656}
com/android/contacts: {com/android/contacts, 3302e6054209342e0254cadbe5507f57}
com/google/gson: {com/google/gson, ba12f5d0e65337a8f2095372f3189a30}
okio: {okio, 9cf4c06f759ea16e7b02d25eaa811a0b}
