androidx/appcompat: {androidx/appcompat, ec70c5f276df3a4cfa83d3f076ff2242}
butterknife/internal: {butterknife/internal, 7947df6c3f281ef69fc659e959f4ecd7}
com/mikepenz/iconics: {com/mikepenz/iconics, d6b7c76272fe7b5acc0f41356daaf143}
androidx/viewpager2: {androidx/viewpager2, df57d617c13fc20141608bf6e4528434}
androidx/documentfile: {androidx/documentfile, 9ac8d69c6cfce1a1dda4fe359af7e028}
com/appyvet/materialrangebar: {com/appyvet/materialrangebar, d21dd2336615c03f1535bdb9459e062a}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, be7b95b5e936d11ecd049cd3794356cb}
com/squareup/picasso: {com/squareup/picasso, 9cd64d468357950ad518764f7d3d1060}
kotlin/jvm: {kotlin/jvm, 99ed65922d761998d1d9b69d1ade2528}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], 020eb29b524d7ba672d9d48bc72db455}
org/jsoup/select: {[org/jsoup/nodes, org/jsoup/select, ], 020eb29b524d7ba672d9d48bc72db455}
kotlin/io: {kotlin/io, 758d8d5db0ee9bbf6e4dc4a3dc67eed3}
androidx/loader: {androidx/loader, f6bb39db62e193d8eb21badab0aad5ae}
androidx/interpolator: {androidx/interpolator, 9520954530ce7215903ebf692e2215c5}
androidx/coordinatorlayout: {androidx/coordinatorlayout, aaa0a4967523d38072a3e647b19d424f}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, fb0ceafabd72ec57ec4b1cc6f79c0e82}
com/facebook/stetho: {com/facebook/stetho, faa74872a2f8c6c5e61c2f08dc1b78fe}
okio: {okio, fdb675fecb8223e1f1b2a44c3ee7f903}
dagger/internal: {dagger/internal, 9c6c0b66d6c47154da14ad4cd741c190}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 8528ad3d434333164336d3f6f45bd5ec}
androidx/drawerlayout: {androidx/drawerlayout, 95657cc3208db16287281d89b7394dfe}
androidx/legacy/coreui: {androidx/legacy/coreui, f5649c67bb0f45aebcffe7a7a3f8e869}
androidx/viewpager: {androidx/viewpager, b1cdad61b6957c2eccbe6d86be2bcb56}
org/jetbrains/anko: {org/jetbrains/anko, 7f7e2682042ecffa9aad9620ba59376a}
kotlin/js: {kotlin/js, acf7ef943fdeb3cbfed8dd0d8f584731}
kotlinx/android/extensions: {kotlinx/android/extensions, 026278487f3856887a67875f34b7d524}
androidx/arch/core: {androidx/arch/core, 4aedd1b836e501b0e82521ff6824fb7f}
androidx/legacy/content: {androidx/legacy/content, 6f17542208ee49d01c4f55a89a691e19}
androidx/cardview: {androidx/cardview, 74ebf48089f5668f00fd35daf374fb0a}
kotlin/collections: {kotlin/collections, 6a66b174fb9b101cf73a1eadb0fc3ecf}
androidx/fragment: {androidx/fragment, d55b3e8442a7ed5ff181d50fd03f834f}
butterknife: {butterknife, 6340607b5a281c21f665e8fe4de48377}
kotlin: {kotlin, ed18108db00e11e355ddf7fbd3a04237}
androidx/recyclerview: {androidx/recyclerview, d3fefa90095e9e237aabb9a8b725a970}
com/github/amlcurran: {com/github/amlcurran, d78d219352e83f53b222ded74aa7dffb}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
okhttp3/logging: {okhttp3/logging, 950067e8d18c912f56159ccae06939c1}
com/google/firebase: {[com/google/firebase, com/google/android, com/google/protobuf, ], 88d3a606ae8b6c0ab5527e2788d26b79}
kotlin/text: {kotlin/text, d0f0931db20af869052711fec3e9dce1}
kotlin/time: {kotlin/time, 8bc6497320c699e532585444bf21be8e}
javax/inject: {javax/inject, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/print: {androidx/print, 60bf5c11bd96ef5e4ddd65374fd1cb0c}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, aeca9ef64094c91d87693ba1a80deaed}
androidx/legacy/v4: {androidx/legacy/v4, f5649c67bb0f45aebcffe7a7a3f8e869}
kotlin/ranges: {kotlin/ranges, c10d4ee32f680a093c2645d7ab1b3d37}
com/github/chrisbanes: {com/github/chrisbanes, a7f0e69f94037e4d371af7dde3125444}
com/google/gson: {com/google/gson, 8dd175675a23269098907311815de3a2}
androidx/customview: {androidx/customview, c981a8a57acf8fdf7e60f63a5e7504d9}
org/intellij/lang: {org/intellij/lang, 08fcc9fe620b2a07273a23f0194df8ee}
