A: {A, d6f3507dfaae539c742e95ddca53e6c9}
t5: {t5, 96ede5ff76113bc8f0deaa48de97f9c5}
l3: {l3, 9d1ba5dff7010aee78485024e89255cc}
u1: {u1, 2930b8146d828a475ea3ecf5812d72d8}
K4: {K4, fc5d9750400ac3c829633c0c5284d681}
b1: {b1, f315d84f3282b2999e0c7f9356b94eb3}
q0: {q0, b95fa07801c8d4d7b9160e7199f6255c}
f0: {f0, 16e8def54681112a2e4909958539ef3c}
L3: {L3, e4ac47b0d1127f801aaba66f17ad1192}
c5: {c5, f45ef969126ecc2f30a680b918adade4}
androidx/profileinstaller: {androidx/profileinstaller, d35111b024296f6a765b801a9b345d76}
v: {v, 02040a28263848c6a2c4f16804cfc1d8}
w0: {w0, 72b4ca717d57b25314bd8a40e022ade4}
X0: {X0, 91d64410a7786f2b4aaee6a3906ecbc8}
W4: {W4, 96fee55be9f669b865010b135c41d840}
M3: {M3, 6daa7b8fa1f8557911296a9ce84db975}
androidx/appcompat/app: {androidx/appcompat/app, 67f4616fd428177688124a540a2376fa}
A4: {A4, a33417972a0f9193d4c266291d64227b}
androidx/core/app: {androidx/core/app, c5f208bd1805df25b20a85c492c3ecac}
V4: {V4, af9ccae7609591f207f08c618b5cfae5}
z3: {z3, 2c94078f42b950d1a0f24cbe799418b6}
y: {y, 634463437dd5ea45082f50057a46ab50}
G3: {G3, 06ff3190244fb209260346dac32b0460}
androidx/core/util: {androidx/core/util, 81357807ba94369a36ef923a101b732a}
d5: {d5, 9e5b755c57dc1eb5716432a0a327a7dc}
cafe/adriel/voyager: {cafe/adriel/voyager, 2d7555958f61ad0c5a4d642a8982918c}
C2: {C2, abdbe887404d4ec6a520924f60d0ccb5}
y2: {y2, d310d75cdc57d2b652255cf5047547c6}
T1: {T1, 377a74daee52e5bc2a5b740d41b47125}
D5: {D5, 6a50f77704671a2f7e5b585d1d368a79}
a0: {a0, 9edcc38b4ff7dbfac6df6bfa18267f54}
E1: {E1, 7fea88297241f66fdb112745bfcbb97c}
B1: {B1, 06c487c13fb51063228dcfae76ede5f7}
F0: {F0, c99d2127c5b0b34c34dea5802a268a4d}
C5: {C5, b9896e0d9d1a7d6070e2800d70cc36d0}
H0: {H0, 4f6535b496f7d75506cced2a0e3ae628}
V: {V, 8f4226e9abc9c31fc8231d7c97409b72}
x5: {x5, 5f900d14da3ab6d46ec02b168246fd16}
s2: {s2, 0c5201b1af0505f196c413b185565030}
l0: {l0, f3e54bde402831f5a5af42f913f62183}
h1: {h1, 56eedef910049431bf140881f8c54a79}
androidx/emoji2/text: {androidx/emoji2/text, 543685907ae23d7d80f990f19f781dd3}
i5: {i5, 83410ffcd36b60448d20470b3330ce3e}
v5: {v5, 3760ae6e21623e0f3b128090df3486bf}
O: {O, c0058b21ee05721d4b55dae86b385228}
Z3: {Z3, ba3e6aca890b32e8631ed7fc78564d81}
androidx/recyclerview/widget: {androidx/recyclerview/widget, 2685198015bbe2255bc3a7179898de12}
u5: {u5, a635a02d8992178062e064494f5d7bab}
O1: {O1, 4c71d4e9ce3d0a408dc403d205f3b13d}
androidx/core/widget: {androidx/core/widget, e55044c9f880395cdcf792a71f4d781f}
c1: {c1, fd900577c6697e88fcfaf45168326af1}
W3: {W3, 090e6460c7d8b300c56f3aedea945015}
o0: {o0, 97d338d1311fceda49aaaafb02552a1f}
K0: {K0, 5b85729006d59884f02d7f7032892054}
b5: {b5, 8c01dcb104d7e62ed1dd680c380a4d63}
P2: {P2, ded9c0619e19e7f985a115b9863cdf07}
Y2: {Y2, 99d5f9afc1ac496d7b27301221f8fec7}
Q4: {Q4, 64ccfd823c3be7d45c6bfe42b1ff5491}
t2: {t2, cfd12611975764743c148d524cd06871}
r1: {r1, 210f0eaff2d1653636a281a0a59d465e}
A0: {A0, f7b7f9fa8590d19b97b4c0c200c8f398}
s5: {s5, a3b979a942ff283684d8a3e465f89a1b}
J3: {J3, 099af9a7bab9e1150b8c5346558e5e54}
k: {k, 95ebd2bde14f175164e64655e3660866}
androidx/core/os: {androidx/core/os, da929593ced3c0903d9309f0301e65af}
p3: {p3, 8fe0d48b7f93bfea05bdd7b9263e3280}
e5: {e5, 165b7d77fcddd3e60d35bde3dbf25d78}
b2: {b2, 335dbd750920ba36336238ef5e0228e2}
q3: {q3, 603d8de6120661c35a0d5109311115d4}
R1: {R1, bd6848c4d6ae8198aae3228ae0d4f520}
V0: {V0, 7639face1007ee15a5ad98323f4cebc4}
Y: {Y, 67d97b3e6908c33502c9c13e9070caae}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 7400d77885af8638db1fbac183d36748}
S2: {S2, 15863844f48b7500997235a27043341e}
f5: {f5, ba31791da82b6be1bbeca07c6b887268}
L0: {L0, 7f59727100e64c6b90b054dcd737fc9c}
androidx/loader/app: {androidx/loader/app, c9d3a57c9e0e6edc62934800afaba7f3}
androidx/room: {androidx/room, e1a4d4bd22f9f50abbab821e90b36c36}
w2: {w2, f0009527d6447ecdce1b382d4c447ed9}
U1: {U1, 44f832e2343cf0551bb90173e7d99629}
R: {R, a5a52336c4c7f16d3d8354dfd885959b}
F5: {F5, 0833a139b11e5dfac910e9718719dd41}
r: {r, 02736c6290dc6fcda905b69d4da324c1}
C1: {C1, 2ec84cdc76969ed38061539dc31e3fa6}
k3: {k3, f4ce10c6c0329c782fa2896c821d44ab}
p4: {p4, c22d2442ea51279853fb2af46cada34c}
I2: {I2, 2bd219c12253ca7875946e74d5c53155}
androidx/compose/material3: {androidx/compose/material3, d4380e191e6247ff3f2e1d5028038aab}
d2: {d2, 5e20d513ba6c8623a83d634c616cda09}
B5: {B5, 5c686621b56cd1553672848f034855fb}
x1: {x1, da0ab35b283c6f16d4ba9c4929004c18}
y5: {y5, e3c0a425ec2c47b67599a8ff5554c565}
m2: {m2, f0cfe00715d53f5d698860f0ff190fd8}
L: {L, 00eef9284867e4b19045350b1ef2bd4c}
android/app: {android/app, c4e9eeb25e17c46354752ac4239a9772}
D2: {D2, f13612d25b05baa3835a48a442b63e3e}
a3: {a3, 84457fb0b021642f77e45aa7400cd781}
K: {K, db425a2c6a417beeaf7957e4c3b0654b}
androidx/fragment/app: {androidx/fragment/app, 0c247941ed5b584f88b6b1a7a01a3360}
j0: {j0, f04550005dee95db1b297aa99a7c1675}
E5: {E5, 3a30e698f7fa453e7b42808abe56cca0}
B2: {B2, e56beb51d47c4e5d58c6cc8fc75ed691}
n3: {n3, 029fcb48df5875f6546d4c7344dcf3a4}
H5: {H5, f1385c10cbeb9974dcaded25597c0ce7}
v1: {v1, 55f81da19681f973797d360ca9428116}
N3: {N3, 655616d7cb53a66ca2985bed21e01e71}
r5: {r5, 1c5cd9ee386357ec55e5d87af81c4540}
E: {E, be07c2a09919b7ed2dc54c7f24cf087c}
o4: {o4, 7f87739b46d7749d17b160cc34352e42}
g2: {g2, 5ccd2aeb31c44761c125eadb61041414}
u0: {u0, 36e6591a659308d2417a8ed82339afd5}
Q0: {Q0, be8a1232ff86b541d65bf0458e04d236}
i1: {i1, e9fdf9ed5ffa7f52940b418e88eeb610}
l4: {l4, 9587c5a5a8ad6db5a17d2c327ebe66f4}
c4: {c4, ee3895cbebc15a537f62e13c2e8a3aa8}
f1: {f1, 1018f8cb5ea2ddc57afbff2ec85aa4fb}
L4: {L4, 9737392898132e381679795028256d79}
w: {w, 480b7a41bf5606b2438c13b132aebf5a}
S1: {S1, f6f1dcb4aa435e062b21b7c3ae23c72f}
X1: {X1, 94aacc8c23c74925140aaf4e45aecafa}
M2: {M2, b943d1b48e30b1818e4df5f37f3170b4}
r2: {r2, 9be148b00875a8f16052283121860cd9}
A3: {A3, fc6a0b9303cb2eeb7f10810ee2046978}
h: {h, 8b503df5d4ddf4929cdbac20ae8d0e79}
androidx/core/view: {androidx/core/view, e87457f80584e23c6ffcfd4234185ada}
p0: {p0, 415c94d08b00a7292210517de635fb35}
z0: {z0, 78a8344d1eedce3638b26469ed27ffa6}
R2: {R2, 3cef9c2ae3cb0fea37d2d8ae239d6055}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, 02d3c977ddc91af0d2911f0ccb1a4e0d}
e0: {e0, c974c74b997c31ea647bf080df785349}
T2: {T2, 509d578b81c9cfec05004cf88b0a95bf}
o: {o, 78b856addf2e7210d66011e307f02c82}
E0: {E0, 84d32af655c6430d8234be9357e7151a}
n4: {n4, 601c8976b1cf79ed929a7aa6d0cf85b4}
y1: {y1, 78533d04479ea9431133dc9f0a714abd}
a: {a, 51f90ecb57428cf3ff1fe66895a535e4}
C4: {C4, 25fe9e1d4ec75329eca5705b2f391395}
F1: {F1, 6f62977537d277432dc97e585a436151}
j4: {j4, 9acba74e52fe640bd5c541a8c083f9f1}
w1: {w1, ecb25af726cf6abcdf1d6085aad15feb}
H1: {H1, fdbefc641600c3cb7b292f5560ac4e13}
W: {W, 2c9c17a3082c7dfcaf87b9d87e5db3f9}
I5: {I5, ae8c04fb63798741a6ca694d002ad811}
