T3: {T3, c2fe2ffb8eaac92001fcd35c4f421ba4}
G1: {G1, 5cff9a554becb11b2b9ddf6ed9f96efe}
C0: {C0, 84ac253a8122ecfb681f53d41d11a89a}
j0: {j0, 89ebf37c4b64ce6c05d4dab74a5692e5}
l3: {l3, 3a83950275762cc885f890a779cf52d1}
B2: {B2, 160874c21aa1295bc7a9fa512eccc502}
n3: {n3, c7f54abe316697eb370617d7c2c801fb}
u1: {u1, 593a1918190e3f8029aa423327cd69b9}
e: {e, 9300edb0f77f14dc5403d8b8527608e8}
d3: {d3, 0a0edc64c34a7b8d0a1b7183a4f27a20}
l0: {l0, 7909c7b724e7e513998d2fe1b9c2257f}
f3: {f3, b4c65b197975086362ec8ff6a74cade6}
L2: {L2, 672ef100eec282d115c5c0f9d2ede6cf}
k2: {k2, fae9c8562cf972948d88cf937cc7bdd2}
m: {m, e31d80419f2a3fc5332fc2bf5526dda0}
A3: {A3, 3f2581745aace505b937dea3ba54478d}
z1: {z1, 46d0be06680936d761777c657e062f0f}
v1: {v1, 284c14e83f40d35e2a095991cbceb46d}
K4: {K4, 46c45b9bb23f0c54239aa9a52c128d30}
Z4: {Z4, 884255c6b25970e08f2c0b00da330be7}
y4: {y4, 08e8c1378bcdd1ef87ea38cb59f10033}
q0: {q0, 273c9245e1f7635fe93757171e0a8130}
f0: {f0, f2991a1d323bfbad26ab87dd91eed0d6}
L3: {L3, 3db207071175b5fff912345670934271}
c5: {c5, 6d08b6054dac6f103acf0fc9129a6b0b}
N3: {N3, a67af579c7145e0113afaa28dccb17d4}
androidx/profileinstaller: {androidx/profileinstaller, 59c9a7296a016ff89ae7a1252e42131c}
I0: {I0, 530a9048a32a63681c8c3eda54ffd160}
D3: {D3, f99321a194aaacb02dcd2b80b2ec7899}
z2: {z2, 6fd773a41bed631dbe1eda0b791fb6ba}
o4: {o4, feb26858d166d9c0eb168fcc1cc8c40a}
m1: {m1, b2e700cb74540dea2e9eda972f07d82c}
M: {M, 296e9a5ff8a2ee31cbe3c54ab3c233f8}
v: {v, 5f615a11ab5e4dfd70a9a1344d941d4e}
E3: {E3, 4e11007d7adba60225e00329df0f10c7}
a2: {a2, fdec7c141703560d86df48660ec7814f}
J1: {J1, c92dcfcb34f145433becd98f18692d98}
android/view: {android/view, e079f4fb8febf5b63effbb6583d13a90}
G: {G, f000624853e317e311f82e03f6398141}
G0: {G0, b5e9b642169246bc128964393a837654}
w0: {w0, cff756133c3a3a2290b6ea4c1809faf4}
u0: {u0, 0f809c935b49f0025df1bb242321e2c3}
k5: {k5, 4c8619281b3061fb2839d944217ab54b}
okhttp3/internal/publicsuffix: {okhttp3/internal/publicsuffix, 8727cc0b878533d497acf41ed586c1ba}
Q0: {Q0, b9ab2a6db4beedfa66533417c9be5898}
X0: {X0, 07593eb4d64a8860f9cda9ba81a0848b}
B3: {B3, 1b4a2da52107eb67e157aaadd05a6882}
i1: {i1, b7fb1ff3a468e26cb0859c9e15759338}
f: {f, 4c8a2a594058c6b021b0589be4ee2a26}
W4: {W4, 54f931b059419a891a444ed3b3446600}
I4: {I4, 03f90811b7aa50a5099a1999185bf861}
E4: {E4, 2a0ac60cf1de3166594334e2eefdef59}
l4: {l4, 6f86ef225c80c6290f9922b86e92ceb6}
T1: {T1, d875cf249999e8d9352fc855e7c731ef}
n: {n, 7e80f8eab61f004168025e2d3f848fe9}
M3: {M3, ce050880737dee7f80df6d73dbf471da}
O4: {O4, 841cd1d3726b8ede662f2e4c9ebedab5}
s1: {s1, c65a9bf9b5b2e3d358c4c60121aba871}
e2: {e2, 1df891f9cac51f77e2893ee431f1d8d7}
C3: {C3, d0357f42534890a1fe76b13b9105afee}
A4: {A4, 904da7b3b155573bf3dd06d9f8933aa2}
a3: {a3, f262c5b7d4ccb34dcfd839cd14a02750}
T: {T, 3a338033aecc931fc3cad8fb9b617155}
com/mrsep/musicrecognizer: {com/mrsep/musicrecognizer, 03e67d82aec6a0d744717f3728b59052}
N0: {N0, 423d1e5ef14c204a7718eadd90aca418}
j5: {j5, 4641436182199b345ef6d6c289ae60c6}
y3: {y3, 05879b8f759f743dfd12a0881cce8295}
F: {F, e16445172fb30d6e94c8ac669ef4b0cc}
T0: {T0, 6ec390cfbd5590a2b209f2d5b43fc483}
V4: {V4, aa93b34eea9140810e63681484bf87f5}
f1: {f1, 5ec86de8b7c91b584b67dfa42c5ba731}
L4: {L4, d7aa3a0998d21a4eff578d4f466e0256}
z3: {z3, 2124898f7a7c1f8d4308bac11c13bf68}
a1: {a1, 032437989f45274136d0bea93bf17286}
N: {N, a81634965a5d5879e71d1f41ec3c917d}
d: {d, 01dcbe23cee25adb1312044d4ee76204}
w: {w, 0ca582178c51350460c4dd38de043aa4}
S1: {S1, 325d3b506992671c349a6bf8cbef2f58}
E2: {E2, 19d17949cc17513527f745acdf3028c3}
G2: {G2, 563e04796f94f4f7b33a50bc41c86a07}
j1: {j1, bf3fc2d3ce0a4c6c4dfdea907026f39b}
x3: {x3, 355cc4a6320634a7e56ae4d93797b509}
g5: {g5, 4f6ac2c523c96026e97fc28080f14901}
k4: {k4, 30deec2aeb6b1a11c2ef854b28506341}
y: {y, 8235fc8d63664f1dcc3c314c3fa75bb8}
X1: {X1, c2475ab4010cf7323718be18efbfaccb}
G3: {G3, ae4c7141b69d08808c48952b8f13c039}
n1: {n1, db6f1bb39efb961532b3dbe23345772e}
coil/compose: {coil/compose, fee8899dcd1a43573070d371382edaff}
R4: {R4, b35347c9d89c446aac81c9c304a6df71}
l5: {l5, 6a7e39219817db921f788f57a1d81364}
B0: {B0, d17f47ae5c8a1ee29a9e054f2ded3a38}
i0: {i0, 9482659807cbb27726e5817041db2c81}
M2: {M2, 0f8690398deecd29d63118d79011b823}
t1: {t1, 8f3cb6920b17d61c9c9fdbd4c4212368}
L0: {L0, 591924934035ecc6e691375b5efba009}
s0: {s0, 1a83f9275e26d3d339b501a522ba258d}
u4: {u4, d9b60710f50923ddd27ba7b908341f42}
Y1: {Y1, 402d94fe25f8d33fe2d2811238b8ff9d}
r2: {r2, 9cc0939cc56c028d34aca143d1aac2a0}
androidx/core/app: {androidx/core/app, ce84b6a9787c9e0e8c1c6ba8fe27bc1c}
e1: {e1, dfeb8c23a20731e9fbcfbf28b235fe78}
C2: {C2, e284d7c27ea7892407c1512b628c551d}
U: {U, 005bc025ec66f23066e0e637e47beb4d}
y2: {y2, a6775e5e0847ceed78a43657f23776ee}
Z: {Z, 99bbf1474a3a2cf18548a5bb26380899}
N1: {N1, 5ff186135ce2fdc5503d0dcf36bcf4ed}
h: {h, 77c08db5ae4a402d2cb293b2d4a557e9}
s3: {s3, 71fb29e569a6bc488eb630469d97b576}
x4: {x4, 8f4cfc8cf458cff4a1d5d9d8ccfb4e4b}
p0: {p0, fb935c365af1132a7658108002b9af63}
p: {p, 82bcf12cae8623b8cf7040fb0abe3510}
J4: {J4, f94575cf448a2cdda809ebfe9699c5ab}
androidx/emoji2/text: {androidx/emoji2/text, 542dd9699021b2a489ba6c7d8f6e4a23}
W1: {W1, 486c9d8dd8e0a1ced8e9ebe85c263fea}
S0: {S0, 73d49490d335c65d268d8cae3ab67773}
z0: {z0, a9a81d476d4feb1501930e0235726013}
a0: {a0, f6ede83b6786b37bc2f18226d258221c}
h0: {h0, 814db2dd7c29b7be15a4ff1ea14b1b17}
S4: {S4, 3a1aba7487f73234305a622af6f3228e}
R2: {R2, fb8f4fb3f08299375a1722f1895136a7}
g4: {g4, 6c4f927d757c2cc07d9bc60181d872e5}
E1: {E1, b5a503ba3b4fd84709df5361568d6f29}
androidx/core/content: {androidx/core/content, e57a7cfb4563c475bd1a4c0d6b48bab1}
androidx/compose/material3: {androidx/compose/material3, f770e0af11c987ee68be48b5e84c901f}
Y4: {Y4, 2e4c70f8e33bbb8d641af2b167ca45d9}
D4: {D4, 3ddf06872a08366795dc84e8df8971a1}
A1: {A1, 7e11d26319bd11dc9951fb7f8984d069}
F0: {F0, 8389c842c3f9c24e2b5b83fd11119e27}
m0: {m0, c17617ff15d8b5aad00e7208527f061e}
t0: {t0, f923e9fb24fcc7f549480d12a06251a1}
v4: {v4, 74a7347d70985ff032953f438476e446}
P0: {P0, 8d734e4bd4cc77deaad31a7aee876b9f}
e0: {e0, 53decd31c7da600f6717a27150a97207}
M1: {M1, 6fdefa498c951a63bce07d28dbe48f62}
H0: {H0, 124774b99984357972407ebd9cb66ef5}
r3: {r3, b6a62dc7ff23d1bd1ab2da05cc2d7200}
X2: {X2, 8a42c72c10c52bdaccba09c525e4ad88}
V: {V, 30c80c708729f3d9af6d9cb6aa2b4282}
A2: {A2, a2c3b77c068c434ee38cc9b8a74015d7}
V2: {V2, 37140f282c0c7ffe2443815e3c001801}
com/google/protobuf: {com/google/protobuf, 0b91a4790a205f701ccb6a38c3066173}
d5: {d5, 169074a805839235be415de659217c94}
M0: {M0, 27f7151ce9820d1549caeecf4d5ded96}
i: {i, 1f033f6375c1618778f3146e77f08402}
p1: {p1, a5e6225180d1490086d94809b86e7f9c}
T2: {T2, 7aabff1a74a0e49d4d924c8a7a0a6a84}
s2: {s2, f1e56f19fda1fa6f55af0652dc689b58}
o: {o, 9dcf308bd52cafbbc88b4d1e1a0cfbfc}
W0: {W0, 8a5b131f7b22e70703778cd354df1819}
E0: {E0, cfbe6db6f48f534af5f289158d0b9832}
q: {q, 452e28035848bcad23f20105a62e1458}
h1: {h1, 72945cf125835e621fa96996707c160e}
n4: {n4, b58ac6c1eaa9f19fee922b61903e5e89}
c: {c, f940a586825a1bc007a341d82093fea3}
R3: {R3, 6cf6b2c610ce48621c915aff44225ecd}
y1: {y1, ad3abb4bba93a1d327b0dffb7f8f1503}
o1: {o1, 6f647f93c9271936a8fe83327a51bf23}
i5: {i5, eda27d5c93ef3b6a86ee85ffc08c3b14}
U4: {U4, 14d80c13f906b44dbd1d2f06307b244c}
K1: {K1, f6f82b724eed1366bc404ad9d0f7f3ee}
a: {a, 209293110e6fd16c1fb65471c60dff0b}
m4: {m4, 829dd68c5fc65021562bd8f1d25b5ea4}
Y3: {Y3, 4a519c776583478715dc0470aafd7c94}
C4: {C4, df1d20d8818ba3182ef4dd6d8d556008}
t4: {t4, d9b60710f50923ddd27ba7b908341f42}
P1: {P1, d9f31342d7e830a1d9caf71c63b67fc0}
O: {O, 0cd97dca9525c73cb3677d1e18f54fc3}
F1: {F1, 62e17e012151bd6ee930979cec7d6c3a}
Z3: {Z3, 09e9a63a3ac13cefa946dbf16bdb2c11}
j4: {j4, b630293657351cc8f9797c6be3985ee3}
w1: {w1, 4bb508ad7daf3485ca967a3b4833d44a}
H1: {H1, 90678ca910f434264265e585c1d13fb4}
W: {W, cc52ec5cd968491501bac91198ce70ad}
e3: {e3, 6619fc89864aa1230df9a40fc44c149e}
x: {x, 7a92281aeddf0d663c78d764bd973e3d}
r4: {r4, 2dc1a962104382b16749698a8a1bfdd2}
O1: {O1, 46cdb7bb89702a351673057dbcf5ddf4}
r0: {r0, 4b9ccbbf6ab20c7988b094e56ebe541e}
X3: {X3, bd23b879603835363ab72ec4c701cf78}
