androidx/appcompat: {androidx/appcompat, 043b1b12b95b317eab06e5dd08ddfe63}
androidx/lifecycle: {androidx/lifecycle, dc867c55ba02368f85ce0d6bdcfcd5c2}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 359d35646220e525dde5ce0f5407d17c}
androidx/navigation: {androidx/navigation, f416c1f9f70038893cb7d08e1262d147}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 446152dc2daea9c4605a9e3760c57b3a}
kotlin/reflect: {kotlin/reflect, 703cfda6f9111c0d733a8f809172175d}
retrofit2/converter/moshi: {retrofit2/converter/moshi, c1765ec869da73f0bbc96d149c790a75}
kotlin/text: {kotlin/text, 3ac81f3dcaf694d46fe1e471973b8119}
androidx/exifinterface/media: {androidx/exifinterface/media, 8c7232994207740741e7ac7b7c11c31e}
androidx/versionedparcelable: {androidx/versionedparcelable, b65ef951e712612481c023fd23636dcd}
okhttp3: {okhttp3, 0bed497ab31cf936f9c873374f064461}
androidx/core: {androidx/core, 5ea8ba6665611d3cbfad7810215f241a}
androidx/collection: {androidx/collection, f3e3ab2ce4acec1473d61346d9e85e09}
androidx/transition: {androidx/transition, 2d0094aaf7b525608fe95f76716a99c6}
coil/request: {coil/request, 0b56da69c8766c7f77971c804b0b86ee}
coil/key: {coil/key, a9dd6acb1ab346edf09cc5c30b46b8c1}
com/google/android: {com/google/android, c1811a43307f49c3d98b770a0329e03a}
android/app: {android/app, de1c2b92945417ecd988923d07abfa41}
coil/target: {coil/target, 8016b323d758e5ff8fb397b3d4d1b34f}
androidx/customview/view: {androidx/customview/view, 5ff62cf777028cdafa769cadbbee0236}
coil/network: {coil/network, a8f0f34086e93f4b22e87b4132390d62}
androidx/recyclerview: {androidx/recyclerview, 89cc22c8d539ffcf1e345b8eaf664461}
kotlin/comparisons: {kotlin/comparisons, 0b40342f3b21c40c204980eab4b0a2e4}
com/google/accompanist: {com/google/accompanist, 3a09c4e1e2043e59622e9762fa50f465}
kotlin/jvm: {kotlin/jvm, a7b1dc42422aeede6e6c4082f1724f39}
coil/size: {coil/size, a8d6a50b69b519d5f01cb23119896068}
kotlin/io: {kotlin/io, 141e20eaa5b45018e8cfb22fe4e97413}
androidx/profileinstaller: {androidx/profileinstaller, 6b11aace00e25a410742814f2ff31bf6}
androidx/compose/material3: {androidx/compose/material3, e3d38e0d6c00e8ded9d0515f3021eaf0}
kotlin/time: {kotlin/time, e31ac725dd9d53b8cc1ff78fd77da112}
com/afollestad/materialdialogs: {com/afollestad/materialdialogs, a45f1042f5485d61320e0d8da56a5560}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 3150dbb2fd8a525ac35dff3beff4e71f}
androidx/sqlite/util: {androidx/sqlite/util, ae36d459df95c9763d65f45fe1a5f732}
dagger/internal: {dagger/internal, d9456eccbe958df4ef18742a74a472ee}
coil/memory: {coil/memory, c2663edd25bd3541406bdc93bb3aa36e}
javax/inject: {javax/inject, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/compose/material: {androidx/compose/material, 7dbe39dffd9db19a2704bdc23e69942f}
com/squareup/moshi: {com/squareup/moshi, a2d5e45e110decb8eb6767a1bc823612}
coil/decode: {coil/decode, cce88f3bd9e78266d83d4bc8eb825af9}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, 40bc7967c3a0ebfc03866347d79eb7f9}
androidx/arch/core: {androidx/arch/core, 10872652fe442d8327f06276c00f3fa3}
kotlin/properties: {kotlin/properties, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 067f46472cf42adb96dac763fde550a3}
okhttp3/internal: {okhttp3/internal, b89f8e0b3b6a32d7368804d09ced5825}
dev/chrisbanes/snapper: {dev/chrisbanes/snapper, 1996a918099538dd974e70e1c452b9b6}
okio/internal: {okio/internal, fc4c865bdc034514d5bf0c19df2aff91}
retrofit2: {retrofit2, e5751f6b77137c2725f012f2f356d1fe}
kotlin/collections: {kotlin/collections, 33af30e378300bab02c9b7bd9bbda9a0}
androidx/fragment: {androidx/fragment, 0c49b1dfaba4912eff55b3de9827409d}
androidx/customview/widget: {androidx/customview/widget, 38d082b25c8350299492a9fcbe22158f}
kotlin: {kotlin, 612eaed6220c142e87b0e5d186c7ad12}
com/machiav3lli/backup: {com/machiav3lli/backup, b20b2477077a57e4f265e7d7342a060f}
kotlin/coroutines: {kotlin/coroutines, 3b25ed20ee1564dcdeac9c5e1c042f32}
kotlin/concurrent: {kotlin/concurrent, 0a0f0d55c14d295c5f8d044eef6d675b}
dagger/hilt: {dagger/hilt, 7806f117901cb97847d0bd2d080f54d9}
coil/transform: {coil/transform, e3c0a425ec2c47b67599a8ff5554c565}
androidx/compose/animation: {androidx/compose/animation, bed6d763d28a9f9030846a21d221502e}
androidx/interpolator/view: {androidx/interpolator/view, 5ecd05c851231d6c149245d383f9310e}
okhttp3/internal/http2: {[okhttp3/internal/concurrent, okhttp3/internal/http2, ], 70fea23c09c312d7391ce10a14747a7d}
com/fasterxml/jackson: {com/fasterxml/jackson, 4b2113d315178b21842d7c23b19e93eb}
okio: {okio, c6849fc4404a24e3172d44f708261ecb}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, ef510a0fe20210dfb7777eae16dac314}
androidx/work: {androidx/work, fda5fecb10f05944038cad151a3b4408}
androidx/emoji2/text: {androidx/emoji2/text, 5ebfc0901f8cd3e1dc50743d071077e1}
com/machiav3lli/fdroid: {com/machiav3lli/fdroid, 053fd93db64bc03b931143f6ad39d249}
coil/disk: {coil/disk, 7930aa1b4a01463f8ec1b8adf8144d4b}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, 94e087eea8516a83974d7e8c2bc5552f}
kotlin/ranges: {kotlin/ranges, 17cd589e1525e44e0c48a8b7e7323a1c}
androidx/tracing: {androidx/tracing, 54bce6862d5e5246086e18108e9ee067}
coil/util: {coil/util, 249f3d84a0b31206856db6bdab817867}
de/charlex/compose: {de/charlex/compose, 0f4ab1542c0e6787a17e53dd600eeae2}
coil/transition: {coil/transition, 2923c02987c6280cd10751df040d8df4}
