androidx/appcompat: {androidx/appcompat, 30d61a70564e8d3129856624fec4f628}
okhttp3/internal: {okhttp3/internal, 4b3dce6ae31f966eca492eb035946510}
com/codewaves/stickyheadergrid: {com/codewaves/stickyheadergrid, e05e27ffde37c2b941b4758c7797986f}
androidx/startup: {androidx/startup, 53d0e3d6f93384a3e10a3ad1f634fc94}
androidx/window: {androidx/window, 0a887f75e9f7da9425ea23ebb28a91aa}
androidx/annotation: {androidx/annotation, ed9f67e5ed6a73479f4a08cc73aa55f1}
com/annimon/stream: {com/annimon/stream, e3c6e7020fafd1f805e5cf6f8de1729f}
androidx/room: {androidx/room, 35a768509c214e7b72b072843ae42b92}
okhttp3/internal/http: {[okhttp3/internal/http, okhttp3/internal/connection, ], 09529e9054d212f3aa633931522db7e1}
androidx/sqlite/db: {androidx/sqlite/db, 2eba1aaf17c4136d3f77fd91a1ee2c8b}
androidx/lifecycle: {androidx/lifecycle, 1587440ca59da302e2c49bb5bf3ca4e6}
androidx/legacy/app: {androidx/legacy/app, 5ea93e7abba0e47a94b644db78ac15f0}
androidx/versionedparcelable: {androidx/versionedparcelable, d7eaf16e90ce43d20661c628df1d73f0}
okhttp3: {okhttp3, 07952cee1e680dc5a9234785178bf0b6}
androidx/core: {androidx/core, 48162e0abfbc24c400b481ad76b17c48}
androidx/collection: {androidx/collection, 65f2938ff95dab312e1bd56ed4854f31}
androidx/transition: {androidx/transition, f70971f9ffe12db4b06bb40fa35ecbb2}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, 226e227b8792b797c41a527f092e30bf}
androidx/cursoradapter: {androidx/cursoradapter, f70b0bfe455d900d7aa0350915fdc2be}
androidx/multidex: {androidx/multidex, 6c9caf201d9fa9a3ecf7aaa7ad7f4a7b}
com/fasterxml/jackson: {com/fasterxml/jackson, f4faf6c1e30557367dd25a78d4c39408}
androidx/legacy/v13: {androidx/legacy/v13, e0f7a4ed6dfc7d0e3cfaf295ba204dfb}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
org/aspectj/internal: {org/aspectj/internal, 24a7648902c6074fdbfc0f035947a423}
androidx/media: {androidx/media, a2cc46ece9f2612e50e333c23736f846}
androidx/legacy/preference: {androidx/legacy/preference, 017d0f5c5035124d9d8b60a587dff290}
org/intellij/lang: {org/intellij/lang, 08fcc9fe620b2a07273a23f0194df8ee}
android/system: {android/system, c4e9eeb25e17c46354752ac4239a9772}
com/b44t/messenger: {com/b44t/messenger, 2eed50b8ae9df2095bdbfcb0ff2cb7de}
android/app: {android/app, e079f4fb8febf5b63effbb6583d13a90}
androidx/sharetarget: {androidx/sharetarget, 5a382a6260be2d296df73a832b292bfc}
androidx/viewpager2: {androidx/viewpager2, 64756f10aaf8b9b098ef890b8774d7ec}
androidx/documentfile: {androidx/documentfile, 6d5598dc025e63a65febbc11bbd8be8c}
androidx/recyclerview: {androidx/recyclerview, bc46829c7a2205a69ef1018f22ff0d0f}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 6ee20484a4af57c02b29b029eaccb5eb}
com/coremedia/iso: {com/coremedia/iso, d1de5fd518605411aa1b965d238b53aa}
androidx/dynamicanimation: {androidx/dynamicanimation, 0557d226e6e3fa994221987cf9b5fbbc}
kotlin/jvm: {kotlin/jvm, f57c9c196cfb4bee6e1984e87fd22aeb}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], 577071c04ebc4fd1d74e5897b3c138cb}
kotlin/io: {kotlin/io, 97534a14cd0fbd985493419cc3a72241}
com/google/errorprone: {com/google/errorprone, 89af1c131d79367df63edd811898f6e8}
androidx/profileinstaller: {androidx/profileinstaller, ed9a0cbe7de2693b5909545396ead9ef}
androidx/loader: {androidx/loader, df455fe6ddf5f37fdf76ace19b1f2535}
androidx/interpolator: {androidx/interpolator, e32effd5aad27dabdd49bfe10025a181}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 1ede2468e8e188d266c37b0857ecae03}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 067ea71b0c7013a41b82dbf94e341435}
androidx/sqlite/util: {androidx/sqlite/util, dc36e5095094c262154e59fb03db07a2}
androidx/slidingpanelayout: {androidx/slidingpanelayout, a0c0eab020994223c5c93f8475103de5}
androidx/drawerlayout: {androidx/drawerlayout, 3eba39015723dd206647d4a7d4519df4}
org/aspectj/runtime: {[org/aspectj/runtime, org/aspectj/lang, ], 84c54544abd517298479a2f3485c5154}
androidx/legacy/coreui: {androidx/legacy/coreui, e0f7a4ed6dfc7d0e3cfaf295ba204dfb}
androidx/viewpager: {androidx/viewpager, e98b138d2e9e86d2237e332ffd357067}
androidx/exifinterface: {androidx/exifinterface, 73f09b47b1d7b3a6a5d8a8635345117c}
androidx/webkit: {androidx/webkit, f6b3e936874bb951b94244b1d540237a}
com/astuetz: {com/astuetz, 1f6c24405eec0a56fdab766026b63948}
androidx/arch/core: {androidx/arch/core, dd913f26cf55c642d5012e249ddf4eeb}
androidx/legacy/content: {androidx/legacy/content, 07faabcafda309b615198d4b582b9cb3}
androidx/concurrent/futures: {androidx/concurrent/futures, 3c772953e3b56a6236452c70b314a7e2}
kotlin/collections: {kotlin/collections, 685ec6dc8f90e92edd3ed68fef2da304}
androidx/fragment: {androidx/fragment, 7f2428b685c0f698b621fe228932e5b1}
androidx/inspection/work: {androidx/inspection/work, 542dd9699021b2a489ba6c7d8f6e4a23}
kotlin: {kotlin, ffc01dd27d140146d04246a8c7232e94}
com/davemorrissey/labs: {com/davemorrissey/labs, b799cb5bd46d90979b530c79c6d90409}
com/amulyakhare/textdrawable: {com/amulyakhare/textdrawable, 72f1533af5716640fc1d684c0d11bb9d}
androidx/legacy/coreutils: {androidx/legacy/coreutils, 73459e05781063da65dda8c716b44d0f}
androidx/legacy/view: {androidx/legacy/view, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/work: {androidx/work, 4d5133b79ced22d0467fdd4f6f8c387c}
kotlin/text: {kotlin/text, 895aa622759f1563f5a678e4d4ad366f}
kotlin/time: {kotlin/time, d379a2364bd9eb589f2367dfb366f23f}
com/googlecode/mp4parser: {com/googlecode/mp4parser, e3c0a425ec2c47b67599a8ff5554c565}
androidx/print: {androidx/print, ffe66a653fc1d3c5f7c50314d7f79bec}
com/bumptech/glide: {com/bumptech/glide, 28fa25f7851aefaad8ea0ebb9472b0fb}
androidx/legacy/v4: {androidx/legacy/v4, e0f7a4ed6dfc7d0e3cfaf295ba204dfb}
kotlin/ranges: {kotlin/ranges, b97d5b870d7bb64c5df68182b851ad7e}
androidx/tracing: {androidx/tracing, 0cfad3f3e57f431d86e335127fc1cf75}
com/google/gson: {com/google/gson, 8dd175675a23269098907311815de3a2}
androidx/customview: {androidx/customview, ce97e98e77ac330ebe990eca9dbb07bd}
okio: {okio, ab430c8a5608af4eb9f53ca49db73b3b}
