a6: {a6, 13ad7f8fc66718e6f3029a35fff2f6a0}
e4: {e4, 858d202879d7662b054ccdc93fccbd16}
m3: {m3, 61f2a1ca1e1d9abae8c8f81f7bf5c901}
i2: {i2, 58393bfc3e62b172feac8c71c67b7507}
androidx/lifecycle: {androidx/lifecycle, 04fc14f96826bb3aff285c712699aa6e}
c3: {c3, 1658462a501f1f926c649d3f662666dc}
a4: {a4, 89df24a9f263b85e9a22ec1b32bc311a}
h4: {h4, c316262c5117a87f83c67d30d46ad18a}
t: {t, 175e0afa418b2b86b976fef0be9b94f9}
j8: {j8, 2f10caf050542e61357d8270f7b71d6d}
j3: {j3, f03ba61529d22e0e27506b4c9f0532ad}
m4: {m4, 31370fc92ad1ae2c497458d8c3b7c329}
t4: {t4, d00722c80247d95ebd99cee17f89d51e}
u2: {u2, f863828b0f93f8e5a4b41c3da7b5494e}
s: {s, c388ba50fe18018f938da06853d43a2d}
c8: {c8, e8d99e9db02539bce42d46242934c328}
androidx/swiperefreshlayout/widget: {androidx/swiperefreshlayout/widget, 3bc0333f395065c342d7daa009ab009f}
h3: {h3, c2d8f75b28656c72537a642ac2b14efd}
n2: {n2, 338e0a75888446759e59c84046654e71}
kotlinx/serialization: {kotlinx/serialization, 00d8d03135819d2ea732d6c2912c1c3e}
k3: {k3, ca9b7753efe210eb75d5527daa4082cc}
p4: {p4, 3ebeb644a29199d6cf9a412f6fe89adb}
r7: {r7, 14355e0c81468c245b186d43e6fcb3e1}
y0: {y0, 031e474133401bb4d6d0f8b7587c2abe}
f2: {f2, 4fc6f2e9b79e7a6f098b6a36cb5bad77}
g8: {g8, 383a3dccae7b0be11f0bd479cd07f2c2}
v0: {v0, e922789f1c1cb56c359d4cf34edfb108}
d2: {d2, a8123ac51293eac6014bbcbb8e0054c5}
q1: {q1, e7828248ad3d94ef18511fccef6c6885}
x1: {x1, 5ff3ffa58c97c38f07513277f6272ca6}
g3: {g3, 1ece8f87d7ebdfebe14c50bf159795c9}
r4: {r4, b8842221d8d38fb4ef1d72fc68722539}
y5: {y5, 7be594a5810167b8f626f1e79f725aa3}
a7: {a7, 6addf394cb21ec0597b22a0201363c35}
b0: {b0, 1e49edac85983707233da5b65ce486a8}
m2: {m2, 48d854deac7bab3aecc2d8e8a0fadbcf}
s4: {s4, 1c679fb40a4779df5618ade5e50e96f6}
j9: {j9, b65a538a01659e2abcb2f6031eaf1fec}
b8: {b8, 6b1e1fbc9eddddf69ff69cf103dbb6c9}
o5: {o5, 36fdec9fd87e96e88512eb05bb5b43c2}
h5: {h5, 028c1e18e8f4add0d585aeeca699d3b0}
n8: {n8, 81566b20c443a93718defa4212c3ba95}
w5: {w5, 47f2ecc8ae3a9122c7bab6c5b79c3ab9}
c2: {c2, 1e6105798e418db19a8bde5760cdfd54}
a3: {a3, 78f8f578e5faba2d92544e9900201666}
z4: {z4, 2a3bf812ff5013c7f11fad3feaffbcea}
androidx/fragment/app: {androidx/fragment/app, d31cfffa1683def705a26100b25d781b}
j0: {j0, 67c3ef662877abba16af03fecdaad8d2}
l3: {l3, d56ed7148df21493e8e2e4b508de3a58}
n3: {n3, a08753ff9ebf57b60d59de1e214bb5f7}
u1: {u1, eee2b602559db587f3be7a7abb04fb18}
e: {e, 4821f967f07831e17dd5b345a0881eaa}
d3: {d3, 6ec2de5791ef95615f1de77c4139cbd9}
z6: {z6, d5799e01b9509ff95a22c67b3d9ac307}
f3: {f3, bcad55e1f7392d8c1d0cc6327ca3cf13}
k2: {k2, 8ae64dc5f3fd94d4d262a094589a63c1}
m: {m, fece5b89b4219e0e66be6721055f1b58}
e3: {e3, 8f76f4a3e3c467fd25a41e3f00b593f5}
kotlinx/coroutines/selects: {[kotlinx/coroutines/selects, kotlinx/coroutines/flow, ], 93633f88d4343c1018a3d56986e22db1}
v1: {v1, 59f709f0008b84e803d60a9799e6a40e}
kotlinx/coroutines/sync: {kotlinx/coroutines/sync, 319e9a1e6582465c4ad4e8e71b91ef3b}
s7: {s7, 4903242df34b1e17d1e2ade4f63a98a8}
y4: {y4, 70481df8b48ff12cfc03b1773c7f7387}
s6: {s6, 11c8e59186763182d616fd4b65ef495f}
f0: {f0, 187642a3a225183dd4108c2e1979cc22}
c5: {c5, fcfce6b46f15eb1690939b3db0e198b6}
w4: {w4, a1b150bd987d91ab13b53b8b845c5c95}
m9: {m9, f65d3efdf2281fa2531effe4b06f4ffb}
r5: {r5, 460d79965e3c39dd6b89daf86ccc6203}
org/tinylog: {org/tinylog, fe36d25cbd20bc5696a7543152509efb}
f8: {f8, fb8f4fb3f08299375a1722f1895136a7}
z2: {z2, 7d487f87620d195f7d42000eb1734ac1}
o4: {o4, ddb535cc802e3d8bb9b116d58ea2ed88}
m1: {m1, 66b0deeb1db87915530cfaccf9194f05}
b4: {b4, 5e10e7084f51675d48a88bea4735933f}
x2: {x2, 99c43e016e66ee028c7a454c64eade58}
v: {v, 8b4ea3e4cfac42fbd4534db39ba4f7f2}
a2: {a2, c02eab44ae13db91abe9ba13769e3e63}
h6: {h6, 5c3b4028e918ee020dc97d80d1b5ec85}
n9: {n9, dce7fc7a97f26d1c0940ba905a638478}
androidx/core/app: {androidx/core/app, dcddd0cd890c0b10698ae4a99ec1b10f}
n0: {n0, 79e9dd38e4c8feef99704628e62e5353}
u0: {u0, ac77be49e6b421b7ff18202f0c2b9e45}
k5: {k5, f354f1dfda0e0103534c4d8cac433021}
okhttp3/internal/publicsuffix: {okhttp3/internal/publicsuffix, 1f8eaa59129426340c5ba1073af8c869}
z5: {z5, c48d8c7faf9ad2422e085cf52be5d558}
i1: {i1, 6036ad476032dca3d9ce35aec414c3a3}
f: {f, 02879de0f9a21956d06c7e3efc70b7a9}
v6: {v6, e263df504163178377a0da806f45a352}
app/seeneva/reader: {app/seeneva/reader, 0628066c6cb7a1f8607d041c826cdeb3}
l4: {l4, 9733ff05851a327bea229915cd30f7f2}
s3: {s3, 06869dff4772b91d1278733fe0d6fb38}
i9: {i9, 938bd5bb8ffb3af8a06478dd45f72cb8}
n: {n, 184be641776e02a95770f74818057874}
p6: {p6, eab521f8b5afcdbe86bde1692bcb0a3e}
d4: {d4, fcfe10fe53ff9b33b6d9c81d53435bb1}
e2: {e2, 2520835d746d230d03052ae1284929f6}
t6: {t6, 2ccd71037821e8d80d13e0c6308f7a79}
j1: {j1, 0b02b07a0b33ee3017ec740e05c558c0}
u: {u, 8f834dd7d102f6578cdc5d97fd385fbb}
coil/memory: {coil/memory, 56a98a6f5ebc76f526e9b4d4daae703a}
q8: {q8, 6dd2027763af2f04f8bbab03b4e536e6}
w7: {w7, 8d08ca4948e50e31f21c5b312029e40a}
m8: {m8, 7fc2edc498df94ca4ca4a47f24feeac3}
e9: {e9, a67ac70b480d76e0cbe57b5e51cac697}
b6: {b6, 6d2115d8243ad3e46c8868cdf5b4be6d}
c4: {c4, 65a126dc6e0b9c90ad199c42a10c508f}
a9: {a9, 988be606acdc0ec6acc8570f29738c82}
p7: {p7, c246dee04a8ca81d2bb4a5fb54844fde}
s1: {s1, 6f38bd28cf2d9a6871134f62d38a7c9a}
o: {o, cb36eb857329466933aa51125133f97c}
f1: {f1, f9b91f402dfc66114816d79177ee329c}
z8: {z8, 0989eccc0ad482f1e1e1ca7ed03857cc}
z3: {z3, d5804ad3e9ac630c40cf7a3eb687c8b5}
a1: {a1, e3a762976a294a0ea55e6b7d4a91ece5}
h7: {h7, d52206726ec63ebc292d6eaf2d490911}
w: {w, 4cf492ad3858d0ce1766773cf889fa87}
f9: {f9, 5984cd641fa6d43be921452517f00e29}
i7: {i7, 9d4a19a2758b86f137da80fab2f77046}
s8: {s8, 1eed14a323df3b0edaa2aba451eea58d}
coil/target: {coil/target, 3a9e94e71ac7ea1c461a1208b2c36bc2}
x3: {x3, 623ad5843ca770867c7b14c90a80612f}
g5: {g5, e0438439eef2b3bee32a1aaa3c6e6b44}
k4: {k4, 7c7e71596379ac79315e4408a43fd53b}
n7: {n7, 4f6abbef0217a9704992843278777768}
d0: {d0, e93e42ddaa8c8775f401e28136dc72f7}
g: {g, 92b87a5d85c400dd90347ce5425b620d}
n1: {n1, 06425a6e500501ac8e465cc728e9a652}
u7: {u7, 2301b67a00f43920b69118482629991f}
v7: {v7, 1a7fce9cffe475894ed86dbe13da42c1}
b1: {b1, e9dd281fa8c887c92c89a2867cfb1d55}
l5: {l5, 04b7041da0437aee89cac28b0eecd51e}
i0: {i0, 61aa6e51894be76a368eb7f9ed370ec9}
q7: {q7, c7d75e27492f7581c5cbe1fa5844941e}
s0: {s0, c216d2818b4fe05cbd0464cff182f8a2}
b: {b, f7452dc365e57b1dd00b0f2b34e7be7b}
i8: {i8, ee2eab8de322da66fa9c9da450b71fdb}
r2: {r2, 117b8c115493c7f0d58b9fbe0fbe713a}
e1: {e1, 621b9d183cba5be462fb0f09005a9f8d}
t7: {t7, 53377210fcd65e81de4b203802dc8d99}
j6: {j6, d2f6bbbb374f4e81b5f121cce582fb93}
androidx/appcompat/app: {androidx/appcompat/app, 3f3ab22244848a0c2a85497200846a4a}
d7: {d7, f665006927231ecbe41db807729c288c}
b7: {b7, 41dff3e9ef60eee963ee7306c514b37b}
w6: {w6, 403db999cf014b4207cb76a1b854e7ef}
h: {h, 51879adbbb8d7744ce60264bd9562f89}
d6: {d6, bb82ae231ef48d8f886084c5924179db}
x4: {x4, 458900d1de9c52b62ac2579f2779b267}
c7: {c7, 3c12fc6b8f55fab0318e6b22ba73f244}
a8: {a8, f9823e5a92cea0c31e47ceb66f48f93a}
p0: {p0, ede0518bab0ef4e135ab10e95f85ac10}
p: {p, 1afc375e1065d6f5073ec9cbf7792e17}
z0: {z0, 7b6e3497377552b32159ca3b2fbbffa6}
a0: {a0, d52ad0ef867f9ab887e63943499fc8e7}
h0: {h0, 4939b0a2f90664e079b460423e140145}
i6: {i6, 1bc8a8dbc0544ca50a583550c0293501}
e8: {e8, dc06559040a9e58e7c641a26b1e94c0f}
x8: {x8, b5a6864127b0711760df1af9465847b5}
g4: {g4, 4ba11e2b8eefc9b46f428c026e236a21}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, c1039a95a39498da0accdd12981f09ff}
s5: {s5, cc9f1a4e0f48839ff18c911a2561ddab}
z7: {z7, 4c997edf721c4210e76887951d08b242}
u6: {u6, ec2e83891729ea7db87d9418581d113a}
k7: {k7, 7f3c30812e949f2c0a68deae7aa6b7f7}
p8: {p8, 3a23348fc2afb0dc96a440cda1a9483a}
o7: {o7, 5f792cf0d9f0e84ae41cdb22ff4415bf}
m0: {m0, 5d777a8f846d43396cd5611aad83a013}
t0: {t0, e5a558cec7dffd7bbe058d64d5e3bd95}
v4: {v4, cfbefe0496d06c993217867435555365}
q6: {q6, cbc9dde38f3c63027bb140094a235005}
o1: {o1, 9021cc75bc71a3f2ce591f1fac57b4b2}
e0: {e0, 65fe24cf30ccec1d47e284c40cfab9bc}
t8: {t8, acf7ef943fdeb3cbfed8dd0d8f584731}
com/davemorrissey/labs: {com/davemorrissey/labs, 9c6643a3e027df3f2bae13ad1334e152}
r3: {r3, b457522ed859ae791128ef7f4afec957}
androidx/viewpager2/widget: {androidx/viewpager2/widget, 94b73ce3d6edaca93757b760faf82efe}
f6: {f6, 388361f1c8a3257b2faafdd908d1cba6}
j7: {j7, 8198252bb1360f14c8287686a91c5aa9}
c6: {c6, 68deb9c051a794a2bfed293d1d917926}
b2: {b2, 062c387f992ec8707b27089899b47ea1}
y2: {y2, 1005238d65c455c920c7c82dbd996408}
r8: {r8, 90a05b3fd0dd9f0d99b6d79214035e60}
x5: {x5, e4d17d7315207aa27139b2d423827246}
d5: {d5, aba8df16b1903c90b84e5b6ab7e3d994}
g2: {g2, 3c1509ea945c6491ea9ba073ba40ecd8}
i: {i, d005acc5c0e514969c30bdd7b8123a82}
s2: {s2, d037e85c89ef04609258a17f5b643e59}
androidx/work: {androidx/work, 9b52fcbfde4e0d66a8833583239126c5}
g7: {g7, ec6c9f0713339a23ed622242c629e76a}
l0: {l0, 9cbbab600cef7a16b26189de3600b42f}
h1: {h1, 133d469f5f22f5f0e24fa705b2b93961}
n4: {n4, 3a483177805f75b7a9f8dceac668b701}
k9: {k9, e4409b86177b28c16f5946a2a73542e6}
y1: {y1, e313c15740a65d3ed36048284318254c}
y6: {y6, d5799e01b9509ff95a22c67b3d9ac307}
y3: {y3, e2bb0f6b79d2cdd17362e6e2be08015a}
i5: {i5, 1d2f279ee628d3fc0fb1fb05499e3be4}
kotlinx/coroutines/internal: {[kotlinx/coroutines/internal, kotlinx/coroutines/scheduling, ], fd80064cb8fb003cd1a24ff09c8dad0a}
v5: {v5, bb82ae231ef48d8f886084c5924179db}
a: {a, 4d0173fcd20c93cc4fa90d7bc59a2d7f}
l7: {l7, d8b2a26cb0634a73ef110011461f984d}
t1: {t1, f69ad332b341d3e5a5b0d959ae124586}
androidx/versionedparcelable: {androidx/versionedparcelable, 9d566c8bb72bf85d0f4cf8e4e857ebc9}
o6: {o6, acf7ef943fdeb3cbfed8dd0d8f584731}
m7: {m7, 192374f9448bb2ebe7c5975dad93a7b7}
j4: {j4, 0488efe04f450c9008cf06e22120316c}
w1: {w1, 62b6364468ece3e4f95161796cb8a21d}
coil/util: {coil/util, b6f6e410555b6b756c28761564917f62}
q5: {q5, 6f7989c0f95fda3c2544a16d03390ed1}
androidx/recyclerview/widget: {androidx/recyclerview/widget, 1decfe074d7469ded72a6298df21b63d}
x: {x, 93ce55a6d128176998cf83dddae48eb5}
u5: {u5, 30403fbb206f4e840e5123a94e065e7e}
k6: {k6, c01a73b3f0b507bca7c6ab048638abb3}
r0: {r0, 255019b09afc06fc3a7a08e04b6aa6ce}
h8: {h8, 73da6253bb82ef5ec750d7b5812c9331}
