androidx/appcompat: {androidx/appcompat, 9a219d73a2df7c41ddcf4602652c4e1a}
androidx/media: {androidx/media, f9d692d386bb5cfce2f7aeb9030fe5c0}
androidx/browser/customtabs: {androidx/browser/customtabs, d3faf326b62a37816f5690bd2f6a2405}
androidx/viewpager/widget: {androidx/viewpager/widget, 731a2cb8f322c362661eedc4fcb76485}
com/google/android: {com/google/android, 820df87173bc971bc97027df3e8d477a}
androidx/constraintlayout/compose: {androidx/constraintlayout/compose, 5c7fa519ed5f3df35b9ed3e958372b88}
android/app: {android/app, 92fd8b40d667db4db5b47ff01dca644f}
androidx/viewpager2: {androidx/viewpager2, a929ad79fff592f5bf5c31532ed0d832}
androidx/customview/view: {androidx/customview/view, ce01b9fa8a7207845c8e016aac347585}
android/support/customtabs: {android/support/customtabs, ffdf360305545092bb46a9b68065f892}
androidx/recyclerview: {androidx/recyclerview, fa73f94d7a14ce8f7cd2d02f01e35ea2}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 4223472056bc0b69fd7e0f261455da13}
com/google/accompanist: {com/google/accompanist, 5d0375a6bab47b6547db94fa0ae7ec93}
androidx/slidingpanelayout/widget: {androidx/slidingpanelayout/widget, f163925ddc34738bfdafe2aaf49354a8}
android/hardware/biometrics: {android/hardware/biometrics, e737f742c77b0c963917b72cbfdbc513}
kotlin/jvm: {kotlin/jvm, 90e9eb9f24bcd7ae8d3e5a84e10537a9}
kotlin/io: {kotlin/io, eaf94392cb079cb410d3dca0d47eaeb2}
androidx/compose/runtime: {androidx/compose/runtime, 6c8eecc49abb19a0b0a309227173d84b}
androidx/profileinstaller: {androidx/profileinstaller, 8a126b8a869afd2f5e213cfd9e360cca}
android/icu/util: {android/icu/util, a4da3e04e6e7d40a41d7257971e75fd0}
com/google/protobuf: {com/google/protobuf, 1547b9ce5e046cd992962ac07b372f4a}
org/mozilla/geckoview: {[org/mozilla/geckoview, org/mozilla/gecko, org/mozilla/thirdparty, ], 9c9b4763309496926f48142d71ad4068}
org/mozilla/appservices: {org/mozilla/appservices, 9b03c49890e640994350d66c8a4f1b17}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 3fca5a40ed5d178918bb72904ac1ec73}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 17621e4d58b3e5e9d3b9f4c40aef3e14}
mozilla/components/compose: {[mozilla/components/concept, mozilla/components/support, mozilla/components/browser, mozilla/components/compose, mozilla/components/ui, mozilla/components/lib, mozilla/components/feature, ], 4fb964b47a7e9ed270ef61dccc991236}
mozilla/telemetry/glean: {mozilla/telemetry/glean, c386b6fbe0667e09597f1fc0de4ff99d}
androidx/compose/material: {androidx/compose/material, b917b7ecfabc72e0951b86d1c37e49ac}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, adeb381d8cbbeef8e16109a3efc1f6db}
androidx/arch/core: {androidx/arch/core, b897e1a37128ade1b52f642f35d078ed}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 6c1dcec8eeaeda820d5babb98ee0ed52}
androidx/biometric: {androidx/biometric, 3b3e6b5164d665bc8b10cc81efccc5fc}
kotlin/collections: {kotlin/collections, 097494debcde0df906fb0575b96c6f4b}
androidx/fragment: {androidx/fragment, b1a6e999f34c1071b5561558912224d3}
androidx/customview/widget: {androidx/customview/widget, 87f9d51f8275f06b6179405635115d3d}
kotlin: {kotlin, 00c216cd444f3ca976068a8c87b71cc5}
android/provider: {android/provider, a4da3e04e6e7d40a41d7257971e75fd0}
kotlin/coroutines: {kotlin/coroutines, 018d2e77e3dc5adfb06903bc81a19362}
androidx/compose/animation: {androidx/compose/animation, 5255c11d2d2f33882e2644b51170967e}
kotlin/comparisons: {kotlin/comparisons, 975f0ab1ddcfeece7726a23e88843fe4}
androidx/interpolator/view: {androidx/interpolator/view, 010b9e2e89a1d2fc8afab58f02e4bd00}
mozilla/components/service: {[mozilla/components/service, mozilla/components/concept, mozilla/components/support, mozilla/components/browser, mozilla/components/ui, mozilla/components/lib, mozilla/components/feature, ], 5713a6f62b2994ad5621e63eb5aa789f}
com/sun/jna: {com/sun/jna, d4857c3574dc9880aa7796afd578c8bc}
androidx/work: {androidx/work, 0fde18d7329b684e076bdae15e1e3827}
android/text: {android/text, 597c4e912746e6c7df2a95f61057f95c}
android/widget: {android/widget, 539884bd641d502c43a04415d2f5163b}
android/security/identity: {android/security/identity, c4e9eeb25e17c46354752ac4239a9772}
com/android/installreferrer: {com/android/installreferrer, c59267a29c8c66b58827bb26978eb2a0}
org/mozilla/focus: {[org/mozilla/experiments, org/mozilla/telemetry, org/mozilla/focus, ], 2053aff41f775c5fb30838f13b11d512}
kotlin/ranges: {kotlin/ranges, 822cc3f02759dbf754c814c58112cea2}
androidx/tracing: {androidx/tracing, 0d731dae1e85748e320a95ffb0eb29b2}
android/hardware/fingerprint: {android/hardware/fingerprint, ca492b472cfef67d7f0f637f44b6015b}
androidx/drawerlayout/widget: {androidx/drawerlayout/widget, f6495ecea8a43a5aaa136ea2cd469b46}
