androidx/appcompat: {androidx/appcompat, f0f37adf6020d2ab5e942ac1c6f99140}
org/jsoup/select: {[org/jsoup/nodes, org/jsoup/select, ], 020eb29b524d7ba672d9d48bc72db455}
kotlin/io: {kotlin/io, d0cb87f9c9e734a0f4578b78a2ecf2a7}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 9aa686038cd1a54371d1e0991da4a3d8}
androidx/profileinstaller: {androidx/profileinstaller, 52f9743359cc537472ffe5930eda4775}
kotlin/time: {kotlin/time, 0d66459363bd070098d3dd513dd7b4c0}
androidx/coordinatorlayout: {androidx/coordinatorlayout, aa30138eb051908d7b0cf044e26422a3}
androidx/sqlite/util: {androidx/sqlite/util, ae9d98726a658a57ff6811e34e63fc0e}
dagger/internal: {dagger/internal, 2e41fdc04cac72b72717aa90cd02e996}
de/hdodenhof/circleimageview: {de/hdodenhof/circleimageview, f3b19a7d4d6328dde44b4b1552504157}
coil/memory: {coil/memory, ebc9e33e49f33754a4211a4f7de84d8f}
coil/decode: {coil/decode, 3dfb7a515db5ab0b75195141a6037263}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, c9adac8e05894bbb7933a98cb5a2659d}
androidx/arch/core: {androidx/arch/core, b5b905a5b9b8fc81713cad6dd10267d5}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, f661564172df17a419dcab2b362c547a}
androidx/concurrent/futures: {androidx/concurrent/futures, 2fac66b457b61ed440208d2dfe4d6dea}
com/migcomponents/migbase64: {com/migcomponents/migbase64, bf5934f1d877ef338d3f6f19c2d0a411}
androidx/fragment: {androidx/fragment, e6a5976ab98d393744e0638e20d7ab2d}
androidx/customview/widget: {androidx/customview/widget, eb7ea7f777e6b252716fe32bfed720ae}
kotlin: {kotlin, f3b414b71af9bb2cc5a5c43db200b185}
kotlin/coroutines: {kotlin/coroutines, f15a6efbc443d964245ce54ea873e126}
kotlin/concurrent: {kotlin/concurrent, c38d44b7ad0d2380d6651ef0e2e5291f}
dagger/hilt: {dagger/hilt, aa77e5430a0fc283fd9810b019b78cb4}
coil/transform: {coil/transform, 9d7612a8a282ed4e57a4342dae396ba5}
androidx/recyclerview: {androidx/recyclerview, 65a97ac7e7aaacf0be095544efe5bdb8}
kotlin/comparisons: {kotlin/comparisons, 27c52df43059337f9b790eaedb53fab8}
androidx/interpolator/view: {androidx/interpolator/view, 561c23e33a4b5f7c33faf68878d12ac4}
com/chuckerteam/chucker: {com/chuckerteam/chucker, 0080603f5e6f1f81458efa18aabebcad}
io/github/wulkanowy: {io/github/wulkanowy, c2cccaffbd2919d1b086f697b172bcac}
kotlinx/collections/immutable: {kotlinx/collections/immutable, 5b25574811db5a3ddabef53caf7a52df}
androidx/work: {androidx/work, 042b014d339928347d23039816260748}
androidx/emoji2/text: {androidx/emoji2/text, cdd435b99ab3a4ebcee32e1e95c13957}
_COROUTINE: {_COROUTINE, 15f74a532dd698f4205bbc712e428a0e}
androidx/exifinterface/media: {androidx/exifinterface/media, 79ae4bdb688b69aaeb8d7170d66b3833}
javax/inject: {javax/inject, acf7ef943fdeb3cbfed8dd0d8f584731}
coil/disk: {coil/disk, 2cffc0e27de49cb68269facaa0b58805}
kotlin/ranges: {kotlin/ranges, 15a968c74a54fff845acc5a4f35d4dcc}
androidx/tracing: {androidx/tracing, acff8b6406b400d7d9dd134708d5ae37}
coil/util: {coil/util, cecedcdd02bf38f1193c395556f06195}
