androidx/appcompat: {androidx/appcompat, c4ba349af496dea7a8ad7a11a2d09a0e}
androidx/work: {androidx/work, 4c765f6b21f01b14e329db06c9ad3707}
com/google/firebase: {[com/google/firebase, com/google/android, com/google/common, ], 4e5be2b6f82d3f4956e8955189bd0efb}
android/system: {android/system, c4e9eeb25e17c46354752ac4239a9772}
androidx/interpolator: {androidx/interpolator, e32effd5aad27dabdd49bfe10025a181}
android/app: {android/app, e079f4fb8febf5b63effbb6583d13a90}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 8d6348cc3a2f32ab6656d2ce5052cdb3}
kotlin/coroutines/jvm: {kotlin/coroutines/jvm, 8f460011ea59255f7b61d71fd382efdb}
androidx/privacysandbox/ads: {androidx/privacysandbox/ads, 9807eea4dff91bf34bb38af609030782}
kotlin/time: {kotlin/time, 1e322019fb90dbc090141bd0b0a73ffd}
_COROUTINE: {_COROUTINE, 969e426354e9bf7a21a6f4cc2ba3b6be}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
kotlin/ranges: {kotlin/ranges, 92fafb8948f2af96b5202a850d22e244}
androidx/viewpager2: {androidx/viewpager2, a0df9d7f5c42ccd682dc20700df88ea8}
androidx/legacy/content: {androidx/legacy/content, 07faabcafda309b615198d4b582b9cb3}
androidx/savedstate: {androidx/savedstate, 3d3bd8e33cd83b375f982a2298da6147}
androidx/documentfile: {androidx/documentfile, 8fd4c43e381f36b515f7735fd4d2735d}
androidx/print: {androidx/print, 0d1ed9dc19bb29ed9fc7d9a194131fd6}
com/bumptech/glide: {com/bumptech/glide, 8fada4687efbcce78631c80d07e39b5a}
android/support/customtabs: {android/support/customtabs, 2aac24614294b8e4cdf031c6380f877b}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 053a3de70eb46a0f345023100f6c53f8}
kotlin/sequences: {kotlin/sequences, 2d4d9fbeff7033252d936b6ea5a3af25}
kotlinx/coroutines: {kotlinx/coroutines, 82537e293f63a0e1765f4239acde2c36}
androidx/core: {androidx/core, 1e7688c2922ea316a4a32fcebba43fea}
androidx/startup: {androidx/startup, 53d0e3d6f93384a3e10a3ad1f634fc94}
androidx/browser: {androidx/browser, 9322cad730e5e850fa3e7e7a962db50d}
androidx/concurrent/futures: {androidx/concurrent/futures, 3c772953e3b56a6236452c70b314a7e2}
androidx/customview: {androidx/customview, 03e39375a9b3cea7fbee8294dca12f59}
androidx/annotation: {androidx/annotation, 89bbdc285a7755ef31c2bd010e40f482}
androidx/dynamicanimation: {androidx/dynamicanimation, 0557d226e6e3fa994221987cf9b5fbbc}
com/google/ads: {[com/google/android, com/google/ads, com/google/common, ], 07bc1fe499a364accd5f953e3ace3dc9}
kotlin/jvm: {kotlin/jvm, f57c9c196cfb4bee6e1984e87fd22aeb}
