a6: {a6, b1601f61de8a4e492d168691cb57a36a}
n3: {n3, 69fd10392270b82f282b4b57ea4b1836}
u1: {u1, f192a93de5af10a4062e53a61f0f16fc}
e: {e, 762c8f72c04005558f1f1faee2975c4b}
p5: {p5, 114e0891b6e7284b31fb249d0705bea0}
d3: {d3, d9753a92117475758631458bf917644b}
l0: {l0, 5cf2be065f87f8ed40bbaefcc40ebe1e}
f3: {f3, b60d854ac25066725e38d9b88a1a73fb}
k2: {k2, c6022e3c97741daf7198e85e38ba7100}
m: {m, 0f946cb02d99c08974c7e626174b995c}
e3: {e3, b6be5739a8c206ec6834da6d519e3c89}
v1: {v1, e802a0af002055602061cf128d3b7481}
kotlinx/coroutines/sync: {kotlinx/coroutines/sync, 0ed3bf8ccddbc447581ad57de00d48d8}
y4: {y4, 0f286109a69b4307472304d5aa400f90}
q0: {q0, 78b1d5fdb843413b88ec0f5a4628f489}
f0: {f0, 71cc4c28c2721f2f7004d5a427bc763a}
c5: {c5, a16b75be5e130359919e4010d8fae63a}
w4: {w4, 767a00d676b951234c22f6a66fb46b71}
androidx/profileinstaller: {androidx/profileinstaller, 16c7d0a115b3b55814a9db961a3b043c}
r5: {r5, b065880f261319de920042655599c69e}
f8: {f8, fcbf7e0d70fa8d7a569ff2744e9830be}
z2: {z2, 5b0cf7c97faf1a7f875de952ba1c83ba}
o4: {o4, 53e29349e84601a5c82154c0f43d2103}
m1: {m1, 0accdfa77b7d71b05f7356986f4b6efb}
b4: {b4, a9dd6acb1ab346edf09cc5c30b46b8c1}
x2: {x2, 3902501e5236df1a78d83254e9c0878c}
g2: {g2, 4644d2937da7fce892c688a22dd7a4ac}
a2: {a2, ff0bb7807e0ecf7f4717185725dbb1a6}
h6: {h6, 84f8bb043a26a313d831739f0d056d90}
androidx/core/app: {androidx/core/app, 61402b2353f6069ce0ff25a4f4f3e65e}
n0: {n0, af20bd3d78ef71a7d7e9963b977a1b53}
u0: {u0, d10fd16c1461c411933ea45aa75a12bd}
k5: {k5, 5da744743d62f542a215e95459094b59}
okhttp3/internal/publicsuffix: {okhttp3/internal/publicsuffix, 2e3c556157ddd397063235ed8182308f}
z5: {z5, ba7f0ddd896ac6b39ea0d7462b9f04a9}
i1: {i1, 8bd16a418084d7916fd73c9d2228b8ba}
f: {f, 03003da42629eb753849a9f0b4aa0586}
v6: {v6, 928941a6fae96571e0ebbcd0baa8f9b7}
l4: {l4, 72c229146f6de13f059381288b7ee3db}
y6: {y6, 817d1b91c7c983c8790821269ba9efb3}
n: {n, f909e8dedbd364e6f13d79066270a91c}
p6: {p6, 045b976f929147783c21d8cf1d734cb8}
d4: {d4, 8053cfa00390f6539fe12d7b40410e98}
e2: {e2, 793ac08618aeb1d5c2d8071d56cceeac}
t6: {t6, 79ce8f8d2400255275b98086c766adfa}
u: {u, aca9fe7e443f813223bf43d1539300a6}
w7: {w7, fe7d298a844c419e4b382694445da06d}
kotlinx/coroutines/flow: {kotlinx/coroutines/flow, 64098e771894d5ae19aa36b0432157bd}
y3: {y3, d3c6482b4f5f23d25fcae7a7afd41b0f}
c4: {c4, 9619840c27e637da1796b93a1d59b9fb}
s6: {s6, 4834c543043b5650c81d326f3307a26f}
p7: {p7, a475fd3420f81c57b779c6738c1d5e1d}
s1: {s1, 9e92f70f814a12c71e31baac86ab313d}
o: {o, 9a1031976b852f58d241bf0cb77f2aef}
f1: {f1, 6df9e68d9d2dca901d904476236e7b1c}
z3: {z3, 2891655877633ea2febfa83237c3211c}
a1: {a1, c465c7046744456702234ad1f9b4970e}
h7: {h7, 3247c7440eaf439a5acce0e169384f42}
n6: {n6, 481648ffaa634453363798067c7b191a}
w: {w, 705e23236e45be84d999daa16f6854b6}
i7: {i7, 7d973c708ec2431c723816c307008ec7}
coil/target: {coil/target, 7f1a182ecfda8f05aee1364b95e507ed}
x3: {x3, 6ed0b8834fe3636962abb08424632d6a}
g5: {g5, d4735cef6d20edd8dbd5a292e2cd46e4}
p: {p, e2223921272a4705297ee318d997791e}
d0: {d0, ddec35ace7ebcd51484127d561726a7e}
g: {g, 242e3a6318ccd38ea188ec386859e129}
n1: {n1, b5d67f62e90200245602a882627feea7}
u7: {u7, b7cc18b11911587231d57e8e473a716d}
v7: {v7, 2953d2f47ec14995a4b691603c85a4e3}
b1: {b1, ef68c24dffa01f00c0401f7a45983111}
l5: {l5, f40fe300518a728e4bc93568ef129c5f}
i0: {i0, 881aca092f19479e2e92f190b439b828}
org/koin/androidx: {org/koin/androidx, 5ba81e4cf8da7a9ec4c6039fd53fb29b}
q7: {q7, 3c42d846d168cfed28719dc01041d070}
s0: {s0, e097f5aa645226e8939b2e2bf8d3ed04}
u4: {u4, 1f940a389b4ca283607eca6315349872}
i8: {i8, 43de1392c4fba336b03106946cab883b}
v: {v, c0df448cf83a1384cfbb01cd617c57e6}
r2: {r2, 293b51e4f66fc4037ea0e902007f1b0c}
e1: {e1, 71397987a7c9da125db993b8b5bf8c49}
t7: {t7, 328c20868fda58579ec663a14ba69353}
j6: {j6, 8086138030b63889d8c914926d6c6a46}
androidx/appcompat/app: {androidx/appcompat/app, 032206a4a6147504f1be2203dd3c9fcc}
d7: {d7, 75abb10217f17b173751ad42ac413ad2}
b7: {b7, a32cf911c4cfb4223fabcd22cf8e7df3}
w6: {w6, f923a8c4b0ffc27cde16d5150a558c3c}
h: {h, 0f0e675630835e7ece06c0870d4ea35d}
s3: {s3, 7add54a49109cd6d25b4ebf8b7a130ac}
com/farmerbb/notepad: {com/farmerbb/notepad, c9491524bf1b36a63a916dd0432ce4b9}
x4: {x4, 1d8efa94bd526caf600fa778de79f8ed}
c7: {c7, a1f95045f8912931e74325bfd43329f4}
a8: {a8, f05a9a27235a8537daa8284ccca6dd31}
p0: {p0, f9df74499075d90dd83ef9070d44e809}
n7: {n7, 36ce5ef47bcd7c19ca140c9b6b610e61}
androidx/emoji2/text: {androidx/emoji2/text, 82d2c8f2d9a3033bddf0138ed697c229}
z0: {z0, 10bc8751537483f9dfe6ddee91ce0909}
a0: {a0, a5d422ea7fbd60460fc86b629049ce5c}
h0: {h0, 4c02cb2ace68be5f253d57196f4b1d47}
i6: {i6, f9658b3afd5bc8a8db21168d75f7f4ce}
g4: {g4, db836f765160c281073c0b1a488c7a44}
s5: {s5, 5cf113dcdded8e2845c1f9522ec05ea1}
z7: {z7, 354f0f536101e749f116cabb631a0064}
u6: {u6, 7e8f2e35b90da9b25bf7defa659b92ac}
k7: {k7, 4fec8ed560b5bdcabc43ffa64f86b5c5}
o7: {o7, b5c577633a6babbc1711ca79103a2dd0}
m0: {m0, 59767e47270ba49840ab2cac1231b653}
b6: {b6, 3429ed92bc298e5e126994dae4e40aa0}
v4: {v4, d4e0339211f0196df7028a71c7bcb0d6}
q6: {q6, e3c0a425ec2c47b67599a8ff5554c565}
e0: {e0, 4524e0ed2c33757a9cb15c2953f3ce12}
f6: {f6, 8ca0c7b9e2501c237ee561508f8343a3}
j7: {j7, 85540392001897d9f187282885a33b98}
c6: {c6, e5c1f6746990ce2f22342a6a8c7dafb9}
b2: {b2, e4134af87689ef53bc3a1de844aa775a}
y2: {y2, 62bd9a34d66265f70ec5f664a1deeaca}
x5: {x5, b129e936e1100d41c9d08264acbda519}
d5: {d5, 35cfb798f5c7fe94ff42283ae477dbcc}
i: {i, 4d81d078961a0884737c35f025916df9}
p1: {p1, 898ec656f35eba6a4b216992527acf59}
s2: {s2, 4c1654e7a4a06a72714afbed05be5c46}
g7: {g7, 646c8f3902cfde991fa121d8dfc4dadc}
q: {q, fe61ab42e61bd0eff3ecf070891e808a}
h1: {h1, 52885748bc38dfc833e2b161a9706f46}
n4: {n4, 560cc092971afbb638f84f76790b4c13}
y1: {y1, d00712947eb671d2e204791fed99364f}
o1: {o1, 94383281a4c4383d24bb53bfa4cf171f}
t0: {t0, a3a51e663d425394d932f1aeefb5f048}
kotlinx/coroutines/internal: {[kotlinx/coroutines/internal, kotlinx/coroutines/scheduling, ], 33e1a5ebb442591931dc0b576f85c9a1}
v5: {v5, 9b09cde060ab89b9bed5282cef1504bd}
a: {a, 8eae9a377b15956b697e8783c348b7fe}
t1: {t1, b8f8851940e294498e94dca6ab3216d1}
androidx/versionedparcelable: {androidx/versionedparcelable, 7423de47c594ab7a1d4c098726e007f9}
o6: {o6, d52206726ec63ebc292d6eaf2d490911}
m7: {m7, 6cb757848a09d5e82a45e31c5b7cb518}
j4: {j4, 62180aba258af83e3adac5e87161e80e}
w1: {w1, 271431f1b4bfacf6af67102891902d4c}
coil/util: {coil/util, 367fb73ac30881dea76e6500d2b3513d}
q5: {q5, e3c0a425ec2c47b67599a8ff5554c565}
androidx/recyclerview/widget: {androidx/recyclerview/widget, 4845a7be4f416b69f41fcf13c0176652}
e7: {e7, efe5d1ff701707d874fd547280622dab}
x: {x, bbf1aa84b55aecb6690a5fa321254ac5}
u5: {u5, bd961df9522ed0248931ea445a9d5252}
k6: {k6, d9f934732598a75538f87964af1eb1ea}
r0: {r0, 31bad0f966b2936e886058780c60ee9e}
coil/request: {coil/request, 7478d7c078caf0ef1ce7898b4b65c4d0}
h8: {h8, 858463b999deb120c7f048b7898d4c61}
