p2: {p2, f1c25f2fbd1ba245d94a4f9bb7ba5058}
o2: {o2, bfdbe5f2021576848de3580bef13d6be}
i2: {i2, e2a7d555068288b8152233141485f625}
S2: {S2, 258a5a301c1ebf9500de185518d47cf8}
Z: {Z, b757c3916e555d5b002978b403d6a519}
D1: {D1, ceb9b3c21d594a473dca06581e100ee7}
C: {C, d9d30a295b16a6d3e02cbd3c99f532c5}
t: {t, f56ac0060be207654822e896dd17f9d4}
g2: {g2, ef22462c8effff36707fdaf3b6347de0}
V1: {V1, 07a819b53bba266f35e290ce40b5ad4d}
j3: {j3, d5568758dddfcead327169e4ad1d53ca}
J: {J, 16deb73211ec1278383889e8b2402595}
C1: {C1, 8cc32cc10d62ad42fb759a966ce25e37}
u2: {u2, acdf7fa3477846b892e1f71c378cc340}
s: {s, b820b3a709282134b086c966543fca7d}
W2: {W2, 3543c52eb7be2d992cea98a62bd4cf95}
com/blacksquircle/ui: {com/blacksquircle/ui, e10a343c457437dfdb2854a522e50a39}
Q2: {Q2, 2b6470c1e83c8ad3e773704ac0e61182}
h3: {h3, c7b17b513f6831065b6b5b0b34e6305a}
n2: {n2, 57f201de97178a3e4939c1af76113ba4}
O2: {O2, 812df3141bb2e079ced9f43d0c938cb9}
Q: {Q, ead442fcc5eecd5da6002b4af11e5439}
l: {l, d1c5192bf9d831e1f57412ef826c0979}
S: {S, 79f0548c180a9b123676a303d1ffeb53}
v0: {v0, 812dfa42bfbaa2bf4572c4edc90c6a9b}
androidx/appcompat/view: {androidx/appcompat/view, d00c96e5d7573c9fa78266f0108a4859}
d2: {d2, 49436d0d657f668938717c86274c4be5}
Y0: {Y0, 66d04f4c5eba839ba8e6b945f551b475}
q1: {q1, c387716e0171d9343adfb1dc2431b400}
U0: {U0, 942bcee9e329982bac6e59fa838e3b16}
x1: {x1, 32f4d470cd3311f8b49bd8ec8b6688ab}
g3: {g3, 84b7fb71089a845240559fe152ad7589}
n0: {n0, 51ebfa85de8971ee83b2263f7ff05c51}
I1: {I1, 282de9ae0d36c097ae37397cf117456c}
D: {D, 5e34b184814f9ea6c8cf72d90a73cdb5}
b0: {b0, 338c7eb465d8c6ff76262650fc62b131}
N2: {N2, f8518b0ba19dd1e1dfce510d65c9d761}
m2: {m2, 710aa0677bd7828435e83b73810b40f4}
L: {L, 1df0bc7657721ebf11e56423f0687019}
android/app: {android/app, e079f4fb8febf5b63effbb6583d13a90}
F2: {F2, 7b789abf2881df14a9f4f48ceeba1adb}
go: {go, 555c5bd11badf6f9718a9ed4fd4c9397}
D2: {D2, 4600f9a020a3a97d219d3a866639ec4d}
c2: {c2, d362537299036a52d975107743972ee3}
a3: {a3, 636ab709fa3a7954da84ccc088af876c}
K: {K, dff00d42ad3653dc8c5197f66bfcd9db}
androidx/fragment/app: {androidx/fragment/app, 8a685025f08e280fde99be89874fec7a}
C0: {C0, f4c1e56ac26a032cf410ed760759de0a}
j0: {j0, a369d010251bdb17b6a9ed6bbbe2363e}
B2: {B2, dbf51569682557165ebd547256ea1bb6}
u1: {u1, 0b0d4ec336aecd2c2703065f453cc820}
e: {e, cab2b62212e1117869a0c2c8c307d28a}
d3: {d3, 67784cf26c3e4c84b542a9575f5ebf7f}
l0: {l0, cd43850b67941f172f0b5339ac3526f6}
f3: {f3, 25e41b671318e80518a6ac73c6577421}
L2: {L2, 44c829613122f22aa279d7c55c675522}
k2: {k2, e7c199dc246397c54df6c11fe222eab0}
m: {m, 54a0460a660ababc973f37848c5941aa}
e3: {e3, 45bdf30350e2badf505a3efb8fb5d8d7}
v1: {v1, ff28383c274910c1782f0510ffd7ddab}
b1: {b1, b6edb8882702a0085d63d72c9c8138dc}
q0: {q0, d847fcd1797e646257a55c2b21d21192}
f0: {f0, 16c36da01af7b7734ea8a6c5c1286f58}
androidx/core/app: {androidx/core/app, 61402b2353f6069ce0ff25a4f4f3e65e}
io/nekohasekai/sfa: {[io/nekohasekai/sfa, io/nekohasekai/libbox, ], ab6dd3bc8bc80d4903fc6469834c8d4c}
androidx/profileinstaller: {androidx/profileinstaller, e852e65cfcce1d1207a3bedf27bce4c6}
I0: {I0, 79ee45b3742f1b041b09f52dff4624ec}
E: {E, 19678800a5b9fc07358133813d45a65a}
kotlin/jvm/internal: {kotlin/jvm/internal, 7e4f850eaeb10f27c755928507e55c39}
z2: {z2, cb58ca3cc8f2b594f8948f0f4bd61cf0}
androidx/appcompat/widget: {androidx/appcompat/widget, c10fd53442a8632a11aebd85b5fe9b46}
m1: {m1, 7ca904d72f5d33ade0b8b65f59913a46}
M: {M, a3e99d383267577c94c74c0d344045cc}
x2: {x2, c8f08ceb22e148306b335c967bcff45e}
v: {v, 14bebad3d59bcb7c29a73018b2776efb}
a2: {a2, d1b507fdc86a704154f999b058ec3454}
G: {G, f145b3f7344efbdbc156e3fb4484479e}
G0: {G0, 3848b221168b27a93af40add31c7c2f1}
w0: {w0, 6ccfef72d9aaaecfec9633684a81498c}
u0: {u0, 4df3c0e3e1584d3fc7187d00666d8b1a}
Q0: {Q0, 133a430060cb2ee85cd462b240aac9bb}
i1: {i1, 242e6894107b79a5c4da9344043129a8}
f: {f, f8e926457bea5c821d18d3c8abb9b080}
T1: {T1, 72f9e4bdd6cc8db30baab3227eb6cf89}
n: {n, a3a99d037f899d299457b68155eb9f1a}
s1: {s1, c7e0f05280cecbace8b625366ca2cd28}
e2: {e2, 8b598a64e9c6383179b4aec448d6b0ad}
j1: {j1, c426b7d7d33d3565312468b75184bc72}
u: {u, 104aaa2467a54e2fc5e86c579c7d8a17}
T: {T, e6555d4057430c50f1555329f72f25dd}
N0: {N0, 2887dd8e280f14691e4d0146bc6bb7e5}
Q1: {Q1, d9bc37df7eed4f5e21ecd5e1f4402258}
F: {F, 19c14f16b08ee83b097a73967e9114cc}
T0: {T0, 54ef62539d89fd4fc5498cb0ad1ce5c8}
o: {o, b37996593120797f6149d401a7961ae5}
f1: {f1, a8239e47ee21591b0dd8f7707613bfc6}
androidx/lifecycle: {androidx/lifecycle, 3f67159dfd6367e0ca0afa4f5fd019dd}
a1: {a1, d71f0ac1e7dc7fda9550c9c4be0dd88a}
N: {N, c087d0d40482066c49c252b77a64c891}
w: {w, af1409f521cf8ec26589b0c28ba2bc9a}
S1: {S1, 9f3d2ef43aa8e01cac83c2d9f0e34e81}
E2: {E2, 4c41b9afa09e9d31aabcf03f4b5bf45e}
y: {y, 5eef6044bf213ae288b4ce6e6cca8e42}
X1: {X1, cd418fdbf0c39fd6e3e5e7c9d403f179}
g: {g, caa788085c6ce846d6f0e242bd0f5547}
n1: {n1, 5d49c550652d714bb91428139a1e07e7}
B0: {B0, 7e2466398e7fb5f6332232b2b752bb25}
i0: {i0, 2d9ecdbdb68d0ca6a1bb626fde721997}
M2: {M2, 4d8359defa5a9f862d0dd5455e0beafc}
androidx/appcompat/app: {androidx/appcompat/app, 3f3ab22244848a0c2a85497200846a4a}
s0: {s0, 184f8d4727e09ddedf99f142679d4810}
r2: {r2, d22a8178f366764bc596c57ddd927535}
e1: {e1, 79965ac57b980bd4fdff19ee850bac16}
C2: {C2, eaf8d9b2ec0c192d9a4a1cfa89f00d59}
U: {U, 5d9d9f29801a25c86c3a80a8ad69b0c0}
y2: {y2, 98f459b1bc6145ba043bea64a4cbba6c}
K2: {K2, 8f7e28819b99ef28e27c872ec5ca8fcd}
N1: {N1, 8aa1ee2fad88affb9effe30e03720d1b}
h: {h, 7ea84c18467481359d37c898bff335ae}
p0: {p0, 23962a5ba525616e6f8f172d30488e49}
p: {p, 47485881bbc0735bf6c3a38fd386b1d5}
W1: {W1, a0cfbb0a0f260c1a421689524ff7ed3b}
S0: {S0, 39134299e53f57ab4663010c527e95bc}
z0: {z0, 76b717843971f1d0fb3015bf781a8c96}
a0: {a0, 9be176e5877d87c850b9918b7a802cc1}
h0: {h0, 4fe001b9af5edcdc151a95c218e13ff8}
R2: {R2, 2b6470c1e83c8ad3e773704ac0e61182}
E1: {E1, b5e292f24f7cc3471c79b3e44f4d3c48}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, 2f3a97543af0063c636c0954b8547f9a}
B1: {B1, aaa745bc51124a2e369ca6683dd480ca}
F0: {F0, aa427bdcb117c25d05f757e2ec586c8a}
m0: {m0, 56e6526e6ec6462df0aca2662b6b01e3}
t0: {t0, b6d9b58b121db3e0881232c3e3892767}
P0: {P0, 5106ffd58595df41085010a0c70ca9c2}
e0: {e0, beebc809fdf5d1e57d86d2aacaba6aa2}
Z2: {Z2, b526b9de9e38a71e0a62d58db103ca5c}
M1: {M1, 32663a4655c05c323aac2e9bec48f2bf}
H0: {H0, 48c2bc4d93960045708c28c86f5925c7}
X2: {X2, df1d20d8818ba3182ef4dd6d8d556008}
G2: {G2, e8307db62db9c6ac542010fda1dea948}
androidx/core/content: {androidx/core/content, 8f79af52c06b3340e227e05e27f32f59}
A2: {A2, acf7ef943fdeb3cbfed8dd0d8f584731}
M0: {M0, 42f0781ffe176e043d9afca5e0b6121d}
i: {i, 4a892aa7ec3a38784e05b55540626055}
p1: {p1, a886fd72f827ff28ba56966cc717f8c3}
s2: {s2, 96a2efe27e2bc6a13929bc78071f6ec8}
androidx/work: {androidx/work, 10a13254e133b89bac0fdad17568ef52}
W0: {W0, c85bb44859d1f9b57ef8fa651bb56a27}
E0: {E0, ee46a74fece8c0d06ae7cb72bf58da41}
q: {q, 03ff5463f4510c20c18975ebe43eae83}
h1: {h1, 2d17cb3c7183a42c181464107170c5a6}
androidx/emoji2/text: {androidx/emoji2/text, fd4508da40183b9ed844b95604045b06}
o1: {o1, f5ef0b32ec790b72b54e64c915cdad99}
K1: {K1, a04f89a4fe1269e0299b449474d83c59}
a: {a, ed8905b0f03d858d6e481507fa4af964}
t1: {t1, a5e0f167264b4190aace2178eb980430}
androidx/versionedparcelable: {androidx/versionedparcelable, 9d566c8bb72bf85d0f4cf8e4e857ebc9}
P1: {P1, cf97563972a04c018a2385bd43a9a714}
F1: {F1, e9952575387f34d4904c545514818431}
androidx/camera/camera2: {androidx/camera/camera2, c8c43659e150851ede6d652182705823}
A1: {A1, 17f9c06956ede697312afc1b07fe383a}
w1: {w1, 56320e93963c2b6d1ca67ad01673479e}
H1: {H1, aa7939c4b43edf4214d3de0d36995b36}
W: {W, d6c3941f83507c393f89eb5113c1ec8d}
androidx/recyclerview/widget: {androidx/recyclerview/widget, 2b4413df36790023c0f7d90cfbbb43fb}
x: {x, 20d236ba97f1f8320e1be0dfcea5a8a4}
O1: {O1, 81948c83e1096010c8e00ec4fd765e5f}
androidx/camera/core: {androidx/camera/core, da975230bc850e7867d853107991794a}
r0: {r0, eb3ed20bb91da668b9be50ac33ba7935}
