a6: {a6, 62475933cfeebfe429205c6ca402ada4}
o8: {o8, a170d2fccac616141ad5b73e498fd56b}
m5: {m5, fa417abcd9fe136f7b6baac8a8962e71}
t3: {t3, cfa9f20c64e6625d961f52a898a86e51}
j2: {j2, 17e6ca15624ec7430c6eac77407471bb}
v3: {v3, 7346f5cd26fe983b2c9a7cb6d33974db}
f7: {f7, f02d865e109ed7a03a811a4f414df175}
y8: {y8, 23eaabb4a62eeb893f6311953fed4a45}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, c876100c17d359295c2588a8e4f8a793}
h2: {h2, cfd869717a6b5dcbf248d067ed11f349}
n5: {n5, f1b2b3dbf35164a09bab58022872707c}
u3: {u3, 47f3ec10c34c36c4e085ea8b2863134d}
r: {r, 4157ae3076681bc45951219b94ffbb5f}
z6: {z6, 8bdd0d0c9a1d760860c54f71853e4058}
f5: {f5, 4636ca52226d9802d1eeb58179a45e53}
w3: {w3, 967dc5131add1070978d10dd85404610}
z: {z, 4c32ba52932bfedef5726d3d9466a3b3}
r6: {r6, bd01ec3e3a9f4fe0e0cc8c33458b5976}
d1: {d1, 35ef1759dd16d83e5703f0132e573810}
c: {c, 59e4c01b181e4cd91b380b49f2f4846c}
g9: {g9, 11e1f392ffd83627e1073c920cacf09c}
k0: {k0, a7007631437ff018b05f798730fc7033}
b9: {b9, 0b153bb2282f50db1efc02b350c5fbea}
g0: {g0, 594860e9de3db2b9e5b92758b659f181}
v8: {v8, f5ae0362d3387fadf201fa75a32d7fce}
x0: {x0, 9f900fa7f740d866381bcb7316c78d77}
b3: {b3, 11b2d6053288cfc2ebbead458d7d1e7b}
androidx/room: {androidx/room, 6788a6599ddff9a54e27a446df1fe32b}
w2: {w2, 688cd123ef22491690f3b40c37c7e28c}
q2: {q2, e051084d60107ec0a0353c9b2ebc06b8}
androidx/legacy/coreutils: {androidx/legacy/coreutils, f375e34e522885c7bd7f5539403a98f3}
e4: {e4, 6bbaa952c8d11e1797d74fc913c63a8d}
io/ktor/client: {[io/ktor/client, io/ktor/utils, ], 84427ae00bf5fd0ff6cf27478e16cfaf}
o2: {o2, f64cb0022f178736e1744be880a6aa30}
m3: {m3, 05dcba0b7a4b295c3c1207fb6e0cfbb8}
i2: {i2, 419d2295016a9109b4849ec1de2fb7f4}
androidx/appcompat: {androidx/appcompat, b344d0919e011a0e0311148ddcddafe1}
c3: {c3, 96908b0517a257a657795e669db774f0}
a4: {a4, d4073073b3765fac58f652641dcc142a}
h4: {h4, 68817244b1c8561dc1b2b0c947024d1b}
t: {t, 8a285048807a1970fe4f51739f1e5174}
j8: {j8, c6bb1fcdb9f49272fc2df0ccc434e39c}
androidx/media: {androidx/media, 514f9760cee0b74d13c5136fb8b8c638}
j3: {j3, 5e4806a4b8c46b3c4f712f32ed0674a7}
com/russhwolf/settings: {com/russhwolf/settings, 3c58d01f88c4ae72ef68268e9f94325e}
android/graphics: {android/graphics, e079f4fb8febf5b63effbb6583d13a90}
androidx/exifinterface/media: {androidx/exifinterface/media, f86bed3e92bc3b026a255ece7bcdf9e6}
m4: {m4, 0e65d434392979271056262ff495c895}
t4: {t4, 6fe3eafd3e5961eb16d6feca1dbb037d}
u2: {u2, 3c2e77a7b25ba0d5f05fa6dd8f2155d6}
s: {s, b48ba3c2c47e7d3e4447121bf819cbde}
androidx/startup: {androidx/startup, 131abce5fc5ebe7e1684037bc13d5652}
c8: {c8, 9c62a1ecc4b474be2eb0edbd9b861014}
androidx/core: {androidx/core, c9ff97f715c45c71041f713864d58443}
h3: {h3, a4cb12123310ba8138852b72580a4360}
n2: {n2, 23e1a5142567a5789f1dffd28073014f}
k3: {k3, fb6ddc8e3ad02dd0d92bb4c9cbc5e25d}
p4: {p4, 6bec0b747aa529f3e272b99bc148096b}
r7: {r7, 15bbfb21a7a7a38190696f5185955f39}
y0: {y0, b57d1d4dbe60446060df27a27cbf02ec}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, f375e34e522885c7bd7f5539403a98f3}
f2: {f2, a95a05da5a8ec7ca49dbf0e5bc1e3d6a}
g8: {g8, 1a9a497e9acb387a0d59a389b54eccfa}
v0: {v0, 893693dac2bc62c3e92555a0bd8443a5}
d2: {d2, ada544deb448521267423bcc44fb8dbc}
com/ashokvarma/bottomnavigation: {com/ashokvarma/bottomnavigation, 331d036c2cb0c8f3aa152f328fb134bc}
q1: {q1, 32cf5903f5531f4ae775d09e178f7227}
i: {i, de9ae2ff4a80c508f6a95b0b985556a5}
x1: {x1, 2e62ecc8d412cc0146b25df99aad6ac3}
g3: {g3, cd0c3510331dc21e12cf311df59f79d9}
v9: {v9, 6dc7ca4dd4b7729ece4d6bf3c2eb9e2f}
r4: {r4, 780305c6f7a37ef1be4b333ad45d1301}
y5: {y5, d100be4a037db91593e99787c6f9dfbb}
a7: {a7, 6e7c26b988ea062e4d6f9f2d32ba6d23}
b0: {b0, e6fe57b25df50fdf8fb80ef9ce4435b3}
m2: {m2, b09e266582540f5d2d66ceea27034038}
s4: {s4, 50368abab302516c7c244d199df2cbaf}
j9: {j9, 84bfc90b183210bf5ce6c524809cac73}
b8: {b8, dc209f1bd2e8474bcaeec5651e961e0f}
o5: {o5, 3f5c68b16b4d06d3fe12d6fb9bd1f342}
h5: {h5, 6f9b8af56a54d6ae45ec92bec54d3d0e}
n8: {n8, 9d51d4df264a25a569609cf186c80914}
i5: {i5, 4d1d2f213719015a1f31e7762b6b2508}
w5: {w5, c664dea3d0aee6ea73e03bb49aca376c}
androidx/window: {androidx/window, e1a9c3de586f3d88ab91dd2367bbfbe2}
c2: {c2, 733687fc97ea7b8578d1c922d6d02c08}
a3: {a3, 1cb23151eed6f23acb303f329bc49102}
z4: {z4, 703b7836df0f95c2b3dd84b7ea7f1920}
org/acra: {org/acra, e81056889fe4aef664038b47a276cabf}
t5: {t5, 54cb67078959d81b1e488bb081939779}
j0: {j0, 1bd0751be5d37b4b7fd86c952edcfaaa}
l3: {l3, d41b7898f0cf9c2e15321eebbaa43e6d}
n3: {n3, 1f50eec0029cd7d4d9cde7d8f8f26ee1}
u1: {u1, bd372238152693f81c28bac4e4817875}
e: {e, 1e20ad50f51420e61771f416ae55e16d}
p5: {p5, b0586ccbf2cc76eb1dfd2620befd6dd3}
d3: {d3, 352358d16acc74a9ecc8d071d26c1bcc}
l0: {l0, 5a491f78fe67093b45859a8c42fb6772}
f3: {f3, 23dbaac144abbd28a84c69c4a1dae856}
u9: {u9, 3479756a82fb297abf37c46ae9667c31}
k2: {k2, 10ef4cc687f7c383682144f0216d4e9b}
m: {m, e1106829ed51b9d2b80733cddefbe7c2}
q9: {q9, 056b840763506fe397f74cdf4ecfa05b}
e3: {e3, 54e25c30f14d4be89b8ae48aaccc4fb1}
v1: {v1, dce207941aa3f0ac6c061dfe1677dc78}
android/app: {android/app, de1c2b92945417ecd988923d07abfa41}
s7: {s7, 88cacf93a257cd5dd538d60a4c14f2d2}
y4: {y4, 96db214e35444fba01a21841814e151b}
s6: {s6, 550095437a152965ce894da371c17fdd}
q0: {q0, b98940737cf457621bf4d04c952fd664}
r0: {r0, c77534d793d39c3a5cf728d1ca71a5fa}
f0: {f0, c680796ec24c5c80d4b4cdc686216b9d}
u8: {u8, 446a9590a9119d915096f7a38b77301b}
c5: {c5, ce24ad8a2130e9dee4f8086762992645}
w4: {w4, f04e207006b5b874051c19280f8b7efc}
m9: {m9, 910f0ee15739a7d0da632034656bd44f}
r5: {r5, b4bd167f544f0f38cc68a47bcbba747e}
f8: {f8, 52133818466146390af8328012410e43}
z2: {z2, 5dc000323deb0a87bcfe2f073d152c34}
o4: {o4, ab5c2b28820f40ee332e7280fe0aeba5}
m1: {m1, 0e3414f47e75eeece011b7d961a7b7a5}
b4: {b4, 2d1a2bc7edc63637986b04b825ec3f36}
x2: {x2, e95ad549021771292933b0fb0ba63a4c}
g2: {g2, deeef894c67a9a67e57dfca047563e02}
androidx/loader: {androidx/loader, 410e84f1eceef67434a13f613164f50d}
a2: {a2, dec58ddc9e178fed49957b14ab674228}
h6: {h6, 77123b6c66d10fdf7cbee6147ad8bfac}
n9: {n9, e2fdaf7aacf08436d9357ccea0225da7}
s9: {s9, a491ce7127a3bf0ab9339da734f2a432}
n0: {n0, 76e6d0edce735e60f6c7e35fea2ef8a2}
u0: {u0, 2993f5287c22c9ac0c0b9c4f7762163c}
k5: {k5, 0c601e53f749f8049301b1afa439d753}
okhttp3/internal/publicsuffix: {okhttp3/internal/publicsuffix, 12da0251925a73873bedf8da85b89d26}
z5: {z5, d8946bdb7e99b80ef433f8e01d8be5b5}
i1: {i1, f56d7c2f5126d39ac49da19fff9d4739}
f: {f, 2c4e8d9a4d8ea9a3a9166d3b4c43e5e8}
v6: {v6, 1829a9574b35e701b2ce18bd854706cd}
x9: {x9, f7d7cb8adfaed75bdc68ee20c502c8a8}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 68e20f836a6f95b93becc4559bab8544}
androidx/viewpager2: {androidx/viewpager2, 5408bd2790a2b06de75fe8e34126d355}
l4: {l4, 03099ffa15d993825ec6ec43ecc90a96}
i9: {i9, 0ebf53fadd869df1a44fcbe21067042f}
n: {n, c8e859a770ed3d2098568570ba15525f}
p6: {p6, 599290003d568c5ab9612e0a46bc89b7}
d4: {d4, d6edef6ff7eece67625ef96680c84926}
e2: {e2, 8579dd24e36480a50d260a36ae17f000}
t6: {t6, 82687b2acb3cc97c113bea1538ece29d}
j1: {j1, e11c98ff0e356fc7412d15025e24ee03}
u: {u, e9ac2a6b9e3c3a9680c6df33da510c9b}
q8: {q8, 2f38620494125bc41fec0f0dfb41a517}
android/view: {android/view, e079f4fb8febf5b63effbb6583d13a90}
w7: {w7, dca66cb5ecf2d800363abf1ffa759680}
m8: {m8, f4579a211d634cc58d85db3a85b301d4}
x4: {x4, 472ff8c1f3aa3c4d9fca9958938dec94}
androidx/legacy/coreui: {androidx/legacy/coreui, be8a1232ff86b541d65bf0458e04d236}
e9: {e9, 4379b9dade40f99379974c1b9f0f34fa}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, b1df143e3ef7e664433763cd31c5bbcd}
y3: {y3, a0c9f4362281629e561ccd36fdbe0168}
c4: {c4, 9eeee5c8cbd35fa85a5604a1148e42a2}
a9: {a9, 7c96f71f26158b47aae9c82dae2d5c11}
p7: {p7, dcd412677169377f736cb2adc9611d9c}
s1: {s1, 89c1b74b7712f8a429ca96370ae80c10}
o: {o, 9e06fff7ca35dfcb0d9e459c98607428}
f1: {f1, ed8273c813da3c0a7b6519ede32640d2}
c7: {c7, 12d1777affc9a2d565b5657325ad84d1}
z3: {z3, 0694c4aaa71884e3d17c19f75ae68f32}
a1: {a1, 60d60a2065b62c11ce10c9dfa7e6803e}
h7: {h7, d86859d0df9e173d4edb8eb971e97f86}
n6: {n6, f4d8c82046aa67ccf7e8aae106a41dc9}
w: {w, 542fd4108dc78c0652a100ac1b22c552}
f9: {f9, 29fd464eeac4340bfe5f9f4cb2d191cf}
i7: {i7, eab1b312dddf65d6ce80b39402bd12e1}
s8: {s8, e9d9430082112a3c82fef408c8991e24}
x3: {x3, acf7ef943fdeb3cbfed8dd0d8f584731}
g5: {g5, 0b0c1ad6b7b9bba55027417214934c78}
k4: {k4, 30d49bcf4c4886434fc7582ce96f2d8e}
n7: {n7, 69c56d505447a9bfdf1fe6abc3d3b385}
d0: {d0, 8a9ad44d376357a2d5e92ded3cd76160}
g: {g, 536044e8797224a8b7c3c4161a878c93}
n1: {n1, e53baa39ce4a9480f75616fe2db43bee}
u7: {u7, 6ddb479afc21f909d83155e65457099d}
b1: {b1, 2fbbb0a9cf62af0fd7e0e26af78fe0cd}
l5: {l5, 0cf5645b6a088c3abb38f1abafa01a6d}
i0: {i0, 30ae3ac336297e7880213f2d4b7a1e50}
androidx/cardview: {androidx/cardview, 936939462f082d1d708e97b65dd3a621}
q7: {q7, d0a989702294e1cf916cf03284e21107}
d5: {d5, d0a36eb0a26fe5e18bd954be12c6f446}
u4: {u4, c32150a1985265b107f80a712e5a1a4a}
i8: {i8, 07f44bfa3f1784ee947652006a8a3516}
androidx/vectordrawable/animated: {androidx/vectordrawable/animated, f375e34e522885c7bd7f5539403a98f3}
v: {v, c543ae9bfb29e869bafb7f9575594854}
r2: {r2, 878b9e1266307fae775ccaf4b6b6620f}
e1: {e1, 7c5ea721b62780261c3705056c00086d}
t7: {t7, 12f1fb3490110aeac6f4e7f4c56fb9b0}
j6: {j6, 572b4d3e2f15221e3fa2c9d2d3f822c9}
androidx/legacy/v4: {androidx/legacy/v4, be8a1232ff86b541d65bf0458e04d236}
b7: {b7, 4911bf03c68bd339a4d6b7617aff924f}
androidx/fragment: {androidx/fragment, cbca1ae87b372c821935614b76028049}
w6: {w6, b085aab9574a1d32fdd2512a502bdbd1}
androidx/drawerlayout: {androidx/drawerlayout, eb50f18d4f60035b9653e0677f790eb1}
h: {h, cb0b8ce9093e83dcfc37447f2ce353c7}
s3: {s3, 6f097f7594bb5fef8d97082ac0df2421}
c9: {c9, 00bf9ebb7a2b765acabc8c77108df4cf}
z8: {z8, 2288fd7d09bb4c0cdaf791b6d27dbc02}
a8: {a8, cd13d0261ebd59d30a93ffcabf1ea039}
p0: {p0, 49e45f27d81c2539d5e3354432ee92d1}
p: {p, 28d097dc632bf0b78b9a55058e305c76}
androidx/emoji2/text: {androidx/emoji2/text, c6c7c7d5c761afa26f73248b5a3f56d5}
me/relex/circleindicator: {me/relex/circleindicator, 217ba79fe302aa30f4e2490aef7f6948}
z0: {z0, 9a7c2d4c959b65362b97f9636092eed4}
a0: {a0, 2a7fe586c927fcc750566cff1cbad9fe}
h0: {h0, b7fb9d16471f93fc4aeee99b82d5e32b}
i6: {i6, 9069f4a1a25859c31064fcd139234539}
e8: {e8, cf14ed1d4a0e30d5e0ea786f81e2530f}
x8: {x8, eb78411e9d5e79c46b2efdac7ef237db}
g4: {g4, 23f622b97147c69549ec313e439d680f}
androidx/navigation: {androidx/navigation, f52a79550aec5bc442660a9f3c32b952}
androidx/viewpager: {androidx/viewpager, f375e34e522885c7bd7f5539403a98f3}
s5: {s5, 978439673874bc9974495c9c6efc8960}
z7: {z7, 880426d46c8ce89724cfecfe90098295}
u6: {u6, ee90e719ed3104b286ae25878d8726cd}
k7: {k7, 183d23739e24528c19786fea79c23a3a}
p8: {p8, 3b33c84a25c65dfaf81102cff9a491a1}
o7: {o7, 5eda62e103503681fc462dc90d906b16}
y2: {y2, f2c245d5f20e2a0b23dcc870e47ed0fa}
b6: {b6, 8e36943f4837ad59ba76ca92b3b74f7a}
v4: {v4, ccea8b9ec5698689cd15039f4145220b}
com/mikepenz/aboutlibraries: {com/mikepenz/aboutlibraries, 201557bea255225b974fd2fe97d751da}
q6: {q6, 6476761da45c80b001290755c9e863d1}
e0: {e0, c6ff1819a5e2082b9bbe64d7a3d50b93}
t8: {t8, 3247c7440eaf439a5acce0e169384f42}
bou/amine/apps: {bou/amine/apps, fc8e45270cf827c22acbd66873c56909}
r3: {r3, 2592b14d8ddd2b7fdcfe290ab0d2ae6b}
f6: {f6, fe414ab63b5437bfae5f4e98b6716589}
j7: {j7, dac6015012c5114ff6db18fde71b4c1d}
io/ktor/network: {io/ktor/network, ac1edff3b63ce57552266c102013c50e}
c6: {c6, ec25743162a171f2a4c752d22adfb19f}
b2: {b2, 9b351aba3ee549b393799dee6569aa2a}
r8: {r8, 214479240f3e203e5478d951311b7e8a}
l6: {l6, ec9fe09c089b3edf8d07f2e41c52bee5}
x5: {x5, 55458d81e400a3d82ece09202dc86a3c}
com/github/rubensousa: {com/github/rubensousa, 4efd6c1b7ed5e6da3f0bc6060e89ba92}
l8: {l8, f6487c9f717f8115527e57580dee8bba}
p1: {p1, dde69533b706e81e8b37d0f2a230a39f}
s2: {s2, 3e1c4fd7cfabf46268f2217ebcd8739a}
androidx/work: {androidx/work, 716b078c2b7f37cab73f26fa6e6ec24e}
g7: {g7, 173468cb9e71f3900b5be4b3d782b9cd}
q: {q, 18da5f498bd99d1968f8f8ad06b58284}
h1: {h1, 8970b281e9f2db897f3b70a5af2e3da3}
n4: {n4, 8b7e8b69cdd9e2de6e7e2edd610c17b4}
k9: {k9, 174fbfe5babc2beab25d29f8918cedcd}
y1: {y1, a96c23fe3ee099e1ac741ea1bc86d55a}
y6: {y6, 38d0f191aefbbcff7ef795b028f9b5e2}
o1: {o1, 6ae725dad307a703cf33bc5bcc164711}
t0: {t0, f2528ea0be711486331cb3dc338c6613}
androidx/recyclerview: {androidx/recyclerview, 22252f07a4730ed8459ad9853ed0fedb}
v5: {v5, 0e48c0180924dd7009f6d8b6558f8c3a}
a: {a, d9e2370c7b878e05741d515b73da7a65}
p9: {p9, e2c7003f7cbb604b3f6d3bdf7f48d5b6}
l7: {l7, dec556bb74afb7bf1290e861de26d3b1}
t1: {t1, c8bba75feec88bdf0d1e8b308c7829ef}
w9: {w9, ae654e2c5159619e9c906201f44ae0e3}
com/bumptech/glide: {com/bumptech/glide, 5b641480d4d99e5b61f9ecb7b8427e60}
o6: {o6, efb955fb8dad3395e282e39c8782b82c}
m7: {m7, a2cafd244133a62e4715ae5092095b78}
t9: {t9, 40deb5516ea9e37c3030b293c0f47c0a}
j4: {j4, 42fe178ac56bc4396b85467d67c54610}
com/github/chrisbanes: {com/github/chrisbanes, a94313aec54752d12abc3229b91acdf2}
w1: {w1, 12662a7ad08febb91f623dccb855f16d}
q5: {q5, 062f6fefa6868c4e183bb807573f1de4}
androidx/customview: {androidx/customview, f375e34e522885c7bd7f5539403a98f3}
e7: {e7, 09a769b7bf9249dc8120117af0dd7e5a}
x: {x, f7c9ad02dd81e0383b668c8e8e309aa8}
u5: {u5, 409489a2425600c79373a8f5321b3d3b}
k6: {k6, e95ed8ca0aad85bc2586ab90d60e8ecf}
m0: {m0, 1050dc835102013ed4ce93dafed376e7}
h8: {h8, 0b26dce5f574e52589691a638d1462d4}
