androidx/appcompat: {androidx/appcompat, ff6baf44257ac9c0784ba5064129760c}
okhttp3/internal/http2: {[okhttp3/internal/concurrent, okhttp3/internal/http2, ], 7a741a634f808e49c6b4c127c0f9f587}
fulguris: {fulguris, b4848179ea4a0c3a39d9dd796fc7d5ad}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, c0f883fdd28bcbd6c93d8a337406485c}
fulguris/extensions: {fulguris/extensions, 7f6b483f7ba81100eb0923bfd6cb499d}
jp/hazuki/yuzubrowser: {jp/hazuki/yuzubrowser, da1512d53c1e0830b53c6d8cb77895bb}
androidx/slidingpanelayout/widget: {androidx/slidingpanelayout/widget, e2d67a7c04e72631b60ce8df4ce47f6c}
androidx/emoji2/text: {androidx/emoji2/text, d63ce1e9dd750f912aa5d8125b70431b}
org/jsoup: {org/jsoup, 6d43718623380345c2be485bdfdc41b6}
androidx/window/core: {androidx/window/core, 7f3cb6847aa3e36732d537cce4b66a09}
kotlin/ranges: {kotlin/ranges, 78156c74c045b8c7de26cd3215f19f6b}
androidx/tracing: {androidx/tracing, 6ca2d8943f9a7592267537ed7ece9f63}
okio: {okio, 3da93587ad14cd9e4cf7b6668d70150b}
