androidx/appcompat: {androidx/appcompat, 514e8a8aaa2e5355b6c93deffa4b0822}
okio/internal: {okio/internal, e9da89c8554f7d8565701c3d2088571f}
org/jsoup/parser: {org/jsoup/parser, e42d30b8f23e55e6ca21f50f2a0d1963}
com/jaredrummler/android: {com/jaredrummler/android, c8d320cbe839668be0325197e033213c}
androidx/concurrent/futures: {androidx/concurrent/futures, 0dae09db96a7b9f5d3b70a2eebb15bd1}
kotlin/collections: {kotlin/collections, 44190364fcc2c4a132e4262e3ee97765}
org/brotli/dec: {org/brotli/dec, 1c46ea2f2138b30a27ebe2a7abb095bb}
androidx/fragment: {androidx/fragment, 0a8c96fc4e4e8f0e272d45e79de799ba}
androidx/customview/widget: {androidx/customview/widget, 07368415d2f1c2d548426c1cf485a6f1}
kotlin: {kotlin, c74f8b6150024398b47de335dd30d311}
kotlin/coroutines: {kotlin/coroutines, 54668ba0189904ec7437b7bfe92bea1a}
kotlin/concurrent: {kotlin/concurrent, 0a0f0d55c14d295c5f8d044eef6d675b}
dagger/hilt: {dagger/hilt, ad758fd694ea3efeb42e632390b7d276}
j$/time/chrono: {[j$/time/temporal, j$/time/chrono, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/compose/animation: {androidx/compose/animation, a0b6cc6b80652c577a37629a338c930f}
at/bitfire/davdroid: {[at/bitfire/cert4android, at/bitfire/ical4android, at/bitfire/davdroid, at/bitfire/vcard4android, at/bitfire/dav4jvm, ], ca16eb1e49d1fe8c3c41d04017e1bd01}
kotlin/comparisons: {kotlin/comparisons, d98601bba411e071d874dadbc9ace4eb}
androidx/interpolator/view: {androidx/interpolator/view, 550d9160df6aca4f53bbdd4bfb6e1728}
okhttp3/internal/http2: {[okhttp3/internal/concurrent, okhttp3/internal/http2, ], 52db09ad3e5e3416d893595ea37787a6}
com/google/crypto: {com/google/crypto, f4917848d14c90282c1b7600213a8cc9}
com/fasterxml/jackson: {com/fasterxml/jackson, 06f95d55663aae70008e8e32469243fa}
okhttp3/logging: {okhttp3/logging, d727b7aa6de31ae4b73ccba034c61523}
androidx/paging: {androidx/paging, 36b6df19c5da71600150b94d85fc25aa}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, a862fea1b12e14219d7f23c6f24fa8c5}
androidx/work: {androidx/work, df4622d980bc520c43e5010839faca66}
kotlin/time: {kotlin/time, 74c8619ebde654e6249866ddd0542698}
org/jsoup/internal: {org/jsoup/internal, 0954ce6cf2b33a3fce387fd0ada67c8b}
javax/inject: {javax/inject, acf7ef943fdeb3cbfed8dd0d8f584731}
kotlin/ranges: {kotlin/ranges, 088fce7a25fdf686df499f726d372c8d}
androidx/tracing: {androidx/tracing, 0c5d971b340c9faa279461ceb00d843d}
com/google/gson: {com/google/gson, 246fa38b5ed8473d9dce6ce01de84b52}
okio: {okio, ee12ebfdbc0636caf04ece435bdfc247}
