androidx/appcompat: {androidx/appcompat, 9b7e861b3d3dc86d5d8b2264f0d1ce4b}
org/bouncycastle/jce: {[org/bouncycastle/asn1, org/bouncycastle/math, org/bouncycastle/jce, ], 4f00fe39f386f4c85fbab4c37390bf8e}
androidx/collection: {androidx/collection, 145a43f8ad00d6c6a45fe108c1f1907c}
com/madrapps/pikolo: {com/madrapps/pikolo, 0cc05abb773e9f1c22908c80739555f0}
androidx/transition: {androidx/transition, 7429b5d5831c393c17546aeda8f6f026}
coil/request: {coil/request, b0ee40705f8509c9bc800a9bc1cebceb}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, da87e1309ecf1a175c5c0a8df067da38}
androidx/cursoradapter: {androidx/cursoradapter, ce57f636c8568f5ffbc42ce9a778b40f}
androidx/multidex: {androidx/multidex, 5f8337e0b9af4ec14fe7be07cb79d0f0}
coil/base: {coil/base, 3368c2b1abd592231e2cbfc4e07d03f1}
coil/bitmap: {coil/bitmap, 798fa3f06faee3708e4900718c6a88dd}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/media: {androidx/media, 71605898c57163898d80c3d627bd3432}
org/intellij/lang: {org/intellij/lang, 72031a0fa55a4d161f71e493a97c6296}
coil/target: {coil/target, d8ce07b6378151266136f7f81275d805}
androidx/viewpager2: {androidx/viewpager2, df57d617c13fc20141608bf6e4528434}
androidx/documentfile: {androidx/documentfile, 9ac8d69c6cfce1a1dda4fe359af7e028}
coil/singleton: {coil/singleton, 3368c2b1abd592231e2cbfc4e07d03f1}
coil/network: {coil/network, 9e976652a339d4dea76c5ea45d2da468}
com/squareup/leakcanary: {com/squareup/leakcanary, 67620ee592c4b593c28c3f2bebab9f81}
com/tingyik90/snackprogressbar: {com/tingyik90/snackprogressbar, 6bf6a966244b02257d8ce9bc59676f79}
androidx/recyclerview: {androidx/recyclerview, bf0dc208ddb02ecc2041c016569ba0e5}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, be7b95b5e936d11ecd049cd3794356cb}
androidx/dynamicanimation: {androidx/dynamicanimation, aa737013145dcb9f7436fc0d73cfcece}
org/koin/androidx: {org/koin/androidx, 0d5e501ec2f8eaa90dbcb8f46a50f331}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], 3ae5e525c4b7dad397d51083dd71f4cd}
coil/size: {coil/size, 55b2f745e2bcb749698c326106e72d19}
kotlin/io: {kotlin/io, 314874f03cd2b3a322fced334524f180}
org/bouncycastle/jcajce: {[org/bouncycastle/asn1, org/bouncycastle/jcajce, org/bouncycastle/math, ], 0734d67f0c6de2148116c1e26f57a115}
org/kethereum/wallet: {[org/kethereum/model, org/kethereum/wallet, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/loader: {androidx/loader, f6bb39db62e193d8eb21badab0aad5ae}
androidx/interpolator: {androidx/interpolator, 9520954530ce7215903ebf692e2215c5}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 647ac94efd6effb15b0f18fbb4eea173}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 551ca1f042e7539449a9840c2184f4e5}
org/koin/mp: {[org/koin/mp, org/koin/core, ], ce7797436e98705313e7c16fb31353aa}
com/google/zxing: {com/google/zxing, 0f7f7f106095b9c8f27aff8d4392860d}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 8528ad3d434333164336d3f6f45bd5ec}
coil/memory: {coil/memory, 63733b2ff838839ed95c1fba147bc1ed}
org/koin/dsl: {[org/koin/core, org/koin/dsl, ], 78d20bc57744010a0287f9d47626d24f}
androidx/drawerlayout: {androidx/drawerlayout, 95657cc3208db16287281d89b7394dfe}
org/ligi/tracedroid: {org/ligi/tracedroid, fb66ce88900b013d7597bfba659585ec}
androidx/legacy/coreui: {androidx/legacy/coreui, e97521e81a9f1d37da0597160bf5ab00}
androidx/viewpager: {androidx/viewpager, b1cdad61b6957c2eccbe6d86be2bcb56}
androidx/exifinterface: {androidx/exifinterface, 8dd8f0528fea937db25476df4a60b6da}
com/squareup/moshi: {com/squareup/moshi, 34bf708ac800db7a4f4e494d45499ef9}
org/koin/android: {[org/koin/android, org/koin/core, ], 5874f0893b803be9f11288ac29a78372}
coil/decode: {coil/decode, fbbf660e5d85f7d74a9206aec412a148}
kotlinx/android/extensions: {kotlinx/android/extensions, 2259e96eef31781306c1729f2119919c}
androidx/arch/core: {androidx/arch/core, 4aedd1b836e501b0e82521ff6824fb7f}
okhttp3/internal: {okhttp3/internal, 2cdc2112b78a6227fe646084ec0655bb}
androidx/legacy/content: {androidx/legacy/content, 6f17542208ee49d01c4f55a89a691e19}
com/jakewharton/processphoenix: {com/jakewharton/processphoenix, b7f4d52f1560f7e3488384eb631f206e}
kotlin/collections: {kotlin/collections, 619241996a36850726fba81a6e1a8856}
androidx/fragment: {androidx/fragment, 2a084ab7ced9be0edbe8c0919b5209c5}
androidx/inspection/work: {androidx/inspection/work, 542dd9699021b2a489ba6c7d8f6e4a23}
io/ipfs/multiformats: {io/ipfs/multiformats, 7ed140b49198d3ba222d594ecf5f75a0}
kotlin: {kotlin, 2035cb18bfa3b2e3578701400cb4f8db}
com/ionspin/kotlin: {com/ionspin/kotlin, 159dd64e9e0e075501f3cc2403b5d140}
com/androidadvance/topsnackbar: {com/androidadvance/topsnackbar, a9c2a1b4127abd64a48d977a57af6791}
kotlin/coroutines: {kotlin/coroutines, 07e84b8d4145fc52ace314f6469bca6e}
coil/transform: {coil/transform, df377c74e5ebedeff3e1ccf35754b159}
com/chibatching/kotpref: {com/chibatching/kotpref, c2ab436baa786b70b7094a32947f1169}
kotlin/comparisons: {kotlin/comparisons, 0c21e6a53785cda9238145e4880a7bab}
org/bouncycastle/crypto: {[org/bouncycastle/math, org/bouncycastle/crypto, ], 020eb29b524d7ba672d9d48bc72db455}
com/squareup/wire: {com/squareup/wire, d19fe9ab37259de3d9fa047e1fd3e117}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
okio: {okio, b48c5d7c688f5a0615e34896efcf3a6f}
androidx/paging: {androidx/paging, 60fd22792be9b2a9783dcef8a4069918}
androidx/work: {androidx/work, a2f3b6f0cb8cbcf086fccbb18a0446c5}
androidx/legacy/app: {androidx/legacy/app, 062cdfa6acbd2876b4c02bb6b6404f04}
kotlin/time: {kotlin/time, 10291c4df343da93e7517730d9ebb575}
org/kethereum/keystore: {[org/kethereum/keystore, org/kethereum/model, ], b078558e5792c6ce27f754288df8fba9}
androidx/print: {androidx/print, 60bf5c11bd96ef5e4ddd65374fd1cb0c}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, b06743586c7ea335afb535e10045ba4f}
androidx/legacy/v4: {androidx/legacy/v4, e97521e81a9f1d37da0597160bf5ab00}
kotlin/ranges: {kotlin/ranges, f72d464098d17c7ec2d6db2faa4a3fd3}
androidx/tracing: {androidx/tracing, 00ba871b13d3868284ed0b1147f7f736}
coil/util: {coil/util, b8f415230b3d4525bb4e7615afcfdc06}
kotlin/jvm: {kotlin/jvm, 6b2076f2836906fd866bf339cc866ad7}
androidx/customview: {androidx/customview, 01531b2ef7ab471c51b5e89d5cdd3012}
coil/transition: {coil/transition, b3605c330c01d644a8c31369419687cb}
