androidx/appcompat: {androidx/appcompat, d697ddb5f505462cc2fad0c46a017ea2}
org/koin/ext: {org/koin/ext, aebf6eb2e52f29095f8e9d9c16dbc65d}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 60f855b6fc4cd806ad788f22a0b36bbf}
kotlin: {kotlin, f5562b01f0f42aa3c29edc3c7be5e64f}
androidx/datastore/preferences: {androidx/datastore/preferences, 1fed26e7d02b8588df176eec34f4fcfc}
I: {I, 5047523f6202bc2048ee28d2255d1346}
okhttp3/internal: {okhttp3/internal, 981c48199f603f0ac0ff6bc6954746c6}
r: {r, 70ee1ce738685892d8f85b2690fe1fbf}
androidx/startup: {androidx/startup, 8b2b134f9ca0f4bd90a054ae10d89b8e}
Q: {Q, 56353e09403916786314bb5701319d29}
c: {c, ac7d78e0018f4c25ba7a6bceb41e6616}
k0: {k0, bcf95b2a73be359c489dcc90b9ab6059}
androidx/databinding: {androidx/databinding, 0007868041395742985607fd1d0cbaab}
androidx/loader/app: {androidx/loader/app, 57ff2e64b02b8ad8555d21b3d12b9745}
g0: {g0, 240b3a92caa249500554733617d83b9f}
kotlinx/coroutines: {kotlinx/coroutines, b5f79b61e4195d0d98167be32fff26fb}
okhttp3/internal/http: {[okhttp3/internal/http, okhttp3/internal/connection, okhttp3/internal/concurrent, ], 25fc650162975d3b5e5dc60064ab6ab3}
com/squareup/moshi: {com/squareup/moshi, f94ebbd969b241fa69075e353d48acf2}
R: {R, 12609a5c2a96cb6d466d27c5ab9444fb}
androidx/lifecycle: {androidx/lifecycle, 314069969d2044c52cf2041a369141d1}
Z: {Z, 82783dde66dbb895bfec4f26428698e2}
C: {C, 22b4431182d981f1e689a161c48dc8e9}
t: {t, 94fbe3bfc3d9eec3fb47fdf7d9ed855a}
kotlin/reflect: {kotlin/reflect, acf7ef943fdeb3cbfed8dd0d8f584731}
retrofit2/converter/moshi: {retrofit2/converter/moshi, 9c58094f7020f10d2358ccf4a178d070}
kotlin/text: {kotlin/text, c9d43684031143b2c6a9b9932d819af9}
J: {J, 9151c90ee60b48307f0378dcee10ea51}
androidx/versionedparcelable: {androidx/versionedparcelable, c7bccf13693a73b44ea4c1ab3a0bbf19}
s: {s, 0a662f26dca1360360a3e54fb92bfde9}
android/view: {android/view, e079f4fb8febf5b63effbb6583d13a90}
androidx/core: {androidx/core, c445448ff343cf04b94c5ae26f9379e5}
androidx/fragment: {androidx/fragment, 1961509f0c0684ffd6c8f664feee8169}
androidx/collection: {androidx/collection, b39a0d951f7e8d57305eb5a6196fa391}
androidx/transition: {androidx/transition, bf7ec07cad0f35650d7790f468ec152b}
l: {l, 1570188c93db82c1617bc3d5853ebab1}
com/asamm/loggerV2: {com/asamm/loggerV2, abc23ad783b02157c3a039f6e45b8dae}
androidx/browser/customtabs: {androidx/browser/customtabs, 00676dff9d2672e971bb17bccbfe806e}
S: {S, ddedba141cee1918a384f2b04ae460b6}
D: {D, 2ba607ff536a1f77f6be3e1ad06ea722}
b0: {b0, 53d24e5cfc37e007456f8c9fffdebf19}
L: {L, 2406d9f76f5fa7732675233d7476e70b}
android/app: {android/app, c4e9eeb25e17c46354752ac4239a9772}
u: {u, ad32b1343629c9bb0b34b530e0a37ea6}
K: {K, 68c8702de0e4fb78d31d984e64f4670f}
j0: {j0, 9b2081551346f069fcacfb349a1c2c37}
androidx/recyclerview: {androidx/recyclerview, 6706c40f3ef4d9d2eda9b7019aa01bdb}
l0: {l0, 0420aaf887c11c55070b8d09bd350feb}
m: {m, f49279bdc8b2970a784e8f1fbea1f9e9}
retrofit2: {retrofit2, 80b9abc1d83743a3ff93c2fdc8fa637a}
kotlin/jvm: {kotlin/jvm, ba190c067e6296daff2c02d560bc98da}
kotlin/io: {kotlin/io, 96fdf364ad55a97577e6c67f8a23f62d}
f0: {f0, e1a8a67b1f57369b233db1136b9f6dbd}
androidx/profileinstaller: {androidx/profileinstaller, 4f8c7fb098997e4a7e5da0fd6c0a39bd}
E: {E, 2f4f4704f6aee49c7dfa06d97e4e779d}
M: {M, 8b04c8ea6def77e11924da9cde63a703}
v: {v, a292b982f9f52d122e9bfbd4fad9209f}
androidx/emoji2/text: {androidx/emoji2/text, 6cb6a2df1c3f0b55d39bd8d0a923284b}
com/afollestad/materialdialogs: {com/afollestad/materialdialogs, 55372013f36c0e6c96afe72ed581edef}
kotlin/enums: {kotlin/enums, 2b391f19fc9760ad8c72860d0e2a6c10}
f: {f, f2a01f8a2608bb0286f36277a8462672}
androidx/coordinatorlayout: {androidx/coordinatorlayout, ca69d4d5a38961c9b1b877101be3bd26}
n: {n, 06eb93be88559547cb8ba0112eb6fd72}
okhttp3: {okhttp3, 080ce358bbab99d9d256fd2a48396aed}
T: {T, bd00f42db01988bc5e01c180ff1b0df8}
androidx/datastore/core: {androidx/datastore/core, ae8a5dc1530d863c47b30648e00da98b}
org/koin/dsl: {org/koin/dsl, 985c68bd89a9fb150d5a91504ab39304}
com/github/scribejava: {com/github/scribejava, 69b348908dcaf48c927a8e49bd29ed8b}
com/asamm/logger: {com/asamm/logger, 4331afe5ef067ee26aefe4d849da6d9c}
F: {F, 81f03ca00ac7da7078e0b922692260ef}
o: {o, 013cabac54876c934dfdf2d009ecb5df}
N: {N, 1925f2cd52f0fb526b01a1e62475027f}
org/koin/android: {[org/koin/android, org/koin/core, ], b4170ed6050d53be7c086d1a0498ddb1}
w: {w, b09ea44387c37dd9d7a2a2e210275b10}
androidx/arch/core: {androidx/arch/core, de2341a9cc6c740602f61d837b1f71a0}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 6971d66218b7a3b0fffd81cd0b098f3f}
d0: {d0, 66a0e5cadeb3ed1021d3a7e9619fafd7}
g: {g, 270313b1537ad53c3d55acbc3723fc79}
i0: {i0, 3f68592e149bbdf30cf1ef79ed1ec3b2}
org/koin/androidx: {org/koin/androidx, 3c592467ad6f862b7fb6dbf55b36c9af}
okio/internal: {okio/internal, be84e1b345ea2f30be233a2db0712688}
androidx/concurrent/futures: {androidx/concurrent/futures, c426825a6acf34546a0d99c4179561b4}
androidx/customview/view: {androidx/customview/view, 01724afdfe476a4865697d09a9063a85}
okhttp3/logging: {okhttp3/logging, b684f8849d307161e2f3cf27b37239ba}
U: {U, c16205b4c57823a53972d0295fefb898}
kotlin/collections: {kotlin/collections, 9b818820729fb9b3040411b4801ad3ea}
G: {G, 637d778bfcb2d044377473a7dc43a443}
h: {h, 69934cc48aead776c1c041c31e180a47}
androidx/tracing: {androidx/tracing, 8f8e2cae1f0d2ac7cc7a6083d45b648a}
p: {p, a869c6e2c268e34bcd1e8600073edf3e}
androidx/customview/widget: {androidx/customview/widget, 781077a18f31de1e7583027d3b10b260}
a0: {a0, d16dfcfa966a3435291c4abc3a6d60e9}
h0: {h0, 25bac4841eae8c443ff2aa5f56af5ed0}
kotlin/coroutines: {kotlin/coroutines, 041bf05b24dc55d9963f488cb365e26b}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, e93f2a4b1d4a31aed8cef7cbfa43ce53}
m0: {m0, ecd4ed6c681cc371fc06437c2fc28e35}
androidx/privacysandbox/ads: {androidx/privacysandbox/ads, 7462abf0225d0a6c72d9cdada6a97cab}
e0: {e0, 3a5a353d1407034f21aec9acd7c748f5}
kotlin/comparisons: {kotlin/comparisons, 22137b9c295421ee1edca6546dd538d9}
androidx/interpolator/view: {androidx/interpolator/view, 5ecd05c851231d6c149245d383f9310e}
okhttp3/internal/http2: {[okhttp3/internal/concurrent, okhttp3/internal/http2, ], 2977266190b72203db4a11cbd6f94e89}
V: {V, 6b4b27ff3b71c44c76acb0467d70ecd0}
com/fasterxml/jackson: {com/fasterxml/jackson, 08eca4249d9b8d1653fd97c4e4e607de}
i: {i, b038ef6f396e23d6fd6c9e0ba6f968b3}
androidx/paging: {androidx/paging, 8eea4b961cab9b864c0b87c0633718e1}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, b0ca1b8a423f1349e8eb129ac68d6019}
com/google/firebase: {[com/google/firebase, com/google/android, ], 91ae69a75f283ceee8d65ff9a24d2ce0}
q: {q, b072cbb5e79cca3855b50bcbc33911a1}
kotlin/time: {kotlin/time, e76cd58827f3c7dca8a82aa3f768504f}
javax/inject: {javax/inject, acf7ef943fdeb3cbfed8dd0d8f584731}
a: {a, ea870accf5097b515b48d456eef66683}
com/arcao: {com/arcao, c0c79ebb4ed06f008beef149b994a392}
kotlin/ranges: {kotlin/ranges, ffa0f3826a346883bda619a02c0ab5e6}
O: {O, 7a9632c0d5d0a1630964094c0c0695db}
W: {W, 0ffbc595aba1d0bfc1f15c14242645eb}
okio: {okio, 30ef3a23b567b5fe9fec12a735c2b6b6}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, caf7b13be5fab7b70b03d81cb952be02}
