androidx/appcompat: {androidx/appcompat, 2555f8866fe5501f764f9fb903103bbb}
okhttp3/internal/http1: {[okhttp3/internal/http, okhttp3/internal/connection, okhttp3/internal/concurrent, okhttp3/internal/http1, ], f5f55a82c5be3439dee19f5ba19e2aa6}
androidx/transition: {androidx/transition, 5cc5b797c17548077ec645615e099c36}
kotlin/random: {kotlin/random, cafeded9985b36542ea1996622f5e8d0}
androidx/interpolator/view: {androidx/interpolator/view, 561c23e33a4b5f7c33faf68878d12ac4}
org/greenrobot/eventbus: {org/greenrobot/eventbus, 53c93d58c5cdcd7ca1e287abed9a4407}
dagger/internal: {dagger/internal, 8faaecef724361af9f88adf68084b441}
net/rdrei/android: {net/rdrei/android, a6d167e3f5c1510ecf34e6e7c087415d}
androidx/palette/graphics: {androidx/palette/graphics, ceeabc549ed1d55e95613e1d6e1b17d1}
androidx/cardview: {androidx/cardview, 720b64a4fdb2901b792a907dc80ac357}
com/google/gson: {com/google/gson, da57bd6ce41927dd44be040321752023}
androidx/drawerlayout: {androidx/drawerlayout, 741c583a383b83486a1a92eb093e80f3}
androidx/media: {androidx/media, 19d8fec3b83693e34af4bf34d60df3ff}
androidx/browser/customtabs: {androidx/browser/customtabs, f4305095da0ace88bc2641d71e7eeb99}
kotlinx/coroutines: {kotlinx/coroutines, 210cb47773213831135529e3df86a0bf}
okhttp3/logging: {okhttp3/logging, 09520e9b316e8e72e71b731699670e23}
androidx/exifinterface/media: {androidx/exifinterface/media, 3ba62492dff750a772b4ab97c8a2561d}
androidx/viewpager/widget: {androidx/viewpager/widget, dee0fbf5267722a0327deb0f13693d07}
kotlin/sequences: {kotlin/sequences, 5cffdee9f3337d91e5e9a6e00fb6db6b}
androidx/customview/view: {androidx/customview/view, c3b3beb9393315adfa34bad026d4a89d}
com/nextcloud/android: {com/nextcloud/android, b83c82d4cfbc76444724a745f9e59646}
org/reactivestreams: {org/reactivestreams, 907475feef0ab7fa1cd750a3bc58c144}
okhttp3/internal/http2: {[okhttp3/internal/concurrent, okhttp3/internal/http2, ], 3271e5981a6aaa4008ac4aca0856c019}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, 4cf089de8b03f12cb9168ee563181073}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, f8ce048720318268772e29f167d98b81}
androidx/arch/core: {androidx/arch/core, 68dcf51e871c09f1169203cde7e3f24b}
androidx/emoji2/text: {androidx/emoji2/text, 4a086fcc48b63c096bf5963f5e8ebde5}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, f661564172df17a419dcab2b362c547a}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 99fae94234ac05aa559e7deea634d554}
androidx/savedstate: {androidx/savedstate, 03a93789bd7be32648b2887229973c23}
javax/inject: {javax/inject, acf7ef943fdeb3cbfed8dd0d8f584731}
com/bumptech/glide: {com/bumptech/glide, b4c91d83d7e5401b11975c2dd1d2a751}
org/jsoup: {org/jsoup, 665738b73baa5f18f77386b091801207}
com/caverock/androidsvg: {com/caverock/androidsvg, 14ec90b22a24298d8a8f26be4e812a56}
io/reactivex: {io/reactivex, 42cbe5807e2a273f81724eaf6db3b4e7}
okhttp3/internal: {okhttp3/internal, e9f34d89a1ab76bb2529ee38bb8dd70a}
kotlin/ranges: {kotlin/ranges, dd22597b8579623544e542be37357cb4}
androidx/tracing: {androidx/tracing, acff8b6406b400d7d9dd134708d5ae37}
de/greenrobot/dao: {de/greenrobot/dao, 415b611fc11b633f2482e0615f595902}
de/greenrobot/daogenerator: {de/greenrobot/daogenerator, 437a739d77773cef7a5745290639fb42}
androidx/swiperefreshlayout/widget: {androidx/swiperefreshlayout/widget, 7858cae7d6be14496ba1374a174817e0}
okio/internal: {okio/internal, 110c518454f0c88b3e64529b0f58ac99}
kotlin/comparisons: {kotlin/comparisons, 17e1c78e995528b930058164eed73d30}
com/sothree/slidinguppanel: {com/sothree/slidinguppanel, 2596aceb0fd883f79b7243fbbe9556bd}
androidx/concurrent/futures: {androidx/concurrent/futures, 1c767e0c0fc0ea5461587892e7b91172}
okio: {okio, 03766b87867b3b7fc34fddd7766afdb3}
androidx/recyclerview: {androidx/recyclerview, 8c1e233e98f056a968b13c193c824e67}
androidx/loader/app: {androidx/loader/app, 88db4f356622a85023515694938dfcc8}
de/luhmer/owncloudnewsreader: {de/luhmer/owncloudnewsreader, f6db145d7d78dbc205abdfd964ffea73}
kotlin/jvm: {kotlin/jvm, e6df6bf5d1fc7cc14aabca229d3ebc96}
retrofit2: {retrofit2, 986c731b1493a69550868f610011d6ec}
