androidx/appcompat: {androidx/appcompat, 02124f4257c9e060854818cb425218df}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, a49093d9517c4a52bd3feade3819b01c}
androidx/arch/core: {androidx/arch/core, 23e79d65469d82e26353bc325581681a}
kotlin/time: {kotlin/time, 5c45b1109ecc6e770a2f4037d543ae26}
kotlin/properties: {kotlin/properties, 7b17590e1bdfb31b39aa5a28d044ff56}
androidx/viewpager2: {androidx/viewpager2, 8a4c5210a3c2b68aad773e66ade06575}
androidx/legacy/content: {androidx/legacy/content, 07faabcafda309b615198d4b582b9cb3}
androidx/savedstate: {androidx/savedstate, 1fe4c0a62ba0a35dd52d4feea6a12ea1}
androidx/documentfile: {androidx/documentfile, 405e864284a52aa0ff49fac74ee2910d}
androidx/print: {androidx/print, 26f5f8b102a2f3012b8e62df0ea2094e}
kotlin/system: {kotlin/system, 1611ffd7b3fe1a7d724238ba58f76ecb}
kotlin/streams/jdk8: {kotlin/streams/jdk8, 3c36af8783ef27c9304b21e4f02a1f61}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 465b910310fc0ec31fae6a8fc3644b4e}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/legacy/app: {androidx/legacy/app, 181e1722064f84032cda2c6fa939f581}
kotlin/ranges: {kotlin/ranges, f19fb6544fa7199a4653ba9ea9e17fc6}
androidx/tracing: {androidx/tracing, ddb54388e8e862499db6bd0ce25ce751}
androidx/startup: {androidx/startup, 86fcc9acd3be58c7de92432067895bf4}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, e0942df141e5bf9d1064732b009b82e0}
androidx/concurrent/futures: {androidx/concurrent/futures, a747627292a6de1bb8fd3e1d71f7ae31}
androidx/customview: {androidx/customview, eb3ab367ff2b705c6c43077aca7fd508}
kotlin/comparisons: {kotlin/comparisons, 64c0abc699b80f2b75c9a4422a3c7cf1}
androidx/window: {androidx/window, 01ffcc72d78a4dcb76ae5c1fe5553883}
androidx/annotation: {androidx/annotation, c7d60566bcf76344db4d1f1ace15aed8}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/dynamicanimation: {androidx/dynamicanimation, c088dee57aaa297b903272698d7ed6ca}
kotlin/jvm: {kotlin/jvm, 061c3b2535b8f19e323d4014cf64ef16}
