a6: {a6, d09d27de6bf5f2f8a94a5abbed843c86}
androidx/savedstate: {androidx/savedstate, 7358d4ca545cd58d136ea0f63bae9752}
m5: {m5, b55cd43b991e3c112f850e098a5668e3}
t3: {t3, 9c7de603e4aa89cc48ff59182c5d8a85}
j2: {j2, 39a6c74e24ba0ffb7c125af10d80ce4c}
v3: {v3, 704ff178ee6b614358f423e918ea0cc8}
f7: {f7, 5343cdf02de7946c3c13b3e6d64e34b0}
h2: {h2, 5d6d256f1e98a5615fd67955cbbf0b41}
n5: {n5, e34c60d09a43fab4d341bcd7c3b685b7}
u3: {u3, ce7c5695af0d4eb832d2005aa0a1c4ed}
r: {r, e6bb97c4de2ee29156c00a7a9cbf0f5c}
z6: {z6, f7506d490c02062ab2a18ab614f18d9f}
me/blog/korn123: {me/blog/korn123, c9d238706498199fe997c0d7054073f7}
f5: {f5, e3057502eced868b0bcb42efe78e7f4c}
androidx/appcompat/view: {androidx/appcompat/view, 3ee701290efc1d53aad3d95bdc75d829}
w3: {w3, 701fbee895b2c996244de4c19006d1d7}
z: {z, 460cd2f5dc72f5fd1559b66eed938daa}
r6: {r6, ba38c34e96a3adbd132c06f38390f067}
d1: {d1, 2a03a1206692d32030736cccf32cd234}
c: {c, 937f99edc7e6d0b9d595e77e04a44aaf}
k0: {k0, 68be96be410a46e68cadd79fee05fff6}
androidx/core/location: {androidx/core/location, 63d198d657239a073d2c1f6034daa6a8}
androidx/databinding: {androidx/databinding, 9bd883fd99a94df9f4858389a92f7fa1}
androidx/loader/app: {androidx/loader/app, b7a1e23f7fd216f06917e9e70dd01afa}
g0: {g0, 1614bf66c8a2a6080c5303fea7b44564}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, f99161dad2cc32e1de3aa48f781b9bdd}
com/tbuonomo/viewpagerdotsindicator: {com/tbuonomo/viewpagerdotsindicator, 597b343a5af4b090efa5f91d13ae14bb}
io/realm: {io/realm, 35425fac635ee3286308940f9bf195b7}
x0: {x0, 0c616d3a030377c91b6b3f1f7a92df9d}
b3: {b3, 3c35afdf615758bfb5738879fdee64d8}
androidx/room: {androidx/room, 82bf65cf5c3dcac5e714244d55fee0cf}
w2: {w2, e1007172b4f1aaa190fa856b29d6bfaa}
q2: {q2, 46d1a85d0dc32c158268282799bd4d83}
e4: {e4, f6d1afc27b8f48aae5079953ccc7da57}
o2: {o2, d1bcfdd9779bca954198a56668d0ca1d}
m3: {m3, e768801d71456bfd08dee734896c5eb9}
i2: {i2, d441bdd5b45b2389dd8049d82afcb21a}
androidx/lifecycle: {androidx/lifecycle, f326023e40de0f685b1bb370d6b3bb1e}
com/simplecityapps/recyclerview_fastscroll: {com/simplecityapps/recyclerview_fastscroll, 5e1aa9a324c1a6ae2dde7e4cbe929cdb}
c3: {c3, 23f2d1ba3eb8197d2ee2df45a2d6e9e8}
a4: {a4, 2595c65dd38031cbe3bdc2ca8795f50b}
h4: {h4, caa28cb669a378d941526ed6bfe8a345}
t: {t, a3c356e292ac15d844f254860091019e}
g2: {g2, a2679189e75e5146d2a16269f652745c}
androidx/media: {androidx/media, 55b809396aeab5b56261d11f0a2b2171}
j3: {j3, 9b5ffbe531bbb9d39b125c8a040265e6}
android/graphics: {android/graphics, 06896e761bd4e3222a4c11f9e6b87607}
m4: {m4, 8a4b961f3a0a662582e744ec0e2a4241}
t4: {t4, 19aac6c366d1d2d0feb668c4eba8ddda}
u2: {u2, 069a1b6edd000aac3e6cfb07dd87a633}
s: {s, 09908170a149f96cc3250a713ebb34e3}
d: {d, 9e5956747c2d078c9961794ad5506a84}
android/os: {android/os, 9f278ff9101be3ff5d71523f79afd7d9}
h3: {h3, 704e52909fcfe1deef7b858a96b473fe}
n2: {n2, 1dc7fb743ac8680c6587fba5174da392}
k3: {k3, a3610a1e158f26b42a99ce994887134d}
p4: {p4, 598d3e15401d981d8575ad6ee5985383}
l: {l, 364e103128ad45868b87e6779a2baae6}
y0: {y0, f5c2a6d505bb91bc09e963dc772c8f92}
f2: {f2, c57845fdf77bd48981a6c3d3426bbfde}
v0: {v0, f5d669a5ae6b507bb8169992ef9abcd1}
androidx/multidex: {androidx/multidex, 6c0ba9c8a16a7b3cc86a1b69e9e5e221}
d2: {d2, cbd4f6aae75e5786cd838c5456641f33}
q1: {q1, 62e4845ecbe81e0cd995a9db1ac9ac2f}
i: {i, dfeb9dbe256f29bbaa1b38e9cc1c3f1a}
x1: {x1, 0701de5a61b1f71e70b1f921e67b3469}
g3: {g3, f81253bb8bf86c43bca42b3ce6b00efe}
androidx/browser/customtabs: {androidx/browser/customtabs, ff113d59624240a8e15a665b94e85311}
androidx/viewpager/widget: {androidx/viewpager/widget, 0ecc3449127faf61b739b75cb27da828}
r4: {r4, 0f8f7c7a078d759b24b09d6263e42100}
y5: {y5, acf7ef943fdeb3cbfed8dd0d8f584731}
b0: {b0, 850b0f5e5aabff7374d0e6434ccc2b26}
m2: {m2, 933cb400bcfebd546d8ba32a15219141}
s4: {s4, f4a5c4a2609482e4fe137a691c8b7c05}
android/system: {android/system, 4544139d8c8ee179ef0a7ac6fc3271ca}
d7: {d7, 7d2e13e63c711c45b4672188f13b3949}
o5: {o5, d27b71d72ae5ba8e8772c615b05820c0}
h5: {h5, 2f1cdd2f81d0576221d61943c440c54a}
w5: {w5, d497bc86c063b2d6b1709d1f0414f0a2}
c2: {c2, 884c05d6aec7c653976f504dbc2e6d72}
a3: {a3, 5256bd1abd3eb3fd042bb1dcc78c291e}
z4: {z4, 14058bca9b61f6974a52fd8310373665}
androidx/fragment/app: {androidx/fragment/app, 39a8845e4d2575142582d0d189c64a87}
t5: {t5, 8f87abebb958ea9e7988854b811266ae}
j0: {j0, 5103e28116ead8fbb38421a85b72c3d8}
l3: {l3, 14acd228a4bfe95af84017a7f07c3bba}
android/security/keystore: {android/security/keystore, 9ca30133fc705d9b4bb0a4c786664919}
n3: {n3, 067cd79e91ccc77efec4df60c7b8545f}
u1: {u1, d29dc87fda14c48d9bb7cf40df63bfda}
e: {e, 690c41e2bbbd9d98343700b9737b82b4}
p5: {p5, eb9daf6190c2a92d930cf651377e2713}
d3: {d3, 94b0ec11cc92cbe72d9644bcc3410d64}
f3: {f3, 6987ef8ba92e85c79c04f6592d22a4f5}
k2: {k2, c838f6a30963532d5bb1056b8975e899}
com/werb/library: {com/werb/library, adb139dfee791a1cb34d08c634beb7f5}
e3: {e3, 5ba24eeaba0d2f59222df582b58c8b6e}
android/hardware/biometrics: {android/hardware/biometrics, 659a6ef0cd0c2fd554492c5a21e14724}
v1: {v1, b95a7c0eccbd5ccdc7ac4910fa13a07f}
android/app: {android/app, 4bcec207d122d870cf49f2b0e15a9de6}
y4: {y4, 810385ff7de6f5c9a33b467197591648}
q0: {q0, ccebe9da18479b26383dd40baa2e44c7}
f0: {f0, 6561532236ba4c534fec8d69c3cf20a3}
c5: {c5, 51a0b8aacb170c91c88772a507b7fb8b}
w4: {w4, d57e86ac64175de8d2ab1cd028cf56b2}
androidx/profileinstaller: {androidx/profileinstaller, a130edf02a9ca94f697775f4cb77bb83}
r5: {r5, ee724ff5b8f88948c1f24c0b7a8f6e67}
android/hardware/fingerprint: {android/hardware/fingerprint, ca492b472cfef67d7f0f637f44b6015b}
z2: {z2, a05cca6837f4a1b4f74b34e36ddbe429}
o4: {o4, 7731c9d268d1e85a0829ec94c4bfed7a}
m1: {m1, 856f80174131bf92caf34727ce292589}
b4: {b4, bcf7903b0a774a9a15281e8403ab7c52}
x2: {x2, 286c0561432b09968ba392c4aa392901}
v: {v, ba454130fce778e15440c6bf416cd8ea}
a2: {a2, ebb80a7c6df080e6d5b78889d9175482}
h6: {h6, 933186ffef6ad4d8c12a7bb05eb7d915}
androidx/core/text: {androidx/core/text, 36bca64231b12566eefb6026f8a68070}
androidx/core/app: {androidx/core/app, d6b047a660cc01210f5a8ee7c3f86d17}
n0: {n0, f06a7f6314a2cb6c2696d25f653f15aa}
u0: {u0, 9d23a1d15bce823e86485b8bb8bb59c0}
k5: {k5, d75afacdd61589b7dac95f8e074bdb07}
z5: {z5, b3c411ab0ea6c9d916144a708518c0a3}
i1: {i1, 5eac43e855a7d48c82626d3228706bad}
f: {f, 87b71b099e1ff2205ff91d23a4040a81}
v6: {v6, 8790724a4cd9d1e6ce425e78e840643b}
kotlinx/coroutines/scheduling: {kotlinx/coroutines/scheduling, 4c590f107307bdba959f08aab852e382}
l4: {l4, a9c12002e982159c166f6d542b6e1def}
y6: {y6, e3184bfd3f342b14af90afdec0f12c0d}
n: {n, a1874f4c7829208d090c4579b3caab99}
p6: {p6, 67c9d6a156b792a8faff95999e041a9f}
d4: {d4, 03251c567c83b96b9a0fc181f053b7fe}
e2: {e2, 3bb504a9e614f7f075e7116cdf9b00db}
t6: {t6, 4fe5bad378bd4ffc20582a9acf87b0e6}
j1: {j1, bea314c85834f0cd61823c2bdace371a}
u: {u, 375709cc569ec5aef2a1cd7625949cd4}
androidx/core/net: {androidx/core/net, 86cb9e4748cf4b5befbfed1135cbbf9d}
jp/wasabeef/glide: {jp/wasabeef/glide, ae035dea62d7ee3b6ef8c8c0687691ef}
android/net: {android/net, f331d3083df167936018047754ce7ec5}
y3: {y3, 36880608a381ba25e64e0621935b9669}
c4: {c4, c6e02433d47599f97c3e871cd0133ef3}
s6: {s6, bd01ec3e3a9f4fe0e0cc8c33458b5976}
s1: {s1, 59f86c5ef73f3b97709ad224b58289e4}
o: {o, 24d7858b9d107ea48953669ff912832f}
f1: {f1, 9033b42606119486feb3426f0f70e7ec}
z3: {z3, 597e1a56a8c7d1716a4b25ccf016ea69}
androidx/appcompat/app: {androidx/appcompat/app, b70e5bd3a682cb07ed9ce120b0ca68ae}
h7: {h7, acf7ef943fdeb3cbfed8dd0d8f584731}
n6: {n6, 6b8e8c6a346fd31c490d973ee37f6cd9}
w: {w, 98f62613700672731b66a1e0a72a5f1a}
org/apache/poi: {org/apache/poi, 15a49796375da49636e9137eb1b1e800}
i7: {i7, 5ed26742e66c6f4d5264b6a93c54a6ea}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, eb553a11d6604165dd32e7f52de7722b}
androidx/core/content: {androidx/core/content, 00c6b2d3672b8a210da7cad76acc660c}
android/animation: {android/animation, df478feb8753f1cac686d089a780a575}
g5: {g5, 25481272f7094662a53c9d68487a3671}
k4: {k4, 401c293475c343b5564c8e70040d7214}
n7: {n7, 827333bcf7431be8973334f9901bcb01}
s5: {s5, 1cbdd5e58855afef71e956023d83f2f1}
g: {g, 377cfacd528262d1fc8cdc0186dc6412}
n1: {n1, 43b124a6aa3bc6fc607deeec67666e53}
androidx/core/util: {androidx/core/util, 527543453a8ef426bd16ff00a67cc734}
b1: {b1, dd76a63adffc27a271230b2304b3947d}
androidx/biometric: {androidx/biometric, 93c5857253579f48e30015de14213c62}
l5: {l5, 160ddfd6da309c8ee5e14411ad4257ff}
i0: {i0, 44aef55b9964a8779e05d71133106e68}
jp/co/cyberagent: {jp/co/cyberagent, ab3ddc1d7d1fdb3d06259c6b37a00edd}
s0: {s0, f8f13228bd0c7471ac0744924f6b8ef1}
u4: {u4, 4065e91cd69f370d8ac2488d9732b743}
androidx/concurrent/futures: {androidx/concurrent/futures, b45c670a2db9ec343c139bfa9fa61c5a}
com/google/common: {com/google/common, aacc93cc5195ff053dec449dd78ad869}
r2: {r2, 460286e4837ac4201b5e35591cd86ddb}
com/antonyt/infiniteviewpager: {com/antonyt/infiniteviewpager, 6299a4f6816173d7adbd78cc84dfa29c}
e1: {e1, 17c47d3e7777eb33b93701afcbd75ab4}
androidx/core/os: {androidx/core/os, 8210b955946c01b2328df92b86b99d5f}
j6: {j6, 05ad7137d3e47d41c895969b9ba5a779}
b7: {b7, 8aa34f60ff74cc2455388d69774dcbfe}
androidx/startup: {androidx/startup, e141da8186fa28998d916790ae9b5a26}
w6: {w6, 5ef2fb9f67703ad9a86ff2c0c4fc0c21}
androidx/customview/view: {androidx/customview/view, b5cdfa065e3a3b75a289919ef247c136}
h: {h, 7b94bdc1a54ca228d8dcd8cbdb2ed1cf}
s3: {s3, 4c45839b54ddab1bbb69c102ab513297}
com/xw/repo: {com/xw/repo, c5b00025db3f86ac72bdb837c2991144}
x4: {x4, 796cdfa81465ae571c91b3b9595bf066}
androidx/core/view: {androidx/core/view, 95c34523dbc86478034e355337345747}
c7: {c7, 639a7284950b5684c2711914426463e2}
p0: {p0, 9d7056f0136f72394f66e6fb5b470f46}
p: {p, d1be9125e3f06878cb95a96d8c3cf64c}
androidx/emoji2/text: {androidx/emoji2/text, 08c3ffa4daea63c7b3338b8d59fd072f}
androidx/core/provider: {androidx/core/provider, 3a19ae1c129ab9f9ec385a9297b8a976}
z0: {z0, 9321de0774a7e12e35bd2a8efe412abb}
a0: {a0, 156ec2361d7f517ea66e6e0b47aa0bfd}
h0: {h0, 6d245a0972f73ea3b7556710586e4a93}
i6: {i6, e56dfc0a49d8fc94b7be3439105fd723}
g4: {g4, be214cecf75f3daf863820b845012f66}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, 3d09f38421b442c38c945764fb31e38f}
l6: {l6, 563beae80428aa2fa4f51c37a7b2d579}
u6: {u6, 16db915fcdc5d41c2acd3aee366faaab}
k7: {k7, acf7ef943fdeb3cbfed8dd0d8f584731}
com/roomorama/caldroid: {com/roomorama/caldroid, c09469ce68288a0d9ee015055419dd3d}
m0: {m0, acce51634641fd1b88be6af8dcf0883e}
b6: {b6, 05879b8f759f743dfd12a0881cce8295}
v4: {v4, 71b6c5456ee495feb3425a02ca85422b}
com/github/amlcurran: {com/github/amlcurran, 01b6a183fd9e851e94aaf606292be576}
q6: {q6, ad190978b05949e1629a52badb75627d}
e0: {e0, 81834cc07a25e883b05ffabc09206b66}
android/icu/util: {android/icu/util, 0c248c7ad95169e1412945fd6b802162}
android/security/identity: {android/security/identity, c4e9eeb25e17c46354752ac4239a9772}
r3: {r3, 505eb6052f8184e32faf9f619b00937e}
android/transition: {android/transition, a8522f0bc8656146eeb074b655f45770}
androidx/viewpager2/widget: {androidx/viewpager2/widget, aeb39f5c57a73346576fde594904b740}
f6: {f6, d1f2de6d78e80810e1010a1f93861665}
j7: {j7, e2668b7538b28ab0660a5e784fc3617c}
c6: {c6, b8c073e5936b412c639746a205932a5d}
a7: {a7, 3c12fc6b8f55fab0318e6b22ba73f244}
y2: {y2, fc4c120ef4613ae6af3eeac62de749e1}
e7: {e7, cbb13630da2ac4d7a916514cc7fb1942}
x5: {x5, bef589f03e4b3c09bca03a2d5cfe07a4}
l8: {l8, 93ff435ebf3f682f913e940375b7ea20}
p1: {p1, 8fdbb41da236b118b46f2e8d008dade8}
s2: {s2, 7957ccba801fa83f672125edb1c38c99}
androidx/work: {androidx/work, 85719bc3c439b1788191c89cd885a6e0}
g7: {g7, 51d73fa30d4f71c64dc218652e383cac}
android/text: {android/text, 117ed4299dddfda5bd68dbb0e9e24a79}
q: {q, 5749391d6bf12b3765e4426a074f715d}
h1: {h1, f40d035f5df626a3d20ba13d3c2bdb49}
n4: {n4, 1bd05dec8a098e92e7e447eea9750a66}
android/widget: {android/widget, 67f4fd7dd29480ce1fae696f1d829225}
y1: {y1, 1bf58bbfb3ef98860ddafd2c0db1a133}
o1: {o1, 60419f2082fbeb477d8b7b8a0080f5fd}
i5: {i5, 753dd07387c81f003c02a5cc1034cd55}
kotlinx/coroutines/internal: {kotlinx/coroutines/internal, c2bc719f9c62c1359aca9e2e4180a6e2}
v5: {v5, 637efe7d1898d7537e42b5d524d522a4}
a: {a, 120f340629ac6dc37efd1fb5ff8e52af}
l7: {l7, 338de79e3ed2c2ed720793cd50910840}
t1: {t1, 6b954c6b5e71e174466f72b785448e25}
androidx/versionedparcelable: {androidx/versionedparcelable, a345a6ebff7d3e0a1c5619fabcb0180a}
com/bumptech/glide: {com/bumptech/glide, f47788efcda58afbd4ca64a7a7ff2642}
o6: {o6, f425c4a0471a89ce0b1c1b942e8d1c80}
m7: {m7, e3c0a425ec2c47b67599a8ff5554c565}
j4: {j4, 2bdd61f91d015552dfa21a5b27e577b1}
w1: {w1, b3258934575ee541021b490cfe6007f9}
q5: {q5, 29bdf5a8cf91c435ca9557fe46dd3675}
androidx/recyclerview/widget: {androidx/recyclerview/widget, 37c4e0639f65cc823516f374044db474}
okhttp3: {okhttp3, c6c925814b80a596632ae8562b30fd8b}
x: {x, e6f2ee8a56161c2cdb2686b020b577f3}
u5: {u5, ffb370fe10091688e1876685b6315786}
k6: {k6, dad81fdc41f6d2a82b3a0633d344a926}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], 020eb29b524d7ba672d9d48bc72db455}
com/zhpan/bannerview: {com/zhpan/bannerview, ea043a18d8abc7137f43e73d025ac3dc}
r0: {r0, 94ac455972da31ca3c6d65dc76d53248}
