androidx/appcompat: {androidx/appcompat, 8350650a3d9f4f615e9afa4309eab5bb}
com/fasterxml/jackson: {com/fasterxml/jackson, c918c4ac891963193f99360f84f9c051}
com/google/android: {com/google/android, 231faac81395e97b57d570742fce705b}
com/github/kittinunf: {com/github/kittinunf, b8a6013a7520d2a8b8ac6aebb276deaa}
kotlin/concurrent: {kotlin/concurrent, be46e54d1e6e6287363afededf1636f1}
kotlin/jdk7: {kotlin/jdk7, b6d7522126e7bebe2607a343d967bb6c}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 02b0651bb29005f182483562d1566cb5}
androidx/arch/core: {androidx/arch/core, 4aedd1b836e501b0e82521ff6824fb7f}
kotlin/properties: {kotlin/properties, 6cf0597105a3243296f2642d40748732}
androidx/legacy/content: {androidx/legacy/content, 6f17542208ee49d01c4f55a89a691e19}
androidx/savedstate: {androidx/savedstate, 5e728bd2add31b53e4a8f6958878e0a9}
androidx/documentfile: {androidx/documentfile, 0abddce32fb23eaf16d5ba98aa268b58}
androidx/print: {androidx/print, 4012429ae246dabc2fb4ab300471c99c}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, bd448a92f0df47d4513c64eddc990459}
io/reactivex: {io/reactivex, 9415462773aafaab539d84536144103b}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, 50fe2150bde17e3e397535688c9ace9a}
androidx/legacy/app: {androidx/legacy/app, 062cdfa6acbd2876b4c02bb6b6404f04}
kotlin/ranges: {kotlin/ranges, 2f46f9cbf1c7f475418e042f9d0ecb9f}
androidx/tracing: {androidx/tracing, 1691b9585cc135c6595781ab31216573}
androidx/recyclerview: {androidx/recyclerview, 106b451b90f28735041069245481479b}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 375a9cb174f483170d5cb09b8219a001}
com/karumi/dexter: {com/karumi/dexter, 341c7b06a6e666eb4ba13fe87299dd83}
androidx/customview: {androidx/customview, 3eb63dbc7b8120cbc2f43a1c86e199f0}
kotlin/comparisons: {kotlin/comparisons, f938eca51bf5cce156c20056dc108102}
androidx/annotation: {androidx/annotation, 30acee34a8172360df63e7232b20bfca}
kotlin/jvm: {kotlin/jvm, 2c4a3e29845c06ad58cd9d23e0f74912}
