androidx/appcompat: {androidx/appcompat, 5249554f88f688e3bcce4a3aff65bb95}
yuku/alkitabfeedback: {yuku/alkitabfeedback, dca914ff80e2b244c721906f67ae9099}
androidx/lifecycle: {androidx/lifecycle, d85bf0fff0ec20e848ce92463e8f5532}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 2b57087c7b1a3762e1a4f6d59f933162}
kotlin/reflect: {kotlin/reflect, c3be504e5b2ba75bf1fd31c01d1ccf2d}
me/zhanghai/android: {me/zhanghai/android, 10914eee6faf6904605cd1e5a0cdb722}
kotlin/text: {kotlin/text, 15524d4a406a159e4139025ff73fc667}
androidx/exifinterface/media: {androidx/exifinterface/media, 85b8f5df45297cd80b90b674f059a88c}
androidx/versionedparcelable: {androidx/versionedparcelable, f28204942f57fd23e1d66bbb636a0bbe}
okhttp3: {okhttp3, 6e9aa48babd46b7a0c008698a06a11cd}
androidx/core: {androidx/core, 0abc884ee10f79507d603fa9e27e02ac}
androidx/collection: {androidx/collection, 53fbb7a0c57ef9192d90584aa67b7555}
androidx/transition: {androidx/transition, 004d83ecebec0b545ae9cca7b00906e3}
coil/request: {coil/request, 34edb61e8327a5a1623e63ec9f70918b}
coil/collection: {coil/collection, bc3896fbdf6cb22178302f600dc1162d}
androidx/multidex: {androidx/multidex, cf5c4004055f17bd2bdd267d293025f0}
coil/bitmap: {coil/bitmap, b1a5d89e0a1b631396b72f72793b7130}
com/compactbyte/bibleplus: {com/compactbyte/bibleplus, 79646232fb2e87d61e59cafeebea76b9}
androidx/viewpager/widget: {androidx/viewpager/widget, 5dfed104dee4c3dbad0243b51b3dad2b}
yuku/devoxx/flowlayout: {yuku/devoxx/flowlayout, d3731ecef4d9b3478922f756c5a14b7b}
coil/target: {coil/target, 3ac9bec9a693148e7907c2fca94f4d90}
yuku/alkitab/datatransfer: {[yuku/alkitab/model, yuku/alkitab/songs, yuku/alkitab/util, yuku/alkitab/yes2, yuku/alkitab/base, yuku/alkitab/yes1, yuku/alkitab/io, yuku/alkitab/datatransfer, ], 929781d3a93777e5d33c7f505018d256}
androidx/customview/view: {androidx/customview/view, c3b3beb9393315adfa34bad026d4a89d}
coil/network: {coil/network, 318d406f2948b3c877571c2c49561c64}
androidx/recyclerview: {androidx/recyclerview, 218e846f17eaa517fd94b83286ffaebc}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, a79b222b97bfab40279091f44dd6a80b}
kotlin/jvm: {kotlin/jvm, ca41c61f8dfc1e1ad787e0de4077eb0c}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], cb4b7e2eeba05308da0971d7398a72ec}
coil/size: {coil/size, 91c1c6166dacc34dd73359a182c69c47}
yuku/bintex: {yuku/bintex, c2bf0e091cc2c9d56b796153fd92731e}
kotlin/io: {kotlin/io, 9607be9936c9488be149ed283aed0b1e}
kotlin/time: {kotlin/time, 64d9a4cd8a646a9eff5cd9369d89a12c}
com/mobeta/android: {com/mobeta/android, b46c27bc39382bf7de6d63b35097ec90}
de/jarnbjo/jsnappy: {de/jarnbjo/jsnappy, 0ce98cf7e4e7c2438dafa749eaa20ab7}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 9e1c9b7153cee49c240d062068dcbf24}
yuku/alkitab/versionmanager: {[yuku/alkitab/model, yuku/alkitab/songs, yuku/alkitab/util, yuku/alkitab/versionmanager, yuku/alkitab/yes2, yuku/alkitab/base, yuku/alkitab/yes1, yuku/alkitab/io, ], fd1e141d8c5520f614e3c08e79892de3}
coil/memory: {coil/memory, 54d8f876d392bc7ded5aaa86d09faff8}
coil/decode: {coil/decode, d31109d93d9a6e129be6390501747d38}
androidx/arch/core: {androidx/arch/core, d7a59674edf8a5f76fdc69cd8b5c5361}
kotlin/properties: {kotlin/properties, 7b5346eb40bf246a8bfd59f8e317ac60}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 3d6cc7ccdd0d6e114aec22fc4f3725d9}
yuku/alkitabconverter/util: {yuku/alkitabconverter/util, a76b75f4f0fb675d3a3ffd3a16d4c09a}
androidx/legacy/content: {androidx/legacy/content, 8a39bbd73760a64d9ad80be7b2c3c9e0}
okio/internal: {okio/internal, a379a490e64251b248ad0ebabe735ef1}
yuku/alkitab/tracking: {yuku/alkitab/tracking, f3ca254e6f3c2f0045240b3036646231}
kotlin/collections: {kotlin/collections, d343c3f2dfd33b19eaa1570e33ab540c}
androidx/fragment: {androidx/fragment, d8b40c377fd575cbc1302884babcbac3}
androidx/customview/widget: {androidx/customview/widget, d560fdc3ecc3881f57f97de1eb336adb}
kotlin: {kotlin, 02a2b8b1d92b591da48a51550aa1a263}
kotlin/coroutines: {kotlin/coroutines, 7a3943c71e4b09c1a1f2ec2db894eaa3}
kotlin/concurrent: {kotlin/concurrent, 39d6ebf8c7a20abbe56fc53d86bbc1d5}
com/downloader: {com/downloader, a47de35fb7f95ef54af921f2ff069156}
kotlin/comparisons: {kotlin/comparisons, ebdcc9c5ab3ebc6375c2308ad1f533d5}
androidx/interpolator/view: {androidx/interpolator/view, b0cd30ad7edc905a01d8c1d4b1903fa4}
okhttp3/internal/http2: {[okhttp3/internal/concurrent, okhttp3/internal/http2, ], 498704b868de63973d49acc9e0f4d336}
yuku/kpri/model: {yuku/kpri/model, e17fceeac5c427e8d2b82472475139b1}
name/fraser/neil: {name/fraser/neil, b862012ea62a5a63fc43c5e0101cc250}
okio: {okio, 677845bfdee6a9e568aaf05edd822cc6}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, 329e6b2db39bf55a6d96ca499582a62d}
com/google/firebase: {[com/google/firebase, com/google/android, ], 20747cdab924dbc8b5e788b473219454}
androidx/emoji2/text: {androidx/emoji2/text, 3257146c24b5c6f8cf2b5eb252c95e62}
javax/inject: {javax/inject, acf7ef943fdeb3cbfed8dd0d8f584731}
kotlin/ranges: {kotlin/ranges, f5cdfb98f926c54736ca86589d25d21b}
androidx/tracing: {androidx/tracing, 374de4f681a359c89397f5040835f60a}
com/google/gson: {com/google/gson, e1e9105dbb37a17de4fb4612a8157743}
coil/util: {coil/util, f0f6d709bbf36dfbf1b8f06d9ac307fd}
yuku/ambilwarna: {yuku/ambilwarna, 76d752766856a9583ea64eb2a2971c3e}
coil/transition: {coil/transition, 6106fdc2d2e4c1c3b7005f0b2660e5f5}
androidx/drawerlayout/widget: {androidx/drawerlayout/widget, 43ece4a4c3b50e7b1debefe2f0228134}
