androidx/appcompat: {androidx/appcompat, 2039e4b10744519fb6032c72b89dbbed}
com/mikepenz/aboutlibraries: {com/mikepenz/aboutlibraries, 3ced97a32ca09f4541ac26d359e8bc9d}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 01acd8ed732c0908f118675173860850}
kotlin/reflect: {kotlin/reflect, 82645d0b3c7bafa783567b3f4d0cf468}
org/conscrypt: {org/conscrypt, 431dc7cfd86a5c3514b0dea328989da3}
kotlin/text: {kotlin/text, 2aa78f936e296f73a942aebd7f0a91c9}
androidx/versionedparcelable: {androidx/versionedparcelable, 362e127a67d2574cf9a48c220d509d44}
okhttp3: {okhttp3, 3882509a78db2ca27ca8a1db4f751348}
android/view: {android/view, 4051f7603a40d4c52dbcbec105c0dbf3}
androidx/core: {androidx/core, c1f0da6f932fc4a7ef5fc554b41b390e}
kotlinx/serialization: {kotlinx/serialization, e23a6213b141950103faf11528914b1e}
ezvcard/parameter: {ezvcard/parameter, 2c252eec53866e72cead82b533990cf7}
androidx/transition: {androidx/transition, 6167b8b7c444b3a444c145b0f321bef6}
com/fasterxml/jackson: {com/fasterxml/jackson, 848718485a84b30ad240efb7c8c9d6a7}
org/slf4j: {org/slf4j, a0ba63f704183a36653badb62cc79438}
androidx/browser/customtabs: {androidx/browser/customtabs, 5445f63342e3ec5242a845c79d0fbcce}
okhttp3/brotli: {okhttp3/brotli, 9cbbf01f88b6a2dfe76ab1942afaf531}
com/google/android: {com/google/android, cef1f4b89b25b48c74abd47893b5498b}
kotlin/jdk7: {kotlin/jdk7, 10b49fc88c76afbee0eb56cda820ff51}
android/app: {android/app, de1c2b92945417ecd988923d07abfa41}
androidx/viewpager2: {androidx/viewpager2, 366bbb31796fe8885148e63e79255c33}
androidx/customview/view: {androidx/customview/view, 416eb9b0775e4fa8a6566db75d18b28a}
org/apache/commons: {org/apache/commons, f0ac999daaff6916054db930f8fc5d94}
android/support/customtabs: {android/support/customtabs, ece7668a976a112c6f7cb6d7cc3c16b5}
ezvcard/io: {ezvcard/io, ec8294d22791c022401bfcc75a08a410}
androidx/recyclerview: {androidx/recyclerview, a5505e30cf63b38e9d46c07d2458ffe9}
kotlin/comparisons: {kotlin/comparisons, 40f3d475a583b28c02b244f4d1fdb477}
com/google/accompanist: {com/google/accompanist, 1828118f77f432d94081151feacd7ac9}
kotlin/jvm: {kotlin/jvm, 0dbbdc1a039c248f1df8a08fc3ef3f99}
org/jsoup/select: {[org/jsoup/nodes, org/jsoup/select, ], 606103a5651f9034678b2c0c06b69ae8}
kotlin/io: {kotlin/io, b69c9020966a6a8030b4be29d60593fc}
com/github/appintro: {com/github/appintro, d1e39e663317a840a9623e19ec6a6fb5}
androidx/compose/runtime: {androidx/compose/runtime, 4975ae325e19a7a5d2d2998f119ad28e}
androidx/profileinstaller: {androidx/profileinstaller, 0fb091d3bed559f56be048ac1565d0ba}
org/dmfs/tasks: {org/dmfs/tasks, a51f22709f100e57ab6943b107cbf986}
androidx/emoji2/text: {androidx/emoji2/text, 10de657cdf50e9ff98cf5d91b015bcd5}
android/net: {android/net, c4e9eeb25e17c46354752ac4239a9772}
com/github/mangstadt: {com/github/mangstadt, 939a28cc017017690338ce99fdc15b0f}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 279ccd1f502d49da63e9880cd15b8a09}
androidx/sqlite/util: {androidx/sqlite/util, 46d0be06680936d761777c657e062f0f}
org/xmlpull/mxp1: {org/xmlpull/mxp1, 52a68cf2726ea531044669e0d5920d07}
net/openid/appauth: {net/openid/appauth, 2814791984356fbd33deae1e23c22c6d}
dagger/internal: {dagger/internal, 1182353a991e9750ae6d5547281c1263}
javax/xml/namespace: {javax/xml/namespace, 6fcfbe4dd2bf38bfd4191a1fb9543b62}
kotlinx/collections/immutable: {kotlinx/collections/immutable, fdd8bb21e327e7f42b2be9f982a0c411}
androidx/compose/material: {androidx/compose/material, d4c7191c804e72a3c84e7b8bfa8b1917}
at/techbee/jtx: {at/techbee/jtx, 43a0f8fabff75a7e842c223bd4fedf04}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, 6d4298811fe39d7c383a9e7b5b4018a1}
androidx/arch/core: {androidx/arch/core, 731cec409a750292d3c4aeed6e4ce94e}
androidx/security/crypto: {androidx/security/crypto, a921903f9e28610ba9523f4097cde2c0}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, b62ba03f7965599da1a1252e0f6dc0af}
okhttp3/internal: {okhttp3/internal, c4b769c8de5214401becd59f96ed4ee4}
ezvcard: {ezvcard, 5ae1655adf7de1c4737dc2835acdc55f}
net/fortuna/ical4j: {net/fortuna/ical4j, a2752170cc9632b5d58a5bf98b485d8c}
okio/internal: {okio/internal, d82cb8931690886e3e38d526855e7364}
org/jsoup/parser: {org/jsoup/parser, 682dbe17af482dbef225024e051f978d}
androidx/concurrent/futures: {androidx/concurrent/futures, 8e8dbe337e4b4f6c7ddd7ca966309bc1}
kotlin/collections: {kotlin/collections, 119fb6eecd8b042027ddb33d7f78bd3d}
org/brotli/dec: {org/brotli/dec, 53b7945a2557fff2d290b5cba780ca90}
androidx/fragment: {androidx/fragment, 12e19ded519862eecc873cb2fd1554c5}
androidx/datastore: {androidx/datastore, 56b4d9ce799f56dabfb6e5582bbf1842}
androidx/customview/widget: {androidx/customview/widget, c26cbdaff6c6af093deae56028af955d}
kotlin: {kotlin, cc78230e7f2b4d0eceda1bdb97c17341}
kotlin/coroutines: {kotlin/coroutines, 9a06b353f8e4b794681ece6dcfd0d126}
kotlin/concurrent: {kotlin/concurrent, 0a0f0d55c14d295c5f8d044eef6d675b}
dagger/hilt: {dagger/hilt, c865b16e1cfc910eb193450e12c46a7f}
j$/time/chrono: {[j$/time/temporal, j$/time/chrono, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/compose/animation: {androidx/compose/animation, 3da10b8d23d48d30932c17f567093403}
at/bitfire/davdroid: {[at/bitfire/cert4android, at/bitfire/ical4android, at/bitfire/davdroid, at/bitfire/vcard4android, at/bitfire/dav4jvm, ], a01dc387c1afa1f0dc54108fc0b81cfa}
androidx/interpolator/view: {androidx/interpolator/view, 550d9160df6aca4f53bbdd4bfb6e1728}
okhttp3/internal/http2: {[okhttp3/internal/concurrent, okhttp3/internal/http2, ], 1f169206171814149a0ac2585b53b977}
com/google/crypto: {com/google/crypto, a02c05400a4d87bcd85382b25ff539d7}
org/xmlpull/v1: {org/xmlpull/v1, ffd176b809aa30cfa1736b95281b9fe1}
okhttp3/logging: {okhttp3/logging, 9586ee17322d749cbd8d61c564a99793}
androidx/paging: {androidx/paging, 1b3fa8a3b19ac80dd4042ba74e9c57ed}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, 3ffc4c9c30213081d3380c11ac394fe7}
androidx/work: {androidx/work, b028ee4d5e79a8734e5d7dc7bea4de99}
kotlin/time: {kotlin/time, 778097fea74841565b3905f61a71bec1}
org/jsoup/internal: {org/jsoup/internal, 4997920d6807c769d32e3c36b447aa8b}
javax/inject: {javax/inject, acf7ef943fdeb3cbfed8dd0d8f584731}
kotlin/ranges: {kotlin/ranges, 72b52ec2eccc8243a137cc4a8ac3c5c1}
androidx/tracing: {androidx/tracing, 014c5d1145041fc1f429874c47700e91}
okio: {okio, ddcb6668fca30706db69c40d56d76ce2}
