a6: {a6, 7a609a79ffa485125b43b6cef5aadb47}
h: {h, 1d863ca1e68c5ed1c8097073dc9f0898}
s3: {s3, 71c95931a35a588a399ea7a41337d9b0}
x4: {x4, a4d7660b2af6e1d58faa25b09496e3ae}
p0: {p0, db16ef0828d31fcfffaeb5e927f320b9}
p: {p, 49d5e81900ebb1d44bae925d5c00d2af}
androidx/emoji2/text: {androidx/emoji2/text, 021d0d9951a787d639937fb0b3ec0de1}
z0: {z0, bb72657dcf6885940f70ce62ead35bb8}
a0: {a0, 81898cb71f9ffe65cb9f43c7c98f8d09}
h0: {h0, d6cfeddb78151e6e82d23407a875723b}
i6: {i6, ac18e70a6757d927c99f1ebb912b4d4d}
nl/joery/animatedbottombar: {nl/joery/animatedbottombar, 8e017c6fd6b7d3a8262e111a0ea82bc1}
g4: {g4, 7953a97dc357cd7cc652d53b587e1c6c}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, 57cb86b59de9451e51ede99d3e8b4be1}
s5: {s5, 5080c1f494c38487686cad082b241b75}
m0: {m0, ac4e514243b092f5632bc66fce0d9ce3}
b6: {b6, aa812ae09fbecd2e57f34c1adc16dcad}
v4: {v4, 9b773b498faa2e1344d1e8f30eb2444b}
q6: {q6, e9959f1b86e4c09877ff7d12618466f5}
e0: {e0, 12a47b4d810f11a9d1c3647a735b17fc}
org/bandev/buddhaquotes: {org/bandev/buddhaquotes, 9bbb898f8bf3490756060bae83a4497d}
r3: {r3, b1b50f72339c43e2c443fa386dcc17f6}
androidx/viewpager2/widget: {androidx/viewpager2/widget, bcf92ff1dfd613c5e241997a7209f312}
f6: {f6, cfbbe4a616bb4097a77bfd251c59bf6e}
com/maxkeppeler/sheets: {com/maxkeppeler/sheets, f475b69da6c121c18fc4d71e5b0dd135}
l6: {l6, 12ca1cfa2c725756b389aae318eef611}
d5: {d5, 548a80eae088c996b0c3ae554b43b530}
i: {i, 1f62cbea9272f89952b5cc1e9331638a}
p1: {p1, dce0b596601dc8d929719428f59faea6}
s2: {s2, 2174aa13381d0f3bd0b5d5bbda944960}
q: {q, b565ec6dc14dd2055cdb5397448e5a1b}
h1: {h1, b534e7311329cd894f8e60abe05707b8}
n4: {n4, 958cd07538392dfa22a38ef249c2afa0}
y1: {y1, 66d04f4c5eba839ba8e6b945f551b475}
o1: {o1, 20408944d0027c4e3bc17b9d46e50e2d}
i5: {i5, 296fdb2eec1d7172c38fd02a67efb4cf}
uk/bandev/xplosion: {uk/bandev/xplosion, 3747687c09a8487ee7f036b00bca8a3d}
kotlinx/coroutines/internal: {[kotlinx/coroutines/internal, kotlinx/coroutines/scheduling, ], 4e5714fd4d326d535c3e07b62da9905a}
uk/bandev/ueh: {uk/bandev/ueh, d8f15c52fe067351bd361913e4968af7}
a: {a, 747007743ee9b7936d758d2141251e81}
androidx/versionedparcelable: {androidx/versionedparcelable, 9d566c8bb72bf85d0f4cf8e4e857ebc9}
o6: {o6, 70348951bff9a444bb66fbe6bed33076}
j4: {j4, ceef058711933c06ae0740b7a24c213e}
w1: {w1, 7083a8c1b978237c1a49e00d080bbc77}
coil/util: {coil/util, da6c3df74dfc5da4eae963e6a5a777ea}
q5: {q5, 63cfa8d6bec19c85146ee96012d26134}
androidx/recyclerview/widget: {androidx/recyclerview/widget, 82f201ac69349adf92117d9898eaa618}
x: {x, d6b3896932745b9c6d6697ffc6b460b5}
u5: {u5, c15aa7c988509fd15afb86c0b6842a79}
k6: {k6, 686605e7fe09ba74497756d1b31c3d53}
r0: {r0, d61ab08691b6aa683a94e543bfee084d}
androidx/drawerlayout/widget: {androidx/drawerlayout/widget, dafcabadf62637ef41296805eeff8c99}
