J2: {J2, f948beb4af505cd40cee8ca0ca5fef8a}
u1: {u1, 046e2f97f8e19862e17b875aad86a91b}
d3: {d3, cb76d351248ee673bf18bb333623666b}
l0: {l0, 1d9053c5d5259fc7ef0dd83eb1d179f6}
f3: {f3, d44fac2008818c83b0177cd63f26561a}
L2: {L2, 77932f3260ee46c6153b85d17fd725fc}
k2: {k2, 5f0a309d7ec43a274c916396483dc730}
m: {m, 6c742caa11fa81234bd54dbf7d83b8a2}
e3: {e3, 98c3c4ccf52b52b7098b63fc0add3669}
f2: {f2, 3953c90cb0beb150a977d576e52c4fb0}
v1: {v1, 56414e6b115cd70b31e0ffd330800b75}
b1: {b1, 44222e9ab134e3d29759592459e6ad93}
f0: {f0, f9951dfe52b34581a89345cb67b722ab}
androidx/core/app: {androidx/core/app, ce84b6a9787c9e0e8c1c6ba8fe27bc1c}
androidx/profileinstaller: {androidx/profileinstaller, 23a5bcdcf4cfc33b512d9e540f89c833}
I0: {I0, d56964fd73fbc9afe38d059a8908450b}
E: {E, 891a14d77a7573fcf5ceba52c266c332}
z2: {z2, 3014cdb1a43f380ede2804113a391d07}
androidx/appcompat/widget: {androidx/appcompat/widget, 08edb214757f8da2f02e319ae93bb8dc}
m1: {m1, 811bddd9a17cfe6ddf1b8817a9b21001}
M: {M, 2803ad160759b17be9d5fdba059515c0}
x2: {x2, d89aeede27436bb601e33f7dcca7c4ca}
v: {v, 313f7b43cf307fe1783381c49d1ab0de}
a2: {a2, e24abb87fbfe0ac355feae311ed58feb}
android/view: {android/view, e079f4fb8febf5b63effbb6583d13a90}
G: {G, 9be07e341d8c29a6de6392b17c7b7f70}
G0: {G0, 2d6e5bab6cd4020aeadc1c7e22d03fc5}
P: {P, 6e0f87a85096fdd4e89198237558e228}
androidx/emoji2/text: {androidx/emoji2/text, f6c8b90eaed3842ca6813ebd99616b75}
okhttp3/internal/publicsuffix: {okhttp3/internal/publicsuffix, a599fef6b4550b6d9af409885497c008}
Q0: {Q0, 056f1149b0c3f64d527b5fe31de197c3}
X0: {X0, 846f405a794d2c00cd4a340e88742b91}
i1: {i1, 793ba6a69de41320bb1fe7ce4b6df789}
f: {f, 12d16a4f36c7d0cadc947e0a3ad1085a}
T1: {T1, af51c505c5d9ff3c181de60f1eaa7c86}
n: {n, 36af9ca2b5f77ad79cfa27245b9c4a69}
s1: {s1, 0e8bab5f876de551b3d52e50945d6172}
androidx/appcompat/app: {androidx/appcompat/app, 3f3ab22244848a0c2a85497200846a4a}
j1: {j1, 192a2d8002abeedb5ad9efeb42522943}
u: {u, 96e86f4c25b2165f27bf459eb5b006da}
T: {T, 91f04d45d6d3adff02a0593e907ce642}
N0: {N0, 95a34983a8f9a40cf2dc52e14ea59fbb}
K: {K, e0fb8a00fdb4cc9fdc3281601a1369c2}
F: {F, 1030967118dfe45e80cd8d1e9cfe5751}
T0: {T0, f74474007d896521886f8910339e4201}
o: {o, d271d4594d9d30b3c7dc07e92705864c}
f1: {f1, 6ce7328c8c404cb73ab09eb478b0973e}
androidx/lifecycle: {androidx/lifecycle, a81777ef2b3dade6d352ea05e89768a6}
a1: {a1, 0fad8bd700066f97d3230fbc45a20503}
N: {N, 28b1c488f299cb43459ed62a3c143a39}
com/bumptech/glide: {com/bumptech/glide, 21e15b1947fdd94036031ff054a58448}
w: {w, aab956846f76178a643e83b1a2fe4d14}
S1: {S1, 499b1646ba510c6befac165efdcbeb1f}
E2: {E2, 39558c762ad0c5770dc6795ed69beab1}
X1: {X1, 4e436ee0c29d80bd5913cf9ed4a46bf4}
g: {g, 6366feb1f78e420ab7d7fd8ac40da5b9}
n1: {n1, 5876e50d0ef03787cf02159d6b9da863}
B0: {B0, 1bc54504a26f0d819df9144e686c9804}
i0: {i0, 0b557a3b4cb4c339927ebea90792d8b7}
M2: {M2, 3af01c50238b1d482a742bea86a97ad0}
s0: {s0, 001bc41148e08b85c70198ffc25f4c70}
android/window: {android/window, e079f4fb8febf5b63effbb6583d13a90}
r2: {r2, c22ec4e1405d6a6c3a3829e60dd24508}
e1: {e1, d51c550fc61874f08381d7fa34300e22}
C2: {C2, ac0ee0066b94e96e01dac1319a4674a6}
U: {U, ff5e2d2f7a5d5f3b5eea4988fcd13047}
com/yalantis/ucrop: {com/yalantis/ucrop, 0a105643d867ddee4bc1380214421235}
y2: {y2, 2c9651dc50d454549c9279a93f3aef42}
K2: {K2, e80ca3096818fc23ed8c3554b814a8f7}
N1: {N1, 87da239fe39e9c87854a7e12f1b3076a}
h: {h, 19d7b4fa34fee972a82e13d9aa25f4e5}
p0: {p0, b2fdf67920f895df6918742f63cd6d27}
p: {p, ebc530e3788bd191c978705d752edbdb}
com/afollestad/materialdialogs: {com/afollestad/materialdialogs, 92f09209387b967d5c59a2f40afede85}
W1: {W1, 6dfc41d0e63aa3b1e0fc518060b14f21}
S0: {S0, 6adbf7b33d72a5dea7bd112f5a9b2973}
z0: {z0, 304de372251f1b8fa4c09df04b8242f3}
a0: {a0, 259bafff9502b291179a5031f5cab0ec}
h0: {h0, ec544f3ff92718b1406f315de0b36baf}
R2: {R2, 871a6d3e625553a7f075e1b40eac5b48}
E1: {E1, 01bbd7795276dd8cd84b8c60cf6993e7}
androidx/core/content: {androidx/core/content, e57a7cfb4563c475bd1a4c0d6b48bab1}
B1: {B1, 249bca31108df943dd030b777b5f13e3}
F0: {F0, 823371ce9eb5a4a985599b3b1c8db4ef}
m0: {m0, 20945f4e71c6ff3aa7b0ee5705aac894}
t0: {t0, 3b8f49e86a657110574e789a8abc552d}
P0: {P0, 6a9f4e1679ea3da6e228b0bcb007e6c0}
e0: {e0, c52a87fc28429f6a1416d0297f72fd00}
Z2: {Z2, 62d34432cb7078f7f012168c768c144c}
M1: {M1, d0e240688147e59d5123da56cb70829f}
H0: {H0, 65ddb5639b085adedf67c3930da79a06}
X2: {X2, 04ad96f85024dd3d4e9b4d5016ea3d36}
G2: {G2, b19c57b5ac4bc9add7df9b65a6f1dd94}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, 72258f32d20dbe68de62c4c44c56f5cf}
A2: {A2, 9417eee89623fe62164de118669a0d66}
com/sun/jna: {com/sun/jna, 416d200c0e4368e8341f76a17b10f8a6}
V2: {V2, 85d93f6994df9bef77ae80ac4e87a8af}
M0: {M0, f4cec72cb2191a7f258065ad36d011b0}
i: {i, 450c1f4eb5f577b43d6768513ae23e50}
p1: {p1, f458329c6cb198949f8727e0e5069584}
T2: {T2, 097a50ec7b140243c62b7392f00b0d65}
W0: {W0, 99293de03f244f73e2ae496320f01d83}
E0: {E0, ee9680203bb89088dce76e7de8561342}
q: {q, bb2d83ab79ef47a2f38d2e9235a620b0}
h1: {h1, ed2e26ee4b797fc38a7c6c95e07553b5}
c: {c, 5a608fb20d2c664dfbcb9efb007f60fe}
y1: {y1, d50efc8ea6132d37a22821e8b42314ab}
o1: {o1, 96b5d9cf5f7ad57680e1288c80c5951e}
K1: {K1, d3c7a6a4b3675df4b1c9a78e730eb232}
a: {a, 1e5a903a481cef9cd378f3e519da6320}
com/lapism/search: {com/lapism/search, 833ee93ef3c6f14a719923f52ef73e3b}
t1: {t1, 8ba7380ecd5bcb8fb85c65d39d337520}
androidx/versionedparcelable: {androidx/versionedparcelable, 9d566c8bb72bf85d0f4cf8e4e857ebc9}
P1: {P1, 8a776ba2e522f2b4e67a81b048641bed}
O: {O, 48a286016c7972638d60e8132102f97e}
F1: {F1, ee6607d1b3f973b8db90e3c32874e8f5}
A1: {A1, 3459f0ec341b0152756dbd27cb3718c5}
w1: {w1, 5f78a7e97ab7d62ebe97f2302c5a4486}
H1: {H1, 8ee44a637001325e713b66542a692592}
W: {W, 9b3b71d301a7c9ee1bc42aaa9ac93223}
androidx/recyclerview/widget: {androidx/recyclerview/widget, cc7fdfd92e39b42dcfc34a154faf6b77}
x: {x, 6ff64537c2c587f4edc63b57e38be7ba}
O1: {O1, 831f4a8d77631a85598f1e2a93677753}
r0: {r0, a7141235e6a1bd66eda8b03a19e57980}
androidx/drawerlayout/widget: {androidx/drawerlayout/widget, 87f4618ea127d8bca0c01cc794624454}
