androidx/appcompat: {androidx/appcompat, 547acf75b59008f3386adbab84cb2908}
kotlin/coroutines: {kotlin/coroutines, ffcb1b62cfd889a0a06df3c44263c256}
kotlin/math: {kotlin/math, 274042609d2ea7ded11a7051aca94d37}
kotlin/text: {kotlin/text, 4678d78383dc87a8f79cf55b4f25a035}
androidx/viewbinding: {androidx/viewbinding, 38028982beec6073e16a36c4615e9c7a}
androidx/versionedparcelable: {androidx/versionedparcelable, 23ec1521a5e000441077118967b589bc}
okhttp3: {okhttp3, 5b84844fcd8c7053024fa5ff8fec1c59}
androidx/viewpager/widget: {androidx/viewpager/widget, e8458c5e5c874f1c511d0f7a0294f4f6}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 01d73858b40b8a46500374dc03c92382}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 3b7af73f0b8d6f9fa411497d90286b39}
androidx/collection: {androidx/collection, 9476561902c1e0e77ad64f96368e00fa}
dagger/android: {dagger/android, 4ea98e6c6e717d902788597bcec37c72}
de/justjanne/libquassel: {de/justjanne/libquassel, f50dfa6d92755c299f450365c4b664ac}
androidx/transition: {androidx/transition, 9e0fe2e08595d0051ac50e622aab2a65}
kotlin/random: {kotlin/random, af435efc57a7fef7fb2e83a9e9719110}
androidx/interpolator/view: {androidx/interpolator/view, ee54aef26025686b20793115ba6db979}
kotlin/internal: {kotlin/internal, 6544beaed2e46523912eb2594831eac6}
dagger/internal: {dagger/internal, aae3076192e15e62754deae76ff50ee0}
retrofit2/converter/gson: {retrofit2/converter/gson, e5a98efdf76c6e36795c2bd0408ced54}
androidx/multidex: {androidx/multidex, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/cardview: {androidx/cardview, 201a2a4f5e871a96393f85a0523ec4f1}
com/google/gson: {com/google/gson, 95c306f764e7d72effbb3602b99af484}
androidx/drawerlayout: {androidx/drawerlayout, 76f95107f4e4a4c5d7592cafbff2ee06}
kotlinx/coroutines: {kotlinx/coroutines, 6329d76714b4cf1f2102b135865ef90a}
butterknife/internal: {butterknife/internal, 2ac8a273f40b9ac43d930633e60ba6a4}
androidx/paging: {androidx/paging, 3f9a2e0e9eabb5872ff681dbea9e5073}
com/google/android: {com/google/android, 29601701b722884af5aa74a8f687f31f}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, 70dd4047363c6a7c6d4cdb1278bb13cc}
kotlin/sequences: {kotlin/sequences, f8510c2a21c761965633f6a9192c3668}
androidx/customview/view: {androidx/customview/view, c3b3beb9393315adfa34bad026d4a89d}
org/reactivestreams: {org/reactivestreams, 907475feef0ab7fa1cd750a3bc58c144}
com/afollestad/materialdialogs: {com/afollestad/materialdialogs, 617d744af2cba7d5857b06dc75aa5445}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 1f69dbaebd0e4d1fa26aa04f41f2dd11}
androidx/arch/core: {androidx/arch/core, 7020cfc358c6c0bc7cfa3cec34c5c88b}
de/kuschku/ui: {de/kuschku/ui, 95274215547b6d40e11f3aa30877f1ae}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, c6928cd84615730ec9b3d914b92b1a8d}
androidx/exifinterface/media: {androidx/exifinterface/media, 5f28c9e25f4a2b7cc7823a2c9a6d37ee}
androidx/savedstate: {androidx/savedstate, c52f0b032b29f930b096ab947e7e8789}
javax/inject: {javax/inject, acf7ef943fdeb3cbfed8dd0d8f584731}
com/github/pwittchen: {com/github/pwittchen, ade9980aaa0caef8d6ba2ed6469b5f26}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 46d04d3b476ef7ab75a40e8b00b09dd9}
io/reactivex: {io/reactivex, 4b8d5d88fc70f3c5388820fb6151b9e2}
me/zhanghai/android: {me/zhanghai/android, cca2dccfedc6760a9cd3c248232f3d9f}
okhttp3/internal: {okhttp3/internal, 0d2dfd9580f7cd5c215b2158377c4dd1}
kotlin/ranges: {kotlin/ranges, b35f6c7316dbf95207a4fa0956e50119}
androidx/tracing: {androidx/tracing, 51ae78ed779db0d7975c162bad136cbf}
org/threeten/bp: {org/threeten/bp, 90f8dcb48a1f26d2b6feb57169f051f6}
org/apache/commons: {org/apache/commons, 78f5840688f398d14244c23ad6d36def}
androidx/startup: {androidx/startup, e8ddbe6978abc61d51b0fde9109e8568}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, beda525f9a3fc30c11eff0139dcebcb8}
okio: {okio, 76a25756c52110bfc1b9228215b7f48a}
androidx/recyclerview: {androidx/recyclerview, af6fe9112170464150b5debe4d1645dd}
kotlin/comparisons: {kotlin/comparisons, 6839ce50b25edcf0eb43344c1137f45c}
kotlin/jvm: {kotlin/jvm, 84c64fc07b3ca17a1f09202b902e7978}
retrofit2: {retrofit2, c47312cf3c06b760f24dcf94eac6de98}
