androidx/appcompat: {androidx/appcompat, 563adc2763667076d7aee63eb044ef5a}
androidx/media: {androidx/media, 042c76e34c6dc817a1e75d6f5a118c57}
kotlinx/coroutines: {kotlinx/coroutines, b7233f1513aa198df042feed6874c427}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, 50a21abf6339f4395e2dfc15b12289a6}
androidx/customview/view: {androidx/customview/view, c3b3beb9393315adfa34bad026d4a89d}
android/system: {android/system, c4e9eeb25e17c46354752ac4239a9772}
androidx/cardview/widget: {androidx/cardview/widget, f5ea04b8fa86b13004cb6f68f65b033d}
androidx/transition: {androidx/transition, 825f9f3e1544574441633cc51a596cf9}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 1ebebdb331d1862a5146596e2f7639a2}
androidx/arch/core: {androidx/arch/core, 4b255a80e2aa4d78bd56d577aabe67e8}
androidx/emoji2/text: {androidx/emoji2/text, d3a1249c4d55666670e14d5bdccf4694}
com/alibaba/fastjson: {com/alibaba/fastjson, 209e9db397632ea4365cde07a6762fe2}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 5811bd346bc46fa8518aaadb947b6eee}
androidx/viewpager2: {androidx/viewpager2, 9c155cc1041f0e0c196e7be4b736f163}
androidx/savedstate: {androidx/savedstate, 37cbaf44bc4a2db196b7168ba051dccb}
okhttp3/internal: {okhttp3/internal, 15868d8a0b0cee7d5a061e4b85d86826}
j$/time/format: {[j$/time/format, j$/time/temporal, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 3beb02300cb254e4f5b42f88153c57d7}
kotlin: {kotlin, f77d1c6b739ad81eae4b36607c31f4b8}
androidx/leanback: {androidx/leanback, c9b18b7bda2f34685dfaefbecee98b32}
lbms/plugins/mldht: {lbms/plugins/mldht, 184cf1cdce1fa07ccd00741d3fbd7441}
com/github/sumimakito: {com/github/sumimakito, b696fe558701eaf96811e8ac84074cb4}
kotlin/ranges: {kotlin/ranges, 16ebbb374dabe757fa19cf8cf6805c4f}
androidx/tracing: {androidx/tracing, b40d599264e5711691511518fd6910e8}
androidx/documentfile/provider: {androidx/documentfile/provider, d3baaa9f7831ebb9622df33d4c0b39d9}
androidx/startup: {androidx/startup, e967e66fdd357833fede8ed5ef14bb0a}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, ade0eb71027e798efd30c4735acb8573}
jcifs/smb: {jcifs/smb, d46af35573ae3353fd2d2c833b227875}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, 1b2dc1f869095e298660c29cdfe75b5f}
okio: {okio, c02d90565bdce8523badedd8daa9ce9f}
androidx/recyclerview: {androidx/recyclerview, 04eb0fbf51dc86d86849b2eed28e74d6}
androidx/loader/app: {androidx/loader/app, cc590a102c60629e85052a56ed815f38}
divstar/ico4a/codec: {[divstar/ico4a/io, divstar/ico4a/codec, ], 771c342b785d9c5e086a11ed576a1ff2}
kotlin/jvm: {kotlin/jvm, 8efc03505d9c9ef693e0955c700d19c2}
jcifs/util: {jcifs/util, 13116a6efaf7f515ea15b4ebeca8f320}
