androidx/appcompat: {androidx/appcompat, 556664ea679ece4dc891bb6decc3725f}
androidx/arch/core: {androidx/arch/core, 5f62e9ec256336d9efaa9b8e8b9f9244}
androidx/emoji2/text: {androidx/emoji2/text, d32a34c447800c8b1e5482417fdc4c37}
_COROUTINE: {_COROUTINE, d060058fce7367259a2df351e3a0aa9c}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 19ccd0605ba718512fe950affd522e3f}
kotlin/jvm/functions: {kotlin/jvm/functions, 8086138030b63889d8c914926d6c6a46}
androidx/savedstate: {androidx/savedstate, 9521fb2b2225be6e8f6657e47d762b3a}
kotlinx/coroutines: {kotlinx/coroutines, fa07548b53af1211c178449655abd316}
androidx/interpolator/view: {androidx/interpolator/view, 550d9160df6aca4f53bbdd4bfb6e1728}
androidx/compose/runtime: {androidx/compose/runtime, e796eb893c00b56c9a2776154969a274}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, cf913968effb50014e2ade2a2cefaf4f}
android/hardware/biometrics: {android/hardware/biometrics, c4e9eeb25e17c46354752ac4239a9772}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, bf98526714cc64fdb15dfc508e1e1ee3}
androidx/biometric: {androidx/biometric, 3a881bdfca2769016d926cef4e01ac27}
kotlin/ranges: {kotlin/ranges, 63806bb858b14c723ae565d8013f7c0b}
androidx/tracing: {androidx/tracing, 5c9d4f36243c54c07fbb286586b8d55d}
com/oasisfeng/deagle: {com/oasisfeng/deagle, 79cd203c4c9fdde8196ea6879a8f97ac}
androidx/startup: {androidx/startup, 5a4a2d2cf21d46b59fd7efa28c71895a}
kotlin/comparisons: {kotlin/comparisons, c2b4cd46a28d98f4843e1ad97efd8d06}
androidx/concurrent/futures: {androidx/concurrent/futures, 13d6bc4ea97e225c82ac6af08c50da75}
androidx/compose/ui: {androidx/compose/ui, 4b13be04a3d206d0926c17bb4a41fc20}
com/oasisfeng/hack: {[com/oasisfeng/hack, com/oasisfeng/android, com/oasisfeng/common, com/oasisfeng/island, ], 7bffe3501d42fe106adbb8c06cac4efc}
androidx/recyclerview: {androidx/recyclerview, b6c0a2a1a559a6324121396d7025cac4}
androidx/loader/app: {androidx/loader/app, d596d97b4aa2b11c4562be96400b7b66}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 230fce8f0da486311b857b9a4b768ada}
com/jaredrummler/apkparser: {com/jaredrummler/apkparser, 38cad68d9c0b8531663f4b68c7d263a9}
androidx/databinding: {androidx/databinding, 3624aecc6fa02b05d4aa51c13636bf4a}
android/content: {android/content, a84f37a502f9bff7d6d8be2224623a15}
