a6: {a6, c3d70a8694c8e2b66ec3054b61dd560f}
t: {t, 7109b5e9083f36497df0762a13788295}
g2: {g2, 34a1d0e1d427e2cf6d9d51d66cd9fbf6}
androidx/media: {androidx/media, d22c18a2c9c36af56be8a1a54721996e}
j3: {j3, cfb516aaec2b19aa62db1894a46d110c}
t4: {t4, acf7ef943fdeb3cbfed8dd0d8f584731}
u2: {u2, c94fd5a584bbde9cc3be6710eb050028}
s: {s, bca23f88cba14969aaf1c08b147219b7}
c8: {c8, a960bfdaffb81a0741a51894cbf79fa7}
androidx/startup: {androidx/startup, 08c5775df7901f348750f14f4def3be5}
h3: {h3, 62071729387119b43e924f140aa63b91}
n2: {n2, b9f49034809662874f587e28551d78ab}
k3: {k3, 1b9c529679c4e7e42e217f86c694a446}
p4: {p4, db9bac77242c5093af0d3071ae785b22}
r7: {r7, 9e8950b8f1e0e3d1c4a5ebef3ca9f9a6}
f2: {f2, cc3e18ec15d2214fe32ce2f20b76e283}
g8: {g8, d4d05b89be89b9d3079f30cfefab308b}
v0: {v0, 2b1fbbd06974cf2210121eaf6e31e843}
audio/funkwhale/ffa: {audio/funkwhale/ffa, d40846105c218be14cada3661888096c}
d2: {d2, 153cd6fc612a451bd3645d8502262f9d}
q1: {q1, 3a37cf57662b2ef7c99bcbcca9ce61d0}
x1: {x1, bfdd887890bd1e81cf1be2bd41d2f754}
g3: {g3, 17a405056d531ba6b05eb4cf33cfbd91}
y5: {y5, 82a995039dd992ebafae6116a94f6897}
a7: {a7, 310b609b1b950a477911cd48d2e45987}
w5: {w5, a51deada65b16d4368539d5e4f597df6}
m2: {m2, a0bdf2b56a2ec62bf30cbf33e2f6700a}
s4: {s4, ad317d32b662e3aaedcc96d712e255eb}
b8: {b8, f436ef57df394b0b168a3cdd6d8bddea}
o5: {o5, ee5c276702204d08ea4c2833ea138501}
h5: {h5, 905d6c3c488cf1978e6507663f94ac9c}
i5: {i5, c2fb2a29244af4ab8668c6f2f5920e43}
c2: {c2, b7ecf054bee682227eed0868f4fc8f88}
a3: {a3, c367e3835f473275574788d3614d5de4}
z4: {z4, c920aba41f5fbbf426053e750979dad7}
androidx/fragment/app: {androidx/fragment/app, 190d188b1ce8d2c232c54f3a33bde5fa}
t5: {t5, 7b183196dff17d0f6ffe0f9046279fdf}
j0: {j0, cb605e95efff7e5b25ea2f4e1f183574}
l3: {l3, ac1fe548f6477d8f118371d3e5e1ade5}
n3: {n3, 3edcb9209f1941197c7cffddc1e7edc2}
e: {e, bde22b33e1847e6dcc2e55fe7f5e1b0f}
p5: {p5, 19341fbb87a9262a38add9928ed0cf83}
d3: {d3, 661de0cde504c8b2fa70573957365da8}
z6: {z6, 110fd9488b5806d7426c5ab69bd87ae8}
f3: {f3, 2db5bf24e4bffb46fe47065cc0fe24d7}
k2: {k2, 145695733e4c1150af17a74bb5a8b79b}
m: {m, bf601da9cf9733e7f170f29c36ae3a61}
e3: {e3, 4f2c0a5f69ca6aef9bb02dd0e3753784}
v1: {v1, 80d3a81bb73fc641073eac6de8f7b7fb}
kotlinx/coroutines/sync: {[kotlinx/coroutines/internal, kotlinx/coroutines/sync, kotlinx/coroutines/scheduling, ], dbdc25b3c65f319f449aff14a5fbd21c}
y4: {y4, 9c5c40f7d0faa2357d90e33bfc13db4e}
q0: {q0, 82f80f8197849da722f8ae1a23ac4df1}
com/preference/provider: {com/preference/provider, 9bdf033d75b4028acdbe97414caa806b}
f0: {f0, eb1cfefcdce909a1c54cea119270a275}
c5: {c5, bfdbe5f2021576848de3580bef13d6be}
w4: {w4, 81f3659850cffe396c84f289614e3936}
androidx/profileinstaller: {androidx/profileinstaller, 5796a62642774677977e6cf3a5ca1174}
r5: {r5, 1679b3f329eabd16480e90b573525c7f}
f8: {f8, 5984cd641fa6d43be921452517f00e29}
z2: {z2, e95d1b5a3727141b0c1d7bd33a8fe4e5}
o4: {o4, 310e7284b5cfebf513915601717e3a1d}
m1: {m1, 53fcadb2c302a8f017a7cb2aaaa69997}
b4: {b4, 4ad0a2e2e36f6637d7b579db6f867e54}
x2: {x2, 5a54ec03ec6413ca4d949852fb15ed84}
v: {v, 024c70b3979d0f29a47fa558f8ffb0a3}
a2: {a2, 6831d971c4d44862237e2295425b5304}
h6: {h6, 9eae7fa27d04819067c8d9fff37814ec}
androidx/core/app: {androidx/core/app, cacb4267e17c879ece420228c84e10e1}
n0: {n0, 41bdfd1202560a131f59b630234ad08c}
u0: {u0, 50628cadf828d214b38c47fbc93827ed}
k5: {k5, 5133468d13da857cba3f859e6cf8fbb6}
z5: {z5, bc7a88105f0155c0a1ad17e07f7ad092}
i1: {i1, 1eda90118edb95a3cef2e0f2d76e5514}
v6: {v6, d52206726ec63ebc292d6eaf2d490911}
l4: {l4, 21db06f3bb83f224597bd9ed64f0404e}
y6: {y6, 05554cfb760f821113a2638d9e2d35c8}
n: {n, d2335af33abc0196444fb82a61a42b5d}
net/openid/appauth: {net/openid/appauth, 193b150b29ffc143d6e737d962e0c29d}
p6: {p6, b1c9ef4da540d796fb8688038071fb25}
d4: {d4, c9131aecffe1a4df23e05f191799c8a2}
e2: {e2, af2269260cf130a72320fcb9592e682d}
j1: {j1, 4613cc1f6eb0bc3c50284d8a72b8dec4}
u: {u, 2d889aa180e2574933993fba8d6d830c}
w7: {w7, 2877de8effb1d56957d6a5b63a526d07}
kotlinx/coroutines/flow: {[kotlinx/coroutines/internal, kotlinx/coroutines/scheduling, kotlinx/coroutines/flow, ], b5a0a94ecf22fdbc959f9ba56f5ff76a}
y3: {y3, 1351b36000ebb1dbc2e879213e08cafd}
p7: {p7, 234e3cffc21b8dc101531f3cf3ede286}
s1: {s1, 53686f882a5c0ce00e5f34b52aa673b2}
o: {o, e5a523a1397004ae367d271d85aa3801}
f1: {f1, 656dcd4f775297e132741df8a9357f9f}
z3: {z3, e3a06121168283809f85e5b88234011f}
a1: {a1, 5041b6845fbc89eba3cd9d0e0a262292}
h7: {h7, 893540f8ba1b4cf661942da8f6b36dca}
n6: {n6, cc57a2706afb40e05afc3807c3e80884}
w: {w, a2be7dc395852bd4718fb56e6c40bcf6}
i7: {i7, 5cf47bf182004c5b4d0aef9d05ebe40b}
x3: {x3, 5cdb276f90a42d95b56b2e430ae59d47}
g5: {g5, dbed50ad6fa992206e5689a0a8e4232c}
k4: {k4, 15dad579d55859bd24de180b4c6a7989}
d0: {d0, 3fb6ca20820b8d72324ee6080109aa56}
g: {g, ac2d9930a9de1d001c03d7e35efb55c8}
u7: {u7, 14c885341676c285a703120081189c83}
b1: {b1, faee395ddf0dfabb04315fabf081d1e9}
l5: {l5, 3f6a258fa8b23565bf4a98df47e86b89}
i0: {i0, 3adf7e9a8790f1af0085c04478eb5960}
org/koin/androidx: {org/koin/androidx, e640939e0a6e1c3614b002cb0307a23b}
q7: {q7, bf0c34750cc6c32f5793c1e02465bfaa}
s0: {s0, 97db010299db985e1e3afd7eebc56047}
u4: {u4, b9029e32d5b4babfb98c144d6a198d9e}
r2: {r2, 24e55d779d41a54bee18807755decec9}
e1: {e1, 65e8931cd2239b3c62db9029ac57736c}
t7: {t7, d03f9902a6456d14901587cedbdd8173}
j6: {j6, a94def637e11073adf9e372adb896fec}
androidx/appcompat/app: {androidx/appcompat/app, 40df480d3692a090fd621dd0a8141a97}
d7: {d7, c4274a8ac4e017a6fdabc7981e377341}
b7: {b7, 2dfe899ffa641742ea7370a4dbb7f066}
w6: {w6, 45b5ab46586ff49f5f4667996f7b0272}
h: {h, a2b85a6d28f11c59e9f248f984e1bbda}
s3: {s3, ee2a3bb9953a6d034b791e33ce65bc97}
x4: {x4, e8cc87a219e3e6851e255cf0c700670d}
c7: {c7, 406dccfffabbb54b9d1307252df3e0f8}
a8: {a8, e47c9e0e1a5a37a788783e7d6ad17663}
p0: {p0, faf10ea537cc1c09451469ed019e6999}
n7: {n7, 0fdc5cf62854ec11eda2e4d1c652d3a7}
androidx/emoji2/text: {androidx/emoji2/text, 576093a073227def90ab8ba46771702a}
a0: {a0, 198e9eb0522534a83f581af60213d355}
h0: {h0, c4192a84c2cbf8f363c2afe4e60d512c}
i6: {i6, 8d83aa8d292043aeec96d57187d32a30}
e8: {e8, e41a8f3ac8d52aa99c98f39e1e20ea3a}
g4: {g4, 6facd874b577c9ad361f5cc0e4ba28ef}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, fb99c91e49bb5933d565375b68c4cdcf}
s5: {s5, 716fdb5ff5171a886566c0f81982a2e4}
z7: {z7, dd3579607720ae6dc878e3d9ecf94cc8}
u6: {u6, eaab08a27639d04078816ea41492961d}
k7: {k7, 1b4f5f658991951e0c789f32be91c11f}
o7: {o7, 42ce99a028a5aa3730d541bcc8d4ee6a}
m0: {m0, 25fd7bc8de0636fc45824a39702f41b2}
b6: {b6, 7de2d29a6921852b27d974956fb00df3}
s6: {s6, 3c12fc6b8f55fab0318e6b22ba73f244}
l0: {l0, f1a5efbe817bcb931be43764e1afd264}
q6: {q6, a6a7bad95b38cb1a895d1965500b9f18}
e0: {e0, 67703438d2d9cb8f2f21ba5a62ee5b0c}
r3: {r3, d181fea09a343011e16d0bb2f5154b9c}
com/squareup/picasso: {com/squareup/picasso, 14e3cfbf4026fe213664487bb21f2ebf}
androidx/viewpager2/widget: {androidx/viewpager2/widget, 1b23dfe9691fa45ec455fe41f8f1f1f2}
f6: {f6, 40c73db3fc10a22584bb5751e6cf9b75}
j7: {j7, b9b0e1211d5efcbf934751f98e44c416}
com/github/kittinunf: {com/github/kittinunf, 9b973543db595e592697c1fe76d9b296}
c6: {c6, a0939677d71bc539869f13c8449e1235}
b2: {b2, 3d817f9949e4a3f9a4735d1a7bf020a1}
y2: {y2, 853607001acb605d6349b2fbb34a61f7}
l6: {l6, 6ebb51faf9dfdd28439d437add990c44}
x5: {x5, fc6968da92eaac638cc1367f4a6b7d65}
d5: {d5, 454f48d9f52025fc5fce583f132ad1bf}
i: {i, 07f80a8072142bcb9d7bcf5de314971d}
p1: {p1, b9622bcc0f2a1295a1ec86b7f62eba58}
s2: {s2, dd26ed50af35541df93e0d3b9f0e4d78}
g7: {g7, fae2366f378cf589825d3fee4f866fa9}
q: {q, a059cf678add855e52a785425e4610db}
n4: {n4, e890d1d7bc453853a9e4e992527fad93}
y1: {y1, d5172cc23d4c926c595a3935ecb37654}
o1: {o1, c38cbdd4f0c1d7a1efb86ee5eac40ae8}
t0: {t0, 2e0afdab3ad614a2612058431242bca6}
v5: {v5, f4c4a3a040d44e0855bc6f3309d0b607}
a: {a, 55dde5ff7e91517fca38da4d2ee63504}
l7: {l7, d3408eca2538bc9d894cf64172a846b6}
t1: {t1, 68b0fa2d51b07f9d4d4c0205695ce038}
androidx/versionedparcelable: {androidx/versionedparcelable, 68ded5629f6d159311b8360d2f2f71a5}
o6: {o6, a7e1c6f2007e2387025668882246fdfd}
m7: {m7, 9f8e1705315162c3ab3dff7cb21206be}
j4: {j4, b987059b82fb411d7ea468fdc676c4d4}
com/preference/ui: {com/preference/ui, dc579faefe5e268eb9be5e664db30992}
w1: {w1, c09e0fa6e5eb9b1a487dfb7c946066f3}
q5: {q5, e456c176acdff061ace8ba202b2ee78b}
androidx/recyclerview/widget: {androidx/recyclerview/widget, 8c1d66407ff7557a0880f8eeec36751a}
e7: {e7, e81cab369cb3a3d3ae3d16ddc1ae4148}
x: {x, e8b959a6712bb82f6fd1ca5aaf3822ee}
u5: {u5, 1101acc552f6926d233895ecfaba7c5d}
k6: {k6, 310bd0430bb39746d36e34e2cbaaed33}
r0: {r0, 29cdb3271de7cc7a9c0ac3cb192d4c88}
