a6: {a6, e152d26d26563445d3b41da1ffe3304e}
pb: {pb, 10282d699016957451786461e9ff58ea}
j1: {j1, f98e8c03e4f1f6c3708f252c7b9676ce}
m8: {m8, bfdbe5f2021576848de3580bef13d6be}
a9: {a9, 53d11a878eb6af445198ee9acd4b4d4b}
h7: {h7, 844f9247cb57cdf75bf36e7944a097a7}
ee: {ee, 60a6ceb9b05f892c26b2e52922969e13}
i7: {i7, 1b7e440f761b758aee7dab9f025d0cd3}
nb: {nb, 5db4866e13779cc1a409a153f4cb9517}
androidx/legacy/content: {androidx/legacy/content, afc26ca326b4075d07bfd31afbca758d}
u7: {u7, bd083b7eb6933736bba47d79b3e9a603}
v7: {v7, 7463e080f138cebf6f151fc581e8dab9}
ue: {ue, 91551523ea2c2c7b97e2eeb75e43c15c}
l5: {l5, 4810c16a5e777318ac86c6b05da7c88d}
jh: {jh, 8e5a243c957aa0b7378e0fbe2cc25604}
i0: {i0, de023300ec5af48120e5f4eac4eb9049}
s0: {s0, 228dac47bbbf1d3c7cccc0ab348d2d6d}
xe: {xe, db02e32b6fb5f3ac41d9ccf038a9fabd}
t7: {t7, 9fae3a1f722a143d692eeaf01aecd5f9}
retrofit2: {retrofit2, d0090d0e69d2a32ba2cecfcf2ebc9146}
kc: {kc, ff876075a0b69b3a440fc9d1b16c9a3f}
b7: {b7, ae0351d8bf35d0277270107610769e0a}
gd: {gd, bc74e89570226db5ac990089d9e609e1}
c7: {c7, 84a8afdb4f670ec48e34e1cea90310e3}
p: {p, f4a9a5195a0a32c037b726008d4bc368}
nf: {nf, 10fc46b591304d894ea5c6e3b8cbbf8e}
kotlin: {kotlin, 5397013de1b65019c066c7cf7d54e5a5}
e8: {e8, b98c41b8937f71b3a0e795444b0616c5}
e: {e, 576423e6a18760f7f5ac3e18b4fccb5a}
lc: {lc, cea779948f73c96c0cab0f057aeb8c80}
he: {he, 49e631988dc32d9d0e9e54589efbe1b0}
o7: {o7, 9b120dece0599de1a68ce642df7ee945}
t0: {t0, 4b8aea3cf3a80fcadf63cda464b2ba4c}
i8: {i8, 8c87ac81d1181fdec7dd81e5206ba2cb}
ca: {ca, 9c6c0b66d6c47154da14ad4cd741c190}
yf: {yf, b48cbd967474aea194804479d7233844}
de: {de, 7574b7f1fcc5e3bd2c6c8db67dbd4be5}
bh: {bh, 07795cb84795e67f33da9da293d1fb75}
i: {i, 53015b038b82bebf0575e2f5c1d7bb58}
p1: {p1, 9330b3e2a0eb5ba3193154aa634efa3d}
d7: {d7, f64df2433a5c045a0f3951405daa8178}
zg: {zg, ed650f2bc7f9a6f0f6678141750d69e9}
p8: {p8, 23f196a055ed6309e2b0458bce6217bb}
q5: {q5, 85a836dc5c06f29c145cf628c370e4c9}
e7: {e7, 0522bfd81190e22ad253cd1fa7cfa384}
f7: {f7, d71a1e961c72bd441bedef2bc5dfb7ce}
com/shawnlin/numberpicker: {com/shawnlin/numberpicker, d430482891c719ef8ea1fe1547304c14}
qc: {qc, 6004c3aa1ea233446e9a73e61c5d6452}
androidx/activity: {androidx/activity, 38a97fa315745e6f7e838c14fb45247f}
jg: {jg, f23e159ad4b1a2760b97c9263984fd15}
k8: {k8, e2c161e912195e66c3c0ec6dda54bc48}
androidx/compose/ui: {androidx/compose/ui, 17eb2e0fbbc11db5900665b56fcf6b63}
re: {re, 19de830369b5af0c2f6b25e094555ae5}
y9: {y9, 897360c35d024630e6c2689c1c985eff}
z1: {z1, bdf88169e2560bec2f09b85f0ae440c7}
ac: {ac, 5adb279912266746fa72e1654264ab93}
w0: {w0, 8bca71227d424e9b7d06b042f797cfd8}
ba: {ba, cc1852659c0213935b4a49666391c6c5}
j5: {j5, 8bc82c61a1f37a5cd57946e35b16e0a6}
ia: {ia, 9f78a6fe1441b84bb396a6e7358c2a8b}
wb: {wb, 75ea598a98acc100f400dfb34ba28b5f}
d0: {d0, 1f674d363a29bfd3543bff2b6d253246}
b: {b, 0a4016474b0bef6b99ddb16803478061}
k1: {k1, f24a810c27a21c960054f04546198ce9}
mb: {mb, e4ac0b3b03974cd2adae8f1b07bc2559}
x7: {x7, 65e80e67ed108acb9525498afe4a0279}
a5: {a5, ac6f8b3b17694d2e7a8a2f79009bae57}
y7: {y7, 5d836e1f254f2969c53a18548c7ad249}
hh: {hh, c485fe06c52ecf87fc0b0bf5ac22b9ec}
r3: {r3, a42d7125663b44ddce659811e4303541}
androidx/cardview/widget: {androidx/cardview/widget, 02124425bbc7b686bbdcf990cb3a9b48}
l2: {l2, 8d734da33604d50001c366a0ffab3779}
i3: {i3, a3054d96c832e5c9f72a12f40879b6d0}
sb: {sb, 88d9e18b841619cc7ef74a2ee10caf3b}
androidx/savedstate: {androidx/savedstate, ac45046d17b90a1d115f9476870ffe3f}
m5: {m5, ef1a03f56d9d8809f3dde2bff3333096}
j2: {j2, a273f17faed83317339dcd601ace2865}
v3: {v3, 32562a82c0a3a2f924048ac5c00ae902}
n5: {n5, 2f3a93a673442f1bd7cb5efb0331fa41}
androidx/appcompat/view: {androidx/appcompat/view, 1d49c1fe234b7422e03ceb3532dc8039}
xa: {xa, 6457c92017a84166cb3241fe50e5a55e}
o4: {o4, 308a97264abb6596bb7340cd01f8704d}
ng: {ng, fdc48e734eab91f3d405162754a2e9e7}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 359d35646220e525dde5ce0f5407d17c}
se: {se, 80c4a46bceba9e0d75d3c9390f2cabcc}
o2: {o2, b12f4f0271fffb5eb4402b705b896b8b}
androidx/lifecycle: {androidx/lifecycle, 68f64995ff02feec4b36d05ee12bb6d2}
lg: {lg, aa780d8d307a8aebcb81ef430ae6cbe6}
c3: {c3, 2baa4dbf2a4e03a9333175c9fcb2b565}
h4: {h4, 64361cd3a83596a6cf417135d4f629e5}
g2: {g2, f20797c8ac4944091420b0600dfb72ab}
ha: {ha, b4fd934c676da99ec6f3e9e070c25c9e}
t4: {t4, dbe70d8b23bb8b95ff1c731ad7dc0e34}
u2: {u2, b1533e190c69633122b780a72ce91315}
c8: {c8, 5a21d68db6e648900be7015223c0d84f}
h3: {h3, 379fec12893cc9f14b80b64d8cb3157d}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, eec032e20ba384f45bd278545c37e01a}
yb: {yb, 1e16553bb12774a5fc43085c45100374}
s7: {s7, e4fa6bb58805ad9f9253ee9f40f10670}
q1: {q1, d6695926330835756d095c0d8acb1219}
fe: {fe, 105ff6fc02bebf7ef02e0476606f4898}
androidx/media: {androidx/media, 7eccc52a1382e5bb56560410ccab7af4}
kf: {kf, f2545d48acfb65bdcb2584f81d41622d}
yc: {yc, a6ed3d46153a3e0083ca434af4df58ec}
b0: {b0, 4e28fee27432cad6a85f71849189591b}
tb: {tb, 77379ec9fa16c76540ff42875f8b460f}
u: {u, b1f182fe9451aa0cb5ac8edebbf1b9bc}
com/google/firebase: {[com/google/firebase, com/google/android, ], d64a8bf8759634e7ff58b74229e771c3}
f3: {f3, 98501cc6afb8248b6581c90bdb184455}
cd: {cd, 367f799da4510280cf47446888fc0bab}
v6: {v6, 848ef37f22ae08feb04e42a728ba8b6c}
w4: {w4, 26360e7b8ac7c8cc503f89a671ab131b}
db: {db, 5984ff248cdbf77c31eb73370906fdf6}
be: {be, 07ea85943162f49be158c41c2b2b9fff}
z2: {z2, 6196ae271cef43fcbe97c72b9e92d8a7}
androidx/compose/material3: {androidx/compose/material3, f770e0af11c987ee68be48b5e84c901f}
qf: {qf, 5ad17cea8daa1e148333cf537b8049ec}
z5: {z5, 5c9741aca5ffd62276990f3edf8db223}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, ecbfd4cb8cbbb372a46b9a7d41ecc259}
y6: {y6, ee5a39cbabbdb086172bfb6a8f747d69}
n: {n, e5a01a33e5c33cb13963f3edb06ee0cf}
p6: {p6, 844573d5aab1955be8992a21abb42639}
wf: {wf, acf7ef943fdeb3cbfed8dd0d8f584731}
d4: {d4, 812a0ee2ca1bf196a0b3591c3f653b94}
e2: {e2, 44d9b5f9d149c1efcc36e66bce318ff7}
q8: {q8, b7e0f7e48a20a924c584de220e815696}
y3: {y3, 55893c368744ca4c2cd110fd00edfa39}
v5: {v5, 07d8a6f543de674cf3454cadd993c268}
a1: {a1, ae3bf550685cc80aa0fbaed86a4e477f}
ga: {ga, f63de75c59409d39dcd17aaef9110779}
mf: {mf, 7636cc653873111cae5eb4549bac459f}
x3: {x3, cc2b4d798b30e7ed406647f2e6242ae3}
k4: {k4, e462ed42e2acc539ce50916630044a7c}
id: {id, d323b462ce43e800b3e4a6c2ee2cf10c}
wa: {wa, 7424a71ff7514dcb0bbab072c9fc1e3f}
g: {g, 387cabb167f57eaf1f4474b45e14cef1}
gf: {gf, cd9072966ada03a22b7b79e6221f6f0a}
androidx/appcompat/widget: {androidx/appcompat/widget, 051b715c8bdac907e436c48f7f89bf93}
oh: {oh, 4f6ac2c523c96026e97fc28080f14901}
pc: {pc, 7d8cc9803f380711c64c09f261575ab5}
bb: {bb, 2a8734b35ccfbe7b3543757b3d4435be}
j6: {j6, 35a7d384d7f764d9285fa9c318420705}
v1: {v1, fc2094fbcc87da37701ee10bcb14241b}
okhttp3/internal/publicsuffix: {okhttp3/internal/publicsuffix, 546383d5e8c422c22a25dc1adf46b6e3}
gh: {gh, c1eca675c23648229fe3a3b4e9c33a8b}
s3: {s3, acc8dc5c22ea784bc747d431ed11039f}
x4: {x4, d6556af7606b0e6fe2ace18339483192}
a8: {a8, 7e22a106d444fac6e1c6992d98b06490}
h0: {h0, 8664c42d0fcf43856f5905ec330ccbfd}
i6: {i6, 549520e48e40783a3f277296c91fc492}
uc: {uc, 16abe8989b49a0295ffb667e02884782}
nc: {nc, a0babd5577779c8eaecdc27fbf8ad267}
ed: {ed, f9a451af689cfcbc3a95060ecb00551e}
e9: {e9, 72945cf125835e621fa96996707c160e}
l6: {l6, 4f20529750fed47c615dbd291ef10976}
pd: {pd, c15aa7c988509fd15afb86c0b6842a79}
u6: {u6, 29c3b546776029d5169f46dff5011663}
m0: {m0, b7bcca4e2891c56f4f680707ddda2862}
rf: {rf, fa9177176173a5618af89af8af7c4b61}
oc: {oc, 9d7165c75114cc68839b5c8131ed0fc4}
ud: {ud, da2aa46b5978bbd3fe1678873cd846c5}
vh: {vh, b15427f3af884b969e7473b62abe8b2f}
t8: {t8, f0145c60494a76f5703dbb26b1206363}
xf: {xf, afdecd244639fbb928521b4399ea9050}
c6: {c6, 71af461c8683e57814b53cd2be9c7f12}
kb: {kb, 806d9c3443c72225c9ccf09b9ee786e4}
nh: {nh, 6b5a9dc8fa39b481a58335736a5356ac}
l8: {l8, 8b0325aff918d7345e3ef87d9e42a0ce}
q: {q, 68468027cf580c4b9125bbc2aedb6fbc}
b4: {b4, 2902ca26c1d038237045b3722b04a2e9}
o1: {o1, 2afc1b8441ab4dfb69e8cb92466acce3}
fa: {fa, e0bfcf8a020af3a7409fad6906ce12a8}
ld: {ld, 7be551d90b96e52cb3016bebe03b14d8}
fh: {fh, 9ecdda226e646e4cf320d8d14ff78f78}
hf: {hf, 3c12fc6b8f55fab0318e6b22ba73f244}
o6: {o6, cf3529315d291fe288626028506d4140}
n6: {n6, 61690cd838cfdafb91b984bda688a132}
x: {x, 7bba1390969b7e49f584af7b80507978}
androidx/drawerlayout/widget: {androidx/drawerlayout/widget, e133b9bec7d6d4af4ffe6ce1c45d434a}
r0: {r0, 17a2fe0ebc4db917951da5830c955e6d}
p2: {p2, e9f1c8de0c27e0ba0aeec6a5541253dd}
d8: {d8, 603d3d2daaf7a3d1c86d7bc6fb335b3f}
j: {j, c39e9406dff5956b44d3b2cdbd162ea6}
q4: {q4, cb274faa3006929e703860068215c337}
ff: {ff, 9b177ede6dc6799399608efd1da3ecc5}
androidx/compose/foundation: {androidx/compose/foundation, bb11b03e34e9ccd430bb92df61594f7c}
zd: {zd, 4d2c7f956917e41dd5228a8309c85f60}
df: {df, 9f336ad02c198ce792fd91a06d678f58}
n2: {n2, 5a8ce58c6f0c98f64441006e52cca806}
tf: {tf, 46ea1608b6832da4b159c89ea7216e62}
androidx/compose/runtime: {androidx/compose/runtime, 23a74f6669448a0c9a1f528bf2b5d8b4}
l9: {l9, 0bae0eed2332536099f82c08ee34fae1}
ke: {ke, 733a3a3546bc4e53ceb698d04c11a295}
e6: {e6, 3302e7a170520b6b568acc9771b324c5}
qb: {qb, cb51e2a94ce97a4cedaaaf4c27916c57}
f4: {f4, dad9264f3ed55cfd5fde855a8179e8b0}
jd: {jd, 2db1c42b7ed2c9b6429ec4d9baac6341}
og: {og, 0a2341749ae54755e446a00eaa2a0ed2}
n1: {n1, 6a97cf8134bc065cbcb0b28266b3bf01}
y8: {y8, 5aec3da57178cae8ca36970780214240}
s8: {s8, 264e7eb9c3ef92340cc9a45269a7e55f}
ab: {ab, d09d27de6bf5f2f8a94a5abbed843c86}
z6: {z6, d2e8dc137d902f01c98d73105180f252}
androidx/startup: {androidx/startup, 08c5775df7901f348750f14f4def3be5}
bf: {bf, 201db9bfc054fff1be9320ea7d050f0f}
d1: {d1, b773c1665b007e342b87c71715b79d16}
c: {c, 1ea73c720a7df78c0c605ab786524173}
k0: {k0, 72d224e61f1e851eacd5fcc1a7090ef9}
we: {we, 19d333933cd1939beafecda0895dadbf}
ma: {ma, 2a79b02c2e6f2aa30e8aa596663d92c4}
x0: {x0, 6107fc9b9d0effe235a13e62493e5452}
rc: {rc, d4ca4ded2dc6853d1d58caf2ece14544}
xb: {xb, 4602fd50644264fbd111b35670b59df8}
vg: {vg, d39021b95390d168d025e46cf14134ef}
m3: {m3, ce5ceb2f443e5083db632b8f0c6cb70b}
i2: {i2, 0d8c515db58ae065c5e58e13443f89b7}
ug: {ug, e7eaadd617002774a99ab13499382efa}
a4: {a4, e4c9e513e10d96327dd0924617eafe02}
j8: {j8, b2fe982ab2f76fb2ed0c0517aa9712ff}
g3: {g3, 462a9f18fae7aeb310fbabfa7315637b}
j3: {j3, c45d82cb0703d8f36cf5308deae61a66}
m4: {m4, 063d14daf837bcaff677265d050d06e7}
ig: {ig, a728aebe1114aa16793e842c93463955}
d: {d, d463e92a6009ff60cdf9d43677925635}
androidx/swiperefreshlayout/widget: {androidx/swiperefreshlayout/widget, 025a268bf5f004369b784768b07cf437}
ge: {ge, fec78cac979d44d16436c34b895fb317}
y0: {y0, 9461f671076ee9422fecc1ab411aeb75}
r4: {r4, ac4b5afffc09d5312d1e6c983af325f4}
v0: {v0, d32f2a6f303a19d03cb91d95141900f9}
uh: {uh, 93ff435ebf3f682f913e940375b7ea20}
nd: {nd, 18780dc2280f0fa9bbddf11f6a076edb}
eg: {eg, d6622dc583c0aeb69a1fdf431ad884bd}
sd: {sd, 4d2c7f956917e41dd5228a8309c85f60}
ya: {ya, 543fd22560740fb3f983e6412e38e8e2}
vb: {vb, 92b638a4bb8ca3299f956935cac0a136}
h5: {h5, d1e5a9a369d42b12987d4bd312f56545}
com/quran/mobile: {[com/quran/data, com/quran/mobile, com/quran/labs, ], 58155c6e1be4a6851481e2946a3bf2f4}
c2: {c2, 5905e6f81f3fb01c36a6004c482f1b59}
androidx/core/app: {androidx/core/app, bf2093b9ad077abb1b588626a8c722cd}
r2: {r2, cbe96fb0f65b26baf8c58585ad91b7a2}
t5: {t5, 0acb1452dc2361d066854919962bef0c}
eh: {eh, a0ffa93c815287aca85fa74598b74901}
u1: {u1, 28f3ab46263ab4d5602be92869391d57}
s6: {s6, d8c2021c2de0a57e0755be3b90c007fe}
hb: {hb, f4042525d9c1fdc51349ad47453a2078}
la: {la, 4ff75a1f9a67b7dee9e03449e66d1360}
b1: {b1, e0c56a3f158594a9b564f7b2e6eb1dac}
q0: {q0, df17f1e4629e16cb0a1c7616dc2ca041}
fb: {fb, 84b853bbd1e50e33b14eff1ad5bdabd1}
f0: {f0, cf10947f7717d3958ca2153a1d12c7d8}
o5: {o5, 277f1e2a87e15c601b77a472c9105ac9}
androidx/profileinstaller: {androidx/profileinstaller, 8564345af7bcaade685a6108078f17d8}
ka: {ka, 6257118076683ee852dc5775bfd152c1}
tc: {tc, f48c1cc7b68235173b1ea9a3b0885a53}
v: {v, 857369933204fb1f9f18fa36ae483555}
r1: {r1, 6f5127e4f1349b4ff1a357975852cb23}
androidx/appcompat/app: {androidx/appcompat/app, e01ab8eb7c04536a122bba30f7968822}
cg: {cg, fe3a2800d122e3872de5abe9db59aae5}
w7: {w7, 02bb9571e4263358baa59c28dca5bfab}
dc: {dc, c4883cff050118316b3c9770f94f8527}
va: {va, 76dd1a7a71982bd005d36ea4a972b2b6}
p7: {p7, 893439ef1842f31d161feec93f5f44fa}
o: {o, 1d3f7bab5bba1eff9a2a8048e377569c}
z3: {z3, 1879d5953f59c5d646530ef7e5e61e1f}
com/squareup/moshi: {com/squareup/moshi, 542dd9699021b2a489ba6c7d8f6e4a23}
ae: {ae, 3ae4ae3525bbebd580f2af6007f225b7}
za: {za, 5820f8126d3860030659867cfd8045e2}
s5: {s5, 36ea5bea9a1a1e5964139952d1f23738}
kh: {kh, 5c30d723bd7fff3320adfb2c92697244}
qe: {qe, acf7ef943fdeb3cbfed8dd0d8f584731}
d5: {d5, ed1b43c44cc7f687089cd1fcffde2710}
l3: {l3, 6327a38c1353c724bc51733383712c3a}
y2: {y2, 0f3d8aea23860e1f7efcaa95d69e5b10}
z8: {z8, acf7ef943fdeb3cbfed8dd0d8f584731}
n7: {n7, 52567a8ae7d5abf3f773b2159ce097d3}
me: {me, f249e259ab649eaa59d07d4648ac81f7}
a0: {a0, ff057890c4e10fe4ec3bd3314fc834ad}
okhttp3/internal/connection: {okhttp3/internal/connection, d09d27de6bf5f2f8a94a5abbed843c86}
k7: {k7, c22fab6ea3a6961e6bcaed74ea2f5dce}
ic: {ic, e15b6259bc38d3cb9e973cfc10de459d}
g4: {g4, 0914ec28b1dd8d70b0fec8371212b321}
mh: {mh, f92f0544af33c8915e5dd3f80f5bff01}
androidx/core/content: {androidx/core/content, 4376565f491275a08ac7d0b35787d42a}
j7: {j7, e2091ea65ee222d6a786e3faf4dd7a2e}
a7: {a7, 58597b08cb26cdc4b23916a963c00b7c}
r8: {r8, d2e86ced9a0675b4f84a6752f750746e}
androidx/window/layout: {androidx/window/layout, 2f014d2b44c918febbda99ec1c078984}
x5: {x5, ba8f5f90618133c2e8df2e88db40cd53}
s2: {s2, 3eb6ee32a1d578071b5c5cbe6ef17ea0}
androidx/work: {androidx/work, 7c5291c40dc18c7178216a5dfd89b811}
g7: {g7, 10097b2b623f0cbd8dc1ff50c0fd5c66}
l0: {l0, 1126ac2a94c6e1a3f2ecaaaa71a352ce}
h1: {h1, c0a5a0dfa759b7bf3a9a63facad4e4cb}
ub: {ub, 984e42ffa9d0f7e02a835a5665a4c4e2}
androidx/emoji2/text: {androidx/emoji2/text, 9985a5b64a6ff141e6c288534705ee18}
io/reactivex/rxjava3: {io/reactivex/rxjava3, 4635d98dc9787312f9e828c54e970da0}
ch: {ch, 5ad954c77f580dc2a1a59caf6167e670}
i5: {i5, 3be5b788f19588f344bdd26a5cba4151}
pe: {pe, 9416f05b0819ad2d501371f4cf6b0faf}
ob: {ob, 3481938a824996274401d0062bb3995c}
lh: {lh, 05581ba0900400ead8a2210991328be3}
l7: {l7, 9d13c94a9f094c24541abd5ecee288d8}
w9: {w9, 8fa97515be7e207f0d7308f6f9a53ea7}
m7: {m7, 71e3a9e395b3b03800e9b956c23d2e46}
t9: {t9, acf7ef943fdeb3cbfed8dd0d8f584731}
xg: {xg, 5d8cd2543a5f03156855d9b9384bd683}
androidx/recyclerview/widget: {androidx/recyclerview/widget, 4b7afdb88ee0a1cf0267f5ba96dbf51d}
u5: {u5, 357c976a727ba9c642485f35d8ffb1ce}
h8: {h8, a02601a896c383032c71888487df8e59}
androidx/core/widget: {androidx/core/widget, e3cadafeaaff38012729e05133ae6bae}
c1: {c1, 2dbcc2e4a0b9e65631bd1fefecbca9d9}
eb: {eb, a04e64af745db0b939e237027dcb6bec}
cc: {cc, ca8710c7ad933423bffe441ef97a51fb}
ph: {ph, c0ddd310735216d3ecb32a38e7b7fa78}
y4: {y4, feda4b3e2cd69376a67d51439b65f177}
v4: {v4, df7c1fd4f0c3cff9f706f667af51ebb7}
androidx/preference: {androidx/preference, c9ab15d166c60931dafc8de573d896b0}
bg: {bg, fec5aa6e3313faa7364711f981899bc2}
o0: {o0, c9d8095985739124165fcea0a3b8c732}
le: {le, 3d1c4f514be8d7b9e206cd831dc45203}
b5: {b5, 31b55251dfaee69393f84de99d1bd3a3}
hg: {hg, 448a08a86bdf2bf2fea6b23d2ce04e97}
o9: {o9, 46dc83e3636ba595137060a05c746503}
t2: {t2, b72a134e0099e3e73e2975289ed7f809}
yd: {yd, 1a28f2bb013c42a2e4be9e5c2932498a}
y: {y, e2deb6d60f660ebe65fc2e4f290ceaf2}
d9: {d9, 33de42da30f89f792b7f0e6114f33cab}
k: {k, 3ea271632125097eae6aaad1cc954963}
c5: {c5, 9310de37227469de5e2624e0cff6bace}
androidx/core/os: {androidx/core/os, f9658b3afd5bc8a8db21168d75f7f4ce}
p3: {p3, 8600abc76e1988ca629bc823df9e3abf}
fg: {fg, 2b6470c1e83c8ad3e773704ac0e61182}
e5: {e5, 66d04f4c5eba839ba8e6b945f551b475}
b2: {b2, dfe20ba7ce0e95fd1c99138255aa9ec9}
q3: {q3, 189c0921b21f6f091568ce0b95b09daa}
ze: {ze, 908214013fcb68f03507d9351d7cc25f}
od: {od, 6caad8d041c265669525f98b14406c7e}
androidx/viewpager2/widget: {androidx/viewpager2/widget, 2ebb7b9075dd28e532596a19de12388e}
dg: {dg, 70195c579e8733d092531fde7f68a4c8}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 5e49d867d45db13e8bc5f5f17162678c}
kotlinx/coroutines: {kotlinx/coroutines, 6e41d2dcdc9f1fc7c42faf62bec8f139}
r: {r, 4c5b3eff002ab2a9f2aae652c3976011}
kd: {kd, fa1b1183afd2216f25c31a604733e157}
qa: {qa, 96423c86420ca4ba20aa01e88cf25890}
f5: {f5, eccb1b0f34a094ed29c02e2a6e2a88ea}
g9: {g9, 277e72d98ac47f3b5cefe81be5a82459}
v8: {v8, 30c39e0aecc2f5ae197099d26978164b}
zb: {zb, a1f5eca27ae59b39cef0ad8fd810b35b}
je: {je, 3ef98f690d255187b0004b30a8a7c86a}
androidx/room: {androidx/room, 069cdb710880d9bf5d0584e1f0bc49a5}
w2: {w2, c89dff5845d76c4972ff5b689895f147}
tg: {tg, e0818a5f71125c03163f3212b2d168a4}
