androidx/appcompat: {androidx/appcompat, 25f4f3c16aa585c67033912b8f6fedb3}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, cdf5090ef64f9a644809d59cc7ea2de0}
h2: {h2, 7a4aa6bbbb2f989602db428ca15f2cd4}
u3: {u3, 64a35cafc0423ddf94a609c7af1d2a80}
okhttp3/internal: {okhttp3/internal, 9a633973b519840e21d561d35254d27b}
r: {r, 74e16131e552140ae6f817b8442e26a7}
f5: {f5, 64c4c4eb3ea5d8ce87c6d2e373c9a944}
w3: {w3, 65b76438f901344d0d24a99bb9e5dd80}
z: {z, cfae96e60b59fbea01cbeca9d2817acb}
s4: {s4, e381f6991873210ea6cc1b6be99b5314}
c: {c, 8c8c1a3f848271002508d79d9fd49acf}
k0: {k0, 4150d0b68fbe0c07721006b636ad2b32}
g0: {g0, 77b8c27c289299c7edd84097f1038e91}
com/codetroopers/betterpickers: {com/codetroopers/betterpickers, d43ba4d3b210abcdf844886837f35707}
x0: {x0, 458ea9bacd00bbe8ef5332d0ebc3ead9}
b3: {b3, dbd7025a5e9077f60fdc7a07f45b4816}
w2: {w2, fb6ddc8e3ad02dd0d92bb4c9cbc5e25d}
q2: {q2, 6042042ad53f1ae3ef0eb28271000e94}
o2: {o2, af13171cde56c8e30266ca505c43ddbe}
m3: {m3, 67ba69a592969a391f5e7cc61b043c99}
i2: {i2, 8921213441cda922da01781a95f7a1ee}
androidx/lifecycle: {androidx/lifecycle, f07f250f8675b1bfb5321007fe6de832}
c3: {c3, 28584f60e760233f50dc303ac5b01124}
a4: {a4, e3e781eb38699612cf292c9906e60b6d}
h4: {h4, 948e016c940ce07611cc43f99b79d503}
t: {t, f2eff5bc25aa0555ec0e9d8a983c6afe}
g2: {g2, 94a01bd9fea2e4110a3986a8603368fd}
j3: {j3, 60393af8f8db1479b4837ad08bcf2651}
m4: {m4, d570a466c20cdcb15d5e43ae2c9e5326}
t4: {t4, fd271017df74d6d2cfa0cb54710e71a4}
u2: {u2, ae6045acf0231046aa9b368af450d53e}
s: {s, d590ef7cecfce1fad730318babb89fd6}
androidx/startup: {androidx/startup, dfc77c869f6cbafe0176e365c6f2949b}
d: {d, cc5c4a0b2ff7e3a3ac9b05caf88856fe}
androidx/core: {androidx/core, 5d95996918f6a00512b0debcc3a60717}
h3: {h3, 8dd175675a23269098907311815de3a2}
n2: {n2, 6e242682fbc96bba22d3888db914ccf8}
k3: {k3, a7fc33cfa833916c9f80ea95ad41c1e8}
p4: {p4, 2fb3165960d067bb766fba09ba706d01}
l: {l, 04e6e812181270333443ddfb0242d749}
y0: {y0, 38b6ce6ca1f3dc4df6d39a44e645b0b0}
f2: {f2, b2e4d4ef326de31a8663c78dc289452d}
com/j256/ormlite: {com/j256/ormlite, 9ad8e5a526c0b29099b31e1ff35405b4}
v0: {v0, 2e0b294c7e122626e1c8092c436a80aa}
d2: {d2, 13c873aec717c3d58b83f8d2bb6f5e84}
q1: {q1, 3fce81097136797f8968595f47da01bc}
x1: {x1, 4d313b6796df5dd6adb66aa8d25c21e8}
g3: {g3, f715f413b7364f1db642a05306ae980a}
r4: {r4, 5fa3cc830afaf1277e47d9c5b238472a}
b0: {b0, e56272b7ccf3e525147e60643a1cbee9}
m2: {m2, 1d50e6e9a4adb09d4208f039bbc0ba99}
d1: {d1, c410984170fa75dd9afad69e16f8a304}
h5: {h5, d317f0e84a3dfacca83d503342f52085}
androidx/dynamicanimation: {androidx/dynamicanimation, f375e34e522885c7bd7f5539403a98f3}
c2: {c2, 65fec45a647e0e31a88b8c0e7d7db796}
a3: {a3, e20cb6ce63cf0809166227faf474302a}
z4: {z4, 6bfff593c2a231911afedcd39e859d19}
j0: {j0, cca4c873b2da6f54578ea319c54dc531}
l3: {l3, 2a6fb49844129c13a1fed64711e3133b}
n3: {n3, f85745656eedaa24ffa10e58a41dc275}
u1: {u1, f24025c97882336d3d1dc761182ea0f5}
e: {e, ae09dd92ed46d389f8a3758353e166cf}
d3: {d3, e7bd0ea4d9cfefebf97e4d756c25e8cf}
l0: {l0, b4a1e2807dba86da66d37d42fb93a051}
f3: {f3, 0daaaef9263e393735a6f5c33d076330}
k2: {k2, b8353a5add71fbfe273312b529bf995a}
m: {m, 12cc426ba7606de19a373db5cd8c254c}
e3: {e3, 2c567f55201c2530568aae5ae1f5fdfb}
v1: {v1, 4b8813374d748e6101c0bb5b0c830c89}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], 3340be8d87eae637017800995d5dcfa0}
org/joda/time: {org/joda/time, ef61c85cadbd356e7f7eb0f3e77f0c99}
y4: {y4, e0d3ce08d519d8732a237efa27db5a8a}
q0: {q0, c7174c75541090a09c0c439554bdc45a}
c5: {c5, 26fbce826aae1bd558a3b753ac74dd45}
w4: {w4, 91588f48978eeddb6c090948294fd066}
com/google/gson: {com/google/gson, 2ef374aa56b1acf5f8b12550995702c4}
z2: {z2, 86c15d218abf961f0860df2e1b98d82a}
o4: {o4, afcacd98484638012a85f2f08fd45072}
m1: {m1, e493acc8f28ffcc85e9648d2c280f619}
b4: {b4, 58e733985358909b79fa9220894c2f3a}
x2: {x2, d41b7898f0cf9c2e15321eebbaa43e6d}
v: {v, e5b43b7ff8850364372795cb9122de8f}
androidx/loader: {androidx/loader, d5e1a3c0b457b4521fa944f29164cd39}
a2: {a2, 6f91ee544ce9cae8875addbb9afe4f18}
androidx/recyclerview: {androidx/recyclerview, 9fbabed2016a6aa72e3ed47baf143fc5}
n0: {n0, 3f3516b5bce8124672463b508db88456}
u0: {u0, 2b9d4ae0160b302bd0595479507872cf}
i1: {i1, b57f6ab47eac7d2d5abbe44a548af37e}
f: {f, 6ad06ff2ad9e639846e44ec6b5afab95}
kotlinx/coroutines/android: {kotlinx/coroutines/android, 4f1540bb2ec592851a73cd96dbfb6709}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 0023ffd8762b094844d6823933707bea}
l4: {l4, 1ce2d9dbcb056c3ca1586851ccc19150}
n: {n, 3d0140baddae669c8cce775a3ed0c5ef}
androidx/viewpager2: {androidx/viewpager2, 193a4340bcaafb1dd7188f2b88baf37a}
d4: {d4, 41e55419629d425501a9f2b0ae6715f1}
e2: {e2, 8c210ecdca79c4e6e15a75a613788ba7}
j1: {j1, a80d9f509c9cbbc68108fa3355adea8c}
u: {u, b73bd9b5bbb5457a60985184c0f04683}
androidx/drawerlayout: {androidx/drawerlayout, be0c1a2a8ab52dd4f0025089387acb4d}
androidx/viewpager: {androidx/viewpager, c42527eb5692f43783297526420208ac}
y3: {y3, e4980c529101461624afb6f16ae32633}
c4: {c4, 1afd1ba0d88b863aceba01727a4c4bac}
s1: {s1, 6028adcdb0b32f4310f47eee6002f068}
o: {o, f014473146fcea18cfea826d54c960f8}
f1: {f1, 84853e5019327d48591837d70420fa46}
z3: {z3, 642ced832a91cf4d0969f75885b2d28d}
a1: {a1, 84e61eb75f2befa0b824041f7dbab433}
w: {w, 95bcc38429bcb350755aff5ca72745bf}
kotlin/coroutines/jvm: {kotlin/coroutines/jvm, 8dec1541f1db010094e2c724da8a21bc}
x3: {x3, 349ad4cd6e6c01fecaa93d643c347328}
g5: {g5, 2926db5a177f7d2e55e78ea7e9e81d35}
k4: {k4, 8322e6ce907760fa38d1fc01c16a7c28}
y: {y, 71364553e8330347a38ee6300155ea05}
g: {g, 30b84c3bf7583e1562f67ab5212e3f32}
n1: {n1, 38c3f8113ef8ab127ee45469e13d31ab}
i0: {i0, d98b043530b459ecf79a67b73fd36fc8}
androidx/cardview: {androidx/cardview, ad0c89cd303c41b37d28d234226ff840}
s0: {s0, fa11d315d26a6cd6342f70e253d175a7}
u4: {u4, 11e47df2564b2d02ff168ad1de1b77f9}
com/mikepenz/aboutlibraries: {com/mikepenz/aboutlibraries, 3a38741e6a98a473b5a43357376639af}
r2: {r2, db54304bf47135cc456d35a5bf294427}
e1: {e1, 5265d91eb0a3a19989cf227b7d56c81f}
retrofit2: {retrofit2, e0c7db62cc056e9608edf923a59935fb}
com/faltenreich/diaguard: {com/faltenreich/diaguard, 44d81b85e3672022987f975eb082e19b}
y2: {y2, e5ffa72102dbb4f63c24a3877ce6c238}
androidx/fragment: {androidx/fragment, 79e2746b2236f4df34839a267caa7ed2}
h: {h, da7e91a02b242a310a37ba18df787e26}
s3: {s3, f743ade9dd53ba8a5be9125d9ff1e073}
x4: {x4, acf7ef943fdeb3cbfed8dd0d8f584731}
p0: {p0, 6ac7987400dea7bacd4499e1568da256}
p: {p, d8a6be66e9384a6d168ad57ccad35395}
androidx/emoji2/text: {androidx/emoji2/text, be6e50723d333d70728092d758788ba6}
z0: {z0, 1b16b82996b7fe4b1dd8789d8ddf1e8c}
a0: {a0, ae863b9965b545b80b5edc64e64b98e1}
g4: {g4, d9b6742fdf27aa3d920bc5cbb7aaad4c}
androidx/navigation: {androidx/navigation, 10ae740b64890733fd365c3d5cbe0acc}
m0: {m0, 70986e32ed61aedc518b2536d168b75c}
t0: {t0, d3dc59d30790f491fadee1ffd9c170b1}
v4: {v4, d52206726ec63ebc292d6eaf2d490911}
e0: {e0, 4d966461c39d277ec1175a58423c0366}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 87a5475eda4fe24cc4c65e2293fe8d78}
r3: {r3, 8d9d2024405e0aa53cb6e70534fcd629}
com/squareup/picasso: {com/squareup/picasso, 4060e2fde322a941bfe52488cff39690}
com/fmsirvent/ParallaxEverywhere: {com/fmsirvent/ParallaxEverywhere, e4b0c75fc24426f2f2f725518e345fe1}
androidx/legacy/coreutils: {androidx/legacy/coreutils, f375e34e522885c7bd7f5539403a98f3}
net/danlew/android: {net/danlew/android, a7d4499e5a11f3d8f3d9f28eb831b862}
i: {i, a080e9f81673b9587629c2d8b6ddf24d}
p1: {p1, 4c22269ca0b5d82a2969aab1d35f9536}
s2: {s2, d0c5468f32dc26fb49b2591fa6d032e4}
q: {q, a4100b7c6ef7d3d056e1f8b4baa2b1e7}
h1: {h1, 6ec13354548c1a522a6b83172e99b12c}
n4: {n4, 81b72d13a92b2c81645150815ab534f0}
okio: {okio, 620fb25d800a65ed53f8697d617959b9}
y1: {y1, 68f658504cf39c78536c963b59fd5eca}
o1: {o1, 481c4683168fc85028bb5cd11335b687}
retrofit2/converter/gson: {retrofit2/converter/gson, e3dcf7a5eb53966bc2965325f7c34beb}
kotlinx/coroutines/internal: {kotlinx/coroutines/internal, 2494550ab01132826e5b9999c75451c7}
a: {a, 3944707ae0a0f9dca4ccf6aff37e287d}
t1: {t1, e89cb94c86c250586dd1486da1132049}
androidx/versionedparcelable: {androidx/versionedparcelable, 00a75dd4e5061181d85c72b9d29f1b58}
j4: {j4, 6828a0ffae83d7b303a7fe3a29c2f548}
w1: {w1, e7a5f12b76c38394a19ca87b07032e77}
androidx/customview: {androidx/customview, f375e34e522885c7bd7f5539403a98f3}
okhttp3: {okhttp3, dc58b3e400dff2e9a8194404e2d9a05a}
x: {x, 05fc01c64dfb6e9d6bff204ae5458693}
r0: {r0, 80f6c95a63c47d655511753412a5bd39}
