androidx/core/app: {androidx/core/app, 991e6eac40c253af285ea5234cb1ef62}
c/h: {c/h, 98daa9485dfcf5e53ae3661fa0561583}
g/i/a: {g/i/a, c622ff1309af00429227bfacfb5eb5de}
androidx/viewpager2/widget: {androidx/viewpager2/widget, 3b68094f1aed808b33a68aa8c815b2e7}
androidx/fragment/app: {androidx/fragment/app, e8a40c9b0cd767ae851b6ef3b1f70379}
c/s: {c/s, 82b25f0b36d6ac35e846bf8020850f70}
g/n: {g/n, 40670c9d959b9c7287bfd71e24a4746f}
g/i/b: {g/i/b, 5b9387931de59d42f0573f58ceb56ab7}
d/c/a: {d/c/a, a89de218f234182bc8285de89e91e4db}
c/c/a: {c/c/a, f2c6d32e9bf6214d5f5b44415dd67c44}
androidx/media: {androidx/media, f7f2893beac7d2a8da8e375f1611ae6c}
c/a: {c/a, b1345da1cefbef3cb736f073f9ed8832}
c/e: {c/e, 02449d1779d351c006a20978530af240}
com/google/android: {com/google/android, d2d364d4e7727744fb8bc59931356e59}
c/n/a: {c/n/a, afc26ca326b4075d07bfd31afbca758d}
androidx/appcompat/app: {androidx/appcompat/app, 26f3ceea9b6aa1f6ee7f3b7567ff6f68}
d/e: {d/e, 7cadf2ff1e17c02e190e0bf770006d66}
d: {d, ddb301ba0e3a42c037c8614844b218a1}
g/f: {g/f, 6b9e2e40df83e1f8531cb2fd3d97db9f}
androidx/core/graphics: {androidx/core/graphics, e727bfe88582d112eb415af0eeb9bd42}
c/f/c: {[c/f/c, c/f/a, ], f0dea95109d90537e8130879daf63920}
d/g/a: {d/g/a, a7d087cbcb51dcc691b0d03910c28237}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 353574568b89ddfab8fa1460edf77a52}
androidx/savedstate: {androidx/savedstate, 0682393c09fce78574684ecd9f4d4467}
g/k: {g/k, b88e8ee336948dabd8aba3da46aa9c16}
c/v: {c/v, 23aac542998b57030064d5ab95ab69e5}
com/bumptech/glide: {com/bumptech/glide, 2a2042c2c390b1b110dd55fb92363dc7}
c/t: {c/t, f8960cbfabac1f73e136d1eea47098f5}
g: {g, 63d1a3eeb97c44f85e7d383e6d642c2e}
com/google/firebase: {com/google/firebase, f810365afd1766b5369b45ecc696c290}
c/x: {c/x, b26dde8487e3611726ed6c82bb6aa402}
c/o: {c/o, 90f0b4fd04a8d231fbfcb494c8ce655f}
kotlinx/coroutines: {kotlinx/coroutines, e8bec09ebd74e8c14ced0641431fa494}
c/p/a: {[c/p/a, c/p/b, ], 331eb6b1d5565b30874e2f9fddddecbc}
f/a/a: {f/a/a, a9daf5e6a922968c9f88f109314ede6e}
d/b/a: {d/b/a, 7e9a9c535d9cbd5411fe83e2ac2b0115}
c/j/a: {c/j/a, 8cef05e580cf60ed390ff50ba47180c8}
c/g: {c/g, 4679c37045eabe5cf338c9691e3c21f1}
com/github/chrisbanes: {com/github/chrisbanes, 47707cc8b2d93a10f37bf83c3ab15258}
androidx/cardview/widget: {androidx/cardview/widget, 3c60d5cacdb8cfb8e713ce5b5453078c}
d/b/b: {d/b/b, b90b77f7c682df68a9a53b84ba35930e}
androidx/recyclerview/widget: {androidx/recyclerview/widget, 115da0a50e73e180fba6aa0800a196c4}
g/m: {g/m, 483db6a41c2d813261f1518118a27e3f}
c/u/a: {c/u/a, ed41d9a92ea22d2c6a59d2064508a4f4}
d/d/a: {d/d/a, 870f8ee70b966c20cb863dd3691bb943}
c/f/b: {c/f/b, fcfdc77f70478e54b519b0dbe5025534}
c/r: {c/r, b906e1448faa31466583cf55320df6e2}
g/g: {g/g, 1253dd0b63aaf02e3d4317634162656d}
