A: {A, 3662c9192daa36a80f0198d1fb7d8287}
A2: {A2, 7e361179facda781133f64536dd9fb50}
V2: {V2, 9459447731ff8733ab99aa54b072dbf7}
i: {i, 790edd53eac32c79e1a6f0e74d57862f}
p1: {p1, 9c1cbed5c6ddf7065d6a6007f0288e63}
R3: {R3, 4839ff61aa7f3e597362fe2702955547}
U4: {U4, b0bc8be661e47e1fd16636cacb956f10}
com/google/gson: {com/google/gson, 1864566517476788cdfe4e242fe527e3}
q5: {q5, 80e6715226a33478156c6e3878eb113e}
T3: {T3, c3f99a8ccd19a3ba5b3d28b9b223cb60}
H2: {H2, f574a4bdff4ada32c10de5fe79cbaac3}
U3: {U3, d8cdcf73490d61d0277b08a71af1689d}
y0: {y0, 4dbdf345948bfc488719d860a4c016f0}
com/google/android: {com/google/android, 69271aad4929eaeeb490af2614d9ce9c}
z1: {z1, 7b70fe85d343dc38351982192ef62885}
P: {P, e99d453bd6f80edabe03343f94583025}
I4: {I4, 7e22a106d444fac6e1c6992d98b06490}
j5: {j5, 0eae0d1d00e0f2793194dd6c48c1dc04}
d0: {d0, f8b35929b40b242baa7c000d4ae3dad4}
b: {b, 3d6ea94961579e686d5d8602136baad4}
k1: {k1, 7ab0f54240ac632b9a9d696100f3d01c}
a5: {a5, 8d51dbc8fd5a5f6fe5f53022961074f5}
Z1: {Z1, eaa28309ffb2fd39c15b5c090c86d0ac}
l2: {l2, cf4e1d434556e1b307797e7fbd4e8e9a}
i3: {i3, 8d8277ea1c976789d5ed064a8272dacc}
D0: {D0, 57c9fd53f64b336954378d57ea85838d}
m5: {m5, 1629cfbf1d8ac8b088f1f2557e880fc6}
j2: {j2, 64d801310875caf89caf8bf0182d6f5f}
v3: {v3, 83be9a7a0b54a7ca4bba284cc02fa181}
n5: {n5, 79812889f1a5911f1b1d1c63d82e3baf}
I: {I, b8213e7ac15048935046e13ace7121cc}
androidx/appcompat/view: {androidx/appcompat/view, d00c96e5d7573c9fa78266f0108a4859}
androidx/navigation/fragment: {androidx/navigation/fragment, 0181bde79b56e2e3fa72c487b05c2a83}
androidx/appcompat/widget: {androidx/appcompat/widget, aa75cf897e17e2ad604d0e7601db8187}
O3: {O3, f704555880b02a31a4691e79d81bb74a}
g0: {g0, a794aeefdc9df7b55cafbb47f6ad93c9}
M5: {M5, 388aa836045dcb7bde94ef14df400bc0}
N5: {N5, 21a66d42e2ffff34eebc5d51cf4757ca}
androidx/media3/ui: {androidx/media3/ui, f9c0bc3847953b0ad302f9e5bb473308}
P5: {P5, eeb64bd121587d177ae2a38a96209ef8}
o2: {o2, 907680c15f162a6ef6fcf4876db11986}
androidx/lifecycle: {androidx/lifecycle, 4165d60e8c2166d0082df217267a6788}
K2: {K2, dd8ba8f11af6b372da213fd910e80a3b}
c3: {c3, ebff2d8f8c7383136041b6a705e857b0}
h4: {h4, 593e31d3062b83b970b8dd17b984cd16}
t4: {t4, 9211f14627ecf502445c74be15a37d84}
u2: {u2, 7fe4f2aeeec7a8a9bde6866936a30e65}
Q2: {Q2, c7f7a8492310c3d5e172af50394d41a0}
h3: {h3, c6829ce067e02130256e2594dbc9f2e2}
Y0: {Y0, 268dccbebdbe1876219ed9af76ccb484}
q1: {q1, 8ca1e7268d1e3174260bb9705951a0df}
K5: {K5, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/media: {androidx/media, 6be8b6ae98066757f47220f8a9dce298}
b0: {b0, 7d959d5f61648c4c5766e6678a85c758}
c: {c, c3c4f7ecd0bd9956e8d2d44fb4d38da5}
J1: {J1, fb5cc155cffd9f5a84b4efe18c4c043e}
u: {u, 45009c68a41228f2f5ed1ecfac1e8b24}
A5: {A5, 44fc9affbbd9005ed63dd21e3c7dd1f3}
W5: {W5, 2b6470c1e83c8ad3e773704ac0e61182}
f3: {f3, 889d702ce1b20cfeef75747fd0364edd}
L2: {L2, 9302874b6d8ffba681a2c847ca03491e}
w4: {w4, d9bc37df7eed4f5e21ecd5e1f4402258}
I0: {I0, c96c16fd7b2ccca707744722c4d70333}
z2: {z2, 674fdba3f355bd92567df1c593f3d49b}
F3: {F3, 5af699fe99fc816d34c92684ebe33a05}
G0: {G0, e6d6921017b9e06c56a1611ea1d6f961}
z5: {z5, 67f7a2943a27fdfde5e418915779e2c3}
n: {n, c873d5826f06e0fafae55b6d1bccf678}
p6: {p6, 260d0a3b3a3f2917184ccb2548fdc552}
d4: {d4, c808dd15be239522cb420f853e83ce36}
e2: {e2, 9359b0aaae536073d2edfd813e50cf21}
C3: {C3, 69226ea5ad2dd1acb3444d70b9952c19}
Z5: {Z5, 79068500cde6d4d61ebc363947ce6e92}
y3: {y3, b591908525def83b47bb130693c5ae8f}
T0: {T0, 402391f4483d8f61e31edc1a4714f369}
a1: {a1, 33c9d30db9835e03292130b67302bfb8}
N: {N, 0f4ffb22f1493c1c9d8f527fca5c0a6a}
n6: {n6, 2122a0fe4e911da2118b68f992058d9e}
D4: {D4, 011df58577a919b29c659148f33e77cc}
E2: {E2, 036f7eabad876320d8d1abd0b647d241}
x3: {x3, faf664335671765dab497a1d2260da7e}
k4: {k4, 41177e9003e1f2ce9bc985063b4ce9d0}
n1: {n1, ba51f3b6cc6878fc855da49d85436f1b}
B0: {B0, 993ac6007cab157cd4c756a912b78d0b}
j6: {j6, 1418d4ffb5ebe63c2ea665644b9c1d09}
G: {G, 1780dff15c71a36b1c4ae3b723b0ceca}
N1: {N1, 51cb162fefdc146adf55b9243f821646}
s3: {s3, 5e7f91835930f858c0cdcddd577e8032}
x4: {x4, 05f131a4b63a6f117565684c1515f182}
Q5: {Q5, 2048731c11c9fb87554edb4a59a25b48}
h0: {h0, 970063ed65a28f47ac62e3c92430bcc6}
i6: {i6, dc1cb4c5c8cc432f31dda3b4c32e6d12}
g4: {g4, 508b107a13c4b974e7d612ca62984336}
l6: {l6, 3614cb3a55e3998c239ce013ff6cbbfd}
u6: {u6, a0813d7b3020bf00b2699538604d7438}
m0: {m0, b478dffd8ced728f5690b4bf5647d718}
v4: {v4, 4b2d9c518710f349ffcc50fbbb0ef2d9}
Z2: {Z2, 837425e6799a93372e12c1a07b7161eb}
c6: {c6, df1d20d8818ba3182ef4dd6d8d556008}
M0: {M0, 2c373a578d3bf1fe6a5abf4e58e0ebc4}
W0: {W0, e72c0cb5d838318472990ccad00c13d1}
q: {q, 6c6f3adf28b8d3c5e4970da93c838a39}
J5: {J5, 209a6eae02b75a408176c54065daff84}
b4: {b4, be9edf792eb7c05658d012f040ce93c7}
o1: {o1, 73b3cb88bfe5a18026cfeb8d27bb3632}
K1: {K1, a7f394d6f4c361052a40cc916cd8f7d8}
J: {J, 4a1b24db0b83e4622dc2f6c834e2d689}
Y3: {Y3, e97c7d43c453483113e67f5d4f28f0fc}
t1: {t1, a1637f390a35377e40738d7d4063a78b}
P1: {P1, 66d04f4c5eba839ba8e6b945f551b475}
o6: {o6, 179fdb1e349d68e63657c0608a8b8e8d}
A1: {A1, d4526921a223ef02707c89d94bc8542b}
x: {x, c29ad06b1b245eeb7a1274dc45bea554}
r0: {r0, b1d4296d5e4ed74fb7d40d88cddc5088}
X3: {X3, 94a8ce9dc624f8498457e27b0e98c190}
p2: {p2, efdaeaa720bec5219fc533c6ae6c8e50}
V3: {V3, d8757b1d7d4131092205613fb3da49e5}
j: {j, d6ffd993c942c839f0eb6514e91cf414}
q4: {q4, f6551667eccac76ca33b2ebd453c3776}
X: {X, 0dc65cd5606e8ca5a4ccfbba6a6641e4}
R0: {R0, 997cc0cc562a87cd6d753e67f5ebdd1c}
S3: {S3, 7bf1d5157089ffef3ccd8230f7df350c}
X4: {X4, 98b7334decac558ff600a44d722614af}
G4: {G4, 9b04cbfe4cfd08b5ee98f27bba2e3786}
f4: {f4, 67ca35d938732315974dbdab72ca8518}
T4: {T4, bfdbe5f2021576848de3580bef13d6be}
U2: {U2, 926c70f361947a83a53a0fe19399f65c}
org/chromium/support_lib_boundary: {org/chromium/support_lib_boundary, b469bb3a8c4e2c8685cd1774e257dcf2}
H3: {H3, 99c49cc302c4aedb988851bd81262763}
E6: {E6, 0bcbbea244cad3aef70ee1e2255a2541}
F4: {F4, 7794706b4ab09c84e4cf4613c5e8e915}
C6: {C6, d2a6d6bb49a6be5e63df82e2c0be1b9d}
z6: {z6, 78f287bcc4a287777e539d05c9100b04}
androidx/startup: {androidx/startup, 08c5775df7901f348750f14f4def3be5}
Q: {Q, 7123589dd5e3d6c3146dcc46601ee7f4}
w3: {w3, f18ce2f0d6515d43d507de07dc254b5b}
I3: {I3, 4c646f1b1f6335d2ed6971dd11fcd3f1}
d1: {d1, b435dfbd3fd652cb887b930332c0f3bd}
B4: {B4, d08af40c6ab62847c34756438210ba2c}
k0: {k0, 7d6f09395e236f58c9449e47504fdc86}
x0: {x0, b88558ce6beb76f51638a48d8d3c9e54}
y6: {y6, 5135861bae4cb7be80afa79e68474ff1}
m3: {m3, ed2e26ee4b797fc38a7c6c95e07553b5}
i2: {i2, 480b7d73479fe59534ff58bdf7460e97}
D1: {D1, 888f564b3cae04a8bcca24adf2778cda}
C: {C, 8019de0742c07ba032162ea3513de475}
a4: {a4, e817539b405559760310efa8ebd3fcf4}
j3: {j3, f793142cef53065e25b068b2fb708578}
m4: {m4, c21c50294f0804f238205128c6dbcaed}
d: {d, fd6245286e94911aece3160701563aa3}
n2: {n2, 9adbe5ffbfeba16b640eafc01287fce9}
O2: {O2, 54dd45f3dbb9b8de6a1414cd5f451291}
S: {S, c334b30fec66feb27e8ff9c87985247e}
v0: {v0, 0615282d53e6ff76ab7acdda660624c9}
H4: {H4, 49436d0d657f668938717c86274c4be5}
g3: {g3, d2cb07523e7a58c894aaa853b72fe967}
M4: {M4, 7cf89307aa891fa3f1b6fcaeacb4345c}
r4: {r4, 69068e37d12b67dfef7f05fe11411e07}
D: {D, 7234d2eb3dc42d5fcb0e1ec4d5617158}
N2: {N2, a67ac70b480d76e0cbe57b5e51cac697}
com/woxthebox/draglistview: {com/woxthebox/draglistview, 33383ffe623406168d038d1ed8bd85b2}
o5: {o5, 4e436ee0c29d80bd5913cf9ed4a46bf4}
h5: {h5, a7d693c808ba056e3f27e5de915533b5}
c2: {c2, 120d16c33da44fbb4dfda26b3e6dd0d9}
Q1: {Q1, 1efcf492d302edeaee6940dc068a5f73}
t5: {t5, 4ebc6acab92ede60372edc60251e58d2}
l3: {l3, 89c4d4b802adabb9d5c1192274fdecf6}
u1: {u1, f0556579f71ae3273e2fd6113c4d75b8}
s6: {s6, 0b5fb215da8d99782001ebeb2a15acbe}
U: {U, f7bf8da11047bb03b60ae8cc64094b8a}
K4: {K4, a66bd23093369668262b46092f000fd6}
b1: {b1, d393370f301b4969170bfc3c3bd18a32}
q0: {q0, db3ca0fe58ff79aa19e78eed1e41f98d}
f0: {f0, 0b55cb4d41d45e308f69d513a3b6fd31}
L3: {L3, 5ca572181a4b10b32ed8e22cd0b41d34}
c5: {c5, 11ac1dc1142029485a514a18b15ddf65}
androidx/profileinstaller: {androidx/profileinstaller, 51e31b8a6c0bbab8009254739de9180e}
v: {v, 1d056efd6ccee620fc06a372b6905ded}
J6: {J6, 83ec80bcc4061d61dbbb9e8a0dd8a16b}
w0: {w0, 7214a2e3033558a796b058af235bf622}
okhttp3/internal/publicsuffix: {okhttp3/internal/publicsuffix, 5326a2a3b19658a24f05fe215a3258c0}
W4: {W4, 799d296573631da4ae01fa724e5b7f10}
M3: {M3, a55cdc6fc153a8635dfb74c3b624c4cf}
androidx/appcompat/app: {androidx/appcompat/app, 6519b5238011f7fda9c993812c6cafa8}
A4: {A4, 9e1e5ad79a0ca2d3644bd70c6745f6ae}
androidx/core/app: {androidx/core/app, 69ac4434146c17cde85076e6f03fb5bb}
V4: {V4, c05786093e31e5e672c6a8d2daa418d6}
z3: {z3, 0098694a01f50e2b0009f3f5c1f6ab72}
s5: {s5, d91d4ccac65c7927730730981d9268c0}
G3: {G3, 83cdc3dd5170dcca88c496a545a8145f}
R4: {R4, 1197cf685146dd6fc531ca368fd33eae}
d5: {d5, a4fad9e5cefa17b75cb51370e7d0376f}
com/tonyodev/fetch2: {com/tonyodev/fetch2, f879ab619bdbd13872b6d06fd7b205de}
e1: {e1, 05a7ded0037dcf1576ba3a1dfeec2e15}
C2: {C2, 0df42803fa4e1beedf9dc6f6e1e56e89}
y2: {y2, 1da3f8b22dbf6b4bad7755e357e6bc94}
T1: {T1, 7e493a8ad62d68ce1e7beff164d64475}
a0: {a0, 4e92d2aa902ecefc6ecf50328cf8a72c}
E1: {E1, 0425bb12c714784237f8f7b1d5b2c7a6}
B1: {B1, 5427086b1cd6cf5f96a5823f1dce4b6c}
F0: {F0, 3f203af8d6f9259ab3c91bd50bd5c134}
C5: {C5, 92b7958ba1d7dba6a524280ef1dbe641}
H0: {H0, e0cf89bb5931ddbc0917b63ad716148c}
I6: {I6, 9aa4aaa12dd765d0a642d4d428653178}
V: {V, 809c8b8e69fa1d8e4678b02c2c5d37a5}
x5: {x5, 20bda45d5c259516d9de213d315921db}
s2: {s2, 614e99bf02cfb047dc05da71d9e4027a}
androidx/work: {androidx/work, fd6bd8deac273c0453bd31547154cde9}
l0: {l0, 0fcecb664c305bdbc214a5550062acc5}
h1: {h1, fac5f814bf158ac8a9db67818d9bbccf}
androidx/emoji2/text: {androidx/emoji2/text, f6c8b90eaed3842ca6813ebd99616b75}
i5: {i5, 2ecd3ead5c4ec6f57d9ce9e45f3a36f5}
v5: {v5, 7df12a102ef0489f4d449a21b6b1f764}
O: {O, b6a365ce330b495f8494674dba038a68}
Z3: {Z3, cf111c287ef70c6c3e8dced588840979}
androidx/recyclerview/widget: {androidx/recyclerview/widget, 9f404ae7647d3ebe4a602f4a9f8de4ed}
u5: {u5, 0ae7ce34425a11b254fd00b697225ca6}
O1: {O1, 820741427441d8dc3dc57bbe10b1684d}
androidx/core/widget: {androidx/core/widget, bbce00e553d9d7e6e733116bf287a7b0}
c1: {c1, 108b5f1a64e1235f0e8e42567624022a}
androidx/preference: {androidx/preference, 123103c588e6af66b8f9104b732acb14}
W3: {W3, fd3663c08b05962fa2e40ad8e49f27c6}
o0: {o0, 1aafd0eb47caa42560fed5fb5697238b}
K0: {K0, 6cba0dc56625f920b9d6b1910abc2d68}
b5: {b5, fd0cd08449542d94971daab47cd137da}
P2: {P2, e3a1429921f2c03742aba47e5cc9925d}
S5: {S5, 2f81882e0a5e46e1e87615f8cbe5e278}
Y2: {Y2, 9ce805d3d91d7337f01aede4a513b429}
Q4: {Q4, 8a4e2760da97ed0bcb669bdd04f03a16}
t2: {t2, 5ef24c2d4c36ff64c746c5b11b2c9dc8}
r1: {r1, 6c0c94eb04b6ee373d0c52ca490b26de}
A0: {A0, 99f6604e1ef7ce5323d76ad915d4d3c1}
y: {y, 085bef01f2f83415e09bdb0458b6baea}
J3: {J3, 0dfc0ee446e1a3636292572a4808c0ea}
k: {k, ab8bf2b41980c1d115b2ff68466fd914}
p3: {p3, fae2bbc05089e715001286a3dcd2da91}
e5: {e5, f65916bb3f10025ebc15c55c4f988032}
b2: {b2, 8ac75bb905f291d57e9b66222fb7551c}
q3: {q3, 2aab353ba3e3149eb9b05edbebcf16a5}
V0: {V0, d9e04dafc6a9b3a0a7c4469a92b4b0a3}
Y: {Y, 1595054081549fe266141103da4d8bc0}
androidx/viewpager2/widget: {androidx/viewpager2/widget, fac034bf0d1bf73f4c83174006ec5dfe}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 339f78ef47ac5ebe051439e76b6e9331}
X5: {X5, 54f7a79047d362d028bcf3a64b3fe8c0}
r: {r, 4051df7a70f6cdf82ed2ff1d0ca34401}
f5: {f5, cc9b70fbaf0700554375f31ab2ac04e4}
L0: {L0, 8b71174d3e8f02543e487292a2628c91}
T5: {T5, 3ea805ce4b34511347c45720c7b8b744}
androidx/room: {androidx/room, 069cdb710880d9bf5d0584e1f0bc49a5}
w2: {w2, b57235e50db2e2c593bea98b61c88459}
U1: {U1, 111a654cac0c3f766c5081fa25d8c2dc}
R: {R, 21f4b2fa16c00e4264e2a8521c2eecf9}
S2: {S2, b66817537cbe081869e7551863dc2039}
C1: {C1, 9a4aba23ceecf9fa0186b23258665a08}
k3: {k3, 1d7447e9cf63e5c3106f039b49cfedf8}
p4: {p4, 892f4098386584c08c24042f94807a05}
l: {l, fc620e4af15fcb709e3e97f1b051958d}
d2: {d2, 81e03d235a4c2c5b97ba1f8b8945ace8}
B5: {B5, 8b78a1fccfb1852052fda70ff24c7d8d}
x1: {x1, 0bdb03f654a42ccd2a3097c4000bf1fc}
y5: {y5, a6840f7cd1dbec3e9fd3f31afc09555f}
m2: {m2, fb3573d16d01a39c4b2d7910efcca3c1}
L: {L, 4da920fa35bf925b4cc9664c880ab95c}
android/app: {android/app, e079f4fb8febf5b63effbb6583d13a90}
D2: {D2, 6900c0b5df12222f4889fd8867deea97}
a3: {a3, 9fa95facc92624e3a3c11b3d0da04912}
K: {K, 075d041604f96022c4854625b0ab0cb4}
androidx/fragment/app: {androidx/fragment/app, be613aeebf6c4d1a34e7f05ae82d9a9f}
j0: {j0, 7440fca82737f8fe29abca6244f9f655}
n3: {n3, 2bc427855603eba068d8c811365f78a7}
e: {e, ec23311403b2cba9805a7d315100c291}
O5: {O5, 9e15da004e70e432b87c4149901e27fe}
H5: {H5, 9dd06ece6e429cc5f1fc21a89cecd048}
v1: {v1, c8fdde2ca54d3487abd06eadae54a5b9}
N3: {N3, d3fd5ae261f2700f0a3b99c00195841e}
r5: {r5, d13d667b3ccf620634510965effa4e72}
E: {E, bc50f4266728d25b6f19a20b60dfff99}
o4: {o4, 9d72038d96d6ef436e899fef4f8ae6bc}
g2: {g2, 8d8c7d03ebda072f05d2859d3759786e}
h6: {h6, 7986b64090df8f29f188154e4add3d64}
androidx/media3/exoplayer: {androidx/media3/exoplayer, faf9c2a6e132572b855626c168a58add}
u0: {u0, 39a80ca16aae26a8cb55117a5dbcd147}
Q0: {Q0, 98e96616836931b24eb1c5c5992a4502}
i1: {i1, 142929cdc25282954dcab553b45762e4}
v6: {v6, f7b1098fc218ff845c61d892c3d6ec56}
l4: {l4, 8770a0cfbdc6b9cddce3993386bf29d2}
s1: {s1, 1272171fb129bfb53eacffd2a23e7e99}
t6: {t6, 8fe409099fe7444e52b0db90f5bc915f}
b6: {b6, e10dde96162d5304ecaa5ac464c93735}
c4: {c4, bf6342ce97436aa926a303e36064d215}
f1: {f1, 5898c979c0a51c0fd2ceb213880486cf}
L4: {L4, 603d3d2daaf7a3d1c86d7bc6fb335b3f}
com/bumptech/glide: {com/bumptech/glide, bf6dedb2ff3f64f54963f039418018cf}
w: {w, a6940b2dac468e3cad9975138502a45d}
S1: {S1, d028523e282dff8045ed68bb261bb9b4}
X1: {X1, 1950edc1e47ad1c383a1b0103f9def89}
Y5: {Y5, 3c12fc6b8f55fab0318e6b22ba73f244}
M2: {M2, 7be89d0d50c8c4112d984bf0a0cacf3d}
r2: {r2, c1d026ec2515da4385bb71641f7115cd}
A3: {A3, 501f6a32a5d692e96343fdcd2506a7f8}
V5: {V5, 2b6470c1e83c8ad3e773704ac0e61182}
w6: {w6, 310995529a5c314e5f99f0d5cfffe668}
h: {h, 8206e3a07a35792016f996890d40ae54}
d6: {d6, f7a3fc72d267d8dcc96203a1216ac525}
z0: {z0, 6904cdd04a8f1bd918814db9c1bbde7c}
U5: {U5, d6622dc583c0aeb69a1fdf431ad884bd}
R2: {R2, 4873a5835490243939feb08ff9e8e1bc}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, 7f1168240ac13ab6f278e3388d91f8d2}
R5: {R5, ed7ece1e4caa7311bfda21f616467adf}
q6: {q6, b9d5267bb5479faf501b0319cb3d10fe}
e0: {e0, 3307f6beeba50b01f1802c7a67001408}
G2: {G2, fea7f53ba97df7f2b39aded5c570a326}
f6: {f6, e3a8cf54fb5172b04fbf743cd42c1f88}
T2: {T2, 21d198697b07a5a07faf2135f5e2e8b3}
o: {o, 6db35b2569fe4cd3519981681638a50c}
E0: {E0, 3b5beb1d0efd7a1778b66b8ddbdf9cb6}
n4: {n4, 7a45d2d1a565b2cdf391c17725765d25}
y1: {y1, 52376991534de6f13db3952b827d892d}
F6: {F6, 19f6a946b56b2ffc528c4c8574f50d15}
a: {a, 1bd2a15d5302bade573d961b05c7af41}
B6: {B6, 4f6ac2c523c96026e97fc28080f14901}
C4: {C4, 451fa50b0884f36cdfcd8f6822dd60d8}
F1: {F1, 3e9fa098992664a243fdc2d96198dcc7}
j4: {j4, 3de5b360dfa20aac9320e2725197e46f}
w1: {w1, 9d2f28bc9ca82fd1173cf000d445a662}
H1: {H1, 6074eefc019544d7326d2730c557218d}
W: {W, d9b81ee4d7fb4f10d62fcce2e8b87f5e}
k6: {k6, afa81e63535f8cb87febeff8fb4453fd}
I5: {I5, 23f73c3d8925390dfdbe0ced1d8f03e0}
