androidx/appcompat: {androidx/appcompat, 611ca414f383712428f27305b52ec7f8}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 5bcd5ca9e2e2d4622e66aa81829221c4}
kotlin/sequences: {kotlin/sequences, 0c7bafb2d2098e0de4433a5bd2e42077}
kotlinx/parcelize: {kotlinx/parcelize, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/legacy/app: {androidx/legacy/app, 47e02753e7be9138fd51ccdb3070ddff}
kotlinx/coroutines: {kotlinx/coroutines, 4362d42b9caef2cc67dea9146b0fe729}
androidx/core: {androidx/core, 3ce8169156f11a367f49fda7b5be71c5}
kotlinx/android/parcel: {kotlinx/android/parcel, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/startup: {androidx/startup, 53d0e3d6f93384a3e10a3ad1f634fc94}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 6ee20484a4af57c02b29b029eaccb5eb}
kotlin/jvm: {kotlin/jvm, f70f9f0087badbeb199cdb79a0f19c3e}
androidx/customview: {androidx/customview, ce97e98e77ac330ebe990eca9dbb07bd}
androidx/window: {androidx/window, caaf4654909fc63319fcafef834d0503}
androidx/annotation: {androidx/annotation, 89bbdc285a7755ef31c2bd010e40f482}
org/secuso/privacyfriendlybackup: {org/secuso/privacyfriendlybackup, ccb95f61071a8684aa89bc711fb7f758}
androidx/dynamicanimation: {androidx/dynamicanimation, 0557d226e6e3fa994221987cf9b5fbbc}
androidx/databinding: {androidx/databinding, e58fb5582d075212f9ffa2ef620c7e34}
com/secuso/privacyfriendlycodescanner: {com/secuso/privacyfriendlycodescanner, 438b5f464dc522e06788f0ffc4818b31}
