androidx/appcompat: {androidx/appcompat, d857cfb73dc36a4ca95160ff4d195826}
kotlin/time: {kotlin/time, 4f3f7d187d8d9db62e37d7dfe70365f0}
_COROUTINE: {_COROUTINE, 8e0f39b725c217c6bb62b24541ee0a02}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, dfdf97030b4e52625fe14bd83ea4a9c3}
androidx/viewpager2: {androidx/viewpager2, cb44515f9a0588ab337edc009e9fb7a5}
androidx/legacy/content: {androidx/legacy/content, afc26ca326b4075d07bfd31afbca758d}
androidx/savedstate: {androidx/savedstate, 335e0d938cab0ce1d3d4c5aa0e6d39aa}
okhttp3/internal: {okhttp3/internal, dd7d8b8e34558e29b5b525dd59f233aa}
androidx/window/core: {androidx/window/core, c9b8b42458fc2dbdaf76efc737d030b8}
androidx/compose/runtime: {androidx/compose/runtime, 33b3c31bb80ed6d88d57cf0c298470e1}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, fdbe80502ff5b6cf14e10d579ee5c224}
org/commonmark: {org/commonmark, 52a287051ea0fd406dde79f0f582f17a}
retrofit2/converter/moshi: {retrofit2/converter/moshi, 5fe21b0f25654e4309c2d78c7e8a9120}
kotlin/ranges: {kotlin/ranges, 77d50fcc3c45a0863f1b09904d3cacf4}
androidx/tracing: {androidx/tracing, 374de4f681a359c89397f5040835f60a}
org/threeten/bp: {org/threeten/bp, 6c134e90b3d6b3d5456dbb8a14971ddd}
okio/internal: {okio/internal, 63a4f99b1b98f0671af86f77b0a27d03}
kotlin/comparisons: {kotlin/comparisons, e1ef6dd1c58989e1525cf153428bc4a9}
okhttp3/internal/http1: {[okhttp3/internal/http, okhttp3/internal/connection, okhttp3/internal/concurrent, okhttp3/internal/http1, ], a0835ca12b1a412540ff4195fa0e8153}
androidx/concurrent/futures: {androidx/concurrent/futures, ee4dcf7b932b9a5e8f76cb84b213dbab}
okio: {okio, 2a4e3cf4addba5d29cecb4ffd5707bdd}
androidx/recyclerview: {androidx/recyclerview, 90d1259e12310b1ef88f46ee97bad358}
androidx/loader/app: {androidx/loader/app, 6d417a5638bff7d0b195e62721b74cf4}
info/metadude/android: {info/metadude/android, 0d40a641203518f7e1177893f1acc624}
io/noties/markwon: {io/noties/markwon, c3733ec88ff271990671892aa9ecacb8}
kotlin/jvm: {kotlin/jvm, 15ba28e21018deb3839ded0bd73bef5d}
retrofit2: {retrofit2, 33d7e71d3fa733305b8c0d20fac1f613}
