a6: {a6, 6265f20cef49a19892b3f8c6ee8f8f8b}
r4: {r4, c7177c121fb1783e2296bcda5f28eb00}
javassist: {javassist, e51f49de8890ac97fac05eb0077741a5}
y5: {y5, 65860741cb3603ffa92dae79cd56a103}
a7: {a7, 4d0833d075691da9ce5ddce26c93bb49}
b0: {b0, 825e241626a901c7b33b2fac7085df67}
s4: {s4, 0f5e865b9625de0e0803642da65e64d2}
b8: {b8, ad62c691aa631c036d66421d6dddad25}
o5: {o5, 1abf33c999d14c1162b6c52be62c5a9b}
h5: {h5, d5501230afb6338da52475ab2f06a8a4}
i5: {i5, acf7ef943fdeb3cbfed8dd0d8f584731}
w5: {w5, a570b3ed998328df733c38cb2a57fe38}
javassist/compiler: {javassist/compiler, f1c05eb99131c616dcec953200e82b46}
c2: {c2, ee5b23be03112a952e81e0cdea48c6a8}
a3: {a3, baf1e14511bc308f9b95a1a2c4c16ff7}
z4: {z4, 7b183196dff17d0f6ffe0f9046279fdf}
ch/poole/geo: {ch/poole/geo, d0d97ffb4db0477d5149521605a76357}
androidx/legacy/widget: {androidx/legacy/widget, c19756283a50b0dabd9d7d65833bc81a}
t5: {t5, 947068267b8ea83c4a071394d14c4b4e}
j0: {j0, 4aca54cf99e43d3fb9ea32d3cdd95e09}
l3: {l3, 93e05fe8cd77e09dd8762ef90935a6fb}
n3: {n3, c5443e3064eb05500d8b89e3095dfc2a}
u1: {u1, a8b820b2d61ed3ec69b39f4b2365d9f8}
e: {e, 2848caba5d5482bbcd911422d27c2e32}
p5: {p5, cc61abc617096fb562a9c68f69030068}
d3: {d3, d33090540722bc61feae4c0e8e2587cf}
z6: {z6, 15d9166df9abc20d5b2b87817b0407de}
f3: {f3, 38af2d62157be9b87a4c1e0c3172efb2}
k2: {k2, 9b00a5004d1e2c9083168769f605eed9}
m: {m, 2ace777477404fc8613443487d83f410}
ch/poole/openinghoursparser: {[ch/poole/openinghoursparser, ch/poole/conditionalrestrictionparser, ], 7ab15ebf887e58a9aa97e70b3dacfdec}
e3: {e3, 3468e607377cdf52be62a536b5a1a4f7}
org/mozilla/javascript: {org/mozilla/javascript, 0cb3c98cedb287b48873517526a9a6ee}
v1: {v1, 691879098bffbc9c50b1164f520a4df6}
de/blau/android: {de/blau/android, 1343bab4005993838eabc2a0bdc24720}
y4: {y4, e456c176acdff061ace8ba202b2ee78b}
com/android/dex: {com/android/dex, 23dd7a2c10c1ef7b0374dde47f29828e}
q0: {q0, 43aad818de5d245951ac4a011d53f58d}
com/zaxxer/sparsebits: {com/zaxxer/sparsebits, 007ffa80f21739f51d1cffd5e9322268}
f0: {f0, 3260aa76ed26ff03102ccfda4da9ab23}
c5: {c5, 75214a6d7062115d6f0dfeb2b9246133}
r5: {r5, 75f0d62b9d1623d59adf29fd860cad48}
f8: {f8, 9115eb0015467dfaee3877c15f6eb265}
z2: {z2, dfe47e3b1d5c0070a4410b1fcd9e7514}
o4: {o4, ee24a042980c9ee80c03a835bda94018}
b4: {b4, cfb8bdd5e47149ef23770ae9b1712ab2}
x2: {x2, d1571f3d866c88053b580ba24846e9e1}
v: {v, 1966649cf65e305b6c81d136b4919c45}
a2: {a2, 53e22c8127db5b1eb87c34baa9bb9632}
h6: {h6, 94c04e6f887eca74e7865cdc7e942a49}
androidx/core/app: {androidx/core/app, 69ac4434146c17cde85076e6f03fb5bb}
n0: {n0, a301e098b34c8e5bffeca78cd7af9848}
u0: {u0, 9a337e8423b49a0145d98697d9d7fd8d}
k5: {k5, 5fcc9464005f7c427d983521f85e9111}
okhttp3/internal/publicsuffix: {okhttp3/internal/publicsuffix, 2f62b1dbd8627df1f9b8ab32223b2f99}
z5: {z5, 58ce2fd5d28c5b7aa2b6fb28e9fad839}
com/afollestad/materialdialogs: {com/afollestad/materialdialogs, ca20da2390fe7eda3a8c56140b3a7583}
i1: {i1, dabb48af955a735a420b62b7a028fbc1}
f: {f, 1e15f34affb2db04e93bcb3d04d6c443}
v6: {v6, 9262a1aa8cbee7be6a0561b93f20e3f7}
l4: {l4, f3a06df0433dac8cf6c6390dd9a7b224}
com/faendir/rhino_android: {com/faendir/rhino_android, bbdab4d6139d64305b47946c72691daf}
y6: {y6, bb4184d5eebd47552449132d7041f7f7}
n: {n, c3e3d7fcb78021799e0952255f9e0402}
p6: {p6, 94ff56ea34d4e2f04332d25cb52d5e8c}
s1: {s1, 8bd7e3450b817c353f3fc03ee9877fc8}
e2: {e2, eb830a11d9a68edfae24b43a1a218b43}
t6: {t6, 0581a517c57fffb52dd6db2a4e68e609}
j1: {j1, fb8a79be9effecbfc28d253ea99e5119}
u: {u, feafa215eda610da67fb4ce0de087fa0}
w7: {w7, 84aa4abcb5d5f7805ec635feb49e73c4}
y3: {y3, 779bf7917d29685df69ef78f0b4cc4b2}
c4: {c4, 5d836e1f254f2969c53a18548c7ad249}
s6: {s6, dff7a5be0595c4d586f7431eda11bca1}
p7: {p7, 9cfce911c07e8004c381754ce58ad1ca}
o: {o, 42207085b82d09a013017e56f8f86214}
f1: {f1, 63f468ef2cc540b0e8523a66f440c714}
oauth/signpost: {oauth/signpost, 8157632b27b08bb0bfc72779fa14188f}
z3: {z3, 59b3b3baba95d14bc8621d833bfce3cd}
a1: {a1, 6b275545632daf53ab772bfe1ae7c34f}
h7: {h7, b499427df4a3619b7e1649600757c50f}
n6: {n6, a562cd84c04952e8e1d1a5bc88926fe4}
w: {w, fb9731b4ba638938d73e49292de4b656}
i7: {i7, 629fa37e60646574981e2bdd8e22b8cc}
x3: {x3, 0fc57e07748f6e898c0f7439814b2321}
g5: {g5, 492dff0d795f69f06c6ccea149388e6a}
k4: {k4, dfcd2f90d7c3c61f7606be5999733a49}
n7: {n7, fca2ed8c8bc99a3e36ae99f5ae657b75}
s5: {s5, c0e37661feb4bb05055b7c85081c0754}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, f281508ca55238c105bbcd1d2084149f}
g: {g, 26e0b622aac6f9827a66f212e0908ba1}
n1: {n1, 9205cbe155ad186bc5b3b404d853fa8d}
u7: {u7, e381f6991873210ea6cc1b6be99b5314}
v7: {v7, 4e1f73b0df8364093b656b15ab0a466e}
b1: {b1, 660aab1538780cd506044a2090c2e358}
l5: {l5, 9cdfd0fcaf2fdf9816947e9ae896c929}
i0: {i0, 13fab6806db8ed3b5cc78a98b8ea640e}
com/github/aakira: {com/github/aakira, cce2564cacd5d45cb61684d6e18f38a0}
q7: {q7, 608cd9f2f7cd8eee0140301844765833}
s0: {s0, 888866070f36e67a68af50f72b7737d2}
u4: {u4, 72a5f6516b4702eb421dce9ea91aa20a}
i8: {i8, ce898f3e1e31fa36a0cbddfc658c6445}
r2: {r2, cd890baa06cac1c8c022dd6b6396fee4}
e1: {e1, 31a050ed1430b6d3c1c23d7472e03aa2}
t7: {t7, b4d5047148ccdb692c22c8cac1113466}
j6: {j6, e381f6991873210ea6cc1b6be99b5314}
kotlin/collections: {kotlin/collections, e3c061c7f924ae167469614125c1636a}
d7: {d7, 2645e8563b547d6de7edf882126276de}
b7: {b7, d09246ee42fb826c44594bc16a6fd108}
a0: {a0, f84dadffbe7a9a0daf4576c444fb07dd}
w6: {w6, 817934cfb7b8894c62695688a0d58dfd}
org/eclipse/egit: {org/eclipse/egit, 7790f685d188352eebde675c2bf75fbf}
h: {h, cb80ffadfc476f7ed7402d1147e84bb4}
d6: {d6, 09f29deab6eff1feaf9a275bde42c53a}
x4: {x4, 461ab860610496c90eb5eba605b4fd28}
c7: {c7, 4f0c08e8bbe5ce38ea1ba302386769de}
a8: {a8, 97d2ab77ee8fac5d2c15c70122334921}
p0: {p0, 2c79807e957cb0fff1a86f006f2e3510}
p: {p, 7cb71438cae90e527c6b0aee3aeec05f}
ch/poole/poparser: {[ch/poole/poparser, ch/poole/conditionalrestrictionparser, ], 2832053e9a8690d685f679926e0c4b05}
vector_tile: {vector_tile, 8a40427b53274527724071ad737e0d3d}
z0: {z0, ca413856ddea0ebdeded9a08f3f84378}
kotlin: {kotlin, 0714da3b245d5dfcec41301030ac83e6}
h0: {h0, 56992c2bdb2992b5cb29f358edfdac9f}
i6: {i6, 155010d7c42ce49cba5bb618819848b2}
e8: {e8, 6fb164dc3baa1ecb9d5a6512c2b6032a}
g4: {g4, 6da87f4b14676e3a464b28338d9555a3}
com/android/dx: {com/android/dx, 3ceff74758d4b29523961c7c66be8896}
y: {y, e1cf3385224ecaec2e992fec89a280dd}
me/zed/elementhistorydialog: {me/zed/elementhistorydialog, 59bd1046d7adfc135b24daa0954e94b6}
l6: {l6, 480c1631960294449fd19756b62d1d43}
z7: {z7, acf7ef943fdeb3cbfed8dd0d8f584731}
u6: {u6, 04b451989cacb1fc1ddd7e989f195c75}
k7: {k7, 1be07f8982f6d36cd4a12bd7fb1a5d92}
se/akerfeldt/okhttp: {se/akerfeldt/okhttp, 3f1555dc574ebde22edf401c1853af42}
o7: {o7, af9ccae7609591f207f08c618b5cfae5}
m0: {m0, 83e68a8f48f7dfc0e4cfee080089d243}
b6: {b6, f4c225079e765ec26716ad1b5caf5e3c}
v4: {v4, d11dd11811080821535c6be6570f3f64}
q6: {q6, 04a260a14e929bb2d856057fffe86c54}
kotlin/coroutines: {kotlin/coroutines, 66edbd8b7d556e61b276ec7b753976c1}
e0: {e0, e09ed756270204ba974d2e7b73e6a448}
com/google/gson: {com/google/gson, 7753566a77c6a2b364d17ee829fe31ea}
androidx/loader/content: {androidx/loader/content, 310bd0430bb39746d36e34e2cbaaed33}
r3: {r3, dd15c1d823faae1ba92609f471feeeb9}
androidx/fragment/app: {androidx/fragment/app, 631b31b6d92318041a22789746c545a9}
f6: {f6, 14e5aa5da5af5e7a6564652addaaa72f}
j7: {j7, 088bdb48826f6cd11f799c2cca689f16}
kotlin/jvm/internal: {kotlin/jvm/internal, 4b6c11827069930cbca1141bbcf2c467}
okhttp3/internal/connection: {okhttp3/internal/connection, 576ced992cd5682a3a7c669f7db9c77b}
c6: {c6, 741c725fdd1c8da31cc152da2ea3fc92}
b2: {b2, e632a8b86f533221c879dbca06569abb}
y2: {y2, 5bb5b9b8f51a99306cdc5a4565746472}
androidx/window/layout: {androidx/window/layout, 0c3612cc20971d3221a54730ba1d6f27}
e7: {e7, 8fddb719ab996935bd33ef02882366fe}
d5: {d5, dddce10862482960bf1207b5847c5166}
com/fasterxml/jackson: {com/fasterxml/jackson, 690bc8c8c56ff3ef5db7bbbbb8da6e8d}
okio: {okio, 9d01e980260a4408ccd865eca1b1c97e}
p1: {p1, d6305012919c93e39b98c62422de93ca}
s2: {s2, 6b006e1aae9709be739cbac4d5a68787}
androidx/work: {androidx/work, 2acc90ad019192ba70ee196bb22ce063}
g7: {g7, f12883196e2dcb936664e087a99c25fc}
l0: {l0, 7dbfbf7e8b2629debe67e1a2d37e5b22}
h1: {h1, 3d3cbba96cd4e0b4570394ac5f3a9270}
n4: {n4, 496417eec88b241038a7344cb1e8ee3c}
org/openstreetmap/osmosis: {org/openstreetmap/osmosis, 4d324c0ce9230879160121072debb154}
org/objenesis: {org/objenesis, 542dd9699021b2a489ba6c7d8f6e4a23}
y1: {y1, 04cf09893fcda86c7f53c70a28a25fc7}
ch/poole/openinghoursfragment: {ch/poole/openinghoursfragment, 29537083d964a75a22bfcedc8676b516}
o1: {o1, 41bc5d2199334cb8d8465723a7737732}
t0: {t0, 84007f534c67f91ccf517e7ff228ab2b}
v5: {v5, ce813fe6c75666fdb3ae869b5b7e0ba0}
a: {a, 293eda8e18c3a00d7a22ebe1d83a4b84}
l7: {l7, 48e3e5ad05363c3600534d07d4276941}
t1: {t1, b7742d2e6c60d767357a9a7ffa79a41a}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, ac0d7e79a490972b87fcc1d98a436d80}
androidx/core/content: {androidx/core/content, b6e7ed2614354e6b07de12c54f209042}
com/kunzisoft/androidclearchroma: {com/kunzisoft/androidclearchroma, 45befcb60ee90f3442e00e4744b50e8b}
m7: {m7, e2a6a42b0ba0974a61ac9a8950274502}
j4: {j4, c865bc047abd583c0f55ad23ac7d6e05}
w1: {w1, 32f51eaf5483c25e9afee8f4ca6b8663}
q5: {q5, 27dbe9f349581abaa49c3141398f203c}
androidx/recyclerview/widget: {androidx/recyclerview/widget, c696c211d479fb89c8123ec6aa26d72d}
okhttp3: {okhttp3, 6738027d57f25ec6047f73d30137d72a}
x: {x, 718d4a1e72af3169a4e75d92c67db29d}
u5: {u5, 11a11c9dd8d3b6c3c4d37a900ee72f44}
k6: {k6, efcc2330827e7d0de35ce458fa18592f}
androidx/drawerlayout/widget: {androidx/drawerlayout/widget, 24cd0549b525880c5d30c9b3193ca787}
r0: {r0, 25a91045d6a569a541a3e2160b0c1cbe}
h8: {h8, 14a8b124c48352c58f8246060a136c72}
