androidx/appcompat: {androidx/appcompat, f3f966fed84c303c0ea99e6f191ae541}
_COROUTINE: {_COROUTINE, 969e426354e9bf7a21a6f4cc2ba3b6be}
androidx/viewpager2: {androidx/viewpager2, 7c9e5de75261519e745878a01cc343ba}
androidx/legacy/content: {androidx/legacy/content, 07faabcafda309b615198d4b582b9cb3}
androidx/savedstate: {androidx/savedstate, d81e89465de8c2fd23376893a9e58a11}
androidx/documentfile: {androidx/documentfile, f80375b9f1510e5327f9a8b67f41dd05}
androidx/print: {androidx/print, 5c8e3feb633eee8bb5ff3cecd32d0b9a}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, f3b63439f69b169b5ec5a82863e30091}
jxl: {jxl, 8506ebbf7fcca4d0d48e2ecf37d2e8ed}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, d7b37c6a20eaa8731ee87b0da41d9b61}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/legacy/app: {androidx/legacy/app, 181e1722064f84032cda2c6fa939f581}
androidx/legacy/preference: {androidx/legacy/preference, e2c07d428d34300b75d5b20eed6a2452}
androidx/tracing: {androidx/tracing, d5ce2f4c8ef1da952163e4da9afc04fe}
com/evrencoskun/tableview: {com/evrencoskun/tableview, 89559920f6339349ee201d8dabfde926}
androidx/startup: {androidx/startup, 86fcc9acd3be58c7de92432067895bf4}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, e0942df141e5bf9d1064732b009b82e0}
androidx/concurrent/futures: {androidx/concurrent/futures, a747627292a6de1bb8fd3e1d71f7ae31}
androidx/customview: {androidx/customview, 664a1cc7b026d0cf509e0b8c2e1303b7}
androidx/window: {androidx/window, f41c31349233d4a9f165869b554ad9fe}
androidx/annotation: {androidx/annotation, 89bbdc285a7755ef31c2bd010e40f482}
androidx/test: {androidx/test, 12dc2258ec80fc1a79caf8c5196983ba}
androidx/dynamicanimation: {androidx/dynamicanimation, c088dee57aaa297b903272698d7ed6ca}
androidx/camera/core: {androidx/camera/core, c1692c9d6121e47ed90d7451298e1286}
androidx/databinding: {androidx/databinding, d55911751ad259627859f4fb2eb3689d}
