kotlin/collections: {kotlin/collections, 8cfc2b45f0c1084f7af38ac77221c3c7}
android/support/coreui: {android/support/coreui, f5649c67bb0f45aebcffe7a7a3f8e869}
de/hdodenhof/circleimageview: {de/hdodenhof/circleimageview, a338e0a834b11c0dafefd0ff80401acf}
android/support/documentfile: {android/support/documentfile, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/core/net: {androidx/core/net, 7861e2422c27cae84a0698b4d86bfcc7}
android/support/v7: {android/support/v7, 3adaeb11c8160246c8503902124db602}
android/support/compat: {android/support/compat, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/core/os: {androidx/core/os, f73f24f2464b3f6f92d36dc7ceea33f5}
android/support/print: {android/support/print, 542dd9699021b2a489ba6c7d8f6e4a23}
android/support/customview: {android/support/customview, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/core/view: {androidx/core/view, 0254ffe1888f442cee942892cf428c71}
org/jetbrains/annotations: {org/jetbrains/annotations, ac52e2c84216423c226cdc72420c7fdc}
kotlin/js: {kotlin/js, acf7ef943fdeb3cbfed8dd0d8f584731}
android/support/asynclayoutinflater: {android/support/asynclayoutinflater, da1c5c0e9e4d4de1ee6852a39fa1fee1}
android/support/localbroadcastmanager: {android/support/localbroadcastmanager, 542dd9699021b2a489ba6c7d8f6e4a23}
android/support/v13: {android/support/v13, 834af3c52fb212f5054752466adbf93f}
androidx/core/animation: {androidx/core/animation, 4a70db26ea466c27072924ead94504e2}
kotlin/text: {kotlin/text, 71b1734b75ef02edd78c3c3e27ed1196}
kotlin/jdk7: {kotlin/jdk7, f8c7ae29c7ca9ad5434e0bab5958291b}
kotlinx/android/extensions: {kotlinx/android/extensions, 5dc1eda4ef81e7539ba23f229c385358}
pl/jakubneukirch/webchart: {pl/jakubneukirch/webchart, cb346f09c59ab6318d5f04d9fbb3d2a8}
kotlin/properties: {kotlin/properties, b97d55cc9f6ca7e7b115a49f2f5b16fa}
androidx/core/database: {androidx/core/database, 27dd54661f02cfbb4a2f1c65b1b42b02}
android/support/cursoradapter: {android/support/cursoradapter, 542dd9699021b2a489ba6c7d8f6e4a23}
android/support/coordinatorlayout: {android/support/coordinatorlayout, f5649c67bb0f45aebcffe7a7a3f8e869}
kotlin/system: {kotlin/system, df2009cf378fcc5b9c10e4c3622086b6}
androidx/core/graphics: {androidx/core/graphics, 9fa78a602c227f6b9d495721de851dbc}
android/support/design: {android/support/design, 3a9fa96a8fcbe3ce089cfd2c1e5b14c4}
io/reactivex: {io/reactivex, 13881e2d618a700ffadf6c208835c811}
androidx/core/transition: {androidx/core/transition, 805fe18678f899ee4cf3dcb0cddc5e4b}
org/reactivestreams: {org/reactivestreams, 907475feef0ab7fa1cd750a3bc58c144}
org/koin/standalone: {[org/koin/standalone, org/koin/core, org/koin/log, org/koin/dsl, ], 9c9cb3091a285a3d5e331676dc9b6338}
kotlin/ranges: {kotlin/ranges, dc23e0f2e23632f3fc96a84639974b3d}
android/support/drawerlayout: {android/support/drawerlayout, da1c5c0e9e4d4de1ee6852a39fa1fee1}
android/arch/core: {android/arch/core, a6e96e816ab64abaf39023632a37b803}
com/flask/colorpicker: {com/flask/colorpicker, da1b1b6f579c4921684e6c891cff6582}
kotlinx/android/parcel: {kotlinx/android/parcel, 8dd422c7dd8b046709138bebf7749d79}
kotlin/comparisons: {kotlin/comparisons, 0a8515f9381f8d6866f55473126ff858}
android/arch/lifecycle: {android/arch/lifecycle, d20b39ee3e638ecc7122d295ffbddf10}
androidx/core/util: {androidx/core/util, cfe7a53856553fe75785200e17789881}
android/support/graphics: {android/support/graphics, 3b94bfef59b258af1d646a3f75935dc3}
kotlin/jvm: {kotlin/jvm, 32a488660a0567d963e2352d5b061152}
