androidx/appcompat: {androidx/appcompat, 476c9c3ef1edc6eefbe0915f9a72bf76}
kotlin/text: {kotlin/text, 7d899d294ea5fd92c5684d10816f6ea7}
androidx/viewbinding: {androidx/viewbinding, 8d02b9bbe485adc3f85448f2789940bd}
androidx/versionedparcelable: {androidx/versionedparcelable, 43279262471d777d1068e3b1fbe04d59}
okhttp3: {okhttp3, d111b92655e0e24ba6ad1db75e8b068e}
androidx/viewpager/widget: {androidx/viewpager/widget, 1a44e4f53273b8debae6eeac55763cdf}
androidx/constraintlayout/core: {androidx/constraintlayout/core, fcb1f31adfd8873bca5f3b4d23fce4c7}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 5d71f04c23d4e30aaa6cb346728ea99b}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 07c3b5fa0415abd85232b5929cc07db0}
androidx/collection: {androidx/collection, 5aa030e267b321e52f221dd1b99984a2}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, c3784f4e364f362fd30dcb8d9b6b758f}
androidx/camera/lifecycle: {androidx/camera/lifecycle, 00c7f9dbc38e03115aa2e104c89dd89b}
androidx/transition: {androidx/transition, be3c147ec46d1ba2f2fbfda7734b7dc9}
kotlin/random: {kotlin/random, af435efc57a7fef7fb2e83a9e9719110}
androidx/interpolator/view: {androidx/interpolator/view, 561c23e33a4b5f7c33faf68878d12ac4}
org/apache/jackrabbit: {org/apache/jackrabbit, b3e13ac88448f4f00913e61f2eaefdd6}
androidx/multidex: {androidx/multidex, 69296a111ce19970b24bff951a758209}
androidx/cardview: {androidx/cardview, 018647c38b6e9578fb4274a4989252b4}
androidx/drawerlayout: {androidx/drawerlayout, aba74e8bdb2c024450e8b1cca68740e2}
org/slf4j: {org/slf4j, 57c28025b1d6c2f621f50da0f0978468}
androidx/media: {androidx/media, a52eee8ecbfd318b01e7726bf42dc93a}
androidx/window/layout: {androidx/window/layout, 918329a70c7a5e62283210b914ae0829}
kotlinx/coroutines: {kotlinx/coroutines, 1d1991450f6cec8f59b6c5d49a71bd17}
androidx/exifinterface/media: {androidx/exifinterface/media, cddd769d47382739fb0bde68842bb414}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, cb97574974f4ba38b960665bce68d858}
fi/iki/elonen: {fi/iki/elonen, 1f1bf5cf59412ef14f885bb5fd1a0a28}
androidx/customview/view: {androidx/customview/view, c3b3beb9393315adfa34bad026d4a89d}
com/nextcloud/android: {com/nextcloud/android, af3c108ece1c90556b421e17b0aedd2a}
org/reactivestreams: {org/reactivestreams, c15aa7c988509fd15afb86c0b6842a79}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 3b3f2e77c301bfa429ba242b1670e571}
androidx/arch/core: {androidx/arch/core, b6583309ecc1c94d312d78202e327595}
androidx/emoji2/text: {androidx/emoji2/text, ebd7c5ca24c67f143622ba108b5a5d0f}
_COROUTINE: {_COROUTINE, 8e0f39b725c217c6bb62b24541ee0a02}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 6e6a4b52803a2c6b0eb2976d080002f7}
androidx/camera/core: {androidx/camera/core, 1e69f3c17d17136b54ef7e79b8646293}
androidx/viewpager2: {androidx/viewpager2, e26138ac3994b7160fb46e57c88e2c21}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, d8ce7d8f48a27714fa45b12eadd32257}
androidx/savedstate: {androidx/savedstate, 9871d3a987fa455655fed80a5784b820}
okhttp3/internal: {okhttp3/internal, 07903c542bc571608e5748725b333a90}
androidx/window/core: {androidx/window/core, c9b8b42458fc2dbdaf76efc737d030b8}
org/jsoup: {org/jsoup, effe68b0e79c07c8d7585cfb79a68c20}
io/reactivex: {io/reactivex, 17208fde8efe1c955533340d695a17f4}
com/soundcloud/android: {com/soundcloud/android, e489b277e9b77ebc8d9a67149ba8cff8}
com/github/squti: {com/github/squti, 53d9695f61ec0c7b4d5911f1500d400d}
kotlin/ranges: {kotlin/ranges, d94a4a0492fd6d8bbe0744505401c42b}
androidx/tracing: {androidx/tracing, 374de4f681a359c89397f5040835f60a}
androidx/camera/camera2: {androidx/camera/camera2, 84c0b44945a3a3697231dbeb313a0607}
com/spisoft/quicknote: {[com/spisoft/quicknote, com/spisoft/sync, ], 047d4bda9fc21a8baa55ec3c64b74727}
androidx/swiperefreshlayout/widget: {androidx/swiperefreshlayout/widget, c60506081cdae06ac3df0e9ed2ee458d}
androidx/startup: {androidx/startup, 3e65518dc1783a5b4e0396a0c8ec0298}
com/google/gson: {com/google/gson, 8bf87d460fe539cfc64556712ee6013a}
androidx/concurrent/futures: {androidx/concurrent/futures, 7fc15d142b1e0800eae756f5c23fb466}
okio: {okio, 657ed473fef4850c90b3cf3100c24b8d}
androidx/recyclerview: {androidx/recyclerview, ac1ddd0fd6bd8d2afdb6bd012a6bc631}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
org/acra: {org/acra, ea5c3a7d818cd57b7f4335c4fad247a6}
top/oply/opuslib: {top/oply/opuslib, c2b1becd47e7f3e6c15d98b8982832ff}
kotlin/jvm: {kotlin/jvm, fd7cc538ca8de0a489fa02c2e57ad78d}
retrofit2: {retrofit2, 8b32b9f8c06fe8cbdccdf7b541d72698}
