androidx/appcompat: {androidx/appcompat, ce5952fb8e730c6024f6b1a79cf28e00}
androidx/viewpager2: {androidx/viewpager2, 47d44a5ec85cdb187d06c840f4adf5e9}
androidx/savedstate: {androidx/savedstate, fd70f4663e46eb5879e8ebdaf5f53ae4}
androidx/customview/view: {androidx/customview/view, b2e610d4f8b4193d4ec3332973e6b685}
com/bumptech/glide: {com/bumptech/glide, 71be0bafc3fcfa892dff2d318841ab43}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 57807e07aec1dc4b9941f69a99013b2a}
me/xdrop/diffutils: {me/xdrop/diffutils, 7d728fe3f0d975c84f6449c4bcf5a782}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, 22939c870c58836b88bb025b085a5c09}
kotlinx/coroutines: {kotlinx/coroutines, 02deb92703a14556463fc520fbb3d7d0}
androidx/tracing: {androidx/tracing, 981ae3909d56ed450eda01d6aa617bee}
androidx/startup: {androidx/startup, 9eb483df0760787928bd088a699e490f}
com/google/gson: {com/google/gson, db128435995d1fb7203aefff58d3d4f3}
dev/gustavoavila/websocketclient: {dev/gustavoavila/websocketclient, c6d07e208ad681ce1f8cdaabce2e8663}
kotlin/jvm: {kotlin/jvm, f4f77566529a18a3818fb11def438097}
androidx/concurrent/futures: {androidx/concurrent/futures, 315a49d2411b03eecea9d575bf929107}
androidx/recyclerview: {androidx/recyclerview, 5e297005cfda0c5261d56cb2445a1f1c}
androidx/drawerlayout/widget: {androidx/drawerlayout/widget, 4895c4d72959b4d0122da49b1490d2dc}
androidx/databinding: {androidx/databinding, 9d68cc57276b39fbe8d454b42fcac967}
androidx/loader/app: {androidx/loader/app, 059ef2f24f7beb734f749a2573673ef1}
