a6: {a6, a5ab66cd870e321646584d6d29a796f2}
a2: {a2, e4fb708e1bcb2e0411c1a7f1cb2ac091}
n0: {n0, 0430b5d49c0c30da87d59a66296bf32d}
k5: {k5, 2f7617f965e0479a1994f0189a6a482e}
B3: {B3, f9422f6594a1c82592278a38530de4ea}
f: {f, bb76403a646cbe0d2caf475cc6b609c0}
E4: {E4, 296fdb2eec1d7172c38fd02a67efb4cf}
O4: {O4, 2d97e43662f1f7a8984c43bbf9924f08}
j1: {j1, 1886e826631782c23235a3c6658c45b6}
T: {T, 796858a7931b7c5ce8f77f6a0c5909c2}
N0: {N0, dd491fa0da2490c05d9948330871e0a0}
F: {F, 11404f006c8fb5262370f3dddbba4f89}
g5: {g5, 84528bf585f8cc32763b4c2df940255a}
com/joaomgcd/taskerpluginlibrary: {com/joaomgcd/taskerpluginlibrary, 3e1bbf4b9be79c679847b4b3142e520d}
l5: {l5, f9d6b617835f45e4208b775d6a74bd68}
i0: {i0, 687137ed8cf4c8d8a090ebac887157ef}
com/yalantis/ucrop: {com/yalantis/ucrop, 83c9d254bd2bb7a7f7ccd608acbf7964}
p: {p, c3a3bf8e42c7afd3ae13b7d0283cf363}
J4: {J4, e23f4abf555a3e4d82f7eb95f7040355}
W1: {W1, b51d0f94a1f87897a6b37b200c4fc45a}
S0: {S0, 9a22440bc7e66607a005712bbfd941fa}
kotlin: {kotlin, 5011654f3d364d9877bbe4ebe9c604ca}
kotlin/coroutines: {kotlin/coroutines, dd406ffaaec8985b356a51325653b430}
Y4: {Y4, 663926a6a218485d3b67ab5a06dcfd14}
t0: {t0, c31cef3283ade460cf0e7e4dd6d03ad3}
P0: {P0, 7830da20f128beb0a59c1ccf29e7922b}
M1: {M1, d7888199c84171b5a9afaa86216a50f8}
r3: {r3, 09022896b81d293840a6260ef2c5b0ae}
X2: {X2, 1669529e12a05a7f5cd29ee89f6487e6}
A2: {A2, 1160bc01fe018ae2fdd2b39b6d7de633}
V2: {V2, dfab1ec17b8eecffb28d1eb9e3725a6c}
i: {i, 0e17a0b030f3a496ef155906e8451b79}
p1: {p1, 3265cf3ae0259e05999ab431252056f9}
U4: {U4, 62c1ff529f2515fab47220fc6411001d}
coil/disk: {coil/disk, 5dea65c01f26e72bc568185350338fd1}
com/google/gson: {com/google/gson, 66e9a005f87f84173048a2f230872357}
q5: {q5, 68cb04cc681d3415131f93ebd1409c15}
G5: {G5, 3e53f722fa603494b70cadd3ec65c12c}
T3: {T3, 2ed8581ab601fbe88cdf115655b8a172}
H2: {H2, b1feb78d12c2adc900ff112e3164f295}
U3: {U3, 621e785e804f6fa8c5e4c984bfe17e7c}
y0: {y0, 6461f7d7125cc70abdeec6cdee30847f}
com/google/android: {com/google/android, 08bd05b5ee3ef1bc0606ebbafae53622}
z1: {z1, 20fd031c2a9b77cd3296ad60fa689b7b}
P: {P, 351b7afea2eeedae2cd0736ecfcc8e6c}
I4: {I4, beb125f266872c7c1bc0b433dd0fdf72}
j5: {j5, 8cedfd597ca99a1305296c5fad96691f}
android/window: {android/window, e079f4fb8febf5b63effbb6583d13a90}
d0: {d0, 3ad7837f41d96582fdc9a54be3a54269}
b: {b, 3339c43c6fcf8d5924712ec9c889076c}
k1: {k1, 9f08e450e65811c67195a7f69ab94e53}
a5: {a5, c93eab853baeedecb10195d40291b8d5}
Z1: {Z1, e9441d57f50d9d47764acd10e1e13b8d}
l2: {l2, f7c18bdf3f9290e00cd6f86b9f3796d7}
i3: {i3, 8a62937834dad4635b02ea12e8b521b0}
D0: {D0, 7e4134220ec17d6cafabb1db3b9befa2}
B: {B, cb979a6bb46149c4fe2b22a66919ccd1}
m5: {m5, 0464eba5f1f2119acce322ead681687b}
j2: {j2, 5b59d3a81ed9bb970d944c6783b4a62e}
v3: {v3, 58336a40a130fef3794bac80e55a5b53}
n5: {n5, e3bba5dc3fcf95a2b54cabb29954e85f}
I: {I, 900c3f09aae2e08362440ee274df335f}
androidx/appcompat/view: {androidx/appcompat/view, 68d77321b6bacb6c0ced12aa997d43cd}
androidx/appcompat/widget: {androidx/appcompat/widget, b898ba6e90b5525abdc5d0180bf1d6f1}
g0: {g0, a9588b046fdeda54bea2faf93c5e2a07}
M5: {M5, 2489aa1c5df9fb5e00917d212de244ab}
N5: {N5, 42398e60e2679ff9588765f2ca84f666}
P5: {P5, b20b04016c23848004cf78579c1e2267}
o2: {o2, fdec7c141703560d86df48660ec7814f}
androidx/lifecycle: {androidx/lifecycle, f19a75db799e4838d491b5f56a459025}
K2: {K2, 5401fa84547d9bca2127df44b2212a7d}
c3: {c3, 57f0031dcbbc038af8ce2a91aa5f475b}
h4: {h4, b001b48d63c4621cef66ce14e0ccbe6e}
org/conscrypt: {org/conscrypt, cf903356c99bb3ffef64f0a790a2fea1}
t4: {t4, 079faceeb9a484d599c2bbb04ad08769}
u2: {u2, 6b6f488303fa918f6c59e3a65fbffa2c}
Q2: {Q2, 3c537f5611bc3e3238aac27e1b97a4a1}
h3: {h3, 0537df3307adf83e2dd37f876baa3353}
coil/request: {coil/request, adf5d62f5777af067f99d4e089afa472}
coil/intercept: {coil/intercept, c401358bad09c5541514a604f1c83717}
q1: {q1, d7393654264c6baea89fdaa6133f0b49}
K5: {K5, 7260722755577651b4fac311f44b6330}
androidx/compose/ui: {androidx/compose/ui, 30d60417768e684b5d6300e804d7408e}
b0: {b0, 7a2f6d8de5604c5f9146ad66cf4d9b3a}
c: {c, dcc75d1908578e3f36aeab532b568126}
J1: {J1, 3843df7c4dab50887ee482f0c1d9eedc}
u: {u, e5e0e5a3d18c3369d7a16c3cec9f9fd8}
A5: {A5, 782ef735d2ff5c900cee6e7147502b33}
W5: {W5, 7ae6f923c89591d6a217a1739500acbb}
f3: {f3, cf6cc63eca23332a5b522f25b9adae87}
L2: {L2, b492f47f79610f66e70f316fbb92bf4b}
com/bugsnag/android: {com/bugsnag/android, 3445379b54c589e7b9a6541ab94fa926}
w4: {w4, fa582a8925b95ab26b6ec3703f017c1b}
I0: {I0, 17e180cb284244dd95e3fab8cff62803}
z2: {z2, 086a06be3d3a8adf708ea32eba4ef7a7}
F3: {F3, 8ca838e4768db30e546d1b89d825e292}
G0: {G0, bd547a705ce7d5c1e0aaff59768a15bc}
z5: {z5, 4a4f4cee78ffcf221b17bfc42ed16274}
n: {n, 2a321333d48e151e6b89a6c0ab32215c}
d4: {d4, 38045c58677b3bcb2d75a3cf95e9ac99}
e2: {e2, f89a979a7cdd4f5ae82381c4565ca134}
C3: {C3, cd25181840c00f9a122d74e720b99342}
Z5: {Z5, a841369a80ed58c559bc21ef6b6450e6}
y3: {y3, 85c9216d72bc2723b9d956b2e82286d0}
io/realm/kotlin: {io/realm/kotlin, f48bdc37d2b997d5017eb9c52365bfd1}
T0: {T0, 20886d04d14155b15ed5e9f7da0f28ef}
a1: {a1, f37d086b7d118ad706d5aa1a459aafe0}
N: {N, 1a87229009d8af7e16a03371c64bb20f}
coil/decode: {coil/decode, fb9bb5f9f983044f37c3e5eb9afbae8a}
D4: {D4, 4289a1f3cf9d874b7e5ad3a71cc5fe42}
E2: {E2, 9dbe58f0b998d90646f320960dfd7483}
x3: {x3, 2c19ffea621d41f033255fcc9e2df0f6}
k4: {k4, 96adb07789ec7c652c4cef360f112651}
n1: {n1, b51573e37fcc3383b4351eb3aa36ec2b}
U: {U, c5aec0f5f52d182d16e1b758a6090f6b}
G: {G, 6a75a55dad9e5454dc3b0b573361a80e}
N1: {N1, cef1d9a956f3dfa043394cbfd639c3f8}
s3: {s3, ffbd47e1d276e11d600751ac63c646a4}
x4: {x4, d9b60710f50923ddd27ba7b908341f42}
Q5: {Q5, 09758d4214da9eedbd2e4cc1bc4c39d3}
h0: {h0, 1a92a010fba698b960c8836b368f722c}
g4: {g4, 71737f8f80f4c93aa17b39b087d340cb}
androidx/core/content: {androidx/core/content, 33d8a1e3aa84282de19fe31afe989d14}
com/skydoves/colorpickerview: {com/skydoves/colorpickerview, ea28e7518e8bd498885a960607af1008}
m0: {m0, 7c272951a79e1a187113e376cd732743}
v4: {v4, f405b2f30e9d4aa80d0432494ee02eb5}
Z2: {Z2, 2b188559267c4b8c602a6bf82698a972}
c6: {c6, 0865b6b2fae846bf35faeff8432e1be6}
M0: {M0, 9a0173ea188f2cc2402368b099c06c12}
W0: {W0, 1060f424e0f6fa397ebc24899b3d2a49}
q: {q, 50feba95aa3d48ba8af606074cbe79f3}
J5: {J5, 18a55eecc86441b67a11776ff8db4d1e}
b4: {b4, 47598737ea2d23971761010f965d0ace}
K1: {K1, e511d61dad1a69449b3f23e78a330d59}
J: {J, 6e36eafe6961d256242f96b0cbf0c095}
Y3: {Y3, ae0858010f3c657517dc54fc619ca2f8}
t1: {t1, 3aee9942e35c7991f9e58866874d1846}
P1: {P1, bfc181a62574d582602f62671051cb51}
A1: {A1, 0061c5a2aeaa03e40c1d92995ad0a89c}
x: {x, 05c2154b5ff86e2ccd55e37a7662599c}
r0: {r0, 1076b212727019dbf9ea15e74811f594}
X3: {X3, acf7ef943fdeb3cbfed8dd0d8f584731}
p2: {p2, 28133441c14ef6684bd6e7501c37489a}
J2: {J2, 55a40786109a3dcb13f86b066834d2a8}
V3: {V3, 5fc7415c5468762b08a189c1e50dfb3d}
j: {j, d1cf59bfd115299e6a464e42763fc45c}
q4: {q4, b727e141b4580bfce7ee15860ac794af}
coil: {coil, ca40a46bd12400f34a49e92eb639a58a}
androidx/compose/foundation: {androidx/compose/foundation, dc9a7a9f71b74d66dc4f8731a6b5aa91}
X: {X, 8ed17089611a103c6235677fafe528d4}
R0: {R0, 100c50739042e387777a93c1effdcb27}
androidx/collection: {androidx/collection, 2fb13735dd8f38f2e7b28434ca3df739}
X4: {X4, e3cb27d63f97aeeb5cee0a86bf921779}
androidx/compose/runtime: {androidx/compose/runtime, f1f05def4d14994e1e14ce450903efa3}
android/service/quicksettings: {android/service/quicksettings, c4e9eeb25e17c46354752ac4239a9772}
e6: {e6, 07c1d4ba65f577e576813755081b26ca}
G4: {G4, 8e2a854ebcff9bed0d2556b5bbe83f96}
f4: {f4, 584998838f9b2a687dd0536c6ac4aec7}
androidx/activity: {androidx/activity, 6e711a31b80d54fe68b2cc52b88ededf}
T4: {T4, 189766398ef879318afe049d4d6bedd9}
U2: {U2, 0dbc5da4e8a16daaeb781a370a1c16b4}
H3: {H3, 40f0d54d9d93c487f773216196018490}
kotlin/reflect/jvm: {kotlin/reflect/jvm, 9e23f1a5ae3bd10dc4ef2f160826a42b}
F4: {F4, 0276b907368b520a96450257447cc972}
com/burgstaller/okhttp: {com/burgstaller/okhttp, 6cc600bd07a42307452d1f782450bc37}
androidx/startup: {androidx/startup, 08c5775df7901f348750f14f4def3be5}
Q: {Q, d6aae0ea3131c2b684233dce7bc11b74}
w3: {w3, 316ab61bb184cb5850124cb15c392077}
I3: {I3, 0138671352bd4c1ada5093d22a57e7ea}
d1: {d1, b195bd46e49a9a5408e450f91e48cc9e}
B4: {B4, 99959d06770572a55bdd6d357f11bfa1}
k0: {k0, 05cfc56e289c6d2281341cf7538bccef}
x0: {x0, d8e67f08b256fe1bb5ebbfe31d684524}
coil/compose: {coil/compose, 11ef885458aae196b3a110c80b21d382}
m3: {m3, cb74bac64b3646d7dd772ca27e8a01b0}
i2: {i2, 0853bb44af49ebe2c050bd1e585a15a1}
D1: {D1, cf225d813a70d761f0c616535437722a}
C: {C, 9e556f424ef3f0158b170419975446e7}
a4: {a4, fe7d298a844c419e4b382694445da06d}
androidx/compose/animation: {androidx/compose/animation, b48691556e212f68cdd69c0e78790caf}
j3: {j3, e5386cfa75444e5a9257b17196103581}
m4: {m4, ad0a507024c2ed952edd58b2bfb8d4ba}
okhttp3: {okhttp3, 20dd32111819b2609fe007094c1eb3f2}
ch/rmy/android: {ch/rmy/android, 1434253c4a5bf022fa1d32795dea3b34}
d: {d, 0554ec7ee4b0b24e354b5a657908fad1}
n2: {n2, c9f2190811646d44c46e0630fa4dbcd5}
O2: {O2, 968991743ffd903f8f566830c574d6d1}
S: {S, cb9ea4387f5ef070d414dd8534c45440}
v0: {v0, 6941d80c15fc90f148d81483bf3a9c95}
H4: {H4, 66363fec425d8312e63b50325c1d5ec7}
g3: {g3, e5c38d449cd30404431e5d307553d56e}
M4: {M4, 389e6b544f9d893122ed2c4d39f2eca9}
r4: {r4, 0321435c9a781d919ccad59abdd82e17}
D: {D, 3bf3c838f829cbb172adb5937eb08f8c}
N2: {N2, 714452ab988ba585765dcd3f8d66a280}
kotlin/jvm/functions: {kotlin/jvm/functions, 5a107e1b88745d4170947328db35600f}
o5: {o5, 02e53ad26e51ad07994213232b4bea7b}
h5: {h5, 752e14dc3adfcc255ebb49c0f78418e2}
c2: {c2, 36c19ca3eec9add87b8cd30736201ebc}
Q1: {Q1, cc636f0b12ef8e61a9bd33f3947ccced}
t5: {t5, c3a46d6840d7192835e4b52046a6fc4a}
l3: {l3, 51beef427f2a23c12707cd254b4f4b0e}
u1: {u1, 49a007758502c119776db39aec7e3906}
com/franmontiel/persistentcookiejar: {com/franmontiel/persistentcookiejar, 38160c3889050a34246e3b9b0ef52f39}
android/hardware/biometrics: {android/hardware/biometrics, c4e9eeb25e17c46354752ac4239a9772}
K4: {K4, 08f49b0a5a424f94e42afebf77e1eb16}
b1: {b1, 651923efef530776890dfae28a0f2dd7}
q0: {q0, 45e7e8aeac1f8c8c4e3d26dcfc6b9e8f}
f0: {f0, 2582fdc173eaff45827e2164c7da3f1e}
L3: {L3, 1c6cf2fe7ecb17839a806007605a62f7}
c5: {c5, add5fdd4ca4b468af688ede45a70ba7f}
androidx/profileinstaller: {androidx/profileinstaller, 77d3d863e149251808a4fe7ae3f8f3f5}
v: {v, 406fea76ad8b0a68a5cafb3cc2d5e74c}
w0: {w0, 40aaebc0a4602e7e59d645cec80320b7}
X0: {X0, b7a89889200318b28918082885add1fb}
W4: {W4, f59f0369f876ed80697814896488e76e}
M3: {M3, aacf027963d834c0f7393f06865559a6}
androidx/appcompat/app: {androidx/appcompat/app, fa933bab43d762f16f21cdbcea4a25c9}
androidx/core/app: {androidx/core/app, 42afaf6c8115ae078d1f7ceb290514be}
V4: {V4, ed1b0467b5c7880417c10b9f6b235fe1}
z3: {z3, 0f5114840486982cd7f56fd2bcf45215}
s5: {s5, 964599cff4572e46e5c43117b5f17d42}
G3: {G3, d02a2fb139181d30471fa5926635d462}
R4: {R4, 9cfb07ce0cf100003d859384f346352c}
okio/internal: {okio/internal, c5f396be73328a738fd9ac428b3d3617}
d5: {d5, 25d7fc10ec576f34d40c8c7561b1ede0}
e1: {e1, 634b56805feb6505d118ab37081d230c}
C2: {C2, ff6c698f3d84d094085d94d9fd8aeed7}
kotlin/collections: {kotlin/collections, 5913a55bf393e5c00dc0814f5ca9bfc0}
y2: {y2, fbedd722fb4cd280c9b81299012af959}
T1: {T1, 45747c0ebb38b73e13754c47d66a8363}
D5: {D5, 7d22b05cab76fe06efc5f6b609437b61}
okhttp3/internal/connection: {okhttp3/internal/connection, 39dc59a89a07cd4f391d88fe495af76c}
E1: {E1, a41c7b3590239b537acbc724d355ae0e}
B1: {B1, ce5e67a8f8af1c3b6d38fe0e1c0a2b82}
F0: {F0, 474c23a78f8062c355f98d6d29937111}
C5: {C5, 2330b9836b1952f9a82c6666df9fd815}
H0: {H0, 275820de3092423384662f37d9d1bc13}
V: {V, 5fba30b212721ac966f75bf63b399566}
x5: {x5, 69c3a8e444fa995ec047af93f6c7c576}
s2: {s2, f52f694cc0254cc7ab5be15bfe509471}
androidx/work: {androidx/work, 35643997d76dfe275fbc75d1dd39af4a}
l0: {l0, d239d99d86c9da38db467e0e282bd3b5}
h1: {h1, 8231f551a44d38402bbd42e46a1281a0}
androidx/emoji2/text: {androidx/emoji2/text, 3bde47ba51fea22c3a4b4303daf87702}
net/engawapg/lib: {net/engawapg/lib, d1052d0c1cab345013144e1d4fc9ad7c}
i5: {i5, 7e4f192506f5f30972abccbf66de6e4d}
v5: {v5, fa4dcf5dae10b67a0236f066bc3f8d69}
O: {O, 2a9052cad6ac44006d25ba63835235e3}
Z3: {Z3, a23d6ca8f9b981e91672308a54073eff}
androidx/recyclerview/widget: {androidx/recyclerview/widget, 29da5647b6a2802ce027388cd08e488a}
u5: {u5, bd2fc97c985b7bd5dce0c242549a164f}
O1: {O1, db2a4c0ff1a4182c188a80a4bbb27d48}
androidx/core/widget: {androidx/core/widget, 0fa454a4676549bc8b133c23603c9cf4}
c1: {c1, 0427f43cb8b36b9065ff7dd6c71d92eb}
coil/fetch: {coil/fetch, 2f28b68afdaa7c9d5996a86760a90cea}
androidx/preference: {androidx/preference, 1e51366c7b5dd60428a5266564a3d947}
W3: {W3, 68f658504cf39c78536c963b59fd5eca}
o0: {o0, 64c2652287ca80599236e9748f362c6f}
K0: {K0, f44bb6b256f79ff28992b75afb0447c6}
b5: {b5, f90dc9e5cb7a6a9b5ebf656fb1e5c07a}
P2: {P2, 73b2556bacbe073ceb269220f54e77c2}
S5: {S5, afb9f807d0858e7d1389c92a2a3e8447}
Y2: {Y2, ced267b50e81e704056b24a0c40327d7}
Q4: {Q4, 1925d9ffe6cffe789f47d63c56fd0425}
t2: {t2, 34a0f680e3e93358a4ef0922a631be2c}
r1: {r1, 9c98133aacfa9e4f2e4162674b47da22}
com/markodevcic/peko: {com/markodevcic/peko, 4a1d104fe057bb09089ded7aadaca06e}
y: {y, 6d75af64ce68710e945e023a0ff1c0ad}
J3: {J3, 01e943621c2e8153328e1d94bee76009}
k: {k, 4e82d89fcb05c975e67ba2b16c1da809}
p3: {p3, 9367c5a86887c8ffbf1e2fde65ff8973}
e5: {e5, 9c6c0b66d6c47154da14ad4cd741c190}
b2: {b2, 927e535781e75caea83d2da7bd7bdd30}
q3: {q3, acf7ef943fdeb3cbfed8dd0d8f584731}
R1: {R1, 2e4072a614cca09c5e968b0f43f14982}
j$/time/format: {[j$/time/format, j$/time/temporal, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/browser/browseractions: {androidx/browser/browseractions, 82ebd8c8f40e5c3c35cdc0c56c2182de}
V0: {V0, cbf2c21d91af3942452d0fdfaf67e6dd}
Y: {Y, b479dcfd80fcd992608d3f7719dbd14a}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 260ac04316dccb782b0f11a4198a5159}
X5: {X5, 0184a138a2c40ff07b9a64d739241fa7}
kotlinx/coroutines: {kotlinx/coroutines, 11231d8b0cdec7e9b4f743b8d08b961c}
S2: {S2, bd43fc7fe2cda5c70909377b4b7daed6}
f5: {f5, 25d0a755cb6f302f043a11393921523d}
L0: {L0, fd19a578af21708e809a8bb3629d07a4}
T5: {T5, f941427b443f965bda9a05078e7fd078}
androidx/room: {androidx/room, b1135ab6b288477ca3a4afe3d1f827a9}
U1: {U1, 75b5e0c972c104c3eb7e757ea2980997}
R: {R, 0696ebe8f96cb2a3095af5e0f87f5c5d}
F5: {F5, 5dd232d7905b5e6c2144505936c6c1a1}
r: {r, 1997f1e7143b9f5d2fd466fe60026ce2}
ch/rmy/favicongrabber: {ch/rmy/favicongrabber, 1fee22a9b076ecb9e8c4775997e6776b}
kotlin/text: {kotlin/text, 42a52d0930d852d161530c195091b885}
C1: {C1, f9bcc2996317b851f258924dbdcee6ca}
k3: {k3, 90998dab012d1127669915514625efcd}
p4: {p4, acf7ef943fdeb3cbfed8dd0d8f584731}
l: {l, f93a40ae3c966adb17df7d8012788e6f}
androidx/compose/material3: {androidx/compose/material3, 094595a4846886fc72268e52914c96e0}
d2: {d2, 0e5a1345066a25f0a9d60441cefc241e}
B5: {B5, 64cf2f660eefb55c8b823abc261f0c21}
x1: {x1, e243d3503cbf2ac0c503e43a67062b9d}
y5: {y5, 3a70982465a561f09c48643c88b0b2e3}
m2: {m2, 2680a7361bb9f74165bb3d4cbc2a3404}
L: {L, fe25d850cd596f5c9539cc1339ae21f6}
android/app: {android/app, de1c2b92945417ecd988923d07abfa41}
D2: {D2, 377b02a576dadef934102f5195c60863}
K: {K, 7f27249ac51baff4f0928d3058c3170e}
androidx/fragment/app: {androidx/fragment/app, fbc3ba71a55e91a0f184e49d4997b66a}
j0: {j0, 04d3d756b57951eb6c0f9556a64cc9e0}
E5: {E5, 824512ac445e0081c7defa5bf6f787fa}
B2: {B2, 5fb30f378d67b25050df10ea60d7c48b}
n3: {n3, 6efe5b04d60f9306cb6cd5c4a6069b0a}
e: {e, 445a4a5842991baad961241191f2dad0}
O5: {O5, 49bc0b719644cf0d3fa6e8ed5329ffe0}
H5: {H5, 8117421d1983f3c12f73f4a7aeaf9f94}
v1: {v1, 553fb8e68b2c6bfcb001bd3667fc1482}
N3: {N3, 64d059c328b4b1b717cd1f13f30ef6fa}
r5: {r5, 97cf54055c883420f4ba0c684c018784}
E: {E, 33cbe094a9cc1dce1659a84d784db853}
o4: {o4, adb88185366db1ebd7780f8b20e1e99c}
androidx/core/google: {androidx/core/google, eb715460c8adab811a895ef7ccbef679}
g2: {g2, 5e39b18bad463d4cd559f4f41cea22fe}
h6: {h6, 367c3d74d450ca2f43262a9fc9fbaa28}
com/sunnychung/lib: {com/sunnychung/lib, a224d1a212a533ea03c435516c9c9fd6}
u0: {u0, 4c1e3abe83733d03fb74f7d0c2067aa8}
Q0: {Q0, 3627b3e13cec636fc2e32852d476ff1c}
i1: {i1, b58a7767f2f6b092d7e5f81e08bf752c}
l4: {l4, 20543fe40e928de7aefb8941756db1be}
s1: {s1, 6a4b9ba457337f6286c24e025789b03d}
b6: {b6, 3cca7758f040462e724654e414afdff1}
c4: {c4, 4a4711b6c1fe7803f72f458fb5096619}
androidx/compose/material: {androidx/compose/material, 3d9b50da1e72addc2dfb204d5e79b40c}
f1: {f1, 39e704e9c3ccf6c55023780bef379aa5}
L4: {L4, 8ecdb29ef77c16d23418b5a23675ca77}
w: {w, 1c867ba2c188ed520110aa391267c7f3}
S1: {S1, a4f5f6ff2caf5a60f0ff0ed08c6ca738}
X1: {X1, 477fbecdf51a21119e4e705e9a383da5}
Y5: {Y5, 4e37ac16db5fd25787ab43c689c64f53}
com/google/crypto: {com/google/crypto, 5d331410a27e911a9abd2f77cbc21c84}
r2: {r2, fe5339c1cf65700eac5a3300fb991798}
A3: {A3, cc6fbe7ca4a411a16d9fb351c8462c60}
V5: {V5, f71ce74194fbd427e36116f3dc24222b}
h: {h, 14968fc0e4597c958e50f93e1e8591cb}
d6: {d6, 4f6ac2c523c96026e97fc28080f14901}
p0: {p0, eea181cc53cdb75c8ca2a9483db88317}
z0: {z0, 05d58ca44315ef12bf32fbd80f587714}
U5: {U5, acf7ef943fdeb3cbfed8dd0d8f584731}
R2: {R2, 05b91f81f9ffc32b04c41193d7402874}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, f215db26a1befac48386568a0c3d07c3}
e0: {e0, 35cdadc928c90cda05b8902a9ad32c32}
okhttp3/internal/http2: {okhttp3/internal/http2, a71e1b1d2975479b71afffca4151a280}
coil/util: {coil/util, bcff7ae23a97c92c9938cf28a65b506c}
G2: {G2, 2d50004a2b46f24edd244d51c8365c4d}
f6: {f6, 97f5c74ec74090126c54e68185d2e61a}
T2: {T2, 276ff5b2f1acf975cd57598616a2264a}
o: {o, c8b39775e28e36bfdc4a7ffa39c625b7}
E0: {E0, 98e31fa29f64e9692d0d6d37e2736d78}
n4: {n4, 2ebba6b82fd500961ad66a6b275b89f1}
y1: {y1, c93b1c7a56742e96b846b9634cec5c20}
a: {a, 9dae616cc08551e1958312e4a1768856}
C4: {C4, 40f873bbb99a9933e6b11a61abde97af}
F1: {F1, a8a322b9eec544c9ce449b9991bc8b02}
j4: {j4, 2f98f4fd60829d2567feda6a980af495}
w1: {w1, a136d6e59cb5d41582313f9e9c91bfc0}
