androidx/appcompat: {androidx/appcompat, 33d8ff7f3b4d1c9f8dfdb408cc5cf72b}
androidx/collection: {androidx/collection, aacb2fe1830e12120a876a35e088de0c}
com/afollestad/materialdialogs: {com/afollestad/materialdialogs, bbd1eacf4eec0052cb3adbcdfc13c450}
androidx/transition: {androidx/transition, 05ab56de1a0f33ace3d2e840ccb8be8a}
net/openid/appauth: {net/openid/appauth, 07cd4e57e9ab73a926201ff0b409cc22}
androidx/interpolator/view: {androidx/interpolator/view, 7317c4a136acb3447915875a0c2dbf26}
kotlin/internal: {kotlin/internal, a2ec55c87607c9195811bae7152ed20b}
dagger/internal: {dagger/internal, 4b57391419105ed82951551caae6c768}
io/minio: {io/minio, 39444ace92d814373734c4b1ae271ab5}
com/pkmmte/view: {com/pkmmte/view, 280b3f0aeca84fd011225bef49778f70}
androidx/cardview: {androidx/cardview, d2a6c8c754334166a71bc8fe1cb0a7f2}
androidx/arch/core: {androidx/arch/core, e997fa42c2068b2a3ab3c61babe59fea}
org/joda/time: {org/joda/time, 64069eb684cd09528c217e4022d71622}
androidx/media: {androidx/media, 9740f422ee599432009e88cc7686fe8d}
androidx/browser/customtabs: {androidx/browser/customtabs, 54353da8fdeb0e739f22d5d9e77e867b}
me/zhanghai/android: {me/zhanghai/android, 6507b465c2c9b48d0ffcf2cdf7903e04}
androidx/loader/content: {androidx/loader/content, 4a328ceecfcfa80f3a8f8a6ecfd017b7}
com/fasterxml/jackson: {com/fasterxml/jackson, 0874b4dea328a90da7907bbe5246c5fc}
okhttp3/logging: {okhttp3/logging, 6949f7d9816e3b1e8ad25c4f21b651e5}
androidx/fragment/app: {androidx/fragment/app, d3eb88e285b3acb772f3e72659c6a0a1}
androidx/work: {androidx/work, 9a58e88b67c0280b0dfa469021a8e698}
com/google/firebase: {[com/google/firebase, com/google/android, ], 69aac6ddd86eb1c504597eb0d3d682a5}
org/reactivestreams: {org/reactivestreams, 907475feef0ab7fa1cd750a3bc58c144}
androidx/browser/browseractions: {androidx/browser/browseractions, 3a683c9ce8ce141ff2dc7a90ad57e143}
io/requery: {io/requery, 82139e1d8423f1c198cf210a48b28c54}
org/xdty/callerinfo: {[org/xdty/phone, org/xdty/callerinfo, org/xdty/config, ], 67a51bc89cd12e2d659684c987b9f38b}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, c53cd04acdc7f6d8677f0af3484ee76b}
kotlin/ranges: {kotlin/ranges, e1ba7f902e4425485b7e45b6820f6c09}
org/xmlpull/v1: {org/xmlpull/v1, ea06079da778b1b27523caab4db770c9}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 35d2d3a2d8420896291fdfc896aaa517}
org/jsoup: {org/jsoup, e2bda378e6df31f374c58dc21862efe6}
javax/inject: {javax/inject, acf7ef943fdeb3cbfed8dd0d8f584731}
org/xdty/preference: {org/xdty/preference, 3b65a86b5ff3c29de3dfd1e9eb9144a3}
app/minimize/com: {app/minimize/com, a455533511872c41479722ed98ad18e0}
android/support/customtabs: {android/support/customtabs, e865dcf51fcbcc2e41c745db3af7efc8}
com/google/i18n: {com/google/i18n, 32065b35d071a7738c27591ccf4d7ce4}
io/reactivex: {io/reactivex, 699866ae74a5a4646fa8f177834b3eb0}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, 3fd3c25bf3bfb49f575040a297e5d50f}
okhttp3/internal: {okhttp3/internal, 389d777c0b2ffeb8cc01e589972f0cd8}
kotlinx/coroutines: {kotlinx/coroutines, 2e7b400d9a5627441b2009e55942b76a}
cat/ereza/customactivityoncrash: {cat/ereza/customactivityoncrash, c6cfac79cbb6916f755b3e3adaa15a85}
androidx/swiperefreshlayout/widget: {androidx/swiperefreshlayout/widget, e0fb4f92d5d88940dd9681025633c07e}
androidx/recyclerview: {androidx/recyclerview, 1c58566181b0331e3ea34ce3ce2730b7}
com/google/gson: {com/google/gson, 6630bb1ee82a1e26ece34b19f8f121b1}
okio: {okio, ac984fefbd3134cca1d0c1919500fd19}
com/google/api: {com/google/api, b5627bf148700034f5f364752c9c5294}
androidx/customview/view: {androidx/customview/view, c3b3beb9393315adfa34bad026d4a89d}
androidx/loader/app: {androidx/loader/app, a01d6a97eee3095764dd1cbf57c5d8a7}
