androidx/appcompat: {androidx/appcompat, 8bedd8bac9d2c56c72bd5f9f7e78e269}
kotlinx/io: {kotlinx/io, d2df926dc810771df9d5da8f1ea738b3}
org/koin/androidx: {[org/koin/core, org/koin/androidx, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/concurrent/futures: {androidx/concurrent/futures, 2b0e342881661f839ec4deab02a54ae4}
kotlin/comparisons: {kotlin/comparisons, 17e1c78e995528b930058164eed73d30}
androidx/recyclerview: {androidx/recyclerview, 6f73bc3cb107f73c650e7e3c5a4175ef}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/customview/view: {androidx/customview/view, c3b3beb9393315adfa34bad026d4a89d}
io/ktor/websocket: {[io/ktor/websocket, io/ktor/utils, ], de1bfce7a09ee42a44af19c968effe61}
kotlin/jvm: {kotlin/jvm, a4bea77e93c861a30fc2aea87519f643}
androidx/loader/app: {androidx/loader/app, 88db4f356622a85023515694938dfcc8}
