a6: {a6, 3dda7c1e20e12dcf405b2cf1ec43c470}
s: {s, d196b6abab8349aa172693b17f7a65a9}
f2: {f2, 834025f7380e02dbeae82daa3048abeb}
g8: {g8, ce9186478b4cb9f0cdd71e487c35ff72}
v9: {v9, 032fd7f4ef94c774a88550a1fd2fb960}
da: {da, 119276c5aa3b6743f72f27ddc8071f36}
w5: {w5, 5cc6c17ffff438285a80560f5ed857bb}
z4: {z4, 0c2ab030758c0e35e797e7cc643a3682}
p5: {p5, b309f3dfaba6478c4009765569f93d8e}
d3: {d3, bf1fcfff0dc518e072ccb5a0d2ba36ed}
k2: {k2, 21330bc7e02c428776094f86094de57a}
m: {m, 3b1730bdb94b3971cf5bc14ef42a78f1}
q9: {q9, c830a0d025f6a9cd8a85bd47e62bf0f3}
e3: {e3, 80dc2656981deea5ec3dcc5ba478be13}
y4: {y4, a344c3148f2adc047188e280a68a429d}
u8: {u8, 9d9587f3b44210d2bb0cc60ffd282c84}
m1: {m1, b9c9a4850e8ca46be755be0fdd1e7384}
x2: {x2, 10581436cc7423a779e14a523449d017}
a2: {a2, 621854b85ee505e2bba97d903c1540b8}
n9: {n9, d9b60710f50923ddd27ba7b908341f42}
s9: {s9, fc4b740681a5998e1258e247a0439957}
n0: {n0, ddd2f906b90b37765ff97c321e05c181}
k5: {k5, 1e636886ab60138284a321b19735a4ba}
f: {f, a51ef232886438d6f4c8645b5ad0b042}
x9: {x9, 1be0faea4e27ab32955a252273636c23}
i9: {i9, 3ca621cb5042c0062c9731825093c123}
j1: {j1, 9148b434570fa809af3df646820e0ce4}
m8: {m8, d85db6524437e26fd25ad18176b11d05}
a9: {a9, 660818b92145dd5d3a8727ca9bd9e245}
h7: {h7, 46025059800f194faf146d4e584df2e4}
f9: {f9, 59086005cb279243ed621e0d8103b784}
i7: {i7, d57d4293851ae8a8614e8c6348d6def9}
g5: {g5, 758b99fcbe723db8bd73a4bce207afe2}
u7: {u7, 218b2fd20067f0d44de09730200331f6}
v7: {v7, f9fc9111b84f0495cb8b90cbc0ae743e}
l5: {l5, e474a50e266ad1226f7c052d19284f57}
s0: {s0, 73ed22cb2b24da9b43140ced28886f97}
t7: {t7, ad807ef2af1ae157bae8571ab494f466}
b7: {b7, e85107adabc1619aa27a7ed16d51dab4}
c7: {c7, 18a2a6b16cd84a9de2fc0c199376f1bd}
p: {p, 6502e5431a9e267e1b042d41f5831224}
e8: {e8, 347969e2b0136d92eead66c7088ecfcf}
x8: {x8, 4decb790bbdfefe03e7c76ef43a1567c}
o7: {o7, e5ef920eb7970ae5ed27a3f3aebf4238}
t0: {t0, 51ada4bc554837d46c5aeac84b952c90}
ca: {ca, e993756957722aa94a8d1a2ddb110aa6}
r3: {r3, e0c623be1d27a15b7eaddd77e34af40e}
i: {i, a3b0e26a32c8676f02772937aaec4c5e}
p1: {p1, b96465d6caf63d5eaad9821690cdf4a5}
d7: {d7, 0b55a037217f5a30adbfe522801dd1a7}
io/ktor/utils: {io/ktor/utils, bf03709e8e727cd7024fc2af62fb2bc8}
q5: {q5, 0d01b3994182ac3cd2bb39b891450b2a}
e7: {e7, 6b16c05a3256c9d20950e57b028ba220}
f7: {f7, dda5024158121576790c76c32385d661}
k8: {k8, 8436bab694e1012b149e462d19d6205d}
y0: {y0, 8d8609bf943a497ae71077a34e072b22}
y9: {y9, e1942f81bb9bb8513e5ddf79a3e98619}
z1: {z1, b71877bec7b846069ff6fe9c9c5ca7f8}
w0: {w0, 2351050964eb48e4e74b6be7221719b3}
ba: {ba, d660daea519a3abf6db9831cbfe3c8c4}
j5: {j5, 552db830ac9d741d0e48e6f0703f017e}
android/window: {android/window, e079f4fb8febf5b63effbb6583d13a90}
ia: {ia, 69884c5d966350e5fa3878d0db033385}
d0: {d0, 899e790c81e215240aead0eb12deb834}
b: {b, 54ca99e4ed477c648a553cf44e155705}
k1: {k1, 6df5ece043118fe2a68d5703acf3c9df}
mb: {mb, 4f6ac2c523c96026e97fc28080f14901}
x7: {x7, 5fa9cf0ca275c1ee03a0dddf614be56f}
a5: {a5, 4ef3c5946958ac83a8045fa15fe412de}
rb: {rb, 32a7e2383d46edeb42f3849aa6e7eceb}
l2: {l2, cce40b794a1977d10ddfdb99e5e7e935}
i3: {i3, 23706ef25916f06e0f8534a470d8aacf}
sb: {sb, 0e160f0c52b7851a329e4b94a679613e}
j2: {j2, 77d2b17fc3338dd0fa76d9430f81e72a}
v3: {v3, e904635ba32cc9d94514b6130cab461e}
gb: {gb, 374a333fce71cb21881622e725b05efb}
z2: {z2, 2595d4547c8f88f66954292e266543e4}
xa: {xa, bdc1851320d61defc7374dec18f76637}
o4: {o4, c0a53a55aac0a5e762678d6d4164ca69}
o2: {o2, bab2e55c6c9b35902955d8670a76e48c}
androidx/lifecycle: {androidx/lifecycle, 542dd9699021b2a489ba6c7d8f6e4a23}
c3: {c3, 139b40f54c3eb8a6c05e53405831ee0d}
h4: {h4, fa4b7689b903f6e1248d94d85dcbbca7}
ha: {ha, 6b671b914998afbdc556df1c22c625c8}
t4: {t4, afa121d00624e628b2c07c799be01186}
u2: {u2, 8b5182e757a4c444a7f876cdfbfa10c0}
c8: {c8, 5cae1d6fae05a2771648cf4baa1414a6}
h3: {h3, d11b8a7b3b025eef2ec7edde9fb20cfb}
r7: {r7, 889972f7c000d76dcb0fbee4c6fb7c6c}
s7: {s7, 0492a1643ff910a58422b8632039c2de}
q1: {q1, dcca552a53dbaea7db2acd10f4cba1e8}
b0: {b0, 74f4a660da3c414914cead738a245b7e}
tb: {tb, e24ff336f514a546ab0127f2eed16cce}
u: {u, 2f26e07ea4e250928da44c29c21b5e4c}
f3: {f3, a4fd2da5a3e4b6a2e12463f025aad9f0}
v6: {v6, 195a66aaa214c72b974b5498bfbd06dc}
w4: {w4, ae6b494f5b65df1ff537723fd3b223a5}
db: {db, e9afdda747a2cd43de3af01ef7a8fc86}
androidx/appcompat/view: {androidx/appcompat/view, 85369d38b9642a61678fdf906f0db3d2}
androidx/compose/material3: {androidx/compose/material3, f770e0af11c987ee68be48b5e84c901f}
z5: {z5, 6aae6d88c3a96682c5e186a4e18c5ed6}
n: {n, 1dbc3832bedc1766147049dfe02e8323}
p6: {p6, bf6d207d65c8a227aaca369c23fa99e6}
d4: {d4, 6675a0b66330ae23e539a240a797f022}
e2: {e2, 935af521a3f64481db5dd53d44e484be}
q8: {q8, 6f4856e2b23aa8c4e7148144090716c9}
y3: {y3, 8e152cd419bdd6b9581f748e97fc2799}
v5: {v5, 95615480c9d78f3e5705fc247a870652}
a1: {a1, 794aace6736311ecbd41977c67ec1cd2}
n6: {n6, acf7ef943fdeb3cbfed8dd0d8f584731}
s8: {s8, 1037a4507c9545d2cf706d632a4b9f50}
x3: {x3, d77d8d3ba87d9abf857f179602f6b902}
k4: {k4, 99c29bc7184c8f1e5ae80986f841f70a}
wa: {wa, 482a33128b1e92343ff5c1dac22a991b}
g: {g, 1e8e546840449de980abebe7724daefd}
n1: {n1, bf22c987f5d0e8719349a43c134dfb17}
i8: {i8, 2ca4e57c2e8f23ab73eb94fc6ad058e9}
bb: {bb, b045637f3dbebf7aecef5f89c8af6da7}
okhttp3/internal/publicsuffix: {okhttp3/internal/publicsuffix, 95008505283e435303d3fca3f37f59cd}
sa: {sa, a5ea42008f8d23fba2df3220854a75ea}
s3: {s3, 370b18f37dbe388d610c6c57c51f2993}
x4: {x4, ce6293523575d7f1cc5b450d34e000ae}
a8: {a8, 1e624bccee9ead90da16fa8361815b91}
g4: {g4, 42788691c5200073cedabb97a9ebc998}
lb: {lb, 27a155fbf95903d0575170916397e029}
l6: {l6, e0085481d7e0e198224e4986fbb915c9}
u6: {u6, 338716a5544b93fedf76f5f2e50273aa}
m0: {m0, 170fb9e3d406d87b4da58686abae871d}
v4: {v4, d362142934c57fa889acf407898172a3}
t8: {t8, 27001262c1e633ed94014359dee96a22}
c6: {c6, bcfd0f499c591d1bd74cbdb205134749}
kb: {kb, b7aba38ff71a995e0ea784a92b9ffcb5}
l8: {l8, 95a8162ec466f7eddbb03d74529f567e}
q: {q, bc3092a03aa00dac463e84da952c6349}
b4: {b4, 1d1e73839e6544abb7d78495eb5c3b57}
o1: {o1, 8914ff2073af6375f616f5d1066ad641}
fa: {fa, 19cfe4083f5185cca658fa1084891113}
t1: {t1, e44acb7aee7f0962e41c1d1d6f4ac658}
o6: {o6, bb129bcb06b82ef1f490a3b022a0ee14}
ga: {ga, 9203f6a04bb3df389fad3b953cadcd66}
x: {x, cb3e2143ca9d38522eea48aa0e5453a2}
r0: {r0, fa8acb40f1d9e733b3a423e09e2b689f}
p2: {p2, dde9f9bf3cc13b0c4c24595d106a0ab8}
d8: {d8, 8a8ce694430bc128d2931f42d71c2ce8}
j: {j, e44154d6f5a217b228227d5836c86b5a}
q4: {q4, e4baad14a1a6c3251fffa61d9ae25755}
androidx/compose/foundation: {androidx/compose/foundation, 0a59fd9cc32317813795ac52d8f42abf}
l9: {l9, 3ea805ce4b34511347c45720c7b8b744}
e6: {e6, 67c16b5b7c8c9ed3b0bce961d2fdf3fc}
qb: {qb, c21f75170b8162c87faf963ea05bf1d9}
f4: {f4, dcbf91d254309dc72ce18cd6cefba2f1}
y8: {y8, 853c4c954c5fb757e6ab3ac7e3c39041}
ab: {ab, 81ef11a01979698e38355e6761f3f70a}
z6: {z6, 2cddb7e87ca672387794635897610978}
w3: {w3, 74281e3ed2ff8eaa4f6683fe32e51678}
com/journeyapps/barcodescanner: {com/journeyapps/barcodescanner, af693d7ac8b29a20db2bf93663d15d1e}
androidx/compose/ui: {androidx/compose/ui, 054f9ac637c588d31cb3df882b370650}
d1: {d1, bd73273418c1a50977bc3182cc5f1509}
c: {c, 677e6a29a2b751916cf7241f4892bc6e}
k0: {k0, 43b69a290bd39b4cd98450f1aec00bf9}
ma: {ma, 767bce8501319dc932ee95a02823f9f3}
x0: {x0, e4c6d1bc1b04b0be02c3374cb611ca42}
m3: {m3, cc80aa331f547d20a3df624974d99230}
i2: {i2, e9a5704a3397630c1cb9f39d65d1411b}
a4: {a4, 01338d56aa6e0ad43edf06f78c082b8e}
androidx/compose/animation: {androidx/compose/animation, d0de6a4ece9d513ce3e47b61394b7c7d}
j8: {j8, 14030411bf0bed8373d2ca8086e8dde2}
j3: {j3, 4df3c0e3e1584d3fc7187d00666d8b1a}
m4: {m4, 46d0be06680936d761777c657e062f0f}
d: {d, 8d9006deb667c5755d47389f344b2ace}
n2: {n2, d2b54e847596dd62edd8d56484146c95}
ya: {ya, 882f28fef2bec85b21dd92e550c39dda}
v0: {v0, 67f2c6be6a92ad04e210435773d93a9e}
org/slf4j: {org/slf4j, acf7ef943fdeb3cbfed8dd0d8f584731}
g3: {g3, 0f67d050cd66e6d472e04a8ade2110cc}
r4: {r4, 82014dd9d8e9a4e3f8b1a829ac9ee121}
b8: {b8, be2c45daf136b9b61c49f77780053fff}
o5: {o5, ab6e7583b29c3db03bb3506ea034aa88}
h5: {h5, 00d0eca630d5812195b7396311701365}
c2: {c2, d33cf0abbdaa5a3eaeb021a1c7ea18ef}
androidx/core/app: {androidx/core/app, ce84b6a9787c9e0e8c1c6ba8fe27bc1c}
t5: {t5, 473c7fd7d5da4a4b4749c6764fa42b17}
u1: {u1, 6035ea7edd64177cad4727fc14d7b4d5}
hb: {hb, 642a5eb32c940cea0799b3aa16a99bf6}
la: {la, f0b53b7f13609a0477c300e42c0d2982}
b1: {b1, 35675bd706a263776354fcdcd38bb4d0}
q0: {q0, 8858d926f4cc03b8f5f06ecd4c657fa5}
fb: {fb, 6bfd23360720b2dca7e0e7ad8bbdd34f}
c5: {c5, a52fd86eede98336817c57472c8f099d}
androidx/profileinstaller: {androidx/profileinstaller, e9169948fd22ef7effbad3f4f755330a}
ka: {ka, 68e32cf889fde5c44803c5f56fa16e75}
v: {v, da81e0cd0b91640731e9c6a93b9e2dcf}
androidx/appcompat/app: {androidx/appcompat/app, 6519b5238011f7fda9c993812c6cafa8}
va: {va, 3569e16c66a5a75e6a2e4f5fdef8535f}
p7: {p7, 89c59e3a2fb65a7618b7645aefc297ce}
o: {o, 073e3c1fdd3174c8978d8582c6b45b46}
z3: {z3, 3bd6bae64c0892b145d0fef78798bcc3}
za: {za, 384ebe872aa25edd6863f4e23eaab649}
s5: {s5, 77854ad5b9471bb82e46018c1fd99164}
q7: {q7, acf7ef943fdeb3cbfed8dd0d8f584731}
d5: {d5, 8dd19c307b7fd1a9cc15d3d885300eea}
e1: {e1, cfacfe1f71be6c43947a7255991edc82}
y2: {y2, 54f22a65c9ba6d829bfc010f9f5849e3}
ja: {ja, 09d69abfca511c6bca042864aaae923f}
z8: {z8, 2bd1628d5f3b5d47adc25674246dea43}
n7: {n7, ee234fa3163f0f2327ab26ea49c041bc}
a0: {a0, 09cc5e65a36715754486b14124370172}
k7: {k7, a5ce8efdd750debc917a7d30fcba8b14}
p8: {p8, a16250db04d00bf23484da157f923c94}
j7: {j7, c6dffef56c8ca1b70e373fb0a8dd172b}
a7: {a7, 72c6969100e098442ea407f0354f2b84}
r8: {r8, a21dd2d3ef1a296651b34e1265c145c6}
x5: {x5, a9912c37569104342fd611bc94a56e33}
s2: {s2, 8e9cc4676c114939367f429d9fb8c4aa}
androidx/work: {androidx/work, bf4a6c9602ce1313c9f080850eaeddf1}
g7: {g7, 791bdb17375082e41f21c8b589cae201}
l0: {l0, 421a205fe5aaea8bb41c5b856ea9fd79}
h1: {h1, 0634e5164b5982b00f5223c3fa5e55c7}
androidx/emoji2/text: {androidx/emoji2/text, 542dd9699021b2a489ba6c7d8f6e4a23}
i5: {i5, 06ebca3c3f345ba514062cb91f1e50f6}
ob: {ob, 6bddfc37f0aad1016c5649816ec32ff3}
l7: {l7, a38daa808780052518fed4749d1c9b78}
w9: {w9, f02c98961c7e83b65805899c8a5e6899}
m7: {m7, 096b86f63b7a12994a10d8d017a69c41}
t9: {t9, 47f4a615e63cada7d22a616545609b36}
androidx/recyclerview/widget: {androidx/recyclerview/widget, e479b3c850f4a28f840268e51d36414f}
u5: {u5, a33779e13e3f9308a3d22daf69467794}
h8: {h8, 719f8eedee3b1d305b6ef15f543a4032}
androidx/core/widget: {androidx/core/widget, aa783b0a70685ab0b9b82753363a7c2d}
c1: {c1, 21bf4cfd70c1c22a9b9fb2173e3c5c3c}
eb: {eb, eb0e3daed02a750ccb6f01345566b40a}
ra: {ra, 7886dfa2f666167ad7b9d00fdda3d29b}
o0: {o0, 3544da1141e0a2bf0f526bc8e6844e07}
b5: {b5, a94f37b6cb8ae03ff75d4b0aec5a1d03}
o9: {o9, d9b60710f50923ddd27ba7b908341f42}
t2: {t2, 80aa2559df9903c873b8c4db77c899c3}
r1: {r1, 67cd4c134db0140962047b2168606150}
y: {y, 68569dbc0dea4690af0b26ec1ccfd0f0}
k: {k, c2e2a0f7aebf662722086d1a5a545f84}
p3: {p3, 54e45da2b2fe6bf208d135a0bb879092}
e5: {e5, 9f3605857a5c70cfa9fdffa09588b05e}
b2: {b2, 1834a3693a2293160ddca53c45ae7165}
q3: {q3, 7ea8f250152b5b35841abb0fa754cdbc}
r: {r, d0ea78ea86c2646590c55fbc8b7ad070}
qa: {qa, 2fef250698187d9d5aae771991e0bb0e}
f5: {f5, 737575c6c2e42898268a20bd1d32f75c}
g9: {g9, 463687694a0bca6e524c4b832ed88c39}
n5: {n5, 3e7b00e8cbff081460404a317917c7a1}
v8: {v8, f0f3c0fd0dc6b801c65a30ec08b90f0b}
androidx/room: {androidx/room, 069cdb710880d9bf5d0584e1f0bc49a5}
w2: {w2, eb3bbc5f4c6b09cfe7e51f7f998b8e39}
aa: {aa, ecbc522a695d932cc1304da85e617eb0}
z7: {z7, cdc1df7483e19ac5b39a6c99463a617b}
k3: {k3, 23de0ad1e0616ad145b9ec48a58f3a90}
l: {l, 620ad111cbd96e6774c1909cbc52d957}
d2: {d2, 11e36db13f9feef14e0a0d3ce4fa8d63}
x1: {x1, 6bc808400c30439b9cd7a169e705188e}
y5: {y5, 3561557f9d1882a03f8814f95faf47ed}
m2: {m2, ed913c2e79fcf7f038a3f6b6419c7177}
j9: {j9, d35593a16c38cc32cc23bfae74fb32ae}
android/app: {android/app, de1c2b92945417ecd988923d07abfa41}
n8: {n8, 9390d236d8e6297271166f0a4c9d59d2}
a3: {a3, 2d68834738dd385267a8d73c16704490}
j0: {j0, 6c69f9543e8cbc43a10641180ed8c438}
n3: {n3, 74daaa693dc3f431adc64d414b0402e2}
e: {e, 5207f40e16f7396e933b307347432d78}
jb: {jb, d4418fff2e48e7cdfe239ba234badec6}
u9: {u9, 782e38596337a8f2e09f3922411087f4}
pa: {pa, 52e80cc2fd9a09ccc05a44c9feb8dfb7}
v1: {v1, bb39d34350dc380ae7d76502bbe67344}
m9: {m9, cf4c1116274fdefd571910ac2933d3d7}
r5: {r5, f845119323ef09a030e75f75bf00cb4f}
nl/adaptivity/xmlutil: {nl/adaptivity/xmlutil, 0b155375278bf162d481c0921256d751}
f8: {f8, 961fe93e698c2112a8aa1e52d6839bdc}
androidx/appcompat/widget: {androidx/appcompat/widget, 294b89d0988a2cfa94ee45df7ff8379c}
g2: {g2, e9192d3d08201cc9787e61ac386afd62}
h6: {h6, 06a19e46201df5aa4cded0034dd50817}
com/google/protobuf: {com/google/protobuf, 73df8762fccab6c57d95b6c3e79b423c}
u0: {u0, 7eaf3c7f1be1104fc1bae2bc17aa6d49}
pb: {pb, 9466d61642f104ae48781a6e86a415ce}
i1: {i1, 18acdcd780f47c43d94216054681ecb5}
oa: {oa, fddc5c154e8435d9004a07adb9002f4b}
l4: {l4, 998b13535d9bc6b9620b2fac7ed62fee}
s1: {s1, ba05ed21dd4a21837019f87cf7245e76}
t6: {t6, dc9fb57ab60ab957b377f4ec9a06098f}
e9: {e9, acc28c575cdd713284e98a6195d6fa1b}
b6: {b6, d289cc29375dae71013de76dc13d82b3}
c4: {c4, 0f8f7c7a078d759b24b09d6263e42100}
f1: {f1, bc2edd133e1cf78cda160272fe2eec66}
w: {w, c38d94692457e4cd2b7fc9c693c37458}
p9: {p9, 4911bf03c68bd339a4d6b7617aff924f}
b9: {b9, 33f02fba05506d371c55aeae7e7e0d1d}
r2: {r2, f12d6be7f9d7ebe62ad6265c7a612e46}
w6: {w6, 07bfebda4faafc15caeb3218481c74db}
h: {h, 3982c9b3902d5784048186feac5faec3}
d6: {d6, 480934ecde1f0b7c39f889f0c076d0a2}
p0: {p0, fa3092ecf468587e5468642f6b272eb5}
z0: {z0, ddd1a56f98367ffe4a7c238e8df11ff1}
q6: {q6, 75075c0f3d9bb672cc50352651e1ee19}
e0: {e0, 30ae823a3597a58882a11599cbdcb52d}
f6: {f6, 5c058e97e2e10d828d11c3c20499833a}
z9: {z9, 89dfd9bb4b99776656ca5d145ea173a7}
k9: {k9, 5f08eba001d7a4e86a80188bac9023b1}
y1: {y1, 5838f3c515a7bd48e164eb2b3fc84521}
a: {a, 2abc54b7440adbc4d1379517c74842c6}
ib: {ib, ad340e779b851c764071f390c6d0fc07}
j4: {j4, 4f9aeb6e0f0f6bf8d2e58e357f8d7085}
w1: {w1, 299b3d43c7a439313196301d0ad1ec6d}
k6: {k6, bfaa77d77b63a8b76b551a826ddd12c9}
