androidx/appcompat: {androidx/appcompat, 8da351a5022db36fe78bbd6cf37715b9}
M: {M, 04b7871532158773e7618cbc8e00abcd}
androidx/loader: {androidx/loader, 052eb8ef9c59a1dd1d56a1ca5ccd820c}
a2: {a2, ac2d605217c0f88c2aff2d64f9d4be1a}
n0: {n0, 71a45a1e94432433719e4493ef1cc9cd}
B3: {B3, ef517aa35a9100207dc956f2521efe6f}
f: {f, 12771ec8cfa49cbeff8461aec4de5d45}
E4: {E4, 2104b9369e87d6d90c6b2a828b330433}
app/cash/sqldelight: {app/cash/sqldelight, 2c5d273c2b0c6386c390dbb6117fdcb9}
j1: {j1, 9f4673459a47aa457fc2ca82837ab8d2}
T: {T, 7ad21d408d6983fb8293a0968cac5fbb}
N0: {N0, c02bcd983d2cc0fb3cd6a90ea77593d4}
F: {F, 9a162a45990c0c07d7e409b214680c26}
androidx/legacy/content: {androidx/legacy/content, 63006038118614eb3131bc2f972f4b35}
i0: {i0, 9fff0e7ab184c71964b32fcf64cfcb6d}
s0: {s0, 27ddc74ab59a01ee9cd07c10bf8a68e0}
retrofit2: {retrofit2, da994a1ab7f3766647684f0951df00ab}
p: {p, dcc92875369b46606d374f96125e0897}
J4: {J4, 2ef58114e0ef19a1dcd122e813f62d8e}
S0: {S0, 8b75c410ca4dbfb7c84ae2e1aed29c03}
kotlin/coroutines: {kotlin/coroutines, a42ace35beb2389d56aa7d76c5ae3bc6}
t0: {t0, a6296773e4be1481278fbf8ca4dee6d4}
P0: {P0, 4155ae2f6cf99dcbb8d97423e3d1ed36}
M1: {M1, 8c25a427108632a02996b6f9b8415cf7}
r3: {r3, 573966cdd0ff3afaed5c4613c95fa27b}
X2: {X2, 294668543e2a4e2fbeb2c0ad41a3540a}
A2: {A2, 52451fd21461d849426acf36a0713ec5}
V2: {V2, 0ea1767eda9c3fa7a4c120d3daec891d}
i: {i, 07506973eb32edfd758e323278ceadd4}
p1: {p1, 914a93127e038ab80a5cb589f481a02f}
okhttp3/tls/internal: {okhttp3/tls/internal, e67339d36b701d79f110570992da8f30}
R3: {R3, 933e28649b7552a74790361be6be11e9}
T3: {T3, 34df70c967ba85c46e2243e5d9916f86}
H2: {H2, e3c0a425ec2c47b67599a8ff5554c565}
U3: {U3, 60a7a73c3ffef079c34db0927b820009}
y0: {y0, 79dd01680d0604c195886b2e34fab67e}
com/google/android: {com/google/android, 7cd2a53661fcf289dbcc51c95c61f90f}
P: {P, 63df4029c92f93b22dfb3356876792ad}
I4: {I4, 5ee399a6a965481b5c610c726bd3dffc}
d0: {d0, 345b170619865d06b3b10b27b7ee0744}
androidx/cardview: {androidx/cardview, f7b0237e6cb4ad82496621ac9dd6d88e}
b: {b, c4ded9a93e47b6c671ca766be0d9d580}
k1: {k1, f98c366334692467e746b8feb17bf162}
Z1: {Z1, dc09a783a62e8b17634505dfa52b2cfc}
l2: {l2, 3a2e1c426ec6d30203185cef1998f903}
D0: {D0, 2b7eb41ba86ea86b3a90429bd36f7020}
B: {B, 47c0a4f14fc05e63ecd3e1b0c440ced5}
androidx/savedstate: {androidx/savedstate, 542dd9699021b2a489ba6c7d8f6e4a23}
j2: {j2, 88e6223443b9044e51557e04e49e6bd8}
I: {I, 6e790902a80d151f9d734cb951f6e671}
james/adaptiveicon: {james/adaptiveicon, ec20f3d7e2df741c663ed4b7b4eb05e3}
F3: {F3, 11d27447c111f374d44709e195c75afa}
O3: {O3, ee888384aee10556ac7317f8d8e6c408}
g0: {g0, 58419caebdb2d4ed216d19d566a22f60}
o2: {o2, 02f53d5edca422074741f1fedaff0153}
androidx/lifecycle: {androidx/lifecycle, 0d276e39ee99595747e9b7b2d0fe2ce1}
K2: {K2, cf8ac2c8fb0e51faa57471a3cbf63fc2}
c3: {c3, d6622dc583c0aeb69a1fdf431ad884bd}
h4: {h4, aa779ded31bb590db3b20d48a2a8eec4}
t4: {t4, 4ce528d97c9405e086d9ef78eff99a8f}
u2: {u2, dffcc5c67a644d093cb8bb613672b128}
Q2: {Q2, c218776cb667b87aed4921dc0688ba04}
h3: {h3, 85084ee0a06c13d539c8b8b54a07dd27}
kotlinx/serialization: {kotlinx/serialization, e5173bbac85f12f34f728c99e643b057}
androidx/transition: {androidx/transition, f14db2a84ff12b4fad716ca3f44d532f}
Y0: {Y0, 01c8f82bcd7ec39c9a4a6292df4fef08}
q1: {q1, bc0fdfb3076de6d60a160fadfc47bbe3}
androidx/compose/ui: {androidx/compose/ui, f2e9eb70c38c3391e9d65a384487e78c}
b0: {b0, ea2e48258cc433b2b2749badff3ddc14}
d1: {d1, eebcca3726f64c5547b825e31b9d8e01}
c: {c, 1eb71f6c92835c22b8b953f123423c4f}
J1: {J1, ce8dc64e615ea70399eb80ae40655245}
androidx/viewpager2: {androidx/viewpager2, 7e7cea47a3b05c4340587af9fd22d5b2}
androidx/recyclerview: {androidx/recyclerview, 1e2dc2ddc18abd515bba7de7a57990c6}
f3: {f3, 716b8d2724f5dc375b0a2ad62015fda8}
L2: {L2, d4a70b9f6a81f63639954dfd8921fcf7}
w4: {w4, 0a4b2dee11bd5c8174fbb2b795c27ec7}
I0: {I0, 190dec0eb86f4a3fce98d19f22e7dfa2}
z2: {z2, 0d241620d8e5f155dc4de35ef88342df}
androidx/compose/material3: {androidx/compose/material3, 9fb1db0aa98edaea43f5c9201b815543}
G0: {G0, b9c3f298641b207d1c0ae6e288e450cc}
n: {n, d33fadd430aa2e19d815c89432f6e244}
d4: {d4, 2d0e99430f763bef4b06092349e06795}
e2: {e2, 493d75f3ac00e9046b417ff45d5435ce}
C3: {C3, 3d19b2734b0cef158cfba2d9db2fc249}
y3: {y3, c21bab71a05d6cf7fe79b3248eb120ab}
a1: {a1, 5dcd6e1bed6f493392c252aea729b697}
N: {N, 2c7905273f5394b441e2a6453e8d3cb7}
D4: {D4, 048c9f71b009aececef9270bfa356a4d}
E2: {E2, b74cd28c6f61b58d4671db3eae30b943}
x3: {x3, 924d3db31c56e3576265bb9365852496}
k4: {k4, dd0849d8b6822ed59fd4762543808d64}
g: {g, ef0993a08a1ddb132c0d7436ad9b42b4}
n1: {n1, 9b179bf370f53ba3655b46d57df6d03c}
com/patrykandpatrick/vico: {com/patrykandpatrick/vico, b2ccbd408c198588c05b442fbb3ce88d}
B0: {B0, f36d02b4210ff1500e5eec676ac674e3}
U: {U, 8f2eeac4ccea18af7838935f8a1a5863}
G: {G, fca3b3d001be189dc2814089d9330215}
okhttp3/internal/publicsuffix: {okhttp3/internal/publicsuffix, 23a14a5eae1b60794de1c5ad4e6861bc}
s3: {s3, a960195aefa3672412e169db26297dd4}
x4: {x4, 8f593600c3030ea5055926717a61618c}
h0: {h0, b1b6335825b2374e4361f4f6ac7d67e1}
g4: {g4, 5ae3238823c6a62a912412cc76277cbb}
com/mikepenz/aboutlibraries: {com/mikepenz/aboutlibraries, 8c00b798cf9d12d6822a7c59405e5722}
androidx/autofill: {androidx/autofill, 052eb8ef9c59a1dd1d56a1ca5ccd820c}
m0: {m0, cc6fde892f4a3cb2f22d01ef7b25be99}
v4: {v4, fbb774626c006af32191d2d4abce7c92}
Z2: {Z2, b58ac6c1eaa9f19fee922b61903e5e89}
breezyweather/data: {breezyweather/data, e54137582e009fe9076671aad241533a}
M0: {M0, 319aa9d7e9f92891ad54289d32195a9d}
kotlinx/collections/immutable: {kotlinx/collections/immutable, a502fb65f0cf3ee9a3d4aad6f5333f96}
W0: {W0, ab16176da1bebc775ad71839a11b5fa6}
q: {q, 40027ae781768d101c0cc0064bc0056c}
b4: {b4, 6d4603e65a268b20bf9799437e9ab699}
o1: {o1, 8e258cbbc2969807274e3b470ae0d9d0}
K1: {K1, 2241201d73754573ee837a68732b7f4f}
m4: {m4, c112bafaa0f63b91e0ec115e4f85f388}
Y3: {Y3, 74b0a18a8ca2314fe43382b5430908bd}
t1: {t1, 6a25208bbf0db41dbf2fc9ff37bab8d7}
A1: {A1, 846fe03a78933ff68d431602f18c5a43}
androidx/customview: {androidx/customview, 13189d3443ecdc2a70045408c835192c}
x: {x, fa266a0a42ce62e6573f221a073662ac}
r0: {r0, 12203d81a54d9b0f0014605140f5c1da}
X3: {X3, 8cb517208aea5341a52737fd401cad9f}
p2: {p2, 838bbb3c3d4d5593bc9abd801366acb7}
J2: {J2, 1e2f61454c5e4e31dcd2ff15e6da24e0}
V3: {V3, 8d78c1f3941f31f82f8fb38de915cc96}
j: {j, d5381f4d80223f0751d1eb81523701e5}
q4: {q4, 8dc54928389091832966f3ec2bfbbafa}
androidx/compose/foundation: {androidx/compose/foundation, c8c543c7598568155044dbfeffebfd8d}
X: {X, 2a74352c557b414a7e2982f0226ca8d8}
R0: {R0, e8c92f9cbb40e892a22e946ac10f03fa}
L1: {L1, 25b3321d472e3af9c7957ea6fa3e843f}
S3: {S3, e2df971db01e18cbb72b61bbb1d1a8ab}
androidx/compose/runtime: {androidx/compose/runtime, 61be23c6099491b748618de13124d106}
G4: {G4, 907475feef0ab7fa1cd750a3bc58c144}
f4: {f4, a4cdf716d179c24c134a5d1cbf48a736}
androidx/activity: {androidx/activity, 9110ed367daeba53a2ce132baa04210f}
U2: {U2, 841f8fce91d10dc6946ca27c18816fb1}
H3: {H3, 4f6ac2c523c96026e97fc28080f14901}
F4: {F4, 5c15d0f8f8a6cc28435c05d48d13720b}
androidx/startup: {androidx/startup, 424ddbd79de06e85c54415c2951a0d51}
Q: {Q, 084b47304a4613c7a901e37ebf82ad1e}
w3: {w3, 93073c2ec7eedd7c162821e45e474ff5}
I3: {I3, 610af0b2712cdd099b6245781f676460}
org/breezyweather: {org/breezyweather, f6d94dc242649fbeb1f49ad0a3e11d9f}
B4: {B4, 71d31175a354f911a38e228ab763f135}
k0: {k0, 388efbb35c84cec52cc0af5c91400b86}
io/github/giangpham96: {io/github/giangpham96, 72ac5b6008906c7f05eb2318f6032fc8}
x0: {x0, 19585f0be61d3f43a72195b136ad6a24}
m3: {m3, ef2e0816cacac814e9e2fc9d1cce5420}
i2: {i2, 13a66414e47f314e7eadea551855f1cd}
D1: {D1, d168a8fce4950c06fca90ec91760eb89}
C: {C, 007c1b577e2fb762aebf9514df3e6b1e}
a4: {a4, afa372219c4e0619d43fb0a4e9a98ca8}
androidx/compose/animation: {androidx/compose/animation, b503d313f78602b27c84dacfa4cf6bfc}
j3: {j3, 7171f34de57e8bc604c2c457d9ce17f2}
J: {J, ff098803f1a021e974b394e97b4b84d4}
okhttp3: {okhttp3, 3f89334311696e0d7836af1c78e5f200}
d: {d, c1c0471b606c113baab9db2981fd3b61}
O2: {O2, dd4b12963e95aa57ab045a91fb7949ab}
I1: {I1, 111251e0166daa825cd5233e0d390e9d}
v0: {v0, fcb8959e057f17601922dfe77dec7004}
H4: {H4, 552d29ba218fa2816592d89ac07da28b}
g3: {g3, e2f17fe10f656b50bb6c5484dea4b933}
M4: {M4, ed8e7f8f31616afea24292475f4f7a19}
r4: {r4, 32e6d01704af6afacd4147ed1e87a8b2}
D: {D, 1873dcd1dba14ad2a24fa588eb240427}
N2: {N2, ea9b13cab72f63c659aee7b685945de9}
c2: {c2, 6eaa9935e49df6464e2a8752d72c5d29}
Q1: {Q1, 65de0d3c9c4f7afe42c82fc6a3aad8eb}
l3: {l3, 4c201ba08ecd9eebf5460e30c942bf67}
u1: {u1, 4521b38ef46bf8c854c269094b78cf05}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 1ab13f975165d4ffcb2594cbe73396ad}
K4: {K4, d3dbe8112bb57178a22bf67a440d709b}
b1: {b1, 55b7b39d16763771f330188b3ceafe5d}
q0: {q0, 7b20aba7a3b2057bb55cb2f85a6e73a9}
f0: {f0, afd6dfbbe87a05ea2051a35e15087230}
L3: {L3, def6fe16e8a3e80e2eb4b990d5a68e4c}
androidx/profileinstaller: {androidx/profileinstaller, 9448677b76f3dfc5fd8677bc03cc8c08}
v: {v, 5bbd1bbd59f5ae7ada6ffc11bb7b0ea0}
w0: {w0, fc3059cac73c6a43981bb71254d73fcc}
N1: {N1, bfd27886ba470de5f1af89fe2d8c74d3}
X0: {X0, 7336eee81f0f19cc5e8a7a698442a631}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 8ed03ff812015955c69a68c23242fb45}
M3: {M3, ae175b838cf963569c744a0b54adbd0b}
A4: {A4, e2625924dbcc036a31122729be8c8d8e}
androidx/viewpager: {androidx/viewpager, 052eb8ef9c59a1dd1d56a1ca5ccd820c}
z3: {z3, 26d9d1e8514a934a03a172eaa8a38c03}
G3: {G3, 7090a6084ad58888db6e9d6a31557f43}
org/chickenhook/restrictionbypass: {org/chickenhook/restrictionbypass, 0d5832f745ad74e05cd1008dca2ef80c}
e1: {e1, bcecf72a3057d1ba94d3e61fc554cea8}
kotlin/collections: {kotlin/collections, 7a50533ecf335a4f5d0fee4deb6b451b}
y2: {y2, 5d6cc65b3bba419b7bfc6367efad107d}
T1: {T1, c7d67b969ea141a9e848fe20951dd68a}
a0: {a0, ecbe96f7df090ea5ed08215313a0acb2}
okhttp3/internal/connection: {okhttp3/internal/connection, b465315e2f3bd97ab4391933a7beb1db}
E1: {E1, 0f9608976742d0439c8db845bdfe3385}
F0: {F0, 15807939c8285a33227abbbbe9918567}
H0: {H0, fd367a9e129eefc9a829589e89a9a282}
V: {V, c1f7ffaa59c614ad2ec5c10da3ab6db9}
androidx/legacy/coreutils: {androidx/legacy/coreutils, 052eb8ef9c59a1dd1d56a1ca5ccd820c}
s2: {s2, fa200a700ea32edf7091bdc5a6f529df}
androidx/work: {androidx/work, 7e8acad4c8e03cd578a29c6e461f18da}
l0: {l0, 2d9a136a48fd0a83daa6b71344097be5}
h1: {h1, d630a487918b0908c2a2503b005ba0e2}
androidx/emoji2/text: {androidx/emoji2/text, fd4508da40183b9ed844b95604045b06}
io/reactivex/rxjava3: {io/reactivex/rxjava3, 7630d0167551c5d1da4c2345dd16d484}
O: {O, 385397e9ac5cbb43b66e04f8df5eebd2}
Z3: {Z3, 8084965bb36d4446876f4ee01c5295be}
O1: {O1, c6909221d32810cead386279a879adbe}
c1: {c1, 55cbd2cdf17b9dff4fab6f83cb6b2da2}
androidx/preference: {androidx/preference, eaf4f76887e4b9ca1e1fb39a50a88c42}
W3: {W3, 8c69a96904b2b8a7faefd79fed012e6c}
o0: {o0, 62171a5610d6c3f7b65a5b23dcd5b89e}
K0: {K0, 259c28392146f1a1b93bf590bd1ff228}
P2: {P2, 4cf58f716f5fff00b65e840382aa2d52}
Y2: {Y2, ff5b3a4af3f49291b70706afb3b5c89f}
t2: {t2, c41ab740f4749ee8c166900556901377}
r1: {r1, 492dabd0b1e2cffa2e7a7534959f65dc}
A0: {A0, bd9573243b465059cf00808ff313a4a8}
androidx/window: {androidx/window, 4a9431914b35cc4491c9d4102d89a29d}
y: {y, 5e95275ca654c22332b71e30597a79b9}
J3: {J3, 1875693bb2ccb1c6f9710a169de67c71}
k: {k, 675155ed9a9cae9d7b1301bf3b74e4d2}
p3: {p3, 60fa2ead3107e49a7f13d08d74da0b47}
b2: {b2, 50ff538b50a0b6d9b2a28a0e49ebeca9}
q3: {q3, 03f90811b7aa50a5099a1999185bf861}
R1: {R1, a0f210b7771af9b96f4489c28495f9a7}
V0: {V0, f6821206b0d98d4825798444888a15ab}
Y: {Y, 8e7f38d22e09e7309a1b965ba46a6b36}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 542ba8e4bdaba098bbd42c3e93c1efe1}
kotlinx/coroutines: {kotlinx/coroutines, ac77fa49d9464c247f617a2ace82c48f}
S2: {S2, d72450050648929845e4193ee33f2d7a}
L0: {L0, 9488c69956323b0f701729ee50014138}
androidx/room: {androidx/room, bd27a314f67627077fa96cf930e2becb}
w2: {w2, 271addbf16f01d93ccbc3fb2faf570c7}
U1: {U1, e5b59fc382dae1ab146fcf3658040251}
R: {R, eb6f0c4333c3b6a04b50371201b27694}
r: {r, 90757300be8a36b3fa7c80470ebf0810}
E3: {E3, ee51e743223e868f1578937183c00460}
C1: {C1, 444bd94cde6099624590913608cbec22}
androidx/core: {androidx/core, de8e931da58cb75489f808764b3882fd}
k3: {k3, d5af282a18f144382bfcc4d29952220b}
p4: {p4, e650d599906db3032f2880b33fcdc85a}
I2: {I2, acf7ef943fdeb3cbfed8dd0d8f584731}
d2: {d2, bf1f34b26b86dd3d4b6d6efdf6279e16}
m2: {m2, 423fb893dcc759d2c8d04626c5bd296a}
L: {L, 0dd15a700072e7793d298fe90e47a01c}
android/app: {android/app, e079f4fb8febf5b63effbb6583d13a90}
io/requery/android: {io/requery/android, 03c712519c8f733eaabea14fb29d6e50}
a3: {a3, 99988af0d70ce2b62d59e0d0917393eb}
K: {K, 348862f749931905204aaecebf3f032e}
j0: {j0, 2ad91b3c72e12abed243335aaa4332a5}
B2: {B2, 3fe32c85941f278c8e488cd68abf2b8c}
n3: {n3, 06f22396781a470068212b9203842ae6}
androidx/dynamicanimation: {androidx/dynamicanimation, 052eb8ef9c59a1dd1d56a1ca5ccd820c}
v1: {v1, 36613f4f92566f9db26da3498a201aa1}
N3: {N3, 44c065bb8be6cc44c80aa4f2eb804a15}
E: {E, 2e10dd96dd0142e03ce6c54c658350f9}
o4: {o4, 36104b508b883018ddaeb327ff48d3d1}
g2: {g2, f9847a1c69c2cf366d4f80ced3bc9a44}
u0: {u0, 516a05833091fd7ff346188d72cfa298}
Q0: {Q0, f15766baa42a681409f1a8515ce1f6ed}
i1: {i1, 65f81047b53e5e8c5c1b412269758a89}
l4: {l4, 38a4a7d1b01d9aeebfc5e5890d1e45c7}
s1: {s1, ea4a0bfc6d593d9b623fe2ef776fd5ed}
androidx/drawerlayout: {androidx/drawerlayout, 82b9bb87134137af5b596c37f195e61b}
c4: {c4, dea32b9f8f0449e4bfe2b62f5b801073}
androidx/compose/material: {androidx/compose/material, 857d26dfeb2df84c8f334816105c20ea}
f1: {f1, bf53cdbc22a40026562ff32f350c3412}
L4: {L4, bc50f21d750dfcc2a17faff173e3d513}
w: {w, 53c0923d1db632abd44a3078f50bc9bd}
S1: {S1, ffa9b24070920c7d9fc505ec814f7ce7}
X1: {X1, aafaeab5782fba7eca406871b5cc9900}
M2: {M2, 2708ca96b4adf6f7b73d7e158d1a3048}
r2: {r2, 3d03dcca5f8320ab7be6b6304861a90a}
A3: {A3, 6cc371b5d7b2b09256f0986fceaaeb37}
h: {h, 067a2b781c8890cd4da555089dccc908}
p0: {p0, 815b969c70ae3e3eef384a1a4bf89fa9}
z0: {z0, 25e0f5b4b9eee16e650990f66a9536b9}
androidx/fragment: {androidx/fragment, 22c026f2502615e082d90890959b3562}
R2: {R2, e2ad8cab1014403b52b54d3ceec6d1d2}
e0: {e0, 0f0f0e85a50961f62312ae0f6b872321}
G2: {G2, 80d98aa37479159afe6701bb45131ea0}
T2: {T2, 143737ccc8f7e215f3936eb13366ec9a}
E0: {E0, cde0e77805b39c431891e5f5bdf12ee6}
kotlin/text: {kotlin/text, 66b1190aaef9aa0852259393b6a763b3}
n4: {n4, fcc7c2ca8ddee3c7b802fefb84f84874}
y1: {y1, ade5e14966e53b1ac88a02b4296cc05c}
a: {a, b38916cff3909d70047d3febf15fdb35}
C4: {C4, 2ea23f87e07eb0aa3a4602ac18373685}
F1: {F1, 90de24d1b828ae9d94576a7b2565cd5e}
j4: {j4, cb27a1a24557eafc52d523532db3a40f}
w1: {w1, bde3ca17992b1fe74bea8b3d05b03321}
H1: {H1, 7af1258710a8f8f49c964c481be86d47}
W: {W, 19b9f3d4737f9079296fd73d4a6e05cb}
