a6: {a6, 29e722685046e3ba25086f2a06203847}
jc: {jc, 0fbe0b8639080c532f45191ccca289e7}
pb: {pb, e4b9f140bbdf3234e00ab0366666a3aa}
j1: {j1, 115adb5eef0e5157c0a2fe8f3c542b5a}
sf: {sf, f49ebcaa38f0e191da0c319d17eff8ed}
a9: {a9, 881910367de48bf9a9e47187ad2cd39d}
h7: {h7, acf7ef943fdeb3cbfed8dd0d8f584731}
f9: {f9, 5e64f21e656b1066af80e11db6ad6e86}
ee: {ee, b0d37fae0b0db016cd2b6b7e2949fed1}
i7: {i7, 9ca4c42c797e1e07739259a2765a832b}
nb: {nb, 5a7a881115cc2c85fffe0a3956be0509}
u7: {u7, 7821f236a3e57adc6d9d6be64aa3a744}
v7: {v7, d5e75fcc9346f474d41cea4149243064}
ue: {ue, 48dae21dd97d128579bceaf43a4f38c3}
l5: {l5, ee74c88b8288e00e741e6a6b463e44ed}
i0: {i0, af41a65d569ea36307469ee25b06e961}
s0: {s0, 50548b738d07832a3ae6b0da26fa392e}
xe: {xe, f88e91ce08c2a1f6528b5afe2b0ac3f4}
t7: {t7, e5363c7aa33c0f29620f2f70bfc9e741}
kc: {kc, e647d61d3f743a1c27f6fa3d78b796ec}
b7: {b7, 07752ec5dc9f7ef575370ff929ec1d54}
n3: {n3, 8c283ab7437f6200a683dca66ec214dd}
c7: {c7, 1778f8f6b0cc429456090cbeff3d3852}
p: {p, 3b48809ebb86aa1bc9cb307bef40a041}
nf: {nf, 63f00a6bdec2336a27643f0e28bf08b7}
te: {te, 4cfc24125e512cd019381cb8bccd3efe}
androidx/appcompat/widget: {androidx/appcompat/widget, c9ad00d271d413111afe4885169606fb}
e8: {e8, b72eb27c46371b488c2a3cf849ed941b}
e: {e, 9373d3b531705e99bf7d842ad52b0b87}
lc: {lc, 1c638b7921bbed552b32f72c4e090376}
he: {he, bc555e2afe9d388885696352cefbc3f5}
o7: {o7, 853a8a94c19c7edabb5fada48f7fe266}
t0: {t0, 5573de4636976ec6e30dd77dea032f09}
i8: {i8, b0ad0d943a621d9c4879717027c4028a}
ca: {ca, 7e7553ec23717407e32048ea2b26c910}
r3: {r3, 19ddd069dc89e3e0a6e39271520e11f4}
de: {de, ff4550bc0838226c643706f82d2c5d62}
o6: {o6, 248ff8e81b6352fd4af53812cbddb6b0}
i: {i, 2dd4f9ef10f7cf63c30476e173fa558a}
p1: {p1, 75dcf0a77b1f4c8e9168ebaae05fd8e7}
d7: {d7, 3f6a258fa8b23565bf4a98df47e86b89}
ic: {ic, 95017c8d22845dfd98f4343d2467ad4e}
com/google/gson: {com/google/gson, 05b90adbe365994e1045889d571919e1}
q5: {q5, a544f04e9a64e1a068b9e795487baf89}
e7: {e7, b796e08510bd441cef7867eb11957d4e}
f7: {f7, 672f3c088fcb2f89633aa52d1c636490}
qc: {qc, b018c20e2174257e52a9cff48b20fb7a}
androidx/activity: {androidx/activity, d2a22f5c4a0b32558d8ce3e460731a92}
k8: {k8, 029b48e93e53fdd9fa2fac42b5c6b406}
re: {re, 4f312421571f1e6598838bfe5e669f8e}
y9: {y9, ea6edb5568adb43c4e4d8e7d10e578b7}
com/google/android: {com/google/android, 750680f80dd2eb5e3a9e1259c3502151}
z1: {z1, 758d7fc3fb34d357a00cc398e5e07573}
ac: {ac, 6193c416600e92a50043dd617e023c0c}
w0: {w0, f22045fda5eb4219974cc018a5e754e1}
ba: {ba, bc3d5cc7853595a573d57a0a0a7a8753}
j5: {j5, da80de4346d4606b2fa7a0821695cc8f}
android/window: {android/window, e079f4fb8febf5b63effbb6583d13a90}
ia: {ia, e3494ee20a7e8a2753351a688b180627}
wb: {wb, 22ec5ff796632316b5670bb5f111182e}
d0: {d0, 82830bf079993bf4f6d0723550aa74b1}
b: {b, bf8b5e8382fb4d24651f950dc16e2b12}
k1: {k1, a77c6c39e444bf7326f6d21bc4462cda}
a5: {a5, 3fbb60ea52775062ed6758dcde58ea55}
y7: {y7, bfdbe5f2021576848de3580bef13d6be}
androidx/cardview/widget: {androidx/cardview/widget, ef416ccd427ff77a028730e3219b9477}
l2: {l2, 3ce1bfed9e691f44fde555e2d3ac0fa9}
i3: {i3, 488f2100dc16667826798cca8ac6b300}
sb: {sb, 3519d0c111036e6cca519d32c0189a87}
androidx/savedstate: {androidx/savedstate, 82a2c938d4567fc04b8c431ffd3eaaae}
m5: {m5, f1d964c56e853a737cfa73bb371fde3c}
j2: {j2, a70f804b74f70e9e54f6ede9ca735bc4}
od: {od, ca12c66600bf53ab793a1fd8d7392192}
gb: {gb, 0f8f7c7a078d759b24b09d6263e42100}
androidx/appcompat/view: {androidx/appcompat/view, f71dce900f08771f35c431371bd72c39}
xa: {xa, 40dd206940a9a2c3ab2e8b6f486c7b21}
vc: {vc, c7db0e13765253767501a9c1c628d0ab}
g0: {g0, 70677554732422f933a600a5d294a158}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, fe2e1937bbbd32e5200d20864371f3fe}
se: {se, b43002f3449813ab6907d27d7fce744b}
androidx/media3/ui: {androidx/media3/ui, 31f39df0c69c8a11f097142a3bead73c}
o2: {o2, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/lifecycle: {androidx/lifecycle, 396a327926987cd176541cbf230f49aa}
c3: {c3, ca570b9d1ac8925efcb5df126a62799c}
h4: {h4, 6131e9f10f0dff179960a0d9d3a2be8f}
g2: {g2, 47ba555440e4c16b4ac520ab630e20b0}
org/conscrypt: {org/conscrypt, b76184fbed5557cab6c4de64fa7ce956}
ha: {ha, 2d084ecd2e843c0958e31f94b0e30a9b}
t4: {t4, 4ba76891a13a3e144a78e55ac0900916}
u2: {u2, e44c2b1786c1232971ca262c60970687}
c8: {c8, c12d44c96a19110a34c4e7234e419761}
h3: {h3, 9ea2403e83b3be546abbeacb16f74416}
yb: {yb, f4f2fa5c0d00755563a9238d360ee2ae}
com/github/piasy: {com/github/piasy, 4a8dca8785d0da6ff8aaa80995c85ffe}
s7: {s7, 3cb422f46aac04a468902e2a12ad9290}
q1: {q1, cf4237e55a92908bfaabcb356288322c}
fe: {fe, 5a95fb8cc0af55109596353e39aa9108}
androidx/media: {androidx/media, e547f7254122e837ba229b0873b62250}
kf: {kf, 7121121f5fc10abc5f669f9ce56ca45e}
r6: {r6, aaed040ff3c95c588593261311067098}
b0: {b0, ae5f11f312c3fc4939b81bc70e75b3ea}
tb: {tb, 3ae4ab527e4af80aae1517237b8b12b2}
u: {u, 3fa0f883c88e1e3b2c3df08beb47c021}
f3: {f3, 77920cbb4557842a6fe073269e16dc03}
cd: {cd, 0a0f0d55c14d295c5f8d044eef6d675b}
v6: {v6, 56dc7fbd4fb943ee2024572daebce18c}
w4: {w4, 1e62c91e44d840b8122d328891614b3f}
db: {db, 6146162bfed6a92a7f4e3ef9777d83fe}
be: {be, 03f6c7e291b9f349b9765ff3e84ab4cb}
af: {af, ffe4cc2e7e523e568e88a479322ffce9}
z2: {z2, 190772a0da6c1677575d85beaf55e4f2}
z5: {z5, 9f5ecb1194dcd2b821d068f3c8ff8179}
y6: {y6, 23d94fdf5b85585380c9989a0530efad}
n: {n, c75039b4006800ba7f83576a0935a17d}
wf: {wf, c77d69b19d521001b1c61dbe14ca3cc4}
d4: {d4, 57a5bce1186dc994cbdf5b47caac72b4}
e2: {e2, 4c28f7776813f362a56bbd580296beb1}
q8: {q8, c26534317f6499259b2c72517af2ed24}
y3: {y3, 3d5223735f29bd7db1543f93b1aa29a0}
v5: {v5, 01fe621a59f7cef6b39d5fb9ad747360}
a1: {a1, def706bc78118dcbfadeb73ac388dfac}
ga: {ga, 0af19f4500bbdc9608317c52a000ec1a}
mf: {mf, c3b49585fe9e29d79e854e6ac7070116}
x3: {x3, d0cbab8046dd270eb3185a538d19aeb2}
k4: {k4, 66d04f4c5eba839ba8e6b945f551b475}
id: {id, 1d4c87793006374bb5f2e3d21dba60cf}
wa: {wa, 740d244a97d00219956b6a6b264bb251}
g: {g, 5fb9385373cf83564093b8d9c38a6387}
n1: {n1, 3e227947c06f77b69c432ab9165847d9}
androidx/emoji2/widget: {androidx/emoji2/widget, 9f1f3098912762018acc53b9ea2c4d25}
pc: {pc, 40df74f2cfd22270b4775495ff27db50}
bb: {bb, 8ed45463540aa47b51eb1e29f6ed3aca}
j6: {j6, 319e85852ea0128f7f3a9cfbd2bd56bb}
okhttp3/internal/publicsuffix: {okhttp3/internal/publicsuffix, 0cd7726bd65520d3ff6bc8f6e19a7889}
sa: {sa, a502e2bd6714bf2a28f6b277a783050e}
s3: {s3, d94eb1a1f401d70973cdb80c055e170f}
x4: {x4, aa4ba3bbb269b4f4d0d5647a3a8c0149}
a8: {a8, 1036952fbfc286f9c8c6c9df2db5b2f7}
h0: {h0, 6a2091454c437265b2b264a544ab790a}
i6: {i6, 3d1a486ba61bb5aa057e848db6e9c143}
uc: {uc, 03b8e96f55158af31d9698936aafcab6}
nc: {nc, 708adc0ac54c3bda834a8a3d71809546}
ed: {ed, 1df9b45f0b51404ba167914f5d404c4a}
e9: {e9, b07576e40fef2050d1aa4ab47c82051d}
pd: {pd, df1d20d8818ba3182ef4dd6d8d556008}
u6: {u6, 34bd820d918c878e8b30e1030e64ffae}
m0: {m0, 1eded16a06d7657ff119b55451c9f746}
rf: {rf, 907475feef0ab7fa1cd750a3bc58c144}
oc: {oc, 60ceba3b467dc00ae931f819ff4f87e3}
ud: {ud, e077f6bf987e780856fe54c25d9a879b}
t8: {t8, faeb715302812554e069ea690b3fc1e4}
c6: {c6, 4bed635148785f98039f01e8ed090e5b}
kb: {kb, 4bfdc1debb933f11e4682c93564d6c8a}
l8: {l8, 13fb1762c81b403807ac91de0344a945}
q: {q, b987ae7e6c2a36a6b48b68f5618720f4}
b4: {b4, ed1b43c44cc7f687089cd1fcffde2710}
vf: {vf, 93ff435ebf3f682f913e940375b7ea20}
fa: {fa, 435370fb3a32de2e09de4d01162a3ff5}
ld: {ld, 9b4a2ba88879a28af74bfab4683fe089}
t1: {t1, 69a9e903ffb82375acf05e7c1125c183}
hf: {hf, 9913127a6c64ead94386155bcdff3aa8}
va: {va, 6248f83b4aaf84bb5b7b49b6e95ff287}
n6: {n6, e6e26772223eac4b7300d35e45e8990f}
x: {x, d5d213db42305cfcdf029e7d5ae9f29c}
androidx/drawerlayout/widget: {androidx/drawerlayout/widget, afcb83ea70a520cd95acf50c441aa442}
r0: {r0, 0054acdc3666c771e23d9350a42e21de}
p2: {p2, e579cb4aa4596e4a3be34509ed0f3297}
d8: {d8, d881c0c6261a752bd3a8b47961f542d9}
j: {j, d940b7e69d452072a4ce8ad834beef20}
q4: {q4, 0807841b2a4c2fede534372427058232}
ff: {ff, eae05d06319bd00296bd3ba96a721c32}
zd: {zd, e6e4def9b8c902d0ac7a2c64f1c85d3e}
df: {df, 9c6c0b66d6c47154da14ad4cd741c190}
ge: {ge, a7b8c196d3b70977de53dd76bbf6013c}
com/uber/autodispose: {com/uber/autodispose, 3a1ec3b8da4a174ac3f1be9a0b119244}
tf: {tf, 53bce1921603d4e38e4adf5c4c004f57}
eb: {eb, 048d7f7aa0a704524f4ed740299680f7}
ke: {ke, bbf7a7864961e7bbae020642aa7c5bf8}
qb: {qb, 03700a69ce0444e00a352b7d3078e810}
f4: {f4, 76cf3a4002906dc18f29ea753c482a1f}
jd: {jd, d9b60710f50923ddd27ba7b908341f42}
y8: {y8, 6be5b07d9521bf6c372064b947b51303}
s8: {s8, 9c1cb399972998b42676f9d8fa6a11b3}
ab: {ab, 01e26acd3efe2214abd14c9375726236}
z6: {z6, f36805f6631a7604170b151d217a2512}
androidx/startup: {androidx/startup, 08c5775df7901f348750f14f4def3be5}
w3: {w3, a174ab7f1695a9bb8dc6d06e7cfe723e}
bf: {bf, da5e373af22a750167426b52a878a06b}
d1: {d1, ee1e4757c765a0c528d604ce28c92dc8}
c: {c, 62b5828c225e18e418988bce27a1ac1c}
k0: {k0, 1c4ef634239b1f027cddc9864443316b}
we: {we, b253dbd649c563071232933a398f5b9f}
ma: {ma, c83d20b7df1723fcc825e21924df7cd5}
x0: {x0, f7f0d73abccbb1dbf1cfd9b5c5e00b93}
rc: {rc, 05bc7c463c03f0feb7b6dae4f2278b26}
xb: {xb, 99ce885b92fe9d03089fabb0149e78d5}
m3: {m3, 9e2e5967aedf1f0fd34165d136ee06f0}
i2: {i2, 04c322c05b4f2cd3e41969f967acb0dd}
a4: {a4, 6a428e67ac26f2ceb430643c622f56d1}
j8: {j8, ca03145774013e9660f92085c02a8ad7}
j3: {j3, 21c2431ad9fc53fd8c512b37884e36f4}
android/graphics: {android/graphics, e079f4fb8febf5b63effbb6583d13a90}
m4: {m4, 069c7dcc4cb9df8e65b670f932f88fe8}
d: {d, 3f3a523298ad9b77869f2054972ee62f}
androidx/swiperefreshlayout/widget: {androidx/swiperefreshlayout/widget, 3f97ed0aa72e33301a6df70087bc305c}
n2: {n2, 1eb8f66e652b77c4567b3fe82f8d1454}
android/service/quicksettings: {android/service/quicksettings, c4e9eeb25e17c46354752ac4239a9772}
y0: {y0, 705565d4bba5168aa25983fe8d3fbce4}
r4: {r4, c52726ed44fa4ceb576b6f304b3b1ed6}
v0: {v0, 624defff4568dbdf17f9a898ae3de2af}
g3: {g3, 00519ac00d5e6aea9318b167a04cde63}
sd: {sd, e4aa4e4c4d2782b27be40fcfbf935ddf}
ya: {ya, c51838ea87a4e6f7b33ce75063e0e3e1}
com/mikepenz/iconics: {com/mikepenz/iconics, a6bed6b4868b7130faf26ff3120aa4b7}
b8: {b8, 50bb8de287b9a91b226736eb0fda579c}
vb: {vb, 04b0b65ba4ebc7d515ea712bed359c18}
h5: {h5, 7f820011df6528d920d2a155edac6189}
androidx/sharetarget: {androidx/sharetarget, 20fbf5a6422ebf388a0088af48a4baf4}
c2: {c2, 54e5bbc084a9719868f0efec482c0b32}
androidx/core/app: {androidx/core/app, 42afaf6c8115ae078d1f7ceb290514be}
t5: {t5, 36f710c18f0714b90baa915777a338eb}
l3: {l3, 85120792d286537ff58ae30e0e53f6e8}
u1: {u1, 13fd49b843c4e513a2f49ff56bcbba51}
s6: {s6, 71a66fb23a17e19668c97f6b407541c3}
hb: {hb, b8c9e13f3cfc37e11c3542bcb436b227}
org/koin/androidx: {org/koin/androidx, d64d2c0371f638a548a9f98931735d5c}
la: {la, 1fe63935c96aaafac7e3216450552949}
b1: {b1, b5bbff4d4031b965df079c252a2e2d89}
q0: {q0, 91a1f3a8c21da5b81896455efd6ab8b7}
fb: {fb, 7a30e38452e6136da8cf2814efc9d617}
f0: {f0, 8543e5f17f5913a384146b4ace6bf465}
o5: {o5, 44b7051c041710f3f24e04a19580ce65}
androidx/profileinstaller: {androidx/profileinstaller, ed90e3af568ea226d1d87b4af443357f}
ka: {ka, cbdd0021f005db7fc6149db728d2518d}
tc: {tc, a7f8723f8d84b28d56a6e1b05fb73933}
v: {v, b54330c9c5bbef2fd733d0202fce2ec6}
rb: {rb, 5b458c4a09cdd1062c02d0e4f4197d63}
yd: {yd, 53992e06680770f79f4d3688d29570af}
androidx/appcompat/app: {androidx/appcompat/app, cfa609853d5222b22f2c47b58b4f81e8}
w7: {w7, c016341012fc0d61ec469cb5021daaf5}
dc: {dc, 7b3e3238e9b72cff702bd48287947d4c}
p7: {p7, 984f565a7eae1c3565d63cc87a71ddf8}
o: {o, 5db287447ee222b7bc2f0c1cfd7b8cca}
z3: {z3, 8ae86807f835f12a406a61fd0314998d}
za: {za, 9dbf4de3301b425533d988e901d12a73}
s5: {s5, f2e7166a04af62bfbbeb1fa4ac79f0dc}
qe: {qe, 4f6ac2c523c96026e97fc28080f14901}
q7: {q7, d70784d49658d35ed29a712f0eeecf59}
d5: {d5, 4c93cc71dc592bec4acfe574f96e20d7}
e1: {e1, 35c44ccfc2bb8cada8bb1a02a4f8ca17}
y2: {y2, 402041c1db7d2ae9cbf4062b3f4d9d8c}
ja: {ja, 60b65d81bdc312ec7553f58270a65167}
com/davemorrissey/labs: {com/davemorrissey/labs, 9c10f240acfbff752febfc7987e33d01}
z8: {z8, fa08ed0367b5504049b86a9b12e6d28a}
n7: {n7, 5d836e1f254f2969c53a18548c7ad249}
me: {me, 6a36bf651ff81cde206464cd50a7985a}
a0: {a0, 1f83fae897eab8b600f5eaab5def1196}
k7: {k7, dd314af2e6e36c1d59f8bffc20a4e495}
p8: {p8, ec03504227d6911473b2059c2a012925}
g4: {g4, 0525b3a4e71406047303b28b7fc359b1}
bc: {bc, 796c07f9f9ed39d4c5d2c51b104ec082}
androidx/core/content: {androidx/core/content, e36defa8db6e922db5c6ef2ee51eb10b}
j7: {j7, 9bc483bb641ac3748e46d94c7468075b}
a7: {a7, 279ff958b1b7c48d67af7fe7bb8094c8}
r8: {r8, 5c782c6489bb927c505752f1409b284a}
x5: {x5, 375dba6beb9345d667e67c1bca4c999e}
s2: {s2, f4cbc6f678c3a7054ab7a7ee8ab9f5ab}
androidx/work: {androidx/work, 7221ae1c92e102a779382581856967bd}
g7: {g7, fc6acccb668d6aba5652aea90d53eee0}
l0: {l0, b020ebc8ace2339ef4d4fd963c8de868}
h1: {h1, e897280c782e6e7e7ef60b282a1204e5}
com/keylesspalace/tusky: {com/keylesspalace/tusky, faa433c6da2ff982f317553bf533ac0d}
ub: {ub, 125c78016b7f929eeb08d67e0f4ae73a}
androidx/emoji2/text: {androidx/emoji2/text, 307b75b09c92f3bdf2b76a2236c87e4d}
i5: {i5, 37b2ddb61a2f944a3878ce7573a8e393}
pe: {pe, 6e6f0153bf677ef58433d67f97eba5b4}
ob: {ob, 52d76d1120ee35c08e45bf77c3a65a2c}
l7: {l7, 1abc7ecb4403cdb018ac1f75b71b1558}
w9: {w9, f8b314373ee62ad6b8917e4d65bde7cb}
m7: {m7, db9bac77242c5093af0d3071ae785b22}
t9: {t9, 197e689220b79a316c934144ef14bcaf}
androidx/recyclerview/widget: {androidx/recyclerview/widget, 781d303c5adf3430766b65086c0ef6fa}
u5: {u5, 960b8b580d489d2d40941babaaa120a9}
h8: {h8, 3f6a258fa8b23565bf4a98df47e86b89}
androidx/core/widget: {androidx/core/widget, b28afc2f13b13be7c3ef083656789c73}
androidx/browser/browseractions: {androidx/browser/browseractions, 82ebd8c8f40e5c3c35cdc0c56c2182de}
c1: {c1, a4cb05e5690b53948255a8372b47fb08}
l9: {l9, 31f631055dc2d33602917f4d331a7608}
cc: {cc, 1a72ff230af5fa3e0a43994a29c4442f}
ra: {ra, d0b1a5493b9b2ea409d9b9d4884fa0cf}
v4: {v4, 6865a1bebd02411bd21b3cef81cd6dc4}
androidx/preference: {androidx/preference, 31e9037605b53b92ae0a2dc50c8e3352}
o0: {o0, f7772f70d0aa1b7b02b68f96c76cca1d}
le: {le, 0f3d50f7c51618462cf704c9e9d556ff}
b5: {b5, affd58fa453addec0a1126f6b81807aa}
o9: {o9, fb8a2355401b53501dcb0f4de5da9cbb}
t2: {t2, f92ecc183eaf57fec1d57002b6df8d1f}
r1: {r1, 6697a7a8e230524f6218a48a6347193d}
y: {y, 389b047e6ceaa4c634bee2053b6afcd4}
d9: {d9, 23e2981c73e990d9b329816c7fcd3d83}
k: {k, 64f4e20619356ea22f35ead4932675eb}
c5: {c5, 4ed7c0bc839035602db196f02aa9e9ba}
p3: {p3, dbf6e48579f71feb0d2d02ec7d58414d}
android/telephony: {android/telephony, d5b1091f8787f99bda974cda9593bb64}
e5: {e5, ac49fbaed2cd8dd63284e9d7e0c631bf}
b2: {b2, d56e0d53783c38756f5c46b0f6ebb8c2}
q3: {q3, 0f8f7c7a078d759b24b09d6263e42100}
ze: {ze, 29a612e61fb297b9e0860bd1503155e9}
v3: {v3, ae02bc68e76da76a703514a86eaef95f}
androidx/viewpager2/widget: {androidx/viewpager2/widget, 8657f2331c0904570f0e92077e13a0db}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 073681bd1236443f0d788aa46b1864e8}
r: {r, 08c7dc1c3ccc5dad00f1a4d26c91e49f}
qa: {qa, 4c15030ae4fd065ee131447120e85186}
f5: {f5, b0204f9eca3733fccf19518cb3c62cb9}
com/mikepenz/materialdrawer: {com/mikepenz/materialdrawer, f896ff0e62a1392723c779ea15450401}
g9: {g9, 342e386bedc72260e90edd9f537f2d48}
n5: {n5, 2fe2210656e958c0644d30a461876483}
v8: {v8, 8e93ce879d4fd49e775870dc224a6d7c}
zb: {zb, 275c4cfbc5fde134bfc3534f2096008b}
je: {je, 65281e181f7736bf5a86a93082712041}
androidx/room: {androidx/room, efe72b52323ef8fe33ca469935f7b605}
w2: {w2, 3b56db977b2b56a8ad23de923c78cbac}
aa: {aa, e9055445b5b03dab82ae00bfb52463ca}
z7: {z7, eb0e665386bdb7a42cd1ba0a7fdf8ec1}
k3: {k3, 89265bafb35e91e4d82490abba0242d6}
p4: {p4, 2edb56d82de1c0c7ee0661e95e672efa}
l: {l, 1047d298d22f6fb7c59e46d7d2c7d9e8}
wd: {wd, 818767917398bd2e37a7c2ef4a228cd8}
d2: {d2, e1f833cdd4e1f2b2feb1dd92532b01a1}
ec: {ec, 441fac5d4049790015a2c1f8af827e58}
x1: {x1, e4e2ad5278c98ce043a674749361eabf}
y5: {y5, 72945cf125835e621fa96996707c160e}
xc: {xc, 13de1f0abd74b0ae8b3f6ae2bea66601}
m2: {m2, e94f089992d457cea9f1c52d3d30545e}
at/connyduck/sparkbutton: {at/connyduck/sparkbutton, eb88685df866baed70cb1da418421abe}
j9: {j9, acf7ef943fdeb3cbfed8dd0d8f584731}
uf: {uf, 9b5eaef543fb2b12c577f24c0fda289a}
android/app: {android/app, de1c2b92945417ecd988923d07abfa41}
n8: {n8, acf7ef943fdeb3cbfed8dd0d8f584731}
a3: {a3, c0c36c3826cedfcd176599aaf5ed0483}
androidx/fragment/app: {androidx/fragment/app, f3c113e5a0a1661198c5d456fd9939b2}
j0: {j0, 5164a29af0a5572a162157dfcabe3ce9}
if: {if, 9003ac1ddae1125ad14bce33d9e1dcbc}
gd: {gd, 4699106a23bec172c6c6bb43e1775286}
x8: {x8, 75870ba74dea2cbdf93dead49e972ee1}
jb: {jb, aed040d0c07e9b35d4ef0d35d9a84d0e}
u9: {u9, 258e3140cdcc08d076a3c2e3e1a5883f}
pa: {pa, 77ffbe2d72213c3ae701b77a0e4a57c0}
v1: {v1, 3d3f262577712027efbd33a4528d9f06}
n4: {n4, 43d6e0451a8a865bf2a2c39f90bb0262}
ef: {ef, d48860565969853a7d4f4d872586fc40}
m9: {m9, 650175702388af2ab7c3510c353ff4c8}
r5: {r5, 228c099d80b6e47f5d3a0fefd6ef5f62}
f8: {f8, a48df165b287c4a1747b26fadec2b78d}
o4: {o4, 6e0c34cf3fe17a76becf15f0a03975ec}
rd: {rd, 22bdf77357def2bee258fa1b22950667}
ne: {ne, 8910d95ff5e5d406a7530f60a0583401}
u0: {u0, 0d1d91a169ef6674de75b6352bddf008}
o1: {o1, 0e7585f934e10a4b591f90621b4073c1}
i9: {i9, b6157a7308f74bc44d743225751df597}
i1: {i1, 323eae5dd7e0c5489e5c13a0ce10a7ec}
oa: {oa, 1e613e4ccaf70977b7ff0c87147ceb9c}
