androidx/appcompat: {androidx/appcompat, 7c4d7d10687934d13b07286466115043}
kotlin/jvm: {kotlin/jvm, e524f27cce349f4af430302ec421b0f3}
com/yalantis/ucrop: {com/yalantis/ucrop, cdb3effc2b415fe114c5ab47efd4a585}
kotlin/io: {kotlin/io, c6bd2bb4a6ecaf91be3447221fcf034a}
com/google/errorprone: {com/google/errorprone, 490aec19a7c612fd9bfafffb9dacde26}
androidx/profileinstaller: {androidx/profileinstaller, 4e56b12b69c8cfae23b7689c754267f3}
androidx/loader: {androidx/loader, df455fe6ddf5f37fdf76ace19b1f2535}
com/google/protobuf: {com/google/protobuf, b4327fe900aa7d98d1ba5ef93e238721}
androidx/interpolator: {androidx/interpolator, e32effd5aad27dabdd49bfe10025a181}
hilt_aggregated_deps: {hilt_aggregated_deps, a0a513eaba63f6d566efcc57b319c998}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 220888082fc54a224fd8c47ed5f2e9cd}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 629fe126eec0d66ee8f14735370c1d65}
dagger/internal: {dagger/internal, ed160830a93f37a6f12e895ed587bada}
androidx/slidingpanelayout: {androidx/slidingpanelayout, d00a431e9658dba410e10b0099c531e9}
androidx/drawerlayout: {androidx/drawerlayout, 9c213b6fc352ec2d3a29cfdff37d718a}
androidx/legacy/coreui: {androidx/legacy/coreui, e0f7a4ed6dfc7d0e3cfaf295ba204dfb}
androidx/viewpager: {androidx/viewpager, adc3fb650b54aeafb31d18abe303e7a7}
androidx/exifinterface: {androidx/exifinterface, 599ee147931f66e1fedcbb698edba8ac}
androidx/arch/core: {androidx/arch/core, a59cadfb1f89c065a19cfef41c8e88ed}
kotlin/properties: {kotlin/properties, 9f85c25bda01f4f490110439ba958132}
androidx/legacy/content: {androidx/legacy/content, 07faabcafda309b615198d4b582b9cb3}
com/googlecode/tesseract: {com/googlecode/tesseract, 03e1b4b645cc7558d8d21cc203bfb58d}
androidx/cardview: {androidx/cardview, 66488820fbbf820772dff5461d30fb0b}
androidx/concurrent/futures: {androidx/concurrent/futures, a747627292a6de1bb8fd3e1d71f7ae31}
kotlin/collections: {kotlin/collections, b047f69a785786c2b4d3c1e9cd282c0c}
androidx/fragment: {androidx/fragment, 6350939d2c9e19823e79755c9307f0ea}
kotlin/contracts: {kotlin/contracts, 22b9d8be7f5f1239cdf7ff3c6a091a13}
androidx/datastore: {androidx/datastore, 36432a93adb35e1faa176fab45a3c5b2}
kotlin: {kotlin, 349aa7baf59dcafed57b6c2e59f2bf50}
kotlin/coroutines: {kotlin/coroutines, 0688a74a8d506447956cabf788c63214}
kotlin/concurrent: {kotlin/concurrent, 8fe51e1e1c252bb3f3c91cb42839a784}
dagger/hilt: {dagger/hilt, fd1f7fee79e38dcac6709cb58a87ee08}
kotlin/comparisons: {kotlin/comparisons, afae1255f55ddf6c9ca1848741f9687c}
androidx/legacy/coreutils: {androidx/legacy/coreutils, 73459e05781063da65dda8c716b44d0f}
androidx/legacy/app: {androidx/legacy/app, 181e1722064f84032cda2c6fa939f581}
app/crossword/yourealwaysbe: {app/crossword/yourealwaysbe, aae79eec30fe2f0dc8f6edcfc756a613}
_COROUTINE: {_COROUTINE, 969e426354e9bf7a21a6f4cc2ba3b6be}
javax/inject: {javax/inject, 9c6c0b66d6c47154da14ad4cd741c190}
androidx/print: {androidx/print, 26f5f8b102a2f3012b8e62df0ea2094e}
androidx/tracing: {androidx/tracing, 3d9c203c34c5b1f899ff9b7949fec899}
androidx/customview: {androidx/customview, debbb7cdbf09e84d96451fc2bfe4737d}
