a6: {a6, df0d6defd8529952185e79b731c4e49f}
androidx/lifecycle: {androidx/lifecycle, e421233e8e5ca0863a5d61ecbacb7b2e}
c3: {c3, a638e98e1388c8b1ec5b89528830208a}
h4: {h4, e3c0a425ec2c47b67599a8ff5554c565}
vb: {vb, 34814b012c86e0a0d6b7ed590986dd8b}
t4: {t4, 0f8f7c7a078d759b24b09d6263e42100}
u2: {u2, fa1b72a0136dc02775c9c2d523805bf3}
c8: {c8, ff33ba45e8d1692e6a1d75f52e831de7}
h3: {h3, 6925c341a4c749caa25133b57b935979}
yb: {yb, 67473a85250ea0431cd7c38fa7838284}
s7: {s7, 1195f4e40bef46acfada2dcee746ddc2}
q1: {q1, b5763d27fb3915ad4a737e3957d28364}
b0: {b0, da5eb18c4f379d806777b1841041b6e9}
tb: {tb, 9032121e5697e9b00c5191da383310bd}
u: {u, 3a72b83c8640d4ece96fe0ad4fbee69c}
androidx/customview/view: {androidx/customview/view, 94cdfec255d1ef9a1ed9e37d051f8feb}
coil/network: {coil/network, 16178b8338d27ef2a4346035f57d3860}
f3: {f3, 8d295acfb8f05e40f43a6ba38db43421}
kotlin/jvm: {kotlin/jvm, 7f56990c8394c4b39af5b463e8828f88}
coil/size: {coil/size, 59c8b95544ae41b7a7ee000bd8fbfbc5}
w4: {w4, dcbf91d254309dc72ce18cd6cefba2f1}
db: {db, 3ebd8d32e7889f592358621c27b033c7}
z2: {z2, f412537061dd814a01c96c9563ea3a33}
androidx/compose/material3: {androidx/compose/material3, 442317b6c5d4d8cee0eeba6728f3352e}
z5: {z5, 9d4b7abd50289b812508e09e6576492f}
n: {n, 8aa49410963d74297cf2bc9c4419f90e}
p6: {p6, 04c43f9545516ec257ecd37f21a07bb4}
e2: {e2, a0739509a4aef4074c084bf41ecfae09}
q8: {q8, 941e4b0b2283c1260e3c3edd01300cd1}
y3: {y3, 72a84b4bf463557c8c344e220939c4cf}
v5: {v5, c8db21bb284f9113f45440fe0a758307}
a1: {a1, 65b16759b0c17336bbb32f0fc78ddab0}
n6: {n6, 43926c05414f8434e1621dd3509f490d}
coil/decode: {coil/decode, aaff9ca99a43fbc95479d64a01d45128}
s8: {s8, 92b3c49d2fb7c4bd2445f27c7040b051}
x3: {x3, ef39e43a7bf9ed5d6076f1c9dfdd3642}
k4: {k4, 8ef3a39d74b053adbcf7df8c064cb811}
wa: {wa, e16b7dd8ef72e904db02679861993fbb}
g: {g, c12dbe224f87b511fd1701d2e07ff762}
n1: {n1, 9ca8776dfbbb75828854b3639b9eec80}
i8: {i8, 0403bb22d45979442d7b9f3100657137}
bb: {bb, 944d2a3b3bb715877a39d65ea4e2f087}
j6: {j6, 4fed3948588ae2343389be1761a7de98}
okhttp3/internal/publicsuffix: {okhttp3/internal/publicsuffix, 0b5eb05e25e5695b43153e9022c43451}
sa: {sa, 4c34d029abe842ace3b026723037a683}
s3: {s3, 4bb9659b7d4dac1850b52e88a2b526e3}
x4: {x4, 49421f2482939166acb6ccb0f39b6596}
a8: {a8, 600e7f0e7e01509f5ffa8c8c1ac711b1}
h0: {h0, 913d2dd366bb14a7fc59119803c1c9a2}
i6: {i6, 4118268369cbfe86f74fa1f82574455a}
g4: {g4, 907dde01aa3e032fdd027e98f0f29064}
com/mikepenz/aboutlibraries: {com/mikepenz/aboutlibraries, 37b34e8804d80179c1846c5b3bb9be8c}
lb: {lb, fce9b8528a50ef036321eaf977a87d55}
l6: {l6, a96171bde8a7bec47a2fdb15c538a6a3}
u6: {u6, 94cd1b564917e9dab41a78104414f7d9}
m0: {m0, 85791e8925194fd14579311b02050293}
v4: {v4, e4d5f0a6ed8b2e8acbc6b81dfaa31393}
t8: {t8, 46b83a8751004475bcee90ba47f59638}
c6: {c6, c6a476740a3a4b61c1e68dc998d5b725}
kb: {kb, 9292c12a71efa55c5a0dec05a958a6e2}
l8: {l8, d2092a77f62b36302b6b1694157657fc}
kotlinx/collections/immutable: {kotlinx/collections/immutable, 4f2557f88328c18e07891eabae93bf4c}
q: {q, 92074135a9d614a173132ab68dbe134f}
b4: {b4, 6401ab99064cf1d28a91504d90ca3d6f}
o1: {o1, b09876dae34ce05dfc8321f466656008}
fa: {fa, a4a155c5a5025caccbc61d8787d24e55}
t1: {t1, 78fccb0780663af6641536a2fff4d7d5}
o6: {o6, 12bc922cad307950000c97b3aabb881c}
ga: {ga, 04a4f2a17796e84269f81c3717022eb8}
x: {x, e5fa0fea99c7ff16fa589e3279fc567c}
r0: {r0, 8b9cc8e962d474ee3dfe1ca377c27995}
p2: {p2, 98fc811d29f84b54f68ff0202e3888ea}
d8: {d8, d0b50b07313179fe242e99b3eb54d629}
j: {j, 0005ecf16488bac22e875191af9c6bbb}
q4: {q4, 5e136ed37c2d62e2ee38c1eea26fe834}
androidx/compose/foundation: {androidx/compose/foundation, df2dae11e88787c0ace60876cedce81e}
coil/fetch: {coil/fetch, bcffe49139bcb7798fbbf72754964bed}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 770d979aaafd7e524ca1715e890ee649}
l9: {l9, 584a111fabdd1cf5c1d28bd64dfcc822}
e6: {e6, 0cfd5b0c0f7a725bfdcc705068b9e793}
qb: {qb, 82d8bd0074275a943d24327dc6cbccea}
f4: {f4, 680f7c4e23156deb0cba5f14df8cf895}
com/chesire/nekome: {com/chesire/nekome, d14c7c274185797ba7626ff96eec36e7}
y8: {y8, 78bdc6007675c33345954680dc35c0a9}
ab: {ab, 78f00c09a14edcbcbc4118b6a72273a5}
z6: {z6, dfeb8c23a20731e9fbcfbf28b235fe78}
w3: {w3, c331f0754386306c70f809c03daa586d}
androidx/compose/ui: {androidx/compose/ui, 10c1748142639e3037f442ab1fb00952}
d1: {d1, 04e02ec6eac674a3f69b1874f9a08b2d}
c: {c, 769f229947f149641d8c7672d6e97969}
k0: {k0, ef8aa72f4e234c76f45c3bfc60376baa}
ma: {ma, 40b355d1a8a50b1a2eb6e130b393cb2e}
x0: {x0, 01049d7ec5fd15141bb6073aae9821f3}
y6: {y6, a3f5d7bde282f92bb896ae3c4e2c3fc6}
xb: {xb, 0654490eb8b3537a8e0ab19a21205462}
coil/compose: {coil/compose, 275ea99fd0a8c6fc8e528f8dfb4cb490}
m3: {m3, 7a817c0928277be2136c8fe27eb80a95}
i2: {i2, cefe59db03e5205424f3f12c823b6ead}
a4: {a4, 420524e20f79c189206932c8cadf1e31}
androidx/compose/animation: {androidx/compose/animation, 0b9da9b6db4c74e5c5593cf3f19fe8a3}
j8: {j8, 7c76fb0c1ef04d1d357da87a6438bc14}
j3: {j3, ed9e910d9a3d7d22272336a4a284d3de}
m4: {m4, 7b2132b635f51c12729e3ed8bff53749}
okhttp3: {okhttp3, ed450f5f70c7cecf7d739ae2144b0f92}
d: {d, 92e6ebc75b45964dee4c0f0105f9af37}
n2: {n2, 67c179a74f77ea3cf9569851b59eab4c}
ya: {ya, 58f0b90b84208558dee2c67f21ee80d5}
v0: {v0, 8ada403075fe051c438973f5d59fee06}
g3: {g3, 20628125aab91a57e303dd07cadb6689}
r4: {r4, 244546de925fd7e1ca68b6386bf25a44}
b8: {b8, 1a9dfe2468f5280ec4ee557e7730ddae}
o5: {o5, dda726c72bda9a5b0a2691408869e7cf}
h5: {h5, a0e0436b0e8944f305d0e3172b59ef65}
c2: {c2, 9abd5d2e55336d3c1fdbeb8474bad0d8}
androidx/core/app: {androidx/core/app, 61402b2353f6069ce0ff25a4f4f3e65e}
t5: {t5, cb5d36648f0797504928d869e91f6c4f}
l3: {l3, e71297429932d810bb324ce55f0cf0dd}
u1: {u1, dd17c7e1d2fa49b36d99f97f944ad9ef}
s6: {s6, a3db9d09f7c17ba5dc1c28a5414516f8}
hb: {hb, b885fd12526e464fe0f60eb1094a4e87}
b1: {b1, 69122d43eeef4c6c1ad46e37426aeb02}
q0: {q0, 9c6b7d6294a7013e6824545f34f59b76}
fb: {fb, 3218fd9176b59488f80b126102d943dd}
c5: {c5, 46d0be06680936d761777c657e062f0f}
androidx/profileinstaller: {androidx/profileinstaller, 0aee9a2fbdb1868d8fbf0047677560fd}
ka: {ka, 2b6470c1e83c8ad3e773704ac0e61182}
v: {v, f403f4be3fae306db9550c1f11efd64a}
androidx/appcompat/app: {androidx/appcompat/app, 032206a4a6147504f1be2203dd3c9fcc}
w7: {w7, e3c0a425ec2c47b67599a8ff5554c565}
va: {va, a976e076267a1bf01ed53e4ec480248b}
o: {o, 507d32e3f348c8604dd2c8901bba6692}
z3: {z3, b02f93620b4d4ce517afc1b3cee7594e}
com/squareup/moshi: {com/squareup/moshi, 542f0149d25847ce07bf45e2e6754dfb}
androidx/security/crypto: {androidx/security/crypto, f3f4879d2305e7836803d79ecd67466c}
za: {za, 951717f820eaf113023b8e12732da7f3}
s5: {s5, 55ea7fa5028594e93aef0e1cf695bc51}
okio/internal: {okio/internal, aac09dd1d811f3f67e1dd83f4fcd2a31}
q7: {q7, 7b21f26d1918a7d1480f6c7a5580899d}
d5: {d5, d32a9a6880d4c4f49260dfb3f7037d60}
e1: {e1, c03cac46322282ad46ce8c76b58ea033}
kotlin/collections: {kotlin/collections, 0607aab58c22b97095875e5a2e067f98}
y2: {y2, a4469f2cc33d58ef118de7c228cd97af}
ja: {ja, 2b6470c1e83c8ad3e773704ac0e61182}
z8: {z8, c18d6a78da5db4de7e6d6302d827f061}
n7: {n7, d36f6312f098a9c4f08e1d7dfed61dc1}
a0: {a0, 54419e6eb94fb5b7ae769e787d9d93cf}
okhttp3/internal/connection: {okhttp3/internal/connection, 5d2945cb8d30e58cce2a1e9be36b69fc}
p8: {p8, 17b42ecc4d084cbf79a233f77c922bb5}
bc: {bc, 2504eb8f694400f38c454be00da4b50e}
j7: {j7, efa94f89a8c13297b53d6518fd1c9c32}
a7: {a7, 1a5f33379f424dea843e7f7c9f348973}
r8: {r8, 58a5bef283a1b529a7f6b3194254914a}
x5: {x5, 7e3b497647d0e9550dda07b2dc4dba4c}
s2: {s2, f375e34e522885c7bd7f5539403a98f3}
androidx/work: {androidx/work, 653b1ed90ca018fa96952b6ff8730a1b}
g7: {g7, 3408621dbbd2584a64b4409c66679e9d}
l0: {l0, ff41387a1d9c50c961b3f936fa72988e}
h1: {h1, 8442ad2b87e54410321a443860aa38f8}
ub: {ub, 4f6ac2c523c96026e97fc28080f14901}
androidx/emoji2/text: {androidx/emoji2/text, 542dd9699021b2a489ba6c7d8f6e4a23}
i5: {i5, 2233fffdac77e0b41e42d168c28f5c9e}
ob: {ob, ba2987228517d7199a0697612925df3a}
l7: {l7, d8cffe37f34946dffa175858b93a3dc3}
w9: {w9, 9f55bd595464aeb4635d580233d96756}
t9: {t9, 6403f4093ff768648e619aed69969a38}
androidx/recyclerview/widget: {androidx/recyclerview/widget, bee24e7123dcb6bef44de545b4f28a35}
u5: {u5, bd15ed28c1704b629931476b963b2437}
h8: {h8, d9bc37df7eed4f5e21ecd5e1f4402258}
androidx/core/widget: {androidx/core/widget, 18527c7971016a6632689e1c8859612a}
c1: {c1, a03593e36c0f62d9db8cc58cf608392b}
eb: {eb, f873223deb9c5a77dec0dfe2f0f80f17}
y4: {y4, 64fbbabb1152c2ce8a81636775af5cbc}
androidx/preference: {androidx/preference, 87c544470a9e4570e148ed79dfc95482}
o0: {o0, 81ee763d2fa487f71934a9de064e4348}
b5: {b5, ab2c81f7139e36cdf21de3094e1d5043}
o9: {o9, 34db92d24ad4b6618390d525e9b3934b}
t2: {t2, 5b184162dd7bd2719a1125f512730ed9}
r1: {r1, d4bd3c63e3426a23ca6d1f9700aa9562}
kotlin/random: {kotlin/random, 29e5a4af3af019621880f846c081be58}
y: {y, fac8dce663028e0441aae9dafa7334bf}
d9: {d9, 7faef07da424847c8d54599ce9829d8e}
k: {k, a18c6bf6d0fca4e4b459f26006d9b512}
p3: {p3, fb981b46b65d2a5d0812be26225e4c95}
e5: {e5, 988a259202fabb3429254b04f448dc2b}
b2: {b2, 25f9315314080ace416c17a29560160b}
q3: {q3, 0714ba4db40f12917ff7e52f9cc3a01f}
androidx/browser/browseractions: {androidx/browser/browseractions, 82ebd8c8f40e5c3c35cdc0c56c2182de}
androidx/glance: {androidx/glance, 8e7e9d329a0658570048cd6c540b6140}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 7427f444b7c5341bcbb2ee23e7bfb97b}
kotlinx/coroutines: {kotlinx/coroutines, 462fcf191c55ac2f0dd47476436b686e}
r: {r, d00fb6eec23fa7270c38708a5cd02bbc}
qa: {qa, 8a0e34c8eb4b4f1dab72c689c0537de9}
f5: {f5, 8a0409ef6d4ae30185613043c5993efd}
g9: {g9, 8e28c2b99be229457a47629a0f99e02c}
n5: {n5, 25cfde940c9024ce330c76a07ab06ea6}
v8: {v8, 8dc2df0f4e6cabac0a2f688913531cff}
zb: {zb, c44cc0881ab050465b181cb455251d07}
androidx/room: {androidx/room, 39a76eda86f9c913ef1053cef4e56796}
w2: {w2, 6776fd88c48e8d29902c9e7793b58dec}
kotlin/enums: {kotlin/enums, 2ac729e1da645711b61b1777d929f82d}
aa: {aa, 02ec1938a931ae240a158e99fd541fe0}
kotlin/text: {kotlin/text, 5742167e30b83d08f045b34508fd2d89}
z7: {z7, e4c4d4d38ab979d2f6c740501aa173b1}
k3: {k3, 7d1ffcc510a1414784965b54de1b2347}
p4: {p4, 05bedfd08b721f1f5dad4a8eecac99a1}
l: {l, 5505ceffabcaf393154e4800778ad441}
d2: {d2, 9e09c2a623220bd8770ed77c2e32c970}
x1: {x1, b8eb7c1fc373fa8200d3797ac3c4dacb}
y5: {y5, e40a1692e360f7dbce991d9b032c869e}
m2: {m2, 93fb7b00389bcf86f4acb54d2fafa21a}
j9: {j9, 955804b20b896b13fe464d22652bdca3}
android/app: {android/app, e079f4fb8febf5b63effbb6583d13a90}
n8: {n8, a8b5d8be31d9969638d1047eb4d0f7a1}
a3: {a3, ccf126308be9afc4dfcc6b7fe91dc0e6}
androidx/fragment/app: {androidx/fragment/app, 46a356f6ad6a98bdd8ca739d2056b8d6}
j0: {j0, 09528935b3985c56f321af2376de8f76}
n3: {n3, c1b1b3f4026bf30d38db09650ab10981}
x8: {x8, acf7ef943fdeb3cbfed8dd0d8f584731}
jb: {jb, 5b963bbc8390f73415da6b5485a62326}
v1: {v1, b21649b43bf759b30a0f1a869115fe4f}
m9: {m9, 36bde20426d906c7b8e9f15a5cf13daa}
r5: {r5, 3b844a376ec7fa47f7d778856f0a3bc4}
f8: {f8, dff8ddb32b2810c09f0c85c542638920}
o4: {o4, 0dba211d8f0798fe3812dd8523d41647}
kotlin/time: {kotlin/time, 058ac94204178cf5cebdd7ceae2ac361}
g2: {g2, d4e24b3d66cba8e477a07fcca3af411a}
h6: {h6, c15aa7c988509fd15afb86c0b6842a79}
u0: {u0, 29336a0881e80525b7adc7b56eaa3d1f}
i1: {i1, 0f987ddb7f77c3d95c1852868c4b5299}
v6: {v6, 84187e6acd2297c2c49ed625b20931ad}
l4: {l4, 01b797326e51cfb56d9a61acf73db8e0}
s1: {s1, 07afe9b036101725fe96e9c796b084c2}
t6: {t6, b49a74342d90c90a45428320b2a7060c}
coil/memory: {coil/memory, ba5e37a2ed5dbc7a385a37395fbbcf70}
e9: {e9, 3a5a725ff69a576548efa8da45287ed6}
b6: {b6, fdec7c141703560d86df48660ec7814f}
c4: {c4, 4d4e3e3281c8b2e50c36fe7d120c647c}
androidx/compose/material: {androidx/compose/material, 9a5069c82bbbf7e9be91d6672fbc0121}
f1: {f1, 069fc8c9f91a922a845ea2047de2b11f}
w: {w, a5c177fa3c783861acf74f1e54077ce2}
p9: {p9, 1ee9141a10e75c2182b9352b4726e2c9}
b9: {b9, 13d1677b0412d146a191acf8b5b5ddf4}
com/google/crypto: {com/google/crypto, 0c3379fb3f18df1f19eccea0e78fe53a}
r2: {r2, 469e119223c1eebffe083dfb801e68a3}
h: {h, cd839141ac990e8a3fb5e53bade84b8c}
d6: {d6, fd333436e2e01b0da2f3763d7ac9cd39}
androidx/core/view: {androidx/core/view, e36e34e18afe5264dea17615c78adc43}
p0: {p0, 769a2bb848298c0e0ee28ac027ddb5e8}
z0: {z0, a294b9ffc5f827308e8a031e44cf2160}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, b5d19303ccde6f0b7f9a89a022a4473d}
q6: {q6, 2ac80d6688708c9d994a540133f68122}
e0: {e0, 918b21b74015b80bb1da6bc42e42fed6}
okhttp3/internal/http2: {okhttp3/internal/http2, 16f8095cfa27b351c86ab55f18fcabd6}
f6: {f6, 669aa3e0272f339226b8cbd6c8efea47}
z9: {z9, acf7ef943fdeb3cbfed8dd0d8f584731}
n4: {n4, db6f1bb39efb961532b3dbe23345772e}
k9: {k9, acf7ef943fdeb3cbfed8dd0d8f584731}
y1: {y1, e84c3461255fe4ce9a53b1e881ff17ad}
a: {a, e2cfa8000ede03aae1e8a5d0b490b127}
ib: {ib, f39189373814d61ec779496fc1c5e27d}
j4: {j4, 1e2383c8f1a07f0ec3d93ba79f16c25d}
w1: {w1, 54e649d7bd57460a537a9b3e20ebd59d}
coil/util: {coil/util, b6b28e3b26d73a7f53d025f80e61cb0e}
okio: {okio, 53ac65d2aa8eec2e599a68b5597ed799}
k6: {k6, d1201576a139e5f0515908d4fc1e99db}
