androidx/appcompat: {androidx/appcompat, 62d305dd0773ed4d281b32dc1c033d6b}
anki/media: {anki/media, 6879357dc1519158f0c4109501f8b98d}
androidx/drawerlayout: {androidx/drawerlayout, 5c90a209291ee0d17c673d5a982a408a}
androidx/legacy/coreutils: {androidx/legacy/coreutils, 73459e05781063da65dda8c716b44d0f}
androidx/media: {androidx/media, a9aafb1ffbe7afbdd962c6f4f6ac7749}
anki/frontend: {anki/frontend, 3cacc62f914707a3075ef8bd4a7b6f43}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 00006f2f3d856115ec47ec50b5a2e4fc}
androidx/exifinterface: {androidx/exifinterface, 0168b83aa11a8cb2b4c9d71a55066255}
anki/decks: {anki/decks, 2fad3d99a336322d5ca003f224626a63}
androidx/emoji2: {androidx/emoji2, 704d007a61da2e5838ce59f9031ff85a}
anki/backend: {anki/backend, 5fd035829c822237f04a1d2c368f8e9d}
androidx/webkit: {androidx/webkit, e317203d235becb5efa80afba52aeb07}
anki/card_rendering: {anki/card_rendering, ee402f005641b70696544e3082b2f585}
anki/config: {anki/config, 991c62dcc30df5a8decec219553a512b}
anki/cards: {anki/cards, 60d26d0794fac2f9dc4783670b032d91}
androidx/browser: {androidx/browser, f41aa212969a88da2cc1121a67796dc9}
android/app: {android/app, 4051f7603a40d4c52dbcbec105c0dbf3}
anki/image_occlusion: {anki/image_occlusion, 5c08b483a351b23477354a0c923d74d9}
androidx/annotation: {androidx/annotation, 89bbdc285a7755ef31c2bd010e40f482}
anki/generic: {anki/generic, ff20f1d1299a4292ea16eb16881042bc}
anki/notes: {anki/notes, cfac0311c7d38565cd164278d0504245}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
anki/import_export: {anki/import_export, 45088a4dfe85a828429a42ff1020be13}
androidx/viewpager2: {androidx/viewpager2, 9770c5b7be46e597e222854c4731c32f}
androidx/viewbinding: {androidx/viewbinding, 68bbcc46ece24dd0a1e3607c393ec27a}
anki/ankiweb: {anki/ankiweb, 483eec4c61ac0df989a911ec347fad15}
androidx/documentfile: {androidx/documentfile, f487d7189903315e6a0a5ee7f5a88877}
androidx/print: {androidx/print, d99f17d49a916fa38334a13936ab84f6}
a: {a, 338d1da35e801d8b08d8d35ad28ee9e3}
android/support/customtabs: {android/support/customtabs, f6c07e0a2a26755fe092474ba6ba77d8}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, dd6c56e5295b9039ef83a4d9616c5eb9}
androidx/sqlite/db: {androidx/sqlite/db, 334d5a3c72747a4410cbd16e7567ed1b}
androidx/legacy/content: {androidx/legacy/content, fdfb75f82b193aeb519ecd2825bb2f3b}
androidx/tracing: {androidx/tracing, 9fb7de21fb9908de1951ae3c6f3d8449}
android/location: {android/location, e079f4fb8febf5b63effbb6583d13a90}
e: {e, 53e8d7b61cbd386004e5382658e74600}
org/apache/commons: {org/apache/commons, 4f0c06d914d2a4a2245fa6b152b8b2b5}
androidx/startup: {androidx/startup, 55a1aaeec3f1e12588e13a822c475fea}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, fa69640756b9e7387c3a62fd930eebd4}
androidx/concurrent/futures: {androidx/concurrent/futures, 0f3d3edc9cf36f182ea339d437604c04}
androidx/customview: {androidx/customview, 082058eba1c1332fc0ddb4ca3d22d54c}
androidx/window: {androidx/window, 21bc8f86927007d326d5368333f4ce01}
c: {c, 801ca04bd81acedf7593df70a4bae547}
androidx/dynamicanimation: {androidx/dynamicanimation, df29cc6db2dbdb540249cff5ec090794}
anki/deck_config: {anki/deck_config, ec4312fcfb6483547f3d12a361dd9659}
anki/scheduler: {anki/scheduler, 0626186233c5aa2fa256c6fe72168752}
