androidx/appcompat: {androidx/appcompat, a530f3746c7346c4eb18b972986c8f68}
okio/internal: {okio/internal, c89dade1999c92351cb0b3d239f41f40}
org/metalev/multitouch: {org/metalev/multitouch, 8334406e799ee3e0485fe6021645a69d}
org/bouncycastle/pqc: {[org/bouncycastle/pqc, org/bouncycastle/crypto, org/bouncycastle/asn1, ], 8fe74ce43273263c491d7a138c74c27e}
org/whispersystems/libsignal: {org/whispersystems/libsignal, 4ca0f80851c1473aef6524fe88a8ec51}
retrofit2: {retrofit2, 46476d9252e7b27a4470001eaa6a27d9}
kotlin/collections: {kotlin/collections, fb254238334547f8fb03b2835727596a}
androidx/fragment: {androidx/fragment, 9e82c5a494a2ac6e67543ee51d0c6468}
kotlin/ranges: {kotlin/ranges, 9cc017e57e70413c71ac06ab209d15aa}
org/osmdroid/config: {org/osmdroid/config, 6ad87a579a4bb1fc52f2140f831e00b7}
org/webrtc: {org/webrtc, 0eb577cad35fbecfc265bcc9d3465dc2}
androidx/customview/widget: {androidx/customview/widget, 548e950e50aeb742a967bd6df34cfe09}
kotlin: {kotlin, cf755e27bd9e8f3f3b1cf760c48a45cd}
kotlin/coroutines: {kotlin/coroutines, 842120bc52a38ba192dadffc922b57fd}
kotlin/comparisons: {kotlin/comparisons, ebdcc9c5ab3ebc6375c2308ad1f533d5}
androidx/interpolator/view: {androidx/interpolator/view, 561c23e33a4b5f7c33faf68878d12ac4}
okhttp3/internal/http2: {[okhttp3/internal/concurrent, okhttp3/internal/http2, ], ba458d7c62f4a1336066a2f5ed9e3a28}
org/conscrypt: {org/conscrypt, edc02ad0ee06218b8f35e2365bb7d299}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, cb97574974f4ba38b960665bce68d858}
androidx/emoji2/text: {androidx/emoji2/text, 60921565e4fc47c4bfeb74d0878e4ddc}
org/bouncycastle/cert: {[org/bouncycastle/asn1, org/bouncycastle/cert, ], c49ccdfb3158b39101c2663f3b61fe1e}
retrofit2/converter/gson: {retrofit2/converter/gson, e3dcf7a5eb53966bc2965325f7c34beb}
com/otaliastudios/transcoder: {com/otaliastudios/transcoder, aafebcc9497b4965346c08405995aea1}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, dcc9dfb0c36f131bb211d052f979400d}
com/otaliastudios/opengl: {com/otaliastudios/opengl, 2b48df14deac2ea81acdd144265fca2d}
androidx/tracing: {androidx/tracing, 374de4f681a359c89397f5040835f60a}
com/google/gson: {com/google/gson, 331564b585a4a7bef2d318fe92caf4bc}
okio: {okio, cacb917695bd3ff99750de1c4ca1a623}
