androidx/appcompat: {androidx/appcompat, 97380ef9501fc7881cf9462527bcd742}
android/app: {android/app, e079f4fb8febf5b63effbb6583d13a90}
coil/target: {coil/target, f6640fc257ce4bbb728fe731a5f85419}
androidx/viewpager2: {androidx/viewpager2, a2280579999feea39b374c5a4cd9178b}
androidx/customview/view: {androidx/customview/view, 845281bfd4088e684e6d177a1a002563}
coil/network: {coil/network, dce93f10e418ef3b40cec03c8a8b2299}
androidx/recyclerview: {androidx/recyclerview, b9f499c5b85f7cd3580f9b7a9c050d7c}
kotlin/comparisons: {kotlin/comparisons, d04d4abbfbe563c9eb8fc25ca90987bd}
coil/size: {coil/size, 9b307ba1d5b97bae9bcc8acd6f0d87aa}
kotlin/io: {kotlin/io, 20426b9eab5fabcf64a6f68f71fdc8d3}
androidx/profileinstaller: {androidx/profileinstaller, 96902c649f8da2f0ef3c12601b3f9094}
androidx/coordinatorlayout: {androidx/coordinatorlayout, e34d0f15c1990169c6fae72050d608a3}
androidx/sqlite/util: {androidx/sqlite/util, 46d0be06680936d761777c657e062f0f}
dagger/internal: {dagger/internal, 5168a1893e09ac1ad66e3b265f61ac3c}
coil/memory: {coil/memory, 26850270abfe0335741d0e94bfdec058}
coil/decode: {coil/decode, 190247385970643c19b58d37885b5ae4}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, dfeb8c23a20731e9fbcfbf28b235fe78}
org/koitharu/kotatsu: {org/koitharu/kotatsu, eb5b45a0702c616f792a0e22859575fd}
kotlin/properties: {kotlin/properties, c2b1763b278c8646b67ddb2ce95a17dc}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 8f94dbe9ce9681377f8db8b6cc4ba95f}
okhttp3/internal: {okhttp3/internal, 81cb906c01ef1ff802c01c20a996cc0e}
androidx/biometric: {androidx/biometric, f488609cf144c7e9f3d8468399a7e774}
okio/internal: {okio/internal, 811f7c876114bd2b265c29d7f2f3e93b}
androidx/concurrent/futures: {androidx/concurrent/futures, 5e2e0c3ef92bfc96a520f3710cd79281}
okhttp3/dnsoverhttps: {okhttp3/dnsoverhttps, 669524edad0fa4d406d88aba4a513519}
kotlin/collections: {kotlin/collections, 8f90a2314ed4e9a9c482084f84aeabf2}
com/google/auto: {com/google/auto, e366ea4a19c236c010ab1b7cd6476631}
androidx/fragment: {androidx/fragment, 199c6f5c7e9f392a312559d3a0d2aafa}
androidx/customview/widget: {androidx/customview/widget, b78e0cdcba1f6a9526963dba9699d6a8}
kotlin: {kotlin, ba4b3554b3f01d69e66e33bf306d3745}
com/davemorrissey/labs: {com/davemorrissey/labs, 43a138d25edde8496ac66cdb406a3de9}
kotlin/coroutines: {kotlin/coroutines, a63fcd389264c6d847ca5cd45f490ae2}
kotlin/concurrent: {kotlin/concurrent, 0a0f0d55c14d295c5f8d044eef6d675b}
coil/transform: {coil/transform, d41ff3911e6edef19b1df3b1f547ffe4}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 5f15fae2ccfe16c8b5bef5c3415f4b8d}
androidx/interpolator/view: {androidx/interpolator/view, cc57d3a01f94754f7d9dd360d6d916c8}
okhttp3/internal/http2: {[okhttp3/internal/concurrent, okhttp3/internal/http2, ], 0c46798940523eb2256d899d46845f65}
androidx/arch/core: {androidx/arch/core, 9a803c679e1de406e8b76f3a231eb389}
okio: {okio, caecd5f90143689968925ddd9cca881e}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, f0f351e9762dc39af997d5b29711d979}
androidx/work: {androidx/work, bb5afb37787d3a3e18f99efea3352ca3}
androidx/emoji2/text: {androidx/emoji2/text, efee892198fa63cff7c063dd8ba6ca0a}
_COROUTINE: {_COROUTINE, 97b380112ab2fb9f87087a09cad9863b}
androidx/viewbinding: {androidx/viewbinding, acf7ef943fdeb3cbfed8dd0d8f584731}
org/jsoup: {org/jsoup, f9a25261dd8ea7de24ee9f620c070ea2}
javax/inject: {javax/inject, acf7ef943fdeb3cbfed8dd0d8f584731}
coil/disk: {coil/disk, d5a1779392e6d1f505c1b982c1b9966c}
org/commonmark: {org/commonmark, 4072efabca292316a5329528a0df33b0}
com/hannesdorfmann/adapterdelegates4: {com/hannesdorfmann/adapterdelegates4, aa34716e8ad55305bc3c4b7b65def253}
kotlin/ranges: {kotlin/ranges, 9123247839bf82450bdf157011c87a16}
androidx/tracing: {androidx/tracing, 3fa963b50866d0e2462b8a726b77b47f}
coil/util: {coil/util, 492bcde8a92d5e1d22752e6a20420385}
coil/transition: {coil/transition, d03087523822f4c8edc961accab1b171}
