p2: {p2, cae2b4ab3a6cf2469adebd44061e71fe}
c: {c, d87f2a9a5f51940bb239108bb3b68146}
k0: {k0, ac0b0d59cca42eff20c3dba1b7310ca4}
g0: {g0, dcdaecfb6897d34eb16dcee191ebf973}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 359d35646220e525dde5ce0f5407d17c}
x0: {x0, 683934a776df9da33dc9c5125b2009be}
b3: {b3, f2e57c8bc55d44a710903cac88c6dec5}
androidx/room: {androidx/room, 069cdb710880d9bf5d0584e1f0bc49a5}
w2: {w2, 7d4b25814f865769df091e36ee9f480f}
q2: {q2, 78b3d7522e5d722fda18c446cb97a084}
e4: {e4, 0a1fb0a33cf3ff9f1be5818f124b3402}
o2: {o2, c3fda7f030c01da5afb718066df75e37}
m3: {m3, 215407fdc10989a75b0061a6da9efff1}
i2: {i2, 06d5b21025fafa796b853f1b7b3589c5}
androidx/lifecycle: {androidx/lifecycle, e65533dcef34ad59620adbbf37f51dbd}
c3: {c3, adfa3985755588fd7427f904a3419298}
a4: {a4, df138d0c25bccf6393d79f04ba53d1cb}
h4: {h4, c361658d4faa7874d5c37aa654f7c0fd}
t: {t, eee91bfb8fd094c2f4ba34cddea0ed74}
j3: {j3, e9e786341f7cce8d0a81ca52484972bf}
m4: {m4, bce191078a175fe18dcc134f22501338}
t4: {t4, 244e4698b27fbca61a54cc90f39026df}
u2: {u2, 967bbea90f71604db649c3e48fa268e0}
s: {s, a2f867cea53aab91c5d141aa9a4adf38}
d: {d, 4b1198905d05e20b0d03cf231be9e747}
androidx/startup: {androidx/startup, 08c5775df7901f348750f14f4def3be5}
h3: {h3, 4582c42e67ba675b987a50edf9444e5c}
n2: {n2, 04eaef2ab90789b14fcfbb7fc834a09c}
k3: {k3, 8038d12324c813744df0c7dda0ccfce8}
p4: {p4, eb315f7c07216944013794da9ab34d3e}
l: {l, e084109f12de602354b1d1cb76925ff2}
y0: {y0, a4968d605f6ad2d783b2e295cbe06ba0}
f2: {f2, f3025ac88b1d6c71acbd3d2a8f643030}
v0: {v0, b4e43f78ac5fb4f42d8dc87ccef8b8ae}
d2: {d2, a7e023093ff6cf5565ad2e20b1235a15}
q1: {q1, ed803f135a13e41c80485504041d5608}
x1: {x1, 1b661ca096e66a41941f97a82b554b72}
g3: {g3, 6f63afe555d8efaf330297e33de07aca}
r4: {r4, 8f7e28819b99ef28e27c872ec5ca8fcd}
b0: {b0, 325db10591367e3d3f0128be2c1abf70}
y5: {y5, aeb834fb627f841fd4233a70c6e3f838}
d1: {d1, 5c80a5efc922c853e73a74e1aca6f7a1}
o5: {o5, 62f7233f9f9096d4916a13d491ca92b7}
h5: {h5, 49de2ea1e1226747ba75c4ae05779a74}
w5: {w5, d4b7069403f8878d53ae15f026979c0a}
c2: {c2, 8b52c634a75799cb78969853b88bed1b}
a3: {a3, 652a9ceecdcc56b264dbe16ea0fa69c4}
androidx/core/app: {androidx/core/app, 61402b2353f6069ce0ff25a4f4f3e65e}
androidx/fragment/app: {androidx/fragment/app, b26cffad6ea9b81bcd027610d7853db8}
t5: {t5, 47eeb5fcbf94f390476c69e986317e95}
j0: {j0, 2f5c4dcde6e0a482bae5cc14db87ea3a}
l3: {l3, 3d6afdf802e2960575518f6e66947930}
n3: {n3, d9fe019063b0cb8f06f46c4c0518a504}
u1: {u1, 4b7e7eee95aed77ac2618199e2c8b6d0}
e: {e, 59c5089affd8b5aa591ed92bcc20642f}
p5: {p5, deb409496ed3a78ee0fc05a23e9949ac}
d3: {d3, 10e95fbb934842a468474a6257e94db7}
l0: {l0, b6c8b1d2a5af7ed95f172626cb2ec3ff}
f3: {f3, 3a1f6785650d09424adf2e521894cdc6}
k2: {k2, ef80806d1dd196618934b59344b4f5e8}
m: {m, 1e2f1becf7834e622bbff5ab108709c1}
e3: {e3, 4d30c4e6ed1ccb02cb5423618be3cdab}
v1: {v1, 7e339c74d0007de7c881f40177c26bdf}
y4: {y4, 2b6470c1e83c8ad3e773704ac0e61182}
q0: {q0, bc6ed818ece2001034b848f5afd4a997}
f0: {f0, ae75b12dade9a9bccede3874e57484b4}
w4: {w4, d6622dc583c0aeb69a1fdf431ad884bd}
androidx/profileinstaller: {androidx/profileinstaller, e6363764f09ccfaf124c112ffd490058}
r5: {r5, d4f07a3f93bd745ec897e44170cf6f46}
z2: {z2, 3da73fdd0b5a2637ff173da66c8142ff}
o4: {o4, acf7ef943fdeb3cbfed8dd0d8f584731}
m1: {m1, bb3489a787ecce64d6902918ee248465}
b4: {b4, a10376fbb293ef41d3583dc5a9db9ee9}
x2: {x2, fb43e2cc22861e91e4bca0fb529f532a}
a2: {a2, 898c398708617cc6dd2746fde3b220c7}
n0: {n0, f5d42f7593e6885e7f6fa0b42d9bd37a}
u0: {u0, a7274295990cc7c5bb44842921f537a1}
k5: {k5, e5ff4e35117996607b86e4ee5af4df42}
i1: {i1, eb7b306ce9f68c33d83dcdafbb0d28b6}
f: {f, 0280bef76ba47627a62283e36f150bf1}
l4: {l4, e3c0a425ec2c47b67599a8ff5554c565}
n: {n, 4220435e4bd99d26a6e3c6a889f3b74c}
d4: {d4, 9abbfaf7c86a563b53aaca927ca42eaa}
e2: {e2, cd158f9660ce0e0f83cdfe3521aaaf56}
j1: {j1, 0721cef371f538ac9b262727ffb3f1fd}
u: {u, 174c4b8c43553ee898b2ce624c3d91b5}
y3: {y3, c8ad31441ce00cdce75056dce0a50328}
c4: {c4, 60762fe3aaaf78eeed662d4ac0815502}
o: {o, ea6b9ac7aecf3712f0dbe0d2fffad788}
f1: {f1, 121951992360c71560079ab88730f130}
z3: {z3, 999e65a0c76cfd426b54d0c1fb43ab81}
a1: {a1, ff5b2b54a71e8374daec1478a74216ae}
w: {w, a4fce6f1bbd31ea52cd8fc42cffa70d0}
x3: {x3, 49123550c5d924e83bf3ade9a3154923}
g5: {g5, acf7ef943fdeb3cbfed8dd0d8f584731}
k4: {k4, 65eed447424e290045f26f701d75b287}
y: {y, cfafe6d68b7827c552207752dd746bb1}
g: {g, a5567bb759e777b501d9af5297ac3700}
n1: {n1, 45d46690ea53960488778aecc11bc884}
androidx/appcompat/widget: {androidx/appcompat/widget, 52c523d0483b62feed04e7d7741a78bc}
l5: {l5, f9a6d748c4c521d404d41b3939585a31}
i0: {i0, 5ffd6f60bbb43013aed8e556ecaac6a6}
s0: {s0, 3855ad59f454f50d239551b67cfef471}
u4: {u4, 3373e3240e551613798490a03c4691e1}
r2: {r2, f14248f8fb43e7448b4d4ee8b81e8b17}
e1: {e1, 999cf5d9bd6ee424146a8f25592177f6}
com/maltaisn/notes: {com/maltaisn/notes, 513b26b5bcbcbb7df766fd4b715c2cf3}
androidx/appcompat/app: {androidx/appcompat/app, 3f3ab22244848a0c2a85497200846a4a}
y2: {y2, 77722fe7ddb90b81d320e7a3c421eea6}
h: {h, 2b550d1e8e10aac18a8d0f2ddc806ac7}
s3: {s3, 74f9e48539f85ecbebff31c2c0000732}
x4: {x4, 2b6470c1e83c8ad3e773704ac0e61182}
p0: {p0, cad7a32b8267929900a95f959483e9a5}
p: {p, c1704f582eb110d445e716e9fc94f9af}
androidx/emoji2/text: {androidx/emoji2/text, 18105f9a0e9c08e03ba3160f62d6d3bf}
z0: {z0, fbb1f6773731652865a8accb8ba94fa6}
a0: {a0, 929dc3e6317a32643a9646631cd49479}
h0: {h0, 546334c90288990fd1fa8ff6c5c300a3}
g4: {g4, ecf3fecfa0fef19e8f1a9379ce6b9dbc}
com/mikepenz/aboutlibraries: {com/mikepenz/aboutlibraries, e6e207c8c92bb5817e072ec6fd6b48c4}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, 690228cc3feb30b24069734982c6ac3c}
s5: {s5, 40dfb0f725d8fd6c6b17add791e1b40b}
m0: {m0, ceab133d9e2c6094c29c5222d6448f7f}
t0: {t0, 03ebaa819f42f2ce873515c7a9b36e45}
v4: {v4, 829f314514051bde7cdce9260dd8bef3}
e0: {e0, d2cff7daa9ae74828a676338b1eee4dd}
r3: {r3, 0ae475c044483d8784cb5ca857e213ea}
x5: {x5, e69a1b4550072895b9487dcf4d9dd52c}
d5: {d5, 274e3671f6a7b5b03b58ccd1c054daa8}
i: {i, f63667256888b23a611d450a9d7c4cdc}
p1: {p1, 5cd15588afc8f3baa0ee052857ba0c8c}
s2: {s2, c6f41fe39be07ff00ed7d4e8ddfc8b0a}
q: {q, bd7c9034be09689f75089f51362cd9a7}
h1: {h1, b7d2617976ecebdd41444303d53b0f90}
n4: {n4, 54a9564f1e2322b9b553b3ca06c50ddd}
y1: {y1, 497774399f769bdaa1602ade17495d41}
o1: {o1, e5054f14c8c7b882f61096c55bdf057a}
i5: {i5, 8f4de993df45677b119328d9dd1ad3c1}
v5: {v5, fc0cb1c085ec73cc7f504a4d7228eb09}
a: {a, aaf24a8a339d43c5900cbf397754f630}
t1: {t1, 2be7946b576b7d36e57f71dda2613939}
androidx/versionedparcelable: {androidx/versionedparcelable, 9d566c8bb72bf85d0f4cf8e4e857ebc9}
j4: {j4, 5e1fba2dbb896d7df1d0f5f2e70d0f85}
w1: {w1, 8c71860b2871bc1512cb9828874691af}
q5: {q5, 0ea464f6acaee4120df01396a4c5a488}
androidx/recyclerview/widget: {androidx/recyclerview/widget, ed089e6dcb26313f84a64c97addd12f3}
x: {x, 8bd09776c390eff67a7eb5fe3eaff4e8}
u5: {u5, 71575a0f422a0989766675b0653bfa6f}
r0: {r0, 4bf5d5c871bcc0de4cb91aef24e8674e}
androidx/drawerlayout/widget: {androidx/drawerlayout/widget, b829ef3d5efdee1c729601787f2a559b}
