androidx/appcompat: {androidx/appcompat, c238e80d549769d7a9b88e114edfb810}
androidx/annotation: {androidx/annotation, 8c32c1f05f70f004e187bbab685b6cf7}
androidx/room: {androidx/room, 2ca662ced68027cee2bcc09d09f37eb8}
androidx/sqlite/db: {androidx/sqlite/db, f0f6444f7eecc146ccf0405b3cb3d29d}
androidx/lifecycle: {androidx/lifecycle, b4701a065997f923a0b542e000a2fc87}
kotlin/reflect: {kotlin/reflect, 3a9fd151ebdfe979da087f6c0b6d0472}
kotlin/text: {kotlin/text, 035d9a5491e2d90f0704d996ba3e2b46}
androidx/versionedparcelable: {androidx/versionedparcelable, 6b8442325269c966be425c0a4fe3c12c}
okhttp3: {okhttp3, 48c4956c0f08f463ecefc73762a07d4f}
androidx/core: {androidx/core, 932260544db6c2e5c5a76329608282a0}
androidx/collection: {androidx/collection, 248e1ffa31c637707f514572dc598f53}
androidx/transition: {androidx/transition, 9048ad8bc6b9c22ce38543d6ae0f3472}
androidx/cursoradapter: {androidx/cursoradapter, 445d8fefef6b98b805cebc2f997dd52c}
com/commonsware/cwac: {com/commonsware/cwac, fc6daa084f27e5b2a440908001e7ce7b}
androidx/multidex: {androidx/multidex, 83867271029b1f3bd1fb56c2db4ca457}
org/intellij/lang: {org/intellij/lang, 01f4705ac9ef4651cd9468ed227cda99}
com/google/android: {com/google/android, 4d592988de80431d92fefd514010d32a}
kotlin/jdk7: {kotlin/jdk7, 7bb3090a178af2f15ec1bc8f1f112d25}
androidx/viewpager2: {androidx/viewpager2, 2fee2d50c6d6de302a747b5a04a5b216}
org/apache/commons: {org/apache/commons, 35ea5c07dad0b042cc664ee08fb22c7e}
com/scottyab/aescrypt: {com/scottyab/aescrypt, c78af0fef109daebf751c41120b8440c}
androidx/recyclerview: {androidx/recyclerview, 2e3253ccddb2e462f46ca6f39badd255}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 47b9926b14214e87f4de5baf6e2abf10}
com/squareup/picasso: {[com/squareup/okhttp, com/squareup/picasso, ], 42d5b9958942916d19ecdea84dcc3a92}
kotlin/jvm: {kotlin/jvm, d1c72ea235c10444235deaeff472bc19}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], 994653ae61349db9d9ad315da6b3bcff}
kotlin/io: {kotlin/io, 1c911110c99dff86022e93c7ec06d20b}
androidx/loader: {androidx/loader, 48a0ecd59c26914efd6987f2c04e308e}
androidx/interpolator: {androidx/interpolator, 9520954530ce7215903ebf692e2215c5}
com/afollestad/materialdialogs: {com/afollestad/materialdialogs, b9c0f9f9eda3db708c6217bd96e21d43}
com/takisoft/preferencex: {com/takisoft/preferencex, 55e30bbe1474b6faafbc08a9f9b3f648}
de/mateware/dialog: {de/mateware/dialog, a59897273fd0a2d67d64cde049a19ea5}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 1bf37e100a28fe5261854a728cb35f10}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, c4514a5acfef04a1272d808c465571b6}
com/bosphere/filelogger: {com/bosphere/filelogger, c4d53f1ec8c1177b76b2cbcf5d3e061e}
androidx/drawerlayout: {androidx/drawerlayout, 615c8854bd9d73ee6e2438658bd3af75}
androidx/viewpager: {androidx/viewpager, 4500bdb74e266de25cf40291504e04e7}
org/jetbrains/anko: {org/jetbrains/anko, 817ae7110b7a5c376f55442d43f2d97a}
kotlinx/android/extensions: {kotlinx/android/extensions, 5dc1eda4ef81e7539ba23f229c385358}
androidx/arch/core: {androidx/arch/core, 58638098063abe3a7a38d197680a95e6}
kotlin/properties: {kotlin/properties, d0ddcb6cfab515a69b770a310c309c73}
okhttp3/internal: {okhttp3/internal, e8d0d6ae71512ec46c9e5910339016e7}
kotlin/system: {kotlin/system, 1611ffd7b3fe1a7d724238ba58f76ecb}
kotlin/collections: {kotlin/collections, 24d032a214980b3a0a100c2570dd9b2d}
com/yqritc/recyclerviewflexibledivider: {com/yqritc/recyclerviewflexibledivider, d857aa79b0601fc1b251a3daa9f2391b}
androidx/fragment: {androidx/fragment, 269512549cecb0eb84aa18f854282581}
kotlin/contracts: {kotlin/contracts, 9fd3b4e8fa5f4d904edc67b3ae889ff5}
kotlin: {kotlin, 7957cddf38f01c74f1e8d2b68b21e2b2}
com/artifex/mupdfdemo: {com/artifex/mupdfdemo, 258a906b3155bd076b92bf330bf25e5b}
kotlin/concurrent: {kotlin/concurrent, ff3ca98499e68a47942c55d1906c708f}
com/github/jrejaud: {com/github/jrejaud, 09648b82e44692d32d628ca7a329527c}
kotlin/comparisons: {kotlin/comparisons, fa975775d16ab73e1fba9410c9720762}
kotlin/coroutines: {kotlin/coroutines, 1e87862366ba296e5b93a4b007e1ec8c}
okio: {okio, e7f26d8742d3c24b4e2b3685964995a6}
androidx/work: {androidx/work, c3c0cb0c12fa8797af71b03682a034c9}
de/mateware/snacky: {de/mateware/snacky, 236e7d1d5ceba20ec3d586c49c9f7a1d}
kotlin/time: {kotlin/time, 892d2f5f2c14566160a1a9cbcb970b6c}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, 507b53d1384568d114384034fcf27af2}
kotlin/ranges: {kotlin/ranges, 310a776004ff81800c3aae5c9648c977}
kotlinx/android/parcel: {kotlinx/android/parcel, e211d3ed7d42af842098c8a202a263a8}
com/google/gson: {com/google/gson, 6cdab234bdc199c2ffbf08abb2c50ba1}
androidx/customview: {androidx/customview, 15b6794d023fe519a49570c90a953a47}
okhttp3/logging: {okhttp3/logging, 3b7bd5c822e42dd016698fa2a0027024}
