a6: {a6, 61cdf6829fb05947b7df0578de8028ca}
y5: {y5, 99c9ed344ede94ab313bd12fc1b4ca1d}
m2: {m2, 83d75a7ac509a2704329d25dfe5e69ec}
d1: {d1, 5f105ec9f7ea4d869f46b4708d4ca0d9}
o5: {o5, d91428906bc5248bd52b770f8443efc6}
h5: {h5, 04a4f2a17796e84269f81c3717022eb8}
w5: {w5, 46ba7e10787967459e0f3bfdc0a3961e}
com/anggrayudi/storage: {com/anggrayudi/storage, 5a34e199f0b5015072a0ecc9e3a9756f}
c2: {c2, 38c41eebaad46c194884e3d959be8493}
u: {u, 8751d089f7679605ebeab9db296563d1}
z4: {z4, 69f6afca3b64065b112bef10c79852f7}
androidx/fragment/app: {androidx/fragment/app, 9a6d24a8b2ae23a6207162dd91d65d4c}
t5: {t5, 9d8dcc163cddd3ca1e71e527341cd98a}
j0: {j0, b92b4fb85535cc6224035ce0369143f0}
l3: {l3, 789b31b0f22453e15b0211e682484fb3}
n3: {n3, 15b9227cefa060a12b825f67ec1f1da8}
u1: {u1, e0ae1ba433eb6d075bf99dc131e97b17}
e: {e, 27880b06c8259bcae918829ef0d1a156}
p5: {p5, df1d20d8818ba3182ef4dd6d8d556008}
d3: {d3, 42af8a6955eb9ac43581b134b7948c5d}
l0: {l0, fc77aabd875448b99e376e327446ef6d}
f3: {f3, d20e20f2e9c2bce3f3c5b90b380a4b00}
k2: {k2, 201c799be714d60726462bac2078a1df}
m: {m, 688f60cd39eda41af14d2a4eecb33d6d}
e3: {e3, 8642beab6327eb46348f19ae83f30053}
v1: {v1, 790942fa40b076da980f72c292c00c0c}
y4: {y4, d334a9a3f650b9e47eb2ab85a2ab160a}
q0: {q0, c0f224bf5a37b18c9d7e766876a11d88}
f0: {f0, a08fcc5e78bb79b553c36fe4982045fb}
c5: {c5, e264138a794f09a2a85c6cc32c235884}
w4: {w4, 1e10db46a150d0c6b043f42914ee1682}
androidx/profileinstaller: {androidx/profileinstaller, 7a14f9a5965a5151aa00e8dddd15bbb5}
r5: {r5, acf7ef943fdeb3cbfed8dd0d8f584731}
z2: {z2, e7318847877018b554cfb580791c2ef1}
o4: {o4, 9e151ab3a89b1c3d7edd910fd9b03804}
m1: {m1, 6a21efb651200d0197e7f8cd9962f6cf}
b4: {b4, e1631fc16fa9e1816af711bb23369c4f}
x2: {x2, 7c9e89314da912bd03014d0de478d936}
v: {v, 86f1155e417b25de7796ff1d5cc62871}
androidx/core/app: {androidx/core/app, a26f30ec0985e7c5020a6dbfab1ca968}
n0: {n0, 34065cbb448a36d669f2d186e71312e8}
androidx/emoji2/text: {androidx/emoji2/text, 8256d98b3ee5e3d6e3713ffcbf02077d}
k5: {k5, d9b60710f50923ddd27ba7b908341f42}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 542a97b0647260fb2faf146cf4c8ecd0}
kotlin/enums: {kotlin/enums, 0b4f33c1e7f353ef518ee01496a86aa7}
i1: {i1, 2499a29ebc1bfea4163a4291a45a4e75}
f: {f, 53367b9d01514931106c052e4ecd72a3}
l4: {l4, f65916bb3f10025ebc15c55c4f988032}
n: {n, 0d4c08ac86ea7b293da956cde850ac4f}
d4: {d4, bfdbe5f2021576848de3580bef13d6be}
e2: {e2, aa44cf3cadc0f77dea651c05e54eb8a4}
j1: {j1, bb9869d423aaaf2bd8ffcbde9c87961c}
a3: {a3, c413cdcd7f32271103346e70cdca35b8}
androidx/datastore/core: {androidx/datastore/core, 927730c3f38e2119dee6c9c2d39f287a}
com/nextcloud/android: {com/nextcloud/android, 1e8aa25baee176a4e1c3f70739b992bc}
y3: {y3, 5ffbe1e5f2e8b55f2a678cdc129ac2c7}
c4: {c4, 84db5104c6b09a14e6d79c6190da0a25}
s1: {s1, 6274908fb349f78e00f9fcb617dfd73f}
o: {o, 51b9053f1f8d9588e33bfd30227b89b0}
f1: {f1, 46390b7f0066fb503eed5ab666e1a57f}
z3: {z3, e25214dc0b17276998e60fd9eb06f53b}
a1: {a1, 028d41aa4fac94a61dd66d27dadd8246}
com/bumptech/glide: {com/bumptech/glide, ea41666fcc3537d2a1b3e1f54454ff9d}
x3: {x3, 6c91b2eae3476cd60a3bf6694bb57655}
g5: {g5, bb2c159ae60ea8144a352ac9b42efcde}
k4: {k4, af51c505c5d9ff3c181de60f1eaa7c86}
y: {y, 5b2772911ea2a344bc1ee889a42bd1ce}
g: {g, f15ffcd8ef0688344e8bde1faa0168a6}
n1: {n1, 47b84212c5b9d92b0198f5829466cd90}
androidx/appcompat/widget: {androidx/appcompat/widget, ff76ec69c985a80d9cc4293a023b8905}
l5: {l5, d9b60710f50923ddd27ba7b908341f42}
androidx/sqlite/db: {androidx/sqlite/db, 82fd5adb8d2111dc938e9412f84f62b7}
i0: {i0, 15161b1be4fb8f57e8babc601c8cfbd4}
com/fondesa/kpermissions: {com/fondesa/kpermissions, dcdb43f60ff4297e070084a8867a5ab0}
s0: {s0, b3fbf8a29da63ea3f7b2037ad3e55ef8}
u4: {u4, f9c07bb2a32dbed6ba4664cbacf8d56a}
r2: {r2, 150a621850af2cd57f22bcd295c71480}
e1: {e1, 34d92a876a588acf59b6690e1d4679ec}
androidx/appcompat/app: {androidx/appcompat/app, 3f3ab22244848a0c2a85497200846a4a}
kotlin/collections: {kotlin/collections, cf4d466f52cad65fb886783904e3364f}
y2: {y2, 2b85974a47850fd50f5ed3fd351d5d61}
kotlin: {kotlin, 78bd909a45ebc58f66c62c091e42d942}
h: {h, 6c5d019d4732b458eb37197a35079ba9}
s3: {s3, 4946f7f0bd4deaf661d4db1a3d346402}
x4: {x4, ac063c0120cee93bb6ed3d6838979cf0}
androidx/core/view: {androidx/core/view, e0fe3ab462496b35442dc239c6df97af}
p0: {p0, d3ab6942da0a2d34db320d62858b88bd}
p: {p, 4cc4dfb9890df6640c8c0fc20a145263}
z0: {z0, 89914c057aac1bb742e2808d66aeaab2}
a0: {a0, 1370c331679c1b6d0dde6ee458b7b20f}
h0: {h0, 7d3d03a26bc749ab47a82be323b616e6}
g4: {g4, cd470a3f752535d270dcc470f6c1e508}
androidx/navigation: {androidx/navigation, 65dcc0e4d8cfd45a1546ba124085983a}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, 846fa3221911bedac75a0c27ac5c3366}
s5: {s5, 65be49f246dd31464a844044beb5b257}
m0: {m0, 8b9d3055c55b3d7acbeca157b2709d0b}
b6: {b6, 9cf1ba277d3ec9a9780bf42dcd29b83b}
v4: {v4, 8de14b2a6d708f88c574d26b513ef5a7}
e0: {e0, f0b19cad0bc117e53e0538441370511b}
com/google/gson: {com/google/gson, 559cc1a3bb40fe6599f1ea7b59009d05}
r3: {r3, 611cd28f7504b3470133e4a9555b8cd5}
androidx/viewpager2/widget: {androidx/viewpager2/widget, be03184f2ef9eee5e33cf659fba1ca7c}
c6: {c6, a317a39063eaee49d29e29a89d9f4ef5}
kotlin/coroutines: {kotlin/coroutines, eb3ed84eaa6e3de4b1f799313b7c5ff8}
x5: {x5, d05943ed3ae21d4fb715c184d2f57a6b}
d5: {d5, 0b2f499632f71d7ef38409d2cd6a8b7e}
i: {i, 573f8d5b8acc79b3ecf164c0c185a68e}
p1: {p1, 0aa0e7cf3a29875c5415789e395d1e8a}
s2: {s2, f306a416cf861e3c27098ec9400efc26}
kotlin/time: {kotlin/time, 453f309013c8426353ffcb672f45047e}
q: {q, 825a5e9b6135e04017c930a056e8df84}
h1: {h1, 590db523bbd8de628e3ba69e8e2d6826}
n4: {n4, 1629cfbf1d8ac8b088f1f2557e880fc6}
y1: {y1, d99f7220bf040013e364330135784e09}
o1: {o1, 3e1dd81aaf7cb930204667e01cd79279}
org/jsoup: {org/jsoup, 9dd1e9cc5ba2ffbdf9143da7b0bbfbcd}
v5: {v5, e3c0a425ec2c47b67599a8ff5554c565}
a: {a, f935e4a86c6bab495a08d8761f8e66f1}
androidx/versionedparcelable: {androidx/versionedparcelable, 9d566c8bb72bf85d0f4cf8e4e857ebc9}
j4: {j4, c7901b79b5bff585a8bf50b9f9abb160}
w1: {w1, 54e24087cfcdc40b2ffc845848e578bf}
q5: {q5, 3c00048133787e26fe5e68388d74e8b4}
androidx/recyclerview/widget: {androidx/recyclerview/widget, 1b81bc20a835a23206a03fb9f40a06a1}
x: {x, 17fa9dfba0123eaf16477345d96cba2e}
u5: {u5, 50044115e7848927cae120092d60e03e}
r0: {r0, d63a488cc2b398680f513fc0643504e9}
androidx/drawerlayout/widget: {androidx/drawerlayout/widget, 87f39cf86091976f92d945110c71e7a2}
