androidx/appcompat: {androidx/appcompat, 148d9e2b175fda474a7f259a4b1db630}
com/lazygeniouz/dfc: {com/lazygeniouz/dfc, 3d5fa16d898f2e55dffada4ce73d45ba}
rx/android/schedulers: {rx/android/schedulers, 896148be17c8345c7d9e2ec73c5ef7d8}
javax/mail: {javax/mail, 45b63b12a52cabd35dec38e0f399baa0}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 0e03211c7ce765d45d53462e80dd074f}
androidx/coordinatorlayout: {androidx/coordinatorlayout, f840385f6841d4037078ff2c11622964}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 8ff7126b26752200d9ed23df0053d8dd}
org/ocpsoft/prettytime: {org/ocpsoft/prettytime, 0e33df0132a54116dda1b8cbfbac9a4a}
com/bosphere/filelogger: {com/bosphere/filelogger, 69b1400a9ba38dd028db7bc463cef6e7}
androidx/drawerlayout: {androidx/drawerlayout, a5de9881b849657db77c960bf0e37bb4}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, 4fc6632377b181724d9fa8df6ebbdaa7}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 71b78358d68a461132d93575dd4855df}
androidx/arch/core: {androidx/arch/core, 10778bb0afdb647b549d52ab0ea692f1}
kotlin/properties: {kotlin/properties, ee439fc58a1807c2b6e7cb704cf10438}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, c1af61dc68ad2735a12d0d62e438a334}
androidx/legacy/content: {androidx/legacy/content, afc26ca326b4075d07bfd31afbca758d}
androidx/customview/widget: {androidx/customview/widget, 4378aa5a122c3e03923d94cf6a75de9b}
androidx/gridlayout: {androidx/gridlayout, 3353d2e8a875e6f6d9e15a85fe4fc4ff}
rx/observables: {rx/observables, 1d696485c93d783c42dd9e3962e96375}
com/google/auto: {com/google/auto, 47f3ec10c34c36c4e085ea8b2863134d}
androidx/fragment: {androidx/fragment, c0d50e58dca3ee74933f85e0a1bd3188}
com/getbase/floatingactionbutton: {com/getbase/floatingactionbutton, 68e4667d61625760ad5e1d8b46ec5b61}
rx/subscriptions: {rx/subscriptions, 0bd23ddfacdd688265e673b62f961c22}
kotlin: {kotlin, 1df49fda62872403daf52911a2ca299e}
kotlin/coroutines: {kotlin/coroutines, df26d93760201cb5efb10efb080287c9}
androidx/interpolator/view: {androidx/interpolator/view, 561c23e33a4b5f7c33faf68878d12ac4}
com/appeaser/sublimepickerlibrary: {com/appeaser/sublimepickerlibrary, 49d71ce6a4f90475b3d3ddc6d9520553}
listeners: {listeners, ac585a56c02dd5ca847dfa384d0ddf77}
net/lingala/zip4j: {net/lingala/zip4j, 76888f658be1ab097986c2ff04574520}
androidx/window/layout: {androidx/window/layout, 9cec5681160c5dfc9ec18746513930e5}
net/fortuna/ical4j: {net/fortuna/ical4j, ac9fb0874cd7d7f77b6b4d48d2b1c3bc}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, 03891f45ee8ea903a4204b9d9c8039c2}
androidx/emoji2/text: {androidx/emoji2/text, 0e1e95c7869d1b150271a654f4946d50}
com/bumptech/glide: {com/bumptech/glide, e47f1ac5932563147e0d6a0d0f640664}
androidx/window/core: {androidx/window/core, 793055159f768f364c3eb5fbf876609b}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, f8b70659d4a5b0be2af6cd6c5cbb6224}
kotlin/ranges: {kotlin/ranges, 8a78bf60ac70b4e885976394cde61ff6}
androidx/tracing: {androidx/tracing, 9e7f1e2877f6a625dfc0b20486545c6d}
rx/schedulers: {rx/schedulers, 0fde99569c12d5908a7c7bdee7784fa8}
com/google/gson: {com/google/gson, 4d70afa609e3e808e74c5dd3c178e7c8}
rx/internal/schedulers: {rx/internal/schedulers, b084100f353744eae14cbd71ea0dc8ae}
